ID,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%)
C0147,24,34,36
C0148,79,86,87
C0149,41,66,70
C0150,37,59,64
C0151,32,32,32
C0152,67,76,78
C0153,17,33,37
C0154,13,29,33
C0155,6,17,26
C0156,20,39,41
C0157,27,43,46
C0158,42,56,58
C0159,18,28,33
C0160,23,40,42
C0161,0,15,43
C0162,19,25,27
C0163,20,45,52
C0164,,,
C0165,79,83,84
C0166,68,81,83
C0167,32,48,51
C0168,79,81,82
C0169,,,
C0170,51,59,61
C0171,31,38,39
C0172,44,53,55
C0173,72,76,76
C0174,63,69,70
C0175,37,50,52
C0176,18,42,49
C0177,81,85,86
C0178,86,91,92
C0179,21,40,45
C0180,90,96,98
C0181,18,33,37
C0182,68,79,82
C0183,11,20,22
C0184,31,36,38
C0185,76,79,80
C0186,62,68,69
C0187,6,11,16
C0188,16,42,48
C0189,76,80,81
C0190,88,91,92
C0191,40,56,61
C0192,15,31,34
C0193,22,35,37
C0194,23,43,49
C0195,33,39,41
C0196,13,17,17
C0197,36,61,67
C0198,44,53,53
C0199,59,65,66
C0200,1,19,20
C0201,34,53,56
C0202,12,29,41
C0203,15,33,41
C0204,46,62,63
C0205,9,9,9
C0206,39,52,54
C0207,20,41,52
C0208,23,35,37
C0209,47,57,58
C0210,57,74,77
C0211,65,83,87
C0212,24,37,38
C0213,14,14,14
C0214,59,67,68
C0215,,,
C0216,71,81,82
C0217,44,44,44
C0218,21,43,50
C0219,25,37,41
C0220,40,46,48
C0221,61,67,67
C0222,31,44,46
C0223,,,
C0224,36,57,63
C0225,28,36,38
C0226,56,63,64
C0227,24,35,38
C0228,51,60,61
C0229,26,40,40
C0230,2,31,33
C0231,20,36,42
C0232,66,70,72
C0233,16,35,42
C0234,10,26,34
C0235,33,47,48
C0236,21,35,39
C0237,50,58,60
C0238,30,40,45
C0239,10,13,15
C0240,9,22,29
C0241,12,24,31
C0242,48,57,58
C0243,8,17,21
C0244,31,41,45
C0245,84,89,91
C0246,8,22,30
C0247,41,76,82
C0248,15,30,36
C0249,39,58,61
C0250,26,45,50
C0251,21,44,53
C0252,57,80,82
C0253,15,35,43
C0254,31,37,38
C0255,22,22,22
C0256,44,58,59
C0257,39,51,54
C0258,,,
C0259,55,61,62
C0260,4,16,21
C0261,40,46,46
C0262,21,27,28
C0263,8,23,29
C0264,33,46,46
C0265,60,66,68
C0266,10,29,38
C0267,14,19,27
C0268,35,43,46
C0269,10,14,16
C0270,16,34,40
C0271,58,64,64
C0272,17,36,43
C0273,27,36,38
C0274,8,30,36
C0275,19,44,57
C0276,19,35,40
C0277,6,25,25
C0278,11,30,38
C0279,11,12,31
C0280,25,48,54
C0281,54,63,67
C0282,9,22,24
C0283,32,44,49
C0284,22,41,54
C0285,74,78,78
C0286,44,56,58
C0287,34,45,45
C0288,55,73,76
C0289,4,15,21
C0290,88,91,93
C0291,32,39,41
C0292,45,50,53
C0293,54,68,70
C0294,7,9,11
C0295,34,56,60
C0296,59,72,74
C0297,43,61,61
C0298,,,
C0299,41,50,50
C0300,30,51,57
C0301,38,50,52
C0302,68,82,84
C0303,72,77,78
C0304,56,63,64
C0305,32,57,63
C0306,46,68,72
C0307,32,46,50
C0308,71,79,79
C0309,58,63,64
C0310,45,59,63
C0311,,,
C0312,60,70,71
C0313,28,37,38
C0314,32,47,48
C0315,48,59,60
C0316,57,58,58
C0317,29,29,43
C0318,51,62,64
C0319,39,55,56
C0320,26,45,51
C0321,86,93,94
C0322,4,12,20
C0323,49,56,57
C0324,39,47,50
C0325,76,78,80
C0326,25,39,39
C0327,27,38,41
C0328,50,61,63
C0329,32,54,57
C0330,30,45,47
C0331,28,40,43
C0332,50,50,60
C0333,23,39,44
C0334,28,46,50
C0335,49,56,58
C0336,35,42,45
C0337,29,51,56
C0338,74,86,87
C0339,45,56,57
C0340,35,56,60
C0341,47,63,65
C0342,51,64,74
C0343,18,27,27
C0344,74,79,79
C0345,59,70,71
C0346,53,62,63
C0347,53,57,57
C0348,54,68,70
C0349,54,61,61
C0350,68,71,72
C0351,42,45,45
C0352,57,61,62
C0353,6,17,25
C0354,15,34,42
C0355,45,55,57
C0356,15,31,37
C0357,22,37,42
C0358,7,20,28
C0359,6,19,26
C0360,58,74,77
C0361,8,19,24
C0362,9,23,30
C0363,9,20,24
C0364,40,48,48
C0365,28,49,52
C0366,55,69,71
C0367,9,9,12
C0368,90,94,95
C0369,41,48,53
C0370,9,23,30
C0371,8,17,22
C0372,33,50,51
C0373,36,43,44
C0374,49,60,60
C0375,67,70,71
C0376,65,74,74
C0377,33,50,51
C0378,58,69,70
C0379,63,68,69
C0380,40,45,45
C0381,43,52,53
C0382,62,65,65
C0383,59,68,70
C0384,61,66,67
C0385,64,66,68
C0386,54,61,62
C0387,61,69,70
C0388,29,44,47
C0389,30,44,47
C0390,28,44,48
C0391,81,85,86
C0392,38,63,68
C0393,17,29,30
C0394,48,67,70
C0395,48,60,61
C0396,67,75,76
C0397,24,27,32
C0398,48,57,58
C0399,66,73,73
C0400,37,62,66
C0401,53,62,63
C0402,47,59,61
C0403,55,62,65
C0404,24,34,40
C0405,59,62,63
C0406,17,30,34
C0407,36,49,52
C0408,43,58,59
C0409,27,38,39
C0410,39,48,53
C0411,27,39,40
C0412,,,
C0413,20,35,41
C0414,19,39,44
C0415,13,32,32
C0416,36,56,62
C0417,33,46,50
C0418,26,53,60
C0419,31,39,43
C0420,43,48,49
C0421,41,55,55
C0422,22,30,34
C0423,,,
C0424,24,41,49
C0425,44,53,53
C0426,42,51,53
C0427,30,39,42
C0428,45,54,54
C0429,17,31,37
C0430,22,39,46
C0431,21,31,32
C0432,56,63,64
C0433,53,65,66
C0434,47,60,62
C0435,16,29,30
C0436,28,41,41
C0437,80,82,82
C0438,24,40,43
C0439,18,33,39
C0440,49,51,57
C0441,7,15,18
C0442,25,36,38
C0443,34,55,60
C0444,18,36,39
C0445,15,26,29
C0446,25,47,53
C0447,5,14,15
C0448,34,43,48
C0449,22,39,45
C0450,29,48,53
C0451,14,31,38
C0452,16,27,29
C0453,18,27,27
C0454,18,33,40
C0455,42,55,57
C0456,67,71,72
C0457,16,31,34
C0458,25,45,50
C0459,49,57,59
C0460,5,11,46
C0461,7,24,31
C0462,7,17,20
C0463,38,62,67
C0464,15,27,33
C0465,29,40,43
C0466,29,45,50
C0467,44,53,55
C0468,13,31,37
C0469,13,25,32
C0470,19,35,42
C0471,19,34,40
C0472,19,34,38
C0473,5,22,28
C0474,13,29,36
C0475,8,22,32
C0476,4,9,11
C0477,13,36,45
C0478,62,74,76
C0479,27,43,46
C0480,56,68,69
C0481,88,93,93
C0482,88,92,93
C0483,89,92,93
C0484,25,40,45
C0485,3,7,12
C0486,38,53,55
C0487,36,39,44
C0488,14,25,31
C0489,36,51,56
C0490,53,72,74
C0491,15,27,30
C0492,49,57,58
C0493,49,54,55
C0494,10,26,34
C0495,35,44,44
C0496,45,51,51
C0497,23,33,38
C0498,13,27,35
C0499,17,33,36
C0500,4,10,14
C0501,22,41,47
C0502,59,67,68
C0503,55,65,66
C0504,87,91,93
C0505,79,84,84
C0506,1,2,3
C0507,37,59,65
C0508,66,82,84
C0509,13,28,32
C0510,11,26,34
C0511,61,65,66
C0512,45,51,53
C0513,47,64,67
C0514,71,78,79
C0515,10,15,17
C0516,56,63,63
C0517,40,61,65
C0518,,,
C0519,42,53,56
C0520,65,68,68
C0521,64,72,72
C0522,28,42,45
C0523,89,96,96
C0524,43,47,47
C0525,70,73,73
C0526,46,53,55
C0527,16,24,24
C0528,81,86,87
C0529,89,91,91
C0530,80,84,84
C0531,86,89,90
C0532,29,52,58
C0533,2,2,2
C0534,76,80,81
C0535,35,44,45
C0536,41,54,58
C0537,80,81,81
C0538,51,57,58
C0539,65,69,70
C0540,4,4,40
C0541,20,44,50
C0542,33,47,51
C0543,58,70,71
C0544,56,65,66
C0545,87,95,97
C0546,89,91,91
C0547,47,52,53
C0548,35,42,46
C0549,28,47,54
C0550,59,71,73
C0551,15,35,44
C0552,84,91,93
C0553,49,64,67
C0554,54,59,60
C0555,76,81,82
C0556,29,37,39
C0557,24,30,30
C0558,42,46,47
C0559,38,54,57
C0560,0,79,83
C0561,57,67,68
C0562,28,32,32
C0563,22,39,46
C0564,66,70,71
C0565,,,
C0566,82,85,86
C0567,58,67,69
C0568,30,45,49
C0569,82,84,85
C0570,41,52,55
C0571,87,91,92
C0572,84,89,91
C0573,50,60,61
C0574,52,58,60
C0575,44,57,59
C0576,71,75,76
C0577,46,50,54
C0578,90,94,95
C0579,70,80,81
C0580,34,45,49
C0581,39,53,54
C0582,64,73,74
C0583,43,61,61
C0584,29,52,60
C0585,30,53,59
C0586,2,9,9
C0587,0,4,9
C0588,57,71,73
C0589,21,51,59
C0590,14,31,37
C0591,8,35,42
C0592,35,52,57
C0593,12,30,38
C0594,23,42,49
C0595,11,52,61
C0596,17,37,41
C0597,30,43,48
C0598,33,63,70
C0599,68,76,78
C0600,72,77,77
C0601,17,36,42
C0602,16,39,49
C0603,31,36,40
C0604,8,23,29
C0605,19,38,44
C0606,76,88,90
C0607,50,74,78
C0608,24,58,66
C0609,15,43,52
C0610,9,29,38
C0611,0,3,17
C0612,21,41,48
C0613,15,34,43
C0614,26,41,43
C0615,37,37,38
C0616,10,31,39
C0617,21,41,43
C0618,30,54,57
C0619,31,35,38
C0620,11,24,32
C0621,24,47,55
C0622,47,62,64
C0623,26,42,46
C0624,38,47,49
C0625,63,71,71
C0626,90,92,92
C0627,62,71,71
C0628,30,43,46
C0629,52,74,77
C0630,81,82,82
C0631,60,64,66
C0632,85,87,87
C0633,21,43,49
C0634,10,21,34
C0635,54,72,75
C0636,34,41,44
C0637,30,54,59
C0638,50,61,63
C0639,22,40,46
C0640,17,40,44
C0641,51,65,67
C0642,75,81,82
C0643,19,41,47
C0644,71,78,79
C0645,43,54,55
C0646,83,87,87
C0647,36,50,51
C0648,59,68,68
C0649,63,74,75
C0650,38,58,61
C0651,22,40,43
C0652,30,51,56
C0653,18,28,34
C0654,25,36,37
C0655,37,51,51
C0656,16,28,35
C0657,17,31,39
C0658,59,63,63
C0659,36,54,58
C0660,22,35,39
C0661,11,20,26
C0662,35,50,53
C0663,31,55,61
C0664,12,19,19
C0665,21,39,45
C0666,27,47,50
C0667,46,60,62
C0668,26,47,49
C0669,26,40,44
C0670,30,50,54
C0671,26,35,40
C0672,38,45,45
C0673,32,51,54
C0674,35,51,51
C0675,3,19,41
C0676,46,59,61
C0677,2,6,10
C0678,6,17,22
C0679,25,39,45
C0680,51,65,67
C0681,27,41,43
C0682,15,31,36
C0683,15,22,25
C0684,13,27,33
C0685,47,67,70
C0686,21,42,51
C0687,25,56,63
C0688,20,39,46
C0689,54,70,72
C0690,27,45,48
C0691,50,64,65
C0692,27,32,43
C0693,60,68,69
C0694,61,69,70
C0695,37,45,48
C0696,25,58,59
C0697,27,44,49
C0698,30,50,53
C0699,88,93,94
C0700,46,57,59
C0701,52,66,69
C0702,50,58,59
C0703,45,56,56
C0704,54,67,67
C0705,12,21,27
C0706,17,28,29
C0707,20,42,48
C0708,20,41,49
C0709,24,42,48
C0710,15,24,29
C0711,19,38,40
C0712,27,41,45
C0713,23,35,39
C0714,17,31,33
C0715,42,63,64
C0716,67,76,76
C0717,51,60,60
C0718,23,30,48
C0719,43,56,58
C0720,21,44,53
C0721,41,49,49
C0722,14,35,42
C0723,55,67,68
C0724,32,61,67
C0725,19,30,40
C0726,27,38,42
C0727,25,35,38
C0728,25,41,46
C0729,18,31,36
C0730,15,34,43
C0731,16,41,51
C0732,27,44,52
C0733,37,49,55
C0734,48,52,53
C0735,87,93,95
C0736,39,44,44
C0737,34,38,40
C0738,47,54,55
C0739,64,78,80
C0740,52,62,63
C0741,30,56,67
C0742,41,54,56
C0743,43,55,59
C0744,71,74,74
C0745,9,9,9
C0746,46,46,46
C0747,14,31,36
C0748,35,53,53
C0749,56,57,57
C0750,65,68,69
C0751,32,44,47
C0752,24,43,46
C0753,40,52,54
C0754,25,47,51
C0755,46,65,70
C0756,5,19,32
C0757,19,39,46
C0758,42,59,61
C0759,34,58,63
C0760,23,46,58
C0761,88,95,97
C0762,59,71,73
C0763,55,64,66
C0764,27,48,55
C0765,57,76,79
C0766,32,60,67
C0767,34,50,53
C0768,50,62,64
C0769,41,53,56
C0770,45,77,79
C0771,42,61,65
C0772,,,
C0773,72,82,84
C0774,16,42,50
C0775,12,25,29
C0776,9,14,18
C0777,19,38,44
C0778,15,39,48
C0779,16,37,43
C0780,0,0,0
C0781,6,9,14
C0782,12,15,17
C0783,48,56,56
C0784,53,61,63
C0785,45,61,62
C0786,60,72,74
C0787,82,88,90
C0788,29,34,34
C0789,58,67,67
C0790,53,58,59
C0791,61,72,73
C0792,87,91,91
C0793,18,19,19
C0794,86,92,93
C0795,28,38,39
C0796,68,82,82
C0797,87,92,93
C0798,39,60,67
C0799,24,44,51
C0800,27,46,51
C0801,9,32,42
C0802,,,
C0803,22,42,50
C0804,25,39,43
C0805,15,30,37
C0806,5,12,15
C0807,3,20,25
C0808,25,47,56
C0809,5,20,26
C0810,19,36,41
C0811,27,46,49
C0812,21,34,36
C0813,18,30,34
C0814,60,63,63
C0815,,,
C0816,76,80,81
C0817,90,92,93
C0818,54,57,57
C0819,31,37,39
C0820,74,79,79
C0821,50,61,62
C0822,65,72,73
C0823,53,61,63
C0824,69,75,76
C0825,36,47,48
C0826,63,73,74
C0827,8,16,24
C0828,22,34,39
C0829,,,
C0830,60,72,74
C0831,54,58,58
C0832,70,80,80
C0833,37,43,44
C0834,38,48,50
C0835,23,32,35
C0836,39,62,66
C0837,41,50,52
C0838,37,49,52
C0839,59,67,68
C0840,16,25,26
C0841,50,62,65
C0842,77,82,84
C0843,60,65,65
C0844,25,43,47
C0845,24,39,42
C0846,34,49,51
C0847,26,36,37
C0848,33,52,57
C0849,65,83,85
C0850,53,60,61
C0851,28,56,66
C0852,77,84,85
C0853,52,57,58
C0854,54,66,67
C0855,27,48,52
C0856,77,80,80
C0857,53,64,66
C0858,36,52,53
C0859,62,68,69
C0860,74,79,80
C0861,83,85,86
C0862,56,70,72
C0863,65,71,72
C0864,36,47,55
C0865,39,47,49
C0866,23,29,29
C0867,28,43,45
C0868,29,40,44
C0869,21,41,43
C0870,21,25,25
C0871,56,64,66
C0872,69,79,81
C0873,52,68,72
C0874,45,63,66
C0875,51,69,71
C0876,32,45,48
C0877,48,64,67
C0878,25,45,49
C0879,47,67,70
C0880,45,63,64
C0881,66,77,78
C0882,51,68,70
C0883,54,69,70
C0884,40,56,58
C0885,30,49,51
C0886,50,58,60
C0887,20,32,36
C0888,41,58,60
C0889,8,13,16
C0890,25,44,50
C0891,69,79,81
C0892,,,
C0893,31,42,48
C0894,,,
C0895,82,87,88
C0896,62,74,74
C0897,30,44,47
C0898,90,93,94
C0899,53,61,61
C0900,56,58,58
C0901,60,81,85
C0902,42,64,69
C0903,41,47,48
C0904,33,38,38
C0905,25,39,44
C0906,31,41,43
C0907,39,46,49
C0908,41,50,53
C0909,15,22,24
C0910,90,92,92
C0911,87,93,94
C0912,31,52,56
C0913,21,38,42
C0914,77,81,82
C0915,12,27,32
C0916,43,55,55
C0917,15,28,31
C0918,49,55,57
C0919,58,62,62
C0920,32,40,44
C0921,30,38,38
C0922,40,48,49
C0923,11,17,20
C0924,26,38,38
C0925,50,61,62
C0926,18,40,43
C0927,26,37,39
C0928,26,35,37
C0929,16,35,43
C0930,37,56,60
C0931,81,88,90
C0932,26,48,54
C0933,30,50,55
C0934,15,33,40
C0935,41,68,74
C0936,23,32,33
C0937,52,68,71
C0938,38,43,43
C0939,15,28,33
C0940,33,48,48
C0941,44,51,52
C0942,30,50,60
C0943,22,29,29
C0944,61,64,64
C0945,16,26,30
C0946,4,42,42
C0947,82,86,86
C0948,40,51,51
C0949,47,51,53
C0950,18,38,46
C0951,32,48,51
C0952,15,31,38
C0953,33,50,51
C0954,28,36,49
C0955,21,31,36
C0956,14,32,37
C0957,24,47,53
C0958,26,46,53
C0959,23,39,46
C0960,16,34,40
C0961,42,54,56
C0962,55,69,71
C0963,52,58,60
C0964,31,51,54
C0965,52,57,58
C0966,65,78,80
C0967,61,72,73
C0968,10,20,25
C0969,25,58,63
C0970,16,31,33
C0971,8,23,32
C0972,60,76,77
C0973,38,45,46
C0974,78,81,81
C0975,44,54,56
C0976,35,48,51
C0977,57,65,65
C0978,65,74,75
C0979,11,27,32
C0980,28,46,52
C0981,86,89,89
C0982,28,43,45
C0983,7,24,32
C0984,46,58,59
C0985,44,52,55
C0986,68,79,81
C0987,53,62,63
C0988,49,59,60
C0989,39,57,57
C0990,29,45,48
C0991,18,36,39
C0992,76,88,89
C0993,29,40,41
C0994,53,66,69
C0995,20,32,37
C0996,20,39,42
C0997,21,40,45
C0998,19,39,43
C0999,59,81,83
C1000,48,64,66
C1001,54,62,63
C1002,2,53,59
C1003,23,29,32
C1004,13,22,24
C1005,61,69,71
C1006,34,38,43
C1007,23,42,46
C1008,25,31,31
C1009,24,30,30
C1010,28,47,50
C1011,44,55,55
C1012,39,55,67
C1013,33,38,38
C1014,59,62,63
C1015,70,74,75
C1016,19,36,41
C1017,66,74,76
C1018,9,25,33
C1019,0,2,3
C1020,50,57,57
C1021,33,46,47
C1022,8,17,20
C1023,10,28,36
C1024,17,30,34
C1025,16,26,31
C1026,12,25,30
C1027,13,28,31
C1028,28,46,49
C1029,16,29,30
C1030,33,55,60
C1031,47,54,55
C1032,49,59,61
C1033,35,59,66
C1034,41,51,53
C1035,9,14,18
C1036,15,23,23
C1037,27,37,39
C1038,13,26,31
C1039,35,47,53
C1040,14,23,30
C1041,51,67,69
C1042,36,53,55
C1043,15,21,23
C1044,52,61,62
C1045,67,74,75
C1046,59,66,68
C1047,0,21,21
C1048,42,42,44
C1049,18,38,43
C1050,30,55,61
C1051,44,62,67
C1052,52,60,62
C1053,18,32,42
C1054,70,75,75
C1055,70,80,82
C1056,18,33,37
C1057,23,32,32
C1058,46,52,53
C1059,71,77,79
C1060,20,40,44
C1061,6,6,49
C1062,48,53,54
C1063,74,78,79
C1064,63,70,70
C1065,35,49,51
C1066,53,58,61
C1067,42,60,62
C1068,81,84,84
C1069,87,91,91
C1070,39,45,46
C1071,31,50,53
C1072,47,60,62
C1073,74,85,88
C1074,50,56,60
C1075,44,49,50
C1076,27,36,42
C1077,9,20,25
C1078,33,51,54
C1079,47,55,57
C1080,83,85,86
C1081,28,65,70
C1082,66,74,76
C1083,36,54,56
C1084,49,54,55
C1085,23,41,46
C1086,71,76,77
C1087,84,87,87
C1088,48,62,64
C1089,59,66,67
C1090,80,84,84
C1091,,,
C1092,50,63,63
C1093,91,93,93
C1094,38,52,54
C1095,39,45,48
C1096,31,47,51
C1097,72,75,75
C1098,26,35,39
C1099,61,65,66
C1100,34,51,55
C1101,33,43,45
C1102,55,64,65
C1103,85,88,88
C1104,68,73,73
C1105,73,84,86
C1106,23,37,40
C1107,28,45,48
C1108,54,60,64
C1109,35,48,51
C1110,54,64,65
C1111,54,59,60
C1112,71,75,76
C1113,37,58,61
C1114,64,68,69
C1115,70,73,74
C1116,18,27,29
C1117,81,85,86
C1118,29,46,50
C1119,46,66,69
C1120,,,
C1121,34,51,55
C1122,14,28,31
C1123,30,44,50
C1124,22,45,48
C1125,36,51,56
C1126,48,67,71
C1127,25,40,45
C1128,35,54,56
C1129,39,56,61
C1130,17,39,44
C1131,33,50,54
C1132,21,37,43
C1133,30,50,53
C1134,65,83,85
C1135,24,40,47
C1136,33,51,56
C1137,26,44,48
C1138,24,40,45
C1139,27,46,50
C1140,,,
C1141,88,94,96
C1142,45,58,58
C1143,24,63,68
C1144,33,51,54
C1145,33,50,53
C1146,32,51,55
C1147,64,79,80
C1148,42,49,50
C1149,41,54,56
C1150,46,46,46
C1151,57,70,71
C1152,70,78,79
C1153,64,70,70
C1154,75,81,82
C1155,45,60,61
C1156,37,53,55
C1157,40,60,63
C1158,71,74,75
C1159,89,93,93
C1160,39,61,66
C1161,27,34,34
C1162,75,79,79
C1163,31,42,44
C1164,86,90,90
C1165,73,76,77
C1166,45,53,54
C1167,44,65,69
C1168,63,76,77
C1169,40,54,56
C1170,47,56,58
C1171,44,54,56
C1172,37,54,57
C1173,84,93,95
C1174,78,81,82
C1175,43,52,54
C1176,,,
C1177,83,85,85
C1178,15,34,43
C1179,41,56,63
C1180,50,58,63
C1181,61,64,64
C1182,11,20,23
C1183,36,41,41
C1184,23,34,36
C1185,14,27,30
C1186,29,42,43
C1187,52,62,64
C1188,62,67,69
C1189,29,42,44
C1190,59,79,83
C1191,39,43,43
C1192,52,63,64
C1193,32,40,42
C1194,55,61,62
C1195,52,55,56
C1196,16,34,41
C1197,80,84,84
C1198,32,48,52
C1199,19,33,36
C1200,14,23,26
C1201,27,41,45
C1202,41,53,55
C1203,60,68,68
C1204,21,38,42
C1205,10,22,27
C1206,54,70,73
C1207,27,42,46
C1208,14,29,36
C1209,24,37,40
C1210,20,33,33
C1211,35,52,56
C1212,78,82,82
C1213,48,65,66
C1214,11,27,31
C1215,20,43,49
C1216,31,38,38
C1217,45,50,52
C1218,24,48,53
C1219,33,40,40
C1220,27,52,57
C1221,35,47,47
C1222,30,51,54
C1223,44,67,67
C1224,15,30,36
C1225,56,67,68
C1226,11,25,30
C1227,54,61,62
C1228,37,49,50
C1229,31,53,57
C1230,20,36,37
C1231,44,60,64
C1232,17,34,41
C1233,41,49,52
C1234,16,34,38
C1235,38,50,52
C1236,45,51,52
C1237,20,27,31
C1238,6,13,17
C1239,35,49,53
C1240,14,42,48
C1241,40,43,43
C1242,47,56,56
C1243,13,34,43
C1244,16,38,46
C1245,52,52,52
C1246,74,78,78
C1247,76,78,78
C1248,19,32,54
C1249,32,41,44
C1250,15,32,37
C1251,37,62,68
C1252,21,40,46
C1253,8,23,29
C1254,22,44,51
C1255,36,45,47
C1256,18,30,34
C1257,51,63,64
C1258,87,92,93
C1259,37,54,57
C1260,14,25,30
C1261,67,72,72
C1262,57,73,75
C1263,18,30,34
C1264,24,36,40
C1265,43,53,55
C1266,56,64,66
C1267,24,32,33
C1268,,,
C1269,24,40,45
C1270,34,50,51
C1271,24,40,44
C1272,,,
C1273,3,9,14
C1274,,,
C1275,16,38,48
C1276,30,42,42
C1277,10,23,26
C1278,19,36,40
C1279,5,6,9
C1280,13,27,34
C1281,21,37,43
C1282,34,49,52
C1283,30,39,41
C1284,28,43,47
C1285,25,36,38
C1286,17,37,44
C1287,25,44,50
C1288,19,31,34
C1289,16,31,39
C1290,9,20,26
C1291,1,5,5
C1292,11,29,37
C1293,79,90,91
C1294,51,67,70
C1295,27,46,51
C1296,28,46,51
C1297,35,40,41
C1298,33,53,55
C1299,67,77,79
C1300,14,28,33
C1301,65,70,70
C1302,23,39,43
C1303,30,51,57
C1304,22,37,38
C1305,,,
C1306,14,22,27
C1307,22,38,43
C1308,18,30,34
C1309,,,
C1310,49,75,79
C1311,17,33,40
C1312,51,75,79
C1313,46,59,63
C1314,12,30,39
C1315,27,39,44
C1316,59,75,76
C1317,4,10,15
C1318,31,48,52
C1319,13,22,27
C1320,10,23,30
C1321,6,13,16
C1322,33,54,59
C1323,15,36,41
C1324,22,36,41
C1325,72,81,82
C1326,21,31,33
C1327,25,37,40
C1328,7,20,22
C1329,31,55,78
C1330,28,35,45
C1331,8,11,18
C1332,22,35,41
C1333,100,100,100
C1334,34,35,35
C1335,25,39,51
C1336,7,15,22
C1337,24,49,60
C1338,14,30,43
C1339,43,55,57
C1340,58,67,67
C1341,0,20,20
C1342,34,49,51
C1343,50,55,57
C1344,29,29,29
C1345,31,39,41
C1346,17,34,37
C1347,18,31,34
C1348,50,56,58
C1349,87,93,94
C1350,51,56,57
C1351,69,74,75
C1352,,,
C1353,13,19,19
C1354,28,28,28
C1355,28,31,31
C1356,29,36,38
C1357,65,75,76
C1358,18,27,33
C1359,38,44,45
C1360,52,59,60
C1361,83,89,90
C1362,21,42,51
C1363,50,64,66
C1364,33,47,48
C1365,50,61,63
C1366,20,32,32
C1367,43,61,67
C1368,60,62,62
C1369,50,64,68
C1370,56,59,60
C1371,65,80,81
C1372,27,43,50
C1373,42,62,63
C1374,46,54,56
C1375,39,39,39
C1376,66,73,74
C1377,44,56,58
C1378,21,33,37
C1379,23,45,51
C1380,41,56,59
C1381,57,62,62
C1382,46,51,52
C1383,82,85,85
C1384,58,63,64
C1385,34,42,45
C1386,28,33,33
C1387,54,57,57
C1388,24,38,42
C1389,32,44,46
C1390,61,80,83
C1391,30,51,57
C1392,86,92,93
C1393,59,74,76
C1394,25,42,46
C1395,22,34,35
C1396,37,44,44
C1397,86,89,90
C1398,43,50,51
C1399,0,0,0
C1400,19,38,45
C1401,43,53,57
C1402,71,81,82
C1403,3,7,15
