ID,Degree of urbanization,Geographic region,Historically Black College or University?,Religious affiliation,Tribal college?
C0063,City: Large,Far West,No,N/A,No
C0064,City: Large,Far West,No,Southern Baptist,No
C0065,City: Midsize,Far West,No,N/A,No
C0066,City: Midsize,Far West,No,Evangelical Lutheran Church,No
C0067,Suburb: Small,Far West,No,N/A,No
C0068,City: Large,Far West,No,N/A,No
C0069,City: Large,Far West,No,N/A,No
C0070,Suburb: Small,Far West,No,N/A,No
C0071,City: Midsize,Far West,No,N/A,No
C0072,Suburb: Large,Far West,No,N/A,No
C0073,City: Small,Far West,No,N/A,No
C0074,City: Small,Far West,No,N/A,No
C0075,City: Large,Far West,No,N/A,No
C0076,Suburb: Large,Far West,No,N/A,No
C0077,City: Midsize,Far West,No,N/A,No
C0078,City: Large,Far West,No,N/A,No
C0079,City: Large,Far West,No,N/A,No
C0080,City: Large,Far West,No,N/A,No
C0081,City: Large,Far West,No,N/A,No
C0082,City: Midsize,Far West,No,N/A,No
C0083,Suburb: Small,Far West,No,N/A,No
C0084,City: Midsize,Far West,No,N/A,No
C0085,City: Large,Far West,No,N/A,No
C0086,City: Large,Far West,No,N/A,No
C0087,City: Large,Far West,No,N/A,No
C0088,Suburb: Midsize,Far West,No,N/A,No
C0089,City: Small,Far West,No,N/A,No
C0090,City: Midsize,Far West,No,N/A,No
C0091,City: Midsize,Far West,No,Christian Church (Disciples of Christ),No
C0092,City: Midsize,Far West,No,Lutheran Church - Missouri Synod,No
C0093,Suburb: Large,Far West,No,Undenominational,No
C0094,Suburb: Large,Far West,No,N/A,No
C0095,Suburb: Large,Far West,No,N/A,No
C0096,City: Large,Far West,No,N/A,No
C0097,City: Small,Far West,No,N/A,No
C0098,City: Small,Far West,No,N/A,No
C0099,City: Large,Far West,No,Mennonite Brethren Church,No
C0100,City: Large,Far West,No,N/A,No
C0101,Suburb: Large,Far West,No,N/A,No
C0102,City: Large,Far West,No,Roman Catholic,No
C0103,Town: Remote,Far West,No,N/A,No
C0104,City: Large,Far West,No,N/A,No
C0105,Suburb: Large,Far West,No,N/A,No
C0106,City: Large,Far West,No,Jewish,No
C0107,Suburb: Large,Far West,No,N/A,No
C0108,City: Large,Far West,No,N/A,No
C0109,City: Large,Far West,No,Seventh Day Adventists,No
C0110,Suburb: Large,Far West,No,Interdenominational,No
C0111,City: Large,Far West,No,Roman Catholic,No
C0112,Suburb: Large,Far West,No,N/A,No
C0113,City: Large,Far West,No,N/A,No
C0114,Suburb: Midsize,Far West,No,N/A,No
C0115,City: Large,Far West,No,Roman Catholic,No
C0116,City: Large,Far West,No,N/A,No
C0117,Suburb: Large,Far West,No,Roman Catholic,No
C0118,City: Large,Far West,No,N/A,No
C0119,Suburb: Large,Far West,No,Christian Churches and Churches of Christ,No
C0120,Rural: Fringe,Far West,No,Seventh Day Adventists,No
C0121,City: Large,Far West,No,N/A,No
C0122,Suburb: Large,Far West,No,Churches of Christ,No
C0123,Suburb: Large,Far West,No,N/A,No
C0124,City: Large,Far West,No,Church of the Nazarene,No
C0125,Suburb: Large,Far West,No,N/A,No
C0126,City: Small,Far West,No,N/A,No
C0127,City: Large,Far West,No,N/A,No
C0128,City: Large,Far West,No,Roman Catholic,No
C0129,City: Large,Far West,No,N/A,No
C0130,City: Large,Far West,No,Roman Catholic,No
C0131,City: Large,Far West,No,N/A,No
C0132,City: Midsize,Far West,No,Roman Catholic,No
C0133,Suburb: Large,Far West,No,N/A,No
C0134,City: Small,Far West,No,Christ and Missionary Alliance Church,No
C0135,Rural: Fringe,Far West,No,Roman Catholic,No
C0136,Suburb: Large,Far West,No,N/A,No
C0137,City: Midsize,Far West,No,Assemblies of God Church,No
C0138,City: Large,Far West,No,N/A,No
C0139,Rural: Distant,Far West,No,Roman Catholic,No
C0140,Suburb: Midsize,Far West,No,N/A,No
C0141,Suburb: Large,Far West,No,N/A,No
C0142,City: Large,Far West,No,N/A,No
C0143,Town: Remote,Rocky Mountains,No,N/A,No
C0144,City: Large,Rocky Mountains,No,N/A,No
C0145,City: Large,Rocky Mountains,No,N/A,No
C0146,City: Small,Rocky Mountains,No,N/A,No
C0147,City: Midsize,Rocky Mountains,No,Undenominational,No
C0148,City: Large,Rocky Mountains,No,N/A,No
C0149,Suburb: Large,Rocky Mountains,No,N/A,No
C0150,City: Midsize,Rocky Mountains,No,N/A,No
C0151,City: Large,Rocky Mountains,No,N/A,No
C0152,City: Large,Rocky Mountains,No,N/A,No
C0153,Town: Remote,Rocky Mountains,No,N/A,No
C0154,City: Small,Rocky Mountains,No,N/A,No
C0155,City: Large,Rocky Mountains,No,N/A,No
C0156,City: Small,Rocky Mountains,No,N/A,No
C0157,City: Small,Rocky Mountains,No,N/A,No
C0158,City: Large,Rocky Mountains,No,Roman Catholic,No
C0159,City: Midsize,Rocky Mountains,No,N/A,No
C0160,Town: Remote,Rocky Mountains,No,N/A,No
C0161,City: Midsize,New England,No,Roman Catholic,No
C0162,City: Midsize,New England,No,N/A,No
C0163,Suburb: Large,New England,No,N/A,No
C0164,Suburb: Large,New England,No,N/A,No
C0165,City: Small,New England,No,N/A,No
C0166,Suburb: Large,New England,No,N/A,No
C0167,Town: Fringe,New England,No,N/A,No
C0168,Suburb: Large,New England,No,Roman Catholic,No
C0169,City: Midsize,New England,No,N/A,No
C0170,City: Midsize,New England,No,N/A,No
C0171,City: Small,New England,No,N/A,No
C0172,Suburb: Large,New England,No,N/A,No
C0173,Suburb: Large,New England,No,N/A,No
C0174,Suburb: Large,New England,No,Roman Catholic,No
C0175,City: Small,New England,No,Roman Catholic,No
C0176,City: Midsize,New England,No,N/A,No
C0177,City: Midsize,New England,No,N/A,No
C0178,City: Small,New England,No,N/A,No
C0179,City: Small,New England,No,N/A,No
C0180,City: Midsize,New England,No,N/A,No
C0181,City: Small,Mid East,Yes,N/A,No
C0182,Suburb: Large,Mid East,No,N/A,No
C0183,City: Small,Mid East,No,United Methodist,No
C0184,Suburb: Large,Mid East,No,N/A,No
C0185,City: Large,Mid East,No,United Methodist,No
C0186,City: Large,Mid East,No,Roman Catholic,No
C0187,City: Large,Mid East,Yes,N/A,No
C0188,City: Large,Mid East,No,N/A,No
C0189,City: Large,Mid East,No,N/A,No
C0190,City: Large,Mid East,No,Roman Catholic,No
C0191,City: Large,Mid East,Yes,N/A,No
C0192,City: Large,Mid East,No,Roman Catholic,No
C0193,Suburb: Large,Southeast,No,Roman Catholic,No
C0194,City: Small,Southeast,Yes,United Methodist,No
C0195,City: Small,Southeast,No,N/A,No
C0196,Suburb: Large,Southeast,No,N/A,No
C0197,Suburb: Large,Southeast,No,N/A,No
C0198,City: Midsize,Southeast,No,Undenominational,No
C0199,City: Midsize,Southeast,No,Presbyterian Church (USA),No
C0200,City: Large,Southeast,Yes,African Methodist Episcopal,No
C0201,City: Small,Southeast,No,N/A,No
C0202,City: Midsize,Southeast,Yes,N/A,No
C0203,City: Small,Southeast,No,N/A,No
C0204,Suburb: Small,Southeast,No,N/A,No
C0205,Suburb: Large,Southeast,No,N/A,No
C0206,City: Small,Southeast,No,N/A,No
C0207,Suburb: Large,Southeast,No,N/A,No
C0208,Suburb: Large,Southeast,Yes,Baptist,No
C0209,City: Small,Southeast,No,United Methodist,No
C0210,City: Midsize,Southeast,No,N/A,No
C0211,City: Midsize,Southeast,No,N/A,No
C0212,City: Large,Southeast,No,N/A,No
C0213,City: Large,Southeast,No,N/A,No
C0214,City: Midsize,Southeast,No,N/A,No
C0215,Suburb: Large,Southeast,No,Evangelical Free Church of America,No
C0216,Suburb: Large,Southeast,No,N/A,No
C0217,Suburb: Large,Southeast,No,N/A,No
C0218,City: Large,Southeast,No,N/A,No
C0219,Suburb: Large,Southeast,No,N/A,No
C0220,City: Midsize,Southeast,No,Interdenominational,No
C0221,Suburb: Large,Southeast,No,N/A,No
C0222,Suburb: Small,Southeast,No,Roman Catholic,No
C0223,City: Small,Southeast,No,N/A,No
C0224,City: Large,Southeast,No,N/A,No
C0225,Suburb: Large,Southeast,No,Roman Catholic,No
C0226,Suburb: Midsize,Southeast,No,N/A,No
C0227,City: Small,Southeast,No,Assemblies of God Church,No
C0228,City: Large,Southeast,No,N/A,No
C0229,Rural: Fringe,Southeast,No,Church of God,No
C0230,Town: Fringe,Southeast,No,N/A,No
C0231,City: Small,Southeast,No,N/A,No
C0232,Suburb: Large,Southeast,No,Presbyterian Church (USA),No
C0233,City: Small,Southeast,Yes,N/A,No
C0234,City: Midsize,Southeast,No,N/A,No
C0235,Town: Distant,Southeast,No,Christian Churches and Churches of Christ,No
C0236,City: Large,Southeast,Yes,United Methodist,No
C0237,Suburb: Small,Southeast,No,N/A,No
C0238,City: Small,Southeast,No,N/A,No
C0239,Rural: Distant,Southeast,No,Baptist,No
C0240,Suburb: Large,Southeast,No,N/A,No
C0241,City: Midsize,Southeast,No,N/A,No
C0242,Suburb: Large,Southeast,No,The Presbyterian Church in America,No
C0243,City: Small,Southeast,No,N/A,No
C0244,Town: Distant,Southeast,No,Pentecostal Holiness Church,No
C0245,Suburb: Large,Southeast,No,United Methodist,No
C0246,Town: Fringe,Southeast,Yes,N/A,No
C0247,City: Large,Southeast,No,N/A,No
C0248,Town: Distant,Southeast,No,N/A,No
C0249,Town: Distant,Southeast,No,N/A,No
C0250,Town: Remote,Southeast,No,N/A,No
C0251,City: Large,Southeast,No,N/A,No
C0252,City: Midsize,Southeast,No,N/A,No
C0253,Suburb: Large,Southeast,No,N/A,No
C0254,Town: Distant,Southeast,No,United Methodist,No
C0255,City: Small,Southeast,No,N/A,No
C0256,City: Small,Southeast,No,N/A,No
C0257,City: Large,Southeast,Yes,N/A,No
C0258,Town: Fringe,Southeast,No,,No
C0259,Suburb: Large,Southeast,No,N/A,No
C0260,City: Midsize,Southeast,Yes,United Methodist,No
C0261,Town: Distant,Southeast,No,United Church of Christ,No
C0262,Rural: Fringe,Southeast,No,United Methodist,No
C0263,City: Midsize,Southeast,Yes,N/A,No
C0264,City: Small,Southeast,No,Baptist,No
C0265,City: Large,Southeast,Yes,N/A,No
C0266,City: Small,Southeast,No,N/A,No
C0267,Town: Distant,Southeast,No,N/A,No
C0268,Rural: Fringe,Southeast,No,Christ and Missionary Alliance Church,No
C0269,Rural: Fringe,Southeast,No,Southern Baptist,No
C0270,City: Small,Southeast,No,N/A,No
C0271,City: Small,Southeast,No,United Methodist,No
C0272,Town: Fringe,Southeast,No,N/A,No
C0273,City: Large,Far West,No,Roman Catholic,No
C0274,Town: Remote,Far West,No,N/A,No
C0275,City: Large,Far West,No,N/A,No
C0276,City: Large,Far West,No,N/A,No
C0277,Suburb: Large,Far West,No,N/A,No
C0278,City: Midsize,Rocky Mountains,No,N/A,No
C0279,City: Small,Rocky Mountains,No,N/A,No
C0280,Rural: Fringe,Rocky Mountains,No,N/A,No
C0281,Suburb: Midsize,Rocky Mountains,No,N/A,No
C0282,City: Small,Rocky Mountains,No,N/A,No
C0283,Suburb: Midsize,Rocky Mountains,No,Church of the Nazarene,No
C0284,Town: Distant,Rocky Mountains,No,Latter Day Saints (Mormon Church),No
C0285,City: Small,Great Lakes,No,Evangelical Lutheran Church,No
C0286,Suburb: Large,Great Lakes,No,N/A,No
C0287,Town: Distant,Great Lakes,No,Presbyterian Church (USA),No
C0288,City: Midsize,Great Lakes,No,N/A,No
C0289,City: Large,Great Lakes,No,N/A,No
C0290,City: Large,Great Lakes,No,N/A,No
C0291,City: Large,Great Lakes,No,N/A,No
C0292,Suburb: Large,Great Lakes,No,Lutheran Church - Missouri Synod,No
C0293,City: Large,Great Lakes,No,Roman Catholic,No
C0294,City: Large,Great Lakes,No,N/A,No
C0295,Town: Remote,Great Lakes,No,N/A,No
C0296,Suburb: Large,Great Lakes,No,United Church of Christ,No
C0297,Town: Fringe,Great Lakes,No,Christian Church (Disciples of Christ),No
C0298,Rural: Fringe,Great Lakes,No,N/A,No
C0299,Town: Distant,Great Lakes,No,Free Methodist,No
C0300,City: Large,Great Lakes,No,N/A,No
C0301,Suburb: Large,Great Lakes,No,Roman Catholic,No
C0302,City: Small,Great Lakes,No,N/A,No
C0303,City: Small,Great Lakes,No,N/A,No
C0304,Town: Distant,Great Lakes,No,Presbyterian Church (USA),No
C0305,City: Large,Great Lakes,No,N/A,No
C0306,Suburb: Midsize,Great Lakes,No,N/A,No
C0307,City: Midsize,Great Lakes,No,Baptist,No
C0308,Town: Remote,Great Lakes,No,N/A,No
C0309,Suburb: Large,Great Lakes,No,N/A,No
C0310,Suburb: Large,Great Lakes,No,Roman Catholic,No
C0311,Town: Distant,Great Lakes,No,N/A,No
C0312,City: Large,Great Lakes,No,Roman Catholic,No
C0313,Town: Distant,Great Lakes,No,United Methodist,No
C0314,Suburb: Large,Great Lakes,No,United Methodist,No
C0315,City: Small,Great Lakes,No,Presbyterian Church (USA),No
C0316,Town: Remote,Great Lakes,No,Presbyterian Church (USA),No
C0317,City: Large,Great Lakes,No,N/A,No
C0318,City: Midsize,Great Lakes,No,United Methodist,No
C0319,City: Large,Great Lakes,No,Evangelical Covenant Church of America,No
C0320,Suburb: Small,Great Lakes,No,N/A,No
C0321,City: Small,Great Lakes,No,N/A,No
C0322,City: Large,Great Lakes,No,N/A,No
C0323,Suburb: Small,Great Lakes,No,Church of the Nazarene,No
C0324,Town: Remote,Great Lakes,No,Roman Catholic,No
C0325,City: Large,Great Lakes,No,N/A,No
C0326,City: Midsize,Great Lakes,No,N/A,No
C0327,City: Large,Great Lakes,No,N/A,No
C0328,Suburb: Large,Great Lakes,No,Roman Catholic,No
C0329,Suburb: Large,Great Lakes,No,Roman Catholic,No
C0330,City: Large,Great Lakes,No,Roman Catholic,No
C0331,City: Midsize,Great Lakes,No,N/A,No
C0332,City: Large,Great Lakes,No,N/A,No
C0333,City: Small,Great Lakes,No,N/A,No
C0334,Suburb: Large,Great Lakes,No,N/A,No
C0335,Suburb: Large,Great Lakes,No,Interdenominational,No
C0336,Suburb: Large,Great Lakes,No,Evangelical Free Church of America,No
C0337,Town: Remote,Great Lakes,No,N/A,No
C0338,Suburb: Large,Great Lakes,No,Undenominational,No
C0339,City: Small,Great Lakes,No,Church of God,No
C0340,City: Small,Great Lakes,No,N/A,No
C0341,City: Small,Great Lakes,No,Missionary Church Inc,No
C0342,City: Large,Great Lakes,No,N/A,No
C0343,Suburb: Large,Great Lakes,No,Roman Catholic,No
C0344,Town: Distant,Great Lakes,No,United Methodist,No
C0345,Town: Distant,Great Lakes,No,Friends,No
C0346,City: Midsize,Great Lakes,No,United Methodist,No
C0347,Suburb: Large,Great Lakes,No,American Baptist,No
C0348,City: Small,Great Lakes,No,Mennonite Church,No
C0349,Town: Distant,Great Lakes,No,Brethren Church,No
C0350,Town: Distant,Great Lakes,No,Presbyterian Church (USA),No
C0351,Suburb: Large,Great Lakes,No,Roman Catholic,No
C0352,Town: Distant,Great Lakes,No,United Brethren Church,No
C0353,City: Large,Great Lakes,No,N/A,No
C0354,City: Large,Great Lakes,No,N/A,No
C0355,City: Large,Great Lakes,No,United Methodist,No
C0356,Suburb: Midsize,Great Lakes,No,N/A,No
C0357,City: Small,Great Lakes,No,N/A,No
C0358,City: Small,Great Lakes,No,N/A,No
C0359,City: Midsize,Great Lakes,No,N/A,No
C0360,City: Small,Great Lakes,No,N/A,No
C0361,City: Small,Great Lakes,No,N/A,No
C0362,Suburb: Large,Great Lakes,No,N/A,No
C0363,Rural: Fringe,Great Lakes,No,N/A,No
C0364,Town: Distant,Great Lakes,No,Church of Brethren,No
C0365,City: Large,Great Lakes,No,Roman Catholic,No
C0366,Town: Distant,Great Lakes,No,Wesleyan,No
C0367,City: Large,Great Lakes,No,N/A,No
C0368,Suburb: Large,Great Lakes,No,Roman Catholic,No
C0369,Town: Distant,Great Lakes,No,Baptist,No
C0370,Suburb: Large,Great Lakes,No,N/A,No
C0371,Rural: Fringe,Great Lakes,No,N/A,No
C0372,City: Large,Great Lakes,No,Roman Catholic,No
C0373,Town: Distant,Great Lakes,No,Roman Catholic,No
C0374,Rural: Fringe,Great Lakes,No,Roman Catholic,No
C0375,Suburb: Large,Great Lakes,No,Roman Catholic,No
C0376,Town: Distant,Great Lakes,No,Interdenominational,No
C0377,Town: Distant,Great Lakes,No,N/A,No
C0378,Suburb: Large,Great Lakes,No,Lutheran Church in America,No
C0379,Town: Distant,Great Lakes,No,N/A,No
C0380,City: Small,Plains,No,Roman Catholic,No
C0381,Town: Remote,Plains,No,Presbyterian Church (USA),No
C0382,Town: Distant,Plains,No,Reformed Church in America,No
C0383,City: Small,Plains,No,Roman Catholic,No
C0384,City: Midsize,Plains,No,Presbyterian Church (USA),No
C0385,Town: Fringe,Plains,No,United Methodist,No
C0386,Town: Remote,Plains,No,Christian Reformed Church,No
C0387,City: Midsize,Plains,No,N/A,No
C0388,City: Small,Plains,No,Presbyterian Church (USA),No
C0389,Rural: Remote,Plains,No,Other (none of the above),No
C0390,City: Midsize,Plains,No,Evangelical Lutheran Church,No
C0391,Town: Remote,Plains,No,N/A,No
C0392,City: Small,Plains,No,N/A,No
C0393,Town: Remote,Plains,No,United Methodist,No
C0394,City: Small,Plains,No,N/A,No
C0395,City: Small,Plains,No,Roman Catholic,No
C0396,Town: Remote,Plains,No,Evangelical Lutheran Church,No
C0397,Town: Remote,Plains,No,N/A,No
C0398,City: Small,Plains,No,United Methodist,No
C0399,City: Midsize,Plains,No,Roman Catholic,No
C0400,City: Small,Plains,No,N/A,No
C0401,Town: Distant,Plains,No,Reformed Church in America,No
C0402,City: Midsize,Plains,No,Roman Catholic,No
C0403,Town: Fringe,Plains,No,United Methodist,No
C0404,Rural: Remote,Plains,No,N/A,No
C0405,Town: Distant,Plains,No,Evangelical Lutheran Church,No
C0406,Town: Remote,Plains,No,Friends,No
C0407,Town: Fringe,Plains,No,United Methodist,No
C0408,Town: Distant,Plains,No,Roman Catholic,No
C0409,Town: Remote,Plains,No,Evangelical Lutheran Church,No
C0410,Town: Distant,Plains,No,Other (none of the above),No
C0411,Town: Remote,Plains,No,Free Methodist,No
C0412,City: Midsize,Plains,No,Roman Catholic,No
C0413,Town: Remote,Plains,No,N/A,No
C0414,Town: Remote,Plains,No,N/A,No
C0415,City: Large,Plains,No,N/A,No
C0416,City: Small,Plains,No,N/A,No
C0417,City: Large,Plains,No,Roman Catholic,No
C0418,City: Small,Plains,No,N/A,No
C0419,Town: Remote,Plains,No,United Methodist,No
C0420,Town: Remote,Plains,No,Church of Brethren,No
C0421,Suburb: Large,Plains,No,Church of the Nazarene,No
C0422,Town: Distant,Plains,No,American Baptist,No
C0423,City: Midsize,Plains,No,American Baptist,No
C0424,Town: Distant,Plains,No,N/A,No
C0425,Town: Fringe,Plains,No,Roman Catholic,No
C0426,Town: Distant,Plains,No,United Methodist,No
C0427,Rural: Distant,Plains,No,N/A,No
C0428,Town: Remote,Plains,No,Mennonite Brethren Church,No
C0429,City: Midsize,Plains,No,N/A,No
C0430,City: Large,Plains,No,N/A,No
C0431,Rural: Remote,Southeast,No,N/A,No
C0432,Town: Fringe,Southeast,No,N/A,No
C0433,City: Large,Southeast,No,Roman Catholic,No
C0434,Town: Distant,Southeast,No,N/A,No
C0435,City: Small,Southeast,No,Roman Catholic,No
C0436,Town: Remote,Southeast,No,Southern Baptist,No
C0437,Town: Distant,Southeast,No,Presbyterian Church (USA),No
C0438,Town: Remote,Southeast,No,Baptist,No
C0439,Town: Distant,Southeast,No,N/A,No
C0440,Town: Fringe,Southeast,No,Baptist,No
C0441,Town: Distant,Southeast,Yes,N/A,No
C0442,City: Small,Southeast,No,United Methodist,No
C0443,City: Large,Southeast,No,N/A,No
C0444,Town: Distant,Southeast,No,Christian Churches and Churches of Christ,No
C0445,Town: Remote,Southeast,No,United Methodist,No
C0446,City: Large,Southeast,No,N/A,No
C0447,Rural: Fringe,Southeast,No,Baptist,No
C0448,Rural: Distant,Southeast,No,Christian Church (Disciples of Christ),No
C0449,Town: Remote,Southeast,No,N/A,No
C0450,Town: Remote,Southeast,No,N/A,No
C0451,Suburb: Large,Southeast,No,N/A,No
C0452,Town: Remote,Southeast,No,Presbyterian Church (USA),No
C0453,Rural: Distant,Southeast,No,Roman Catholic,No
C0454,City: Large,Southeast,No,Roman Catholic,No
C0455,Suburb: Large,Southeast,No,Roman Catholic,No
C0456,City: Large,Southeast,No,Christian Church (Disciples of Christ),No
C0457,Town: Remote,Southeast,No,United Methodist,No
C0458,City: Small,Southeast,No,N/A,No
C0459,City: Midsize,Southeast,No,United Methodist,No
C0460,City: Large,Southeast,Yes,United Methodist,No
C0461,Town: Distant,Southeast,Yes,N/A,No
C0462,Rural: Fringe,Southeast,No,N/A,No
C0463,Rural: Fringe,Southeast,No,N/A,No
C0464,City: Midsize,Southeast,No,N/A,No
C0465,Suburb: Small,Southeast,No,Southern Baptist,No
C0466,Town: Distant,Southeast,No,N/A,No
C0467,City: Large,Southeast,No,Roman Catholic,No
C0468,City: Small,Southeast,No,N/A,No
C0469,City: Large,Southeast,No,N/A,No
C0470,City: Small,Southeast,No,N/A,No
C0471,City: Small,Southeast,No,N/A,No
C0472,Town: Remote,Southeast,No,N/A,No
C0473,City: Large,Southeast,No,Roman Catholic,No
C0474,City: Small,Southeast,No,N/A,No
C0475,City: Midsize,Southeast,Yes,N/A,No
C0476,City: Large,Southeast,Yes,N/A,No
C0477,City: Midsize,Southeast,No,N/A,No
C0478,City: Large,Southeast,No,N/A,No
C0479,City: Large,Southeast,Yes,Roman Catholic,No
C0480,Town: Remote,New England,No,N/A,No
C0481,City: Small,New England,No,N/A,No
C0482,Town: Fringe,New England,No,N/A,No
C0483,Town: Remote,New England,No,N/A,No
C0484,City: Small,New England,No,N/A,No
C0485,Town: Distant,New England,No,N/A,No
C0486,Town: Remote,New England,No,N/A,No
C0487,Rural: Remote,New England,No,N/A,No
C0488,Rural: Remote,New England,No,N/A,No
C0489,Suburb: Small,New England,No,N/A,No
C0490,Rural: Distant,New England,No,N/A,No
C0491,Rural: Fringe,New England,No,N/A,No
C0492,Suburb: Midsize,New England,No,N/A,No
C0493,Rural: Fringe,New England,No,Roman Catholic,No
C0494,City: Small,New England,No,N/A,No
C0495,Rural: Fringe,New England,No,N/A,No
C0496,Rural: Remote,New England,No,N/A,No
C0497,City: Large,Mid East,No,N/A,No
C0498,Suburb: Large,Mid East,Yes,N/A,No
C0499,Suburb: Large,Mid East,No,Seventh Day Adventists,No
C0500,City: Large,Mid East,Yes,N/A,No
C0501,Suburb: Small,Mid East,No,N/A,No
C0502,City: Small,Mid East,No,N/A,No
C0503,City: Small,Mid East,No,N/A,No
C0504,City: Large,Mid East,No,N/A,No
C0505,City: Large,Mid East,No,Roman Catholic,No
C0506,Suburb: Large,Mid East,No,N/A,No
C0507,Suburb: Large,Mid East,No,N/A,No
C0508,Suburb: Large,Mid East,No,N/A,No
C0509,Town: Fringe,Mid East,Yes,N/A,No
C0510,City: Large,Mid East,Yes,N/A,No
C0511,Town: Fringe,Mid East,No,Roman Catholic,No
C0512,City: Large,Mid East,No,Roman Catholic,No
C0513,Suburb: Small,Mid East,No,N/A,No
C0514,Suburb: Small,Mid East,No,N/A,No
C0515,City: Large,Mid East,No,N/A,No
C0516,Suburb: Large,Mid East,No,N/A,No
C0517,City: Small,Mid East,No,N/A,No
C0518,Suburb: Large,Mid East,No,N/A,No
C0519,Rural: Fringe,Mid East,No,N/A,No
C0520,Town: Distant,Mid East,No,N/A,No
C0521,Suburb: Small,Mid East,No,N/A,No
C0522,City: Midsize,New England,No,N/A,No
C0523,Suburb: Large,New England,No,N/A,No
C0524,Rural: Fringe,New England,No,Roman Catholic,No
C0525,City: Midsize,New England,No,Roman Catholic,No
C0526,Suburb: Large,New England,No,N/A,No
C0527,City: Midsize,New England,No,N/A,No
C0528,City: Small,New England,No,N/A,No
C0529,City: Small,New England,No,Roman Catholic,No
C0530,City: Large,New England,No,N/A,No
C0531,City: Small,New England,No,N/A,No
C0532,Suburb: Large,New England,No,N/A,No
C0533,City: Midsize,New England,No,N/A,No
C0534,City: Midsize,New England,No,N/A,No
C0535,Suburb: Large,New England,No,N/A,No
C0536,Suburb: Large,New England,No,Church of the Nazarene,No
C0537,City: Large,New England,No,N/A,No
C0538,City: Large,New England,No,Roman Catholic,No
C0539,Suburb: Large,New England,No,N/A,No
C0540,City: Large,New England,No,N/A,No
C0541,Suburb: Midsize,New England,No,N/A,No
C0542,City: Small,New England,No,N/A,No
C0543,Suburb: Large,New England,No,Interdenominational,No
C0544,Suburb: Large,New England,No,N/A,No
