ID,Control,Highest degree offered,ACT Composite score (75th percentile),Tuition and fees 2013-14 ($),Admission rate (%)
C0099,Private,Master's degree,22,25716,78
C0100,Private,Doctoral degree,,14400,
C0101,Private,Bachelor's degree,35,46509,18
C0102,Private,Master's degree,21,33020,57
C0103,Public,Master's degree,24,7144,80
C0104,Private,Doctoral degree,,11277,
C0105,Private,Doctoral degree,,,
C0106,Private,Master's degree,,27900,59
C0107,Private,Doctoral degree,25,35000,39
C0108,Private,Doctoral degree,,10105,
C0109,Private,Doctoral degree,22,29103,47
C0110,Private,Doctoral degree,27,28800,61
C0111,Private,Doctoral degree,29,40265,54
C0112,Private,Bachelor's degree,25,37100,37
C0113,Private,Doctoral degree,28,41494,68
C0114,Private,Master's degree,,,
C0115,Private,Doctoral degree,22,33852,74
C0116,Private,Doctoral degree,,12096,
C0117,Private,Master's degree,22,31126,87
C0118,Private,Master's degree,31,46652,42
C0119,Private,Master's degree,22,26050,47
C0120,Private,Master's degree,25,27480,51
C0121,Private,Doctoral degree,29,39810,73
C0122,Private,Doctoral degree,,44902,37
C0123,Private,Bachelor's degree,,45018,15
C0124,Private,Master's degree,28,30356,67
C0125,Private,Bachelor's degree,34,43580,14
C0126,Private,Doctoral degree,27,41290,67
C0127,Public,Doctoral degree,26,6766,31
C0128,Private,Doctoral degree,30,41392,49
C0129,Public,Doctoral degree,24,6450,64
C0130,Private,Doctoral degree,27,40294,61
C0131,Public,Master's degree,25,7343,63
C0132,Private,Doctoral degree,31,42156,51
C0133,Private,Bachelor's degree,32,45564,36
C0134,Private,Master's degree,23,23300,55
C0135,Private,Doctoral degree,27,39890,69
C0136,Public,Master's degree,24,7234,82
C0137,Private,Master's degree,28,29250,70
C0138,Private,Doctoral degree,33,46298,20
C0139,Private,Bachelor's degree,31,24500,79
C0140,Private,Bachelor's degree,29,38510,70
C0141,Private,Doctoral degree,25,40296,63
C0142,Private,Master's degree,25,33150,56
C0143,Public,Master's degree,22,7449,53
C0144,Public,Doctoral degree,26,7933,76
C0145,Public,Doctoral degree,25,7024,91
C0146,Public,Doctoral degree,29,10347,88
C0147,Private,Master's degree,,25046,98
C0148,Private,Master's degree,32,44222,22
C0149,Public,Doctoral degree,31,16485,37
C0150,Public,Doctoral degree,27,9313,77
C0151,Private,Bachelor's degree,,17211,
C0152,Private,Doctoral degree,30,40707,77
C0153,Public,Master's degree,25,6923,88
C0154,Public,Doctoral degree,23,6725,82
C0155,Public,Master's degree,23,5744,71
C0156,Private,Master's degree,,28790,80
C0157,Public,Doctoral degree,24,6968,70
C0158,Private,Doctoral degree,26,32424,70
C0159,Public,Master's degree,23,7327,94
C0160,Public,Master's degree,24,7343,93
C0161,Private,Master's degree,,28378,68
C0162,Private,Doctoral degree,22,29090,64
C0163,Public,Doctoral degree,25,8706,64
C0164,Public,Bachelor's degree,,,
C0165,Private,Master's degree,,46085,36
C0166,Public,Doctoral degree,30,12022,54
C0167,Public,Master's degree,24,9376,65
C0168,Private,Doctoral degree,,42920,71
C0169,Private,Master's degree,,,
C0170,Private,Doctoral degree,26,33358,62
C0171,Private,Bachelor's degree,,29458,58
C0172,Private,Doctoral degree,25,33740,74
C0173,Private,Doctoral degree,27,39330,67
C0174,Private,Doctoral degree,,35050,76
C0175,Private,Doctoral degree,22,33417,86
C0176,Public,Doctoral degree,22,9020,75
C0177,Private,Master's degree,29,47510,32
C0178,Private,Doctoral degree,33,47244,21
C0179,Public,Doctoral degree,,8893,65
C0180,Private,Doctoral degree,35,44000,7
C0181,Public,Doctoral degree,19,7336,42
C0182,Public,Doctoral degree,29,12112,65
C0183,Private,Master's degree,23,23590,62
C0184,Private,Doctoral degree,,9950,
C0185,Private,Doctoral degree,30,40649,43
C0186,Private,Doctoral degree,27,38526,60
C0187,Public,Master's degree,,5138,
C0188,Private,Doctoral degree,20,13800,66
C0189,Private,Doctoral degree,31,47343,33
C0190,Private,Doctoral degree,33,44805,17
C0191,Private,Doctoral degree,26,22683,49
C0192,Private,Master's degree,,21630,52
C0193,Private,Doctoral degree,21,28160,47
C0194,Private,Master's degree,18,14410,67
C0195,Private,Doctoral degree,22,33600,78
C0196,Private,Doctoral degree,,12048,36
C0197,Public,Doctoral degree,28,6317,49
C0198,Private,Master's degree,25,17125,70
C0199,Private,Bachelor's degree,28,37362,71
C0200,Private,Bachelor's degree,18,11525,27
C0201,Private,Doctoral degree,27,31334,74
C0202,Public,Doctoral degree,22,5785,45
C0203,Public,Doctoral degree,24,4790,48
C0204,Private,Bachelor's degree,25,16180,50
C0205,Private,Bachelor's degree,26,14490,59
C0206,Private,Doctoral degree,28,36020,60
C0207,Public,Doctoral degree,27,6496,43
C0208,Private,Master's degree,,14776,42
C0209,Private,Master's degree,27,28580,50
C0210,Public,Doctoral degree,29,6507,57
C0211,Public,Doctoral degree,31,6263,47
C0212,Private,Doctoral degree,24,29900,47
C0213,Private,Bachelor's degree,,7410,
C0214,Private,Doctoral degree,,16284,93
C0215,Private,Master's degree,,,
C0216,Private,Doctoral degree,32,42852,40
C0217,Private,Bachelor's degree,,15995,81
C0218,Public,Doctoral degree,26,6353,53
C0219,Private,Doctoral degree,27,25430,57
C0220,Private,Doctoral degree,26,25532,84
C0221,Private,Doctoral degree,29,41460,59
C0222,Private,Doctoral degree,,19920,77
C0223,Public,Bachelor's degree,,3232,
C0224,Public,Doctoral degree,28,6410,45
C0225,Private,Doctoral degree,21,26370,46
C0226,Private,Doctoral degree,28,38330,59
C0227,Private,Master's degree,23,19986,59
C0228,Private,Master's degree,26,25772,52
C0229,Private,Master's degree,21,18430,34
C0230,Private,Master's degree,24,21050,64
C0231,Public,Doctoral degree,26,6357,48
C0232,Private,Bachelor's degree,,34788,67
C0233,Public,Master's degree,20,6024,20
C0234,Public,Doctoral degree,23,5085,70
C0235,Private,Bachelor's degree,22,17400,54
C0236,Private,Doctoral degree,21,21100,57
C0237,Private,Master's degree,29,29090,60
C0238,Private,Doctoral degree,21,23350,78
C0239,Private,Bachelor's degree,20,13560,51
C0240,Public,Master's degree,21,5153,48
C0241,Public,Doctoral degree,23,5514,55
C0242,Private,Master's degree,28,29100,57
C0243,Public,Bachelor's degree,,3910,
C0244,Private,Bachelor's degree,,16800,48
C0245,Private,Doctoral degree,32,44008,26
C0246,Public,Master's degree,,6438,33
C0247,Public,Doctoral degree,32,10650,55
C0248,Public,Master's degree,22,5035,68
C0249,Public,Doctoral degree,26,8790,68
C0250,Public,Doctoral degree,25,6071,52
C0251,Public,Doctoral degree,25,8368,55
C0252,Public,Doctoral degree,30,10262,56
C0253,Public,Doctoral degree,24,5818,57
C0254,Private,Master's degree,23,25690,58
C0255,Private,Doctoral degree,,7947,75
C0256,Private,Doctoral degree,28,33120,69
C0257,Private,Bachelor's degree,23,25468,67
C0258,Public,Doctoral degree,,,
C0259,Private,Master's degree,27,31280,56
C0260,Private,Bachelor's degree,18,13332,44
C0261,Private,Doctoral degree,24,20730,61
C0262,Private,Master's degree,25,18670,51
C0263,Public,Master's degree,19,5415,83
C0264,Private,Master's degree,23,19670,68
C0265,Private,Bachelor's degree,24,24634,38
C0266,Public,Master's degree,26,5732,78
C0267,Private,Master's degree,,14740,69
C0268,Private,Bachelor's degree,23,19000,49
C0269,Private,Bachelor's degree,22,16610,81
C0270,Public,Doctoral degree,24,5889,55
C0271,Private,Master's degree,22,19775,43
C0272,Public,Doctoral degree,22,5837,54
C0273,Private,Master's degree,23,20090,84
C0274,Public,Doctoral degree,23,6536,75
C0275,Public,Doctoral degree,27,9904,80
C0276,Private,Master's degree,25,20180,64
C0277,Public,Bachelor's degree,22,6336,76
C0278,Public,Doctoral degree,26,6292,78
C0279,Public,Doctoral degree,,6344,
C0280,Public,Doctoral degree,26,6524,66
C0281,Private,Master's degree,27,24055,91
C0282,Public,Bachelor's degree,22,5786,100
C0283,Private,Doctoral degree,28,26550,62
C0284,Private,Bachelor's degree,25,3850,100
C0285,Private,Bachelor's degree,,35835,59
C0286,Private,Doctoral degree,24,20720,76
C0287,Private,Bachelor's degree,25,18506,68
C0288,Private,Doctoral degree,28,29664,67
C0289,Public,Doctoral degree,20,9032,29
C0290,Private,Doctoral degree,35,47514,9
C0291,Private,Master's degree,,22792,91
C0292,Private,Doctoral degree,24,27598,54
C0293,Private,Doctoral degree,28,33990,60
C0294,Private,Bachelor's degree,,18795,
C0295,Public,Master's degree,24,11144,62
C0296,Private,Master's degree,26,32920,72
C0297,Private,Bachelor's degree,26,20060,68
C0298,Public,Doctoral degree,,,
C0299,Private,Master's degree,25,23612,66
C0300,Public,Doctoral degree,26,13410,71
C0301,Private,Doctoral degree,25,25516,69
C0302,Public,Doctoral degree,31,14750,62
C0303,Private,Bachelor's degree,30,39316,58
C0304,Private,Master's degree,25,27800,61
C0305,Private,Doctoral degree,30,40117,57
C0306,Public,Doctoral degree,26,13010,69
C0307,Private,Doctoral degree,27,27530,71
C0308,Private,Bachelor's degree,,38952,75
C0309,Private,Master's degree,28,39842,57
C0310,Private,Doctoral degree,26,26780,56
C0311,Private,Bachelor's degree,19,17500,87
C0312,Private,Doctoral degree,29,35573,91
C0313,Private,Bachelor's degree,22,22400,75
C0314,Private,Doctoral degree,25,26050,63
C0315,Private,Doctoral degree,26,28644,55
C0316,Private,Bachelor's degree,25,31500,64
C0317,Private,Doctoral degree,,15915,99
C0318,Private,Master's degree,27,32613,64
C0319,Private,Doctoral degree,25,23350,52
C0320,Public,Doctoral degree,24,12976,56
C0321,Private,Doctoral degree,34,45527,15
C0322,Public,Master's degree,21,8460,60
C0323,Private,Doctoral degree,27,29890,82
C0324,Private,Master's degree,25,25834,89
C0325,Private,Master's degree,,22800,21
C0326,Private,Master's degree,25,26710,41
C0327,Private,Doctoral degree,25,26500,79
C0328,Private,Doctoral degree,24,28810,60
C0329,Private,Doctoral degree,25,27970,51
C0330,Private,Master's degree,24,28970,51
C0331,Public,Doctoral degree,27,9178,60
C0332,Private,Bachelor's degree,,31527,29
C0333,Public,Doctoral degree,25,12093,79
C0334,Public,Doctoral degree,25,9666,84
C0335,Private,Master's degree,25,24435,90
C0336,Private,Doctoral degree,25,26830,94
C0337,Public,Doctoral degree,23,11767,59
C0338,Private,Doctoral degree,32,30880,69
C0339,Private,Doctoral degree,25,26280,55
C0340,Public,Doctoral degree,24,9160,61
C0341,Private,Master's degree,27,24970,72
C0342,Private,Doctoral degree,30,34368,66
C0343,Private,Master's degree,20,15620,40
C0344,Private,Bachelor's degree,29,40640,61
C0345,Private,Master's degree,31,41450,64
C0346,Private,Doctoral degree,29,30596,84
C0347,Private,Bachelor's degree,24,27695,60
C0348,Private,Master's degree,30,28500,55
C0349,Private,Doctoral degree,26,23970,79
C0350,Private,Bachelor's degree,28,31760,67
C0351,Private,Bachelor's degree,26,25450,72
C0352,Private,Master's degree,27,24040,97
C0353,Public,Master's degree,24,7013,83
C0354,Public,Doctoral degree,25,8756,70
C0355,Private,Doctoral degree,25,24660,84
C0356,Public,Doctoral degree,24,6698,69
C0357,Public,Doctoral degree,22,8256,83
C0358,Public,Master's degree,23,6675,74
C0359,Public,Master's degree,23,6816,70
C0360,Public,Doctoral degree,30,10209,72
C0361,Public,Master's degree,23,6739,76
C0362,Public,Master's degree,23,6700,79
C0363,Public,Master's degree,23,6639,54
C0364,Private,Doctoral degree,25,27920,71
C0365,Private,Doctoral degree,25,28400,58
C0366,Private,Doctoral degree,27,23628,95
C0367,Private,Master's degree,,11960,
C0368,Private,Doctoral degree,34,44605,22
C0369,Private,Doctoral degree,24,19200,73
C0370,Public,Master's degree,,6624,61
C0371,Public,Master's degree,23,7186,72
C0372,Private,Master's degree,23,25180,54
C0373,Private,Master's degree,24,27350,64
C0374,Private,Master's degree,22,27672,98
C0375,Private,Bachelor's degree,28,34600,86
C0376,Private,Master's degree,31,28753,88
C0377,Private,Master's degree,27,28850,72
C0378,Private,Doctoral degree,29,33480,80
C0379,Private,Bachelor's degree,,35650,
C0380,Private,Doctoral degree,,26650,
C0381,Private,Master's degree,25,29448,70
C0382,Private,Bachelor's degree,26,30700,66
C0383,Private,Doctoral degree,25,28000,78
C0384,Private,Master's degree,28,35730,62
C0385,Private,Bachelor's degree,29,36430,64
C0386,Private,Master's degree,28,26540,75
C0387,Private,Doctoral degree,30,30889,66
C0388,Private,Doctoral degree,22,25520,77
C0389,Private,Doctoral degree,24,23530,50
C0390,Private,Master's degree,23,22628,95
C0391,Private,Bachelor's degree,32,43656,35
C0392,Public,Doctoral degree,28,7726,83
C0393,Private,Bachelor's degree,24,25550,60
C0394,Public,Doctoral degree,28,8061,80
C0395,Private,Master's degree,26,28852,69
C0396,Private,Bachelor's degree,29,37530,72
C0397,Private,Doctoral degree,,26430,42
C0398,Private,Master's degree,25,25990,53
C0399,Private,Master's degree,23,26310,68
C0400,Public,Doctoral degree,24,7685,83
C0401,Private,Bachelor's degree,27,26764,76
C0402,Private,Doctoral degree,25,26740,96
C0403,Private,Master's degree,27,30999,88
C0404,Private,Master's degree,24,24400,58
C0405,Private,Bachelor's degree,26,34250,78
C0406,Private,Master's degree,22,23210,58
C0407,Private,Doctoral degree,26,25580,87
C0408,Private,Master's degree,28,23900,61
C0409,Private,Bachelor's degree,23,23305,59
C0410,Private,Bachelor's degree,26,23500,64
C0411,Private,Bachelor's degree,24,14800,50
C0412,Private,Bachelor's degree,,6579,
C0413,Public,Doctoral degree,25,5614,61
C0414,Public,Master's degree,24,4358,89
C0415,Private,Master's degree,24,23430,59
C0416,Public,Doctoral degree,28,10107,92
C0417,Private,Master's degree,27,23650,45
C0418,Public,Doctoral degree,,8585,96
C0419,Private,Master's degree,24,23800,54
C0420,Private,Master's degree,24,22891,87
C0421,Private,Master's degree,21,22290,72
C0422,Private,Master's degree,25,23964,99
C0423,Private,Master's degree,,,
C0424,Public,Master's degree,24,5906,79
C0425,Private,Doctoral degree,24,23170,47
C0426,Private,Doctoral degree,25,23886,90
C0427,Private,Bachelor's degree,25,21200,44
C0428,Private,Master's degree,27,22730,74
C0429,Public,Doctoral degree,,5774,
C0430,Public,Doctoral degree,26,6926,96
C0431,Private,Bachelor's degree,24,10620,45
C0432,Private,Master's degree,27,26076,66
C0433,Private,Doctoral degree,27,34890,95
C0434,Private,Bachelor's degree,26,23170,34
C0435,Private,Master's degree,24,19640,45
C0436,Private,Master's degree,24,22196,68
C0437,Private,Bachelor's degree,31,36020,69
C0438,Private,Doctoral degree,25,20000,71
C0439,Public,Doctoral degree,24,7536,60
C0440,Private,Master's degree,26,32310,82
C0441,Public,Master's degree,20,6276,38
C0442,Private,Bachelor's degree,25,21200,67
C0443,Public,Doctoral degree,28,10110,69
C0444,Private,Master's degree,24,17418,51
C0445,Private,Master's degree,,22070,
C0446,Public,Doctoral degree,28,9946,71
C0447,Private,Master's degree,24,8673,70
C0448,Private,Master's degree,25,22150,54
C0449,Public,Doctoral degree,25,7498,84
C0450,Public,Doctoral degree,25,7044,82
C0451,Public,Doctoral degree,25,8376,47
C0452,Private,Doctoral degree,22,17750,100
C0453,Private,Master's degree,,18106,
C0454,Private,Doctoral degree,22,22425,81
C0455,Private,Master's degree,25,27345,88
C0456,Private,Bachelor's degree,30,31560,96
C0457,Private,Master's degree,24,22000,74
C0458,Public,Doctoral degree,25,8722,92
C0459,Private,Master's degree,28,30740,66
C0460,Private,Bachelor's degree,20,16094,35
C0461,Public,Doctoral degree,20,5950,44
C0462,Public,Bachelor's degree,22,5337,61
C0463,Public,Doctoral degree,28,7873,76
C0464,Public,Master's degree,24,5606,83
C0465,Private,Master's degree,23,14120,74
C0466,Public,Doctoral degree,26,7302,67
C0467,Private,Doctoral degree,28,36860,87
C0468,Public,Master's degree,24,5701,62
C0469,Public,Doctoral degree,25,6578,50
C0470,Public,Master's degree,24,6468,87
C0471,Public,Doctoral degree,25,6318,77
C0472,Public,Master's degree,24,6207,84
C0473,Private,Master's degree,,9950,48
C0474,Public,Doctoral degree,24,5715,45
C0475,Public,Doctoral degree,20,6630,36
C0476,Public,Master's degree,18,4911,49
C0477,Public,Doctoral degree,25,6192,59
C0478,Private,Doctoral degree,32,46930,26
C0479,Private,Doctoral degree,26,20560,54
C0480,Private,Master's degree,,38952,74
C0481,Private,Bachelor's degree,,45650,24
C0482,Private,Bachelor's degree,33,45446,15
C0483,Private,Bachelor's degree,32,45760,26
C0484,Private,Doctoral degree,21,15130,80
C0485,Public,Bachelor's degree,,7500,
C0486,Public,Master's degree,,9167,84
C0487,Public,Bachelor's degree,27,7575,63
C0488,Public,Bachelor's degree,25,7490,85
C0489,Public,Doctoral degree,26,10600,81
C0490,Public,Master's degree,24,11950,65
C0491,Public,Bachelor's degree,,7300,
C0492,Private,Doctoral degree,26,33145,86
C0493,Private,Master's degree,,30990,78
C0494,Public,Doctoral degree,25,8920,83
C0495,Private,Master's degree,21,22770,72
C0496,Private,Bachelor's degree,,25000,89
C0497,Public,Doctoral degree,,7838,73
C0498,Public,Doctoral degree,20,6971,52
C0499,Private,Master's degree,,21020,33
C0500,Public,Doctoral degree,,6252,36
C0501,Public,Doctoral degree,22,7728,59
C0502,Private,Master's degree,,39084,72
C0503,Private,Master's degree,25,33280,81
C0504,Private,Doctoral degree,34,45470,18
C0505,Private,Doctoral degree,29,43250,58
C0506,Public,Doctoral degree,,6552,
C0507,Public,Doctoral degree,29,10068,63
C0508,Public,Doctoral degree,,9162,47
C0509,Public,Doctoral degree,19,6998,55
C0510,Public,Doctoral degree,19,7218,58
C0511,Private,Master's degree,23,34644,67
C0512,Private,Doctoral degree,23,32050,50
C0513,Public,Doctoral degree,26,8128,55
C0514,Public,Master's degree,30,14864,72
C0515,Private,Master's degree,,9830,
C0516,Private,Master's degree,,46296,81
C0517,Public,Doctoral degree,25,8342,60
C0518,Private,Master's degree,,,
C0519,Private,Master's degree,23,27082,60
C0520,Private,Master's degree,29,41120,67
C0521,Private,Master's degree,27,36960,76
C0522,Private,Doctoral degree,21,30040,68
C0523,Private,Bachelor's degree,34,46574,14
C0524,Private,Master's degree,,32134,78
C0525,Private,Master's degree,,34975,74
C0526,Private,Master's degree,22,29959,58
C0527,Private,Bachelor's degree,24,31500,63
C0528,Private,Doctoral degree,30,41110,44
C0529,Private,Doctoral degree,33,45622,32
C0530,Private,Doctoral degree,30,44880,46
C0531,Private,Doctoral degree,32,45856,37
C0532,Public,Master's degree,24,8053,79
C0533,Private,Doctoral degree,,13392,
C0534,Private,Doctoral degree,,39550,62
C0535,Private,Master's degree,20,34715,67
C0536,Private,Master's degree,24,27922,56
C0537,Private,Master's degree,30,35730,48
C0538,Private,Master's degree,26,34670,60
C0539,Private,Doctoral degree,25,28926,72
C0540,Private,Bachelor's degree,,27575,63
C0541,Public,Master's degree,22,8985,72
C0542,Public,Master's degree,25,8080,52
C0543,Private,Master's degree,29,33230,41
C0544,Private,Bachelor's degree,,46625,64
C0545,Private,Doctoral degree,35,42292,6
C0546,Private,Bachelor's degree,,44272,33
C0547,Private,Master's degree,23,30000,76
C0548,Private,Doctoral degree,26,32375,67
C0549,Public,Doctoral degree,28,12097,64
C0550,Public,Doctoral degree,29,13443,63
C0551,Public,Doctoral degree,,11966,71
C0552,Private,Doctoral degree,35,43498,8
C0553,Public,Master's degree,24,7127,77
C0554,Private,Master's degree,,35085,79
C0555,Private,Master's degree,,41456,47
C0556,Private,Master's degree,20,29377,61
C0557,Private,Bachelor's degree,,28950,60
C0558,Private,Master's degree,23,32370,80
C0559,Public,Master's degree,25,8525,67
C0560,Private,Doctoral degree,33,41686,32
C0561,Private,Master's degree,22,30132,75
C0562,Private,Master's degree,,24930,64
C0563,Public,Master's degree,24,8130,69
C0564,Private,Doctoral degree,28,35380,49
C0565,Private,Bachelor's degree,,46713,92
C0566,Private,Doctoral degree,,43114,43
C0567,Private,Doctoral degree,25,32560,70
C0568,Public,Doctoral degree,25,11681,72
C0569,Private,Bachelor's degree,28,36160,71
C0570,Private,Doctoral degree,25,31716,83
C0571,Private,Doctoral degree,33,46598,19
C0572,Private,Bachelor's degree,33,43554,29
C0573,Private,Master's degree,27,29200,58
C0574,Private,Doctoral degree,26,33020,82
C0575,Public,Master's degree,22,8694,75
C0576,Private,Bachelor's degree,,45074,67
C0577,Private,Master's degree,25,31880,73
C0578,Private,Master's degree,34,46600,17
C0579,Private,Doctoral degree,,42778,52
C0580,Public,Master's degree,24,8157,61
C0581,Private,Master's degree,24,30758,56
C0582,Private,Bachelor's degree,28,36051,56
C0583,Private,Bachelor's degree,27,32660,68
C0584,Private,Doctoral degree,26,25470,38
C0585,Private,Master's degree,26,26460,71
C0586,Private,Bachelor's degree,,8100,
C0587,Private,Bachelor's degree,,8100,
C0588,Private,Master's degree,29,28250,70
C0589,Public,Doctoral degree,24,11220,63
C0590,Private,Master's degree,24,23563,54
C0591,Private,Master's degree,,14096,92
C0592,Private,Doctoral degree,28,35920,61
C0593,Public,Doctoral degree,24,9364,64
C0594,Public,Doctoral degree,24,10466,76
C0595,Private,Master's degree,29,35600,62
C0596,Private,Bachelor's degree,,12235,75
C0597,Private,Master's degree,26,24168,68
C0598,Public,Doctoral degree,26,10716,83
C0599,Private,Bachelor's degree,29,28720,73
C0600,Private,Bachelor's degree,30,39450,67
C0601,Public,Master's degree,25,9960,92
C0602,Private,Doctoral degree,28,28948,44
C0603,Private,Doctoral degree,25,16340,61
C0604,Private,Master's degree,18,19850,94
C0605,Private,Master's degree,24,19920,66
C0606,Public,Doctoral degree,32,13142,33
C0607,Public,Doctoral degree,28,12862,69
C0608,Public,Doctoral degree,29,13728,77
C0609,Public,Doctoral degree,27,10614,63
C0610,Public,Doctoral degree,24,9356,78
C0611,Private,Bachelor's degree,,8100,
C0612,Public,Master's degree,25,9037,73
C0613,Public,Doctoral degree,26,10613,66
C0614,Private,Master's degree,22,23021,51
C0615,Private,Bachelor's degree,25,18454,68
C0616,Public,Doctoral degree,24,8423,79
C0617,Private,Master's degree,23,21890,68
C0618,Private,Master's degree,26,23400,65
C0619,Private,Bachelor's degree,22,20480,59
C0620,Public,Doctoral degree,26,11094,76
C0621,Public,Doctoral degree,25,10355,83
C0622,Private,Doctoral degree,25,33209,61
C0623,Public,Master's degree,23,8124,67
C0624,Private,Bachelor's degree,26,24080,75
C0625,Private,Doctoral degree,28,31760,95
C0626,Private,Bachelor's degree,33,46167,21
C0627,Private,Master's degree,28,32814,80
C0628,Private,Master's degree,24,19700,52
C0629,Private,Master's degree,27,12300,96
C0630,Private,Bachelor's degree,30,39120,63
C0631,Private,Doctoral degree,27,35108,66
C0632,Private,Bachelor's degree,32,45388,34
C0633,Public,Doctoral degree,24,7557,66
C0634,Public,Doctoral degree,,6642,100
C0635,Public,Doctoral degree,30,13555,44
C0636,Public,Bachelor's degree,24,11448,69
C0637,Public,Doctoral degree,26,12815,78
C0638,Public,Bachelor's degree,28,12584,58
C0639,Public,Doctoral degree,25,7816,89
C0640,Private,Bachelor's degree,26,19996,95
C0641,Private,Master's degree,27,28020,69
C0642,Private,Bachelor's degree,28,37926,76
C0643,Public,Doctoral degree,24,7514,87
C0644,Private,Master's degree,28,37162,75
C0645,Private,Doctoral degree,26,29315,75
C0646,Private,Bachelor's degree,31,40700,59
C0647,Private,Master's degree,24,22430,55
C0648,Private,Doctoral degree,26,31612,73
C0649,Private,Doctoral degree,28,35308,86
C0650,Private,Doctoral degree,25,34744,61
C0651,Public,Master's degree,24,8074,65
C0652,Public,Doctoral degree,25,8730,61
C0653,Public,Master's degree,19,6108,83
C0654,Private,Master's degree,25,19970,48
C0655,Private,Master's degree,25,9470,56
