ID,Content Rating,Release Year,Running Time,Rotten Tomatoes Rating,Production Budget,Genre
M072,R,1997,152,,15000000,Drama
M073,R,1999,110,92,10000000,Action
M074,R,2007,95,40,32000000,Thriller
M075,PG-13,1997,148,43,,
M076,R,1996,120,17,,
M077,PG,2002,95,,5000000,Romantic Comedy
M078,PG,2000,90,,95000000,Adventure
M079,PG-13,2005,115,51,,Comedy
M080,R,2006,132,,135000000,Action
M081,R,2003,113,67,15000000,Horror
M082,PG,2009,90,92,100000000,
M083,PG,2004,120,40,110000000,
M084,R,2003,137,83,30000000,Drama
M085,R,2001,104,,22000000,Comedy
M086,R,2007,128,44,20000000,Drama
M087,PG-13,1999,96,60,,Comedy
M088,PG-13,2006,116,79,55000000,Drama
M089,R,2003,136,40,,Drama
M090,R,2005,126,83,40000000,Action
M091,R,2009,85,24,15000,Horror
M092,R,2002,125,,30000000,Drama
M093,R,2001,111,45,,Drama
M094,PG,2002,78,42,120000000,
M095,PG-13,2005,113,9,55000000,Romantic Comedy
M096,PG-13,2002,117,95,70000000,Action
M097,R,2008,109,19,6000000,Drama
M098,PG-13,1996,110,16,80000000,Comedy
M099,PG,1996,90,,30000000,Comedy
M100,PG,2002,86,82,84000000,Comedy
M101,R,1999,111,12,48000000,Drama
M102,PG,2000,90,82,58000000,Comedy
M103,PG,2001,95,,,Adventure
M104,PG,2003,98,47,,Comedy
M105,R,2007,120,78,23000000,Drama
M106,R,2001,126,59,90000000,Action
M107,PG-13,2004,94,88,45000000,Thriller
M108,PG-13,2000,104,73,75000000,
M109,R,1999,103,30,32000000,Horror
M110,PG-13,2000,123,75,40000000,Drama
M111,G,1999,88,,24000000,Comedy
M112,PG,1996,87,77,80000000,Comedy
M113,PG,2003,105,85,25000000,Comedy
M114,PG-13,2004,101,55,,Comedy
M115,PG-13,2001,91,10,16000000,Comedy
M116,PG-13,2005,118,22,90000000,Thriller
M117,R,2001,110,71,,Black Comedy
M118,PG-13,2008,84,79,20000000,Comedy
M119,PG,2004,92,77,70000000,Adventure
M120,PG-13,1996,117,84,45000000,Comedy
M121,G,1998,96,81,45000000,Adventure
M122,PG-13,1998,114,,30000000,Drama
M123,R,2000,110,61,24000000,Black Comedy
M124,R,1999,103,,8500000,Black Comedy
M125,R,1998,127,,30000000,Drama
M126,R,1999,95,53,11000000,Drama
M127,PG-13,2007,138,89,150000000,Adventure
M128,R,1997,177,76,80000000,Action
M129,R,1997,95,60,25000000,Action
M130,PG-13,2002,115,81,38000000,Thriller
M131,PG-13,2003,133,39,85000000,Action
M132,PG-13,2008,120,60,37000000,Drama
M133,R,1999,120,22,32000000,Black Comedy
M134,PG-13,2005,113,11,82000000,
M135,R,2005,122,,75000000,Action
M136,PG-13,2002,113,65,30000000,Musical
M137,PG-13,2007,167,50,300000000,Adventure
M138,R,2004,129,,80000000,Thriller
M139,R,2004,127,10,25000000,Drama
M140,PG-13,2005,101,,18000000,Horror
M141,R,2001,99,63,80000000,Action
M142,PG-13,2006,95,79,20000000,Thriller
M143,PG,1998,97,86,60000000,Adventure
M144,PG-13,2000,116,31,62000000,Action
M145,PG-13,1997,135,27,,Drama
M146,PG-13,2002,95,68,,Comedy
M147,PG-13,1998,150,,,Adventure
M148,R,1996,107,89,20000000,Horror
M149,PG-13,2001,89,81,53000000,Thriller
M150,PG-13,2000,103,,43000000,Comedy
M151,R,2008,98,30,45000000,Action
M152,R,2009,152,,70000000,
M153,PG-13,2004,124,,125000000,
M154,PG-13,1999,112,67,66000000,Thriller
M155,R,1999,136,78,65000000,Action
M156,PG-13,1998,136,74,65000000,Adventure
M157,PG,2007,90,,35000000,
M158,R,1998,119,74,22000000,
M159,PG-13,2000,93,66,48000000,
M160,R,2004,118,63,50000000,Comedy
M161,PG-13,1997,130,,125000000,Action
M162,PG-13,1996,115,38,80000000,Action
M163,R,2009,108,98,53000000,Thriller
M164,PG-13,1999,125,53,135000000,Action
M165,R,1996,105,2,45000000,Romantic Comedy
M166,R,1999,142,5,22000000,Drama
M167,R,2002,96,36,60000000,Comedy
M168,PG-13,2001,91,,28000000,Romantic Comedy
M169,PG,1998,102,30,60000000,Drama
M170,R,1996,108,,65000000,Action
M171,R,1997,105,58,15000000,
M172,R,1997,120,,15000000,Drama
M173,PG-13,2009,107,75,25000000,
M174,PG,2005,115,,,Comedy
M175,PG-13,1999,137,89,,Drama
M176,PG-13,2007,86,53,20000000,Comedy
M177,PG-13,1996,95,,40000000,Adventure
M178,PG-13,1998,112,,60000000,Drama
M179,PG-13,2003,116,77,50000000,Romantic Comedy
M180,R,2000,118,85,,Horror
M181,PG-13,2004,97,73,57000000,Action
M182,PG-13,1997,92,32,,Comedy
M183,R,1999,123,71,55000000,Drama
M184,R,2003,139,28,26000000,Western
M185,PG-13,2005,95,70,45000000,
M186,PG-13,2009,104,95,80000000,Action
M187,R,1996,111,,40000000,Drama
M188,R,2009,93,92,24000000,Black Comedy
M189,R,1998,102,92,,Horror
M190,R,2002,96,46,17000000,Romantic Comedy
M191,PG-13,2005,135,17,16000000,Drama
M192,PG-13,1998,120,,80000000,Adventure
M193,PG-13,2005,119,,39000000,Action
M194,PG,2007,92,3,55000000,Comedy
M195,G,2001,95,70,115000000,Adventure
M196,PG,1999,86,25,50000000,Adventure
M197,R,2000,111,57,35000000,Comedy
M198,PG-13,2009,99,30,30000000,Horror
M199,PG,1999,132,80,,Drama
M200,R,1998,127,,,Comedy
M201,R,2005,96,96,20000000,Horror
M202,PG-13,2001,87,84,49000000,Action
M203,PG,2004,82,84,400000,Comedy
M204,R,2004,97,17,50000000,Thriller
M205,PG-13,2005,157,47,150000000,
M206,R,1997,129,78,100000000,Action
M207,R,1997,137,31,35000000,
M208,R,2001,100,,33000000,Action
M209,G,1996,94,62,25000000,Adventure
M210,R,1999,95,,12000000,Comedy
M211,PG-13,2001,107,44,,Action
M212,PG-13,2006,101,69,14000000,
M213,R,2000,88,97,19000000,
M214,R,2003,102,37,29000000,Action
M215,R,2000,98,23,23000000,Horror
M216,R,2000,119,88,50000000,Drama
M217,R,2007,108,99,40000000,Thriller
M218,PG-13,2002,101,51,27000000,
M219,R,2004,104,48,35000000,Comedy
M220,PG,2001,98,,,Comedy
M221,R,1997,152,82,40000000,
M222,PG-13,2003,100,61,60000000,Romantic Comedy
M223,R,2002,118,,46000000,Thriller
M224,PG-13,2004,119,86,120000000,Adventure
M225,G,2006,98,,82500000,Drama
M226,PG-13,2006,131,82,85000000,Romantic Comedy
M227,PG-13,2005,80,55,29000000,Drama
M228,PG-13,2000,122,24,25000000,Drama
M229,PG-13,2002,106,,70702619,Thriller
M230,PG-13,2004,128,16,75000000,Drama
M231,PG-13,2002,103,,12000000,Comedy
M232,PG-13,1998,98,54,35000000,Action
M233,PG-13,2002,121,,139000000,Adventure
M234,PG-13,2003,110,,78000000,Adventure
M235,R,2002,112,38,48000000,Thriller
M236,PG-13,2000,144,8,85000000,
M237,R,1997,120,12,24000000,Horror
M238,R,2003,138,74,127000000,Action
M239,R,1997,115,45,80000000,Action
M240,PG,2000,95,,7000000,Drama
M241,PG-13,2000,107,54,15000000,Thriller
M242,G,1998,75,53,80000000,Adventure
M243,R,2006,136,42,40000000,
M244,R,2007,117,,48000000,Western
M245,PG,2006,124,30,20000000,
M246,PG-13,2003,107,86,76000000,Action
M247,PG,1998,110,33,20000000,Drama
M248,PG-13,2006,112,59,30000000,
M249,R,1999,159,69,65000000,Drama
M250,PG-13,2007,100,53,150000000,Horror
