ID,Control,Highest degree offered,,Admission rate (%),Admission yield (%),Admissions total,Applicants total,Tuition and fees 2013-14 ($),Full-time enrollment,Graduate enrollment,Part-time enrollment,Total enrollment,Undergraduate enrollment,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),Geographic region,ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile)
C0015,Private,Bachelor's degree,,67,27,1798,2690,23563,4912,605,518,5430,4825,24,40,47,Mid East,19,25,460,580,450,550,,
C0016,Public,Master's degree,,77,50,2668,3454,7300,4676,3580,3267,7943,4363,83,83,83,Southeast,17,22,420,550,410,540,,
C0017,Private,Bachelor's degree,,,,,,24750,4116,880,506,4622,3742,11,29,40,New England,,,,,,,,
C0018,Private,Master's degree,,63,41,4255,6768,9486,6632,2407,5745,12377,9970,52,59,60,Great Lakes,19,24,460,538,490,590,,
C0019,Public,Master's degree,,97,33,1537,1583,4358,13463,5789,2494,15957,10168,41,55,55,Southeast,27,33,590,720,630,770,620,750
C0020,Public,Master's degree,,79,33,3036,3853,10000,11733,2380,2793,14526,12146,11,27,32,Great Lakes,17,20,,,400,520,,
C0021,Private,Master's degree,,,,,,5837,14315,2939,6133,20448,17509,15,34,42,Mid East,17,22,,,,,,
C0022,Private,Doctoral degree,,80,27,1308,1636,22800,3309,1289,897,4206,2917,27,37,39,Southeast,22,28,480,630,550,630,490,580
C0023,Public,Doctoral degree,,,,,,6464,3833,492,2159,5992,5500,65,75,76,Mid East,,,,,,,,
C0024,Private,Master's degree,,72,26,1021,1420,5238,495,0,0,495,495,74,78,78,New England,19,24,420,500,420,530,380,510
C0025,Private,Bachelor's degree,,44,24,2589,5826,16795,11160,3419,3983,15143,11724,18,27,29,Plains,24,29,540,640,570,670,,
C0026,Private,Bachelor's degree,,64,22,1869,2899,7946,17190,12309,4402,21592,9283,13,29,33,Rocky Mountains,,,,,,,,
C0027,Public,Doctoral degree,,91,34,10040,11066,5744,3342,1160,714,4056,2896,61,72,73,Mid East,,,,,,,,
C0028,Private,Doctoral degree,,58,34,7137,12239,8509,1032,19,68,1100,1081,11,26,34,Plains,19,24,410,500,440,520,,
C0029,Public,Doctoral degree,,65,36,2844,4344,22590,1905,0,21,1926,1926,19,32,36,Plains,,,,,,,,
C0030,Public,Doctoral degree,,65,46,90,139,8401,1790,798,501,2291,1493,,,,Mid East,29,34,660,760,670,780,670,770
C0031,Public,Master's degree,,79,19,15603,19824,23520,16951,3762,3210,20161,16399,48,67,71,Southeast,21,27,470,600,490,610,440,580
C0032,Private,Doctoral degree,,22,35,15981,72676,25532,1324,12,4,1328,1316,45,51,51,Mid East,20,25,470,560,480,578,450,550
C0033,Private,Bachelor's degree,,9,58,2654,28919,33230,937,0,140,1077,1077,61,64,64,Great Lakes,24,28,540,630,510,600,520,640
C0034,Public,Doctoral degree,,49,22,859,1736,24790,14241,3307,8762,23003,19696,71,81,82,Mid East,,,,,,,,
C0035,Public,Doctoral degree,,76,25,2768,3640,8800,888,1643,1989,2877,1234,39,47,49,Southeast,28,32,620,730,630,770,,
C0036,Private,Master's degree,,81,26,3640,4496,11767,43276,11332,6041,49317,37985,9,14,18,Southwest,24,30,510,630,560,680,520,630
C0037,Public,Doctoral degree,,76,18,2729,3584,5315,3651,772,1210,4861,4089,35,47,47,Southeast,,,,,,,,
C0038,Private,Master's degree,,72,46,2224,3087,5035,1409,157,69,1478,1321,6,13,18,Mid East,25,30,570,670,540,650,540,650
C0039,Private,Doctoral degree,,65,36,441,676,23400,24816,10019,5034,29850,19831,39,44,44,New England,,,,,,,,
C0040,Private,Bachelor's degree,,85,45,4830,5704,14930,1429,126,113,1542,1416,54,69,70,Southwest,19,21,440,550,430,500,,
C0041,Public,Doctoral degree,,54,26,2560,4703,8144,903,4,646,1549,1545,31,52,56,Southeast,18,24,,,,,,
C0042,Private,Bachelor's degree,,55,46,7592,13890,8863,587,725,138,725,0,46,57,59,Southwest,,,,,,,,
C0043,Private,Bachelor's degree,,58,14,7891,13604,17890,2267,0,186,2453,2453,21,40,46,Southeast,18,24,360,510,400,550,340,480
C0044,Public,Doctoral degree,,74,33,1716,2316,36660,1669,81,32,1701,1620,46,46,46,Southeast,18,23,460,590,470,610,,
C0045,Public,Doctoral degree,,,,,,7660,1583,395,3785,5368,4973,8,23,29,Mid East,13,18,360,440,360,450,380,490
C0046,Public,Doctoral degree,,77,35,1356,1762,22792,1887,163,646,2533,2370,59,66,68,Southwest,,,540,640,580,680,540,640
C0047,Public,Master's degree,,,,,,46713,7750,1659,2357,10107,8448,70,78,79,Great Lakes,17,22,400,500,400,540,390,500
C0048,Public,Master's degree,,36,16,945,2661,6030,1088,4,217,1305,1301,14,14,14,Rocky Mountains,17,23,410,540,430,550,410,510
C0049,Public,Doctoral degree,,60,36,878,1469,44742,1967,6,468,2435,2429,14,29,36,New England,,,,,,,,
C0050,Private,Bachelor's degree,,70,20,2654,3815,,1639,222,510,2149,1927,29,40,44,Southeast,20,25,470,600,450,580,460,590
C0051,Private,Doctoral degree,,,,,,21630,2038,3284,2163,4201,917,65,73,74,Mid East,18,23,440,540,440,530,,
C0052,Public,Master's degree,,69,35,13592,19810,31350,23371,7638,7815,31186,23548,35,43,46,Mid East,,,,,,,,
C0053,Private,Master's degree,,49,18,2256,4589,33020,622,152,518,1140,988,,,,Far West,20,25,470,570,470,570,450,560
C0054,Private,Master's degree,,94,21,859,916,9499,10022,1131,1597,11619,10488,25,36,38,Mid East,19,23,440,550,430,540,420,530
C0055,Private,Bachelor's degree,,85,47,2197,2589,31260,1024,79,43,1067,988,60,76,77,Great Lakes,19,23,430,520,440,540,405,515
C0056,Private,Bachelor's degree,,51,50,313,610,44880,11927,6679,182,12109,5430,5,12,15,Far West,,,390,500,400,510,380,500
C0057,Private,Bachelor's degree,,67,35,2408,3606,5246,18280,2719,5601,23881,21162,54,58,58,Southeast,19,25,450,600,460,600,450,580
C0058,Private,Bachelor's degree,,62,35,20716,33203,27728,621,0,36,657,657,70,78,78,Plains,,,,,,,,
C0059,Public,Master's degree,,,,,,44008,21920,3676,2553,24473,20797,88,93,94,Plains,,,,,,,,
C0060,Public,Bachelor's degree,,80,67,800,1001,29103,4981,1657,1141,6122,4465,36,47,48,Mid East,20,25,480,580,450,550,,
C0061,Private,Doctoral degree,,51,37,777,1538,6948,687,7,23,710,703,69,88,90,Mid East,14,17,360,430,340,440,340,420
C0062,Private,Doctoral degree,,68,36,479,703,34835,907,17,2274,3181,3164,52,66,69,Great Lakes,17,22,440,530,450,540,430,520
C0063,Private,Doctoral degree,,63,24,12143,19262,11455,461,12,71,532,520,20,40,44,Far West,33,35,680,770,750,800,690,780
C0064,Private,Master's degree,,58,33,9444,16242,20540,3041,1008,1839,4880,3872,56,65,66,Great Lakes,20,26,,,,,,
C0065,Private,Doctoral degree,,22,41,1288,5780,13895,4375,803,186,4561,3758,67,76,78,Great Lakes,19,24,410,500,400,540,,
C0066,Private,Doctoral degree,,65,15,3267,5029,14800,1501,426,653,2154,1728,28,49,55,Mid East,25,30,530,640,540,680,,
C0067,Public,Master's degree,,,,,,8806,20436,5068,6135,26571,21503,35,44,50,Southeast,22,30,480,640,420,600,490,580
C0068,Private,Doctoral degree,,69,36,1063,1546,20730,1017,335,1041,2058,1723,8,11,18,Great Lakes,19,25,460,550,460,570,,
C0069,Public,Master's degree,,67,24,4650,6991,23964,760,60,128,888,828,39,56,59,Mid East,,,,,,,,
C0070,Public,Doctoral degree,,,,,,41110,2198,403,1959,4157,3754,44,53,55,Plains,,,,,,,,
C0071,Public,Doctoral degree,,70,38,1043,1495,12048,26859,4800,5040,31899,27099,35,48,51,Plains,23,27,510,610,520,610,510,600
C0072,Public,Doctoral degree,,84,27,1123,1329,,5864,1347,1280,7144,5797,49,54,55,Southeast,21,27,460,560,480,580,430,530
C0073,Public,Master's degree,,49,36,276,561,22770,10825,5364,6672,17497,12133,25,37,40,Great Lakes,18,23,410,490,400,480,390,480
C0074,Public,Master's degree,,37,61,309,830,12842,1374,312,559,1933,1621,,,,Great Lakes,21,27,483,600,500,630,480,590
C0075,Public,Doctoral degree,,47,33,12333,26247,12096,1374,178,342,1716,1538,32,53,57,Southeast,19,24,450,550,440,570,423,530
C0076,Public,Doctoral degree,,53,36,678,1273,19490,1371,12,297,1668,1656,39,51,54,Plains,20,26,460,610,480,580,450,580
C0077,Public,Doctoral degree,,58,18,1058,1829,21285,8541,4572,2388,10929,6357,46,51,52,Great Lakes,,,,,,,,
C0078,Public,Doctoral degree,,93,13,3527,3788,38200,1863,511,851,2714,2203,,,,Plains,19,24,440,570,420,550,430,560
C0079,Public,Doctoral degree,,77,26,2435,3178,21050,464,0,18,482,482,60,68,68,Southeast,18,22,420,520,440,530,,
C0080,Public,Doctoral degree,,61,21,1438,2371,24150,3457,2992,3061,6518,3526,54,66,69,Mid East,21,26,490,590,490,590,480,580
C0081,Public,Doctoral degree,,55,47,318,573,22484,2436,73,497,2933,2860,22,44,51,Mid East,20,25,480,580,470,560,450,540
C0082,Public,Doctoral degree,,47,29,1627,3479,23300,1981,577,622,2603,2026,10,31,39,Mid East,30,34,670,780,660,780,680,780
C0083,Public,Doctoral degree,,38,55,885,2313,45372,3772,540,2126,5898,5358,8,23,32,Southeast,17,23,410,530,430,540,400,520
C0084,Public,Doctoral degree,,21,84,857,4080,6071,918,84,416,1334,1250,24,48,53,Mid East,26,30,590,670,550,650,580,670
C0085,Public,Doctoral degree,,82,48,591,722,7044,888,0,16,904,904,46,60,62,Mid East,19,24,410,515,420,535,,
C0086,Public,Doctoral degree,,36,58,1336,3721,37348,3555,76,53,3608,3532,30,51,57,Southwest,21,26,480,600,480,580,460,580
C0087,Public,Doctoral degree,,61,60,656,1080,28950,1675,0,0,1675,1675,16,26,30,Great Lakes,22,27,510,620,490,580,,
C0088,Public,Doctoral degree,,,,,,27492,1589,1984,2175,3764,1780,50,63,63,Great Lakes,19,23,430,530,450,550,410,500
C0089,Public,Doctoral degree,,65,46,7405,11467,10355,1016,0,128,1144,1144,47,60,62,New England,,,380,480,380,460,380,460
C0090,Public,Bachelor's degree,,97,44,8757,9052,7092,1840,32,228,2068,2036,17,39,44,Plains,16,21,410,510,408,500,400,490
C0091,Private,Doctoral degree,,68,31,962,1422,30310,1234,1219,891,2125,906,49,59,61,Southeast,20,26,400,460,410,510,430,480
C0092,Private,Master's degree,,73,34,4931,6743,26430,5254,2194,3431,8685,6491,87,91,93,Mid East,23,28,490,600,510,600,480,570
C0093,Private,Bachelor's degree,,60,42,10922,18299,41680,2942,1060,1398,4340,3280,37,55,60,Plains,26,30,570,660,600,680,560,660
C0094,Private,Doctoral degree,,,,,,6300,1244,253,1885,3129,2876,38,63,68,Great Lakes,23,31,590,700,570,640,570,690
C0095,Private,Master's degree,,91,15,6913,7563,10864,382,51,302,684,633,13,29,36,Mid East,17,19,380,450,400,470,360,430
C0096,Private,Master's degree,,78,19,969,1250,6390,3676,2147,1109,4785,2638,11,21,23,Southeast,,,460,530,480,570,,
C0097,Private,Master's degree,,46,24,4184,9164,6583,9067,1970,2862,11929,9959,33,46,50,Mid East,18,23,410,540,410,550,400,540
C0098,Private,Doctoral degree,,70,37,224,318,47890,2722,156,231,2953,2797,60,65,65,Southeast,,,,,,,,
C0099,Private,Master's degree,,72,28,1244,1737,11220,24295,7774,5453,29748,21974,24,40,44,Southeast,18,23,460,550,460,540,,
C0100,Private,Doctoral degree,,37,22,3630,9721,25470,1565,10,70,1635,1625,47,56,56,New England,22,28,470,600,540,610,460,600
C0101,Private,Bachelor's degree,,75,36,14219,18939,11094,2116,459,305,2421,1962,23,35,37,Far West,15,19,,,,,,
C0102,Private,Master's degree,,78,12,1691,2160,22080,1767,394,314,2081,1687,35,41,46,Great Lakes,19,25,440,560,450,570,420,540
C0103,Public,Master's degree,,43,35,338,779,30990,2508,649,766,3274,2625,14,27,30,Plains,17,20,400,470,370,480,,
C0104,Private,Doctoral degree,,73,22,1594,2196,22070,16038,2439,1863,17901,15462,40,51,51,Southeast,20,25,440,590,460,600,,
C0105,Private,Doctoral degree,,92,37,959,1042,7327,1210,130,212,1422,1292,36,54,56,Mid East,19,25,450,570,460,580,440,550
C0106,Private,Master's degree,,72,25,5816,8063,17100,636,0,26,662,662,81,85,86,Mid East,,,,,,,,
C0107,Private,Doctoral degree,,61,35,10364,17118,7022,6539,4924,1311,7850,2926,6,13,17,Southeast,19,24,435,548,440,590,,
C0108,Private,Doctoral degree,,66,26,812,1232,10286,1928,211,127,2055,1844,15,35,44,Great Lakes,19,24,,,,,,
C0109,Private,Doctoral degree,,67,45,3424,5077,23021,1021,331,657,1678,1347,21,27,28,New England,17,23,420,530,430,520,410,510
C0110,Private,Doctoral degree,,,,,,46085,2185,663,205,2390,1727,13,34,43,Southwest,,,,,,,,
C0111,Private,Doctoral degree,,41,54,69,168,20470,2589,545,564,3153,2608,14,30,34,New England,19,26,440,550,430,530,400,520
C0112,Private,Bachelor's degree,,,,,,27672,13256,14801,7662,20918,6117,60,64,66,Southeast,27,32,610,710,610,720,620,700
C0113,Private,Doctoral degree,,71,27,1801,2527,16992,15407,3244,5864,21271,18027,24,58,66,Southeast,20,25,470,580,480,590,460,560
C0114,Private,Master's degree,,64,19,20070,31462,,1314,23,1791,3105,3082,,,,Mid East,,,360,450,390,475,,
C0115,Private,Doctoral degree,,36,32,849,2378,27954,8208,2094,3657,11865,9771,4,10,12,Mid East,,,460,590,460,580,,
C0116,Private,Doctoral degree,,45,30,12900,28512,5422,1055,755,1291,2346,1591,59,65,66,Southwest,22,28,490,620,500,600,,
C0117,Private,Master's degree,,45,25,5253,11750,5785,35895,22923,5473,41368,18445,14,30,43,New England,22,26,540,610,540,620,530,610
C0118,Private,Master's degree,,58,63,152,260,13800,2009,2350,3559,5568,3218,,,,New England,22,28,498,670,510,645,,
C0119,Private,Master's degree,,,,,,23800,8411,6261,3367,11778,5517,23,29,29,Mid East,17,22,450,570,430,560,420,540
C0120,Private,Master's degree,,82,66,1294,1575,7557,6269,2067,2614,8883,6816,39,61,66,Far West,22,26,480,600,490,600,470,580
C0121,Private,Doctoral degree,,49,16,2076,4239,10110,29437,10328,11991,41428,31100,42,53,56,Southeast,21,25,,,,,,
C0122,Private,Doctoral degree,,64,36,3560,5551,18256,1619,757,3651,5270,4513,54,60,64,Mid East,30,33,640,730,660,750,640,720
C0123,Private,Bachelor's degree,,,,,,30300,2118,578,845,2963,2385,13,25,30,Great Lakes,21,27,,,,,,
C0124,Private,Master's degree,,71,15,6585,9254,22330,13863,3575,6306,20169,16594,24,37,37,Southeast,19,24,440,570,460,570,430,540
C0125,Private,Bachelor's degree,,89,29,955,1078,24350,902,0,0,902,902,50,64,65,Southwest,26,31,600,700,580,670,580,690
C0126,Private,Doctoral degree,,63,20,3037,4804,5786,10051,5692,821,10872,5180,31,35,38,Southwest,18,23,430,530,450,550,,
C0127,Public,Doctoral degree,,6,76,2208,38828,10008,17786,3720,4713,22499,18779,20,39,46,Southeast,21,25,460,560,470,560,440,540
C0128,Private,Doctoral degree,,50,31,4472,8886,5173,1711,277,492,2203,1926,28,46,49,Southeast,,,,,,,,
C0129,Public,Doctoral degree,,46,63,332,727,26550,832,817,304,1136,319,20,36,37,Southeast,16,20,380,480,360,440,,
C0130,Private,Doctoral degree,,96,40,4001,4181,5578,25658,6994,2777,28435,21441,86,89,89,Southeast,19,21,420,540,420,510,,
C0131,Public,Master's degree,,72,27,4158,5763,,2156,314,810,2966,2652,34,55,60,New England,20,26,480,620,470,580,,
C0132,Private,Doctoral degree,,70,27,980,1409,15010,6538,1008,1040,7578,6570,67,72,72,New England,19,26,480,590,450,570,,
C0133,Private,Bachelor's degree,,62,18,3416,5551,7575,2901,415,633,3534,3119,20,33,33,New England,18,24,440,550,450,550,,
C0134,Private,Master's degree,,42,32,4548,10747,46094,9917,5491,5801,15718,10227,41,54,56,Great Lakes,22,28,490,620,510,640,490,600
C0135,Private,Doctoral degree,,67,13,6361,9523,18506,51,662,622,673,11,74,79,80,Southeast,21,25,460,560,480,570,440,540
C0136,Public,Master's degree,,66,30,4393,6630,7249,1145,1034,1420,2565,1531,39,45,46,Rocky Mountains,29,33,650,750,660,750,,
C0137,Private,Master's degree,,70,52,2182,3118,46296,7305,2813,2825,10130,7317,13,22,24,Mid East,,,,,,,,
C0138,Private,Doctoral degree,,83,26,12113,14621,28720,702,0,104,806,806,22,41,54,Southeast,15,24,350,500,370,500,390,480
C0139,Private,Bachelor's degree,,69,37,21610,31479,41450,14376,0,13316,27692,27692,54,63,67,New England,17,23,410,510,420,530,,
C0140,Private,Bachelor's degree,,59,14,6227,10509,25220,1518,0,35,1553,1553,18,33,37,Mid East,,,,,,,,
C0141,Private,Doctoral degree,,53,31,65,122,23332,2229,440,1885,4114,3674,29,29,55,Mid East,21,26,450,590,490,600,,
C0142,Private,Master's degree,,51,32,1063,2103,13608,11249,3623,7725,18974,15351,60,63,63,Mid East,20,27,460,610,420,530,430,560
C0143,Public,Master's degree,,81,45,277,342,43500,8710,3456,951,9661,6205,32,32,32,Southeast,,,,,,,,
C0144,Public,Doctoral degree,,,,,,6876,695,21,254,949,928,0,4,9,Southeast,32,35,700,800,710,800,710,800
C0145,Public,Doctoral degree,,64,40,818,1279,14096,4720,914,1457,6177,5263,21,44,53,Mid East,23,25,520,620,520,620,,
C0146,Public,Doctoral degree,,,,,,6108,1384,500,804,2188,1688,68,73,73,New England,,,,,,,,
C0147,Private,Master's degree,,38,31,1556,4054,41460,7798,3586,1990,9788,6202,100,100,100,Southwest,18,23,420,520,440,540,400,490
C0148,Private,Master's degree,,82,42,5304,6459,11966,967,0,255,1222,1222,20,41,52,New England,20,24,480,570,500,600,480,570
C0149,Public,Doctoral degree,,,,,,32192,2865,741,1101,3966,3225,56,63,64,Far West,20,26,490,590,510,610,480,590
C0150,Public,Doctoral degree,,90,8,5149,5723,11940,6034,2605,1611,7645,5040,83,85,85,Southeast,20,26,470,590,455,590,,
C0151,Private,Bachelor's degree,,91,15,31057,33989,46370,1991,247,400,2391,2144,27,43,46,Southeast,21,27,485,630,485,610,,
C0152,Private,Doctoral degree,,71,25,1208,1711,20200,3781,2016,1140,4921,2905,0,21,21,Mid East,,,,,,,,
C0153,Public,Master's degree,,12,63,3830,31282,17750,594,0,615,1209,1209,18,33,37,Southwest,27,32,600,720,610,700,600,710
C0154,Public,Doctoral degree,,51,47,1362,2669,12450,785,13,58,843,830,7,15,18,Southeast,,,,,,,,
C0155,Public,Master's degree,,80,19,3203,3983,20480,2061,0,68,2129,2129,26,42,46,Far West,25,31,560,680,600,760,590,710
C0156,Private,Master's degree,,55,59,1757,3170,12327,23604,4572,4038,27642,23070,26,35,39,Southwest,21,27,,,500,630,440,660
C0157,Public,Doctoral degree,,73,61,1386,1889,44272,1333,149,471,1804,1655,34,53,57,Rocky Mountains,,,390,490,453,540,,
C0158,Private,Doctoral degree,,43,33,554,1274,22740,591,697,400,991,294,28,56,66,Southeast,22,27,480,590,500,610,,
C0159,Public,Master's degree,,84,32,1371,1638,6256,1526,0,8,1534,1534,48,59,60,Southeast,,,380,480,320,480,410,470
C0160,Public,Master's degree,,53,26,947,1784,39890,20549,4412,4032,24581,20169,34,41,44,Plains,21,25,490,600,440,610,440,590
C0161,Private,Master's degree,,49,90,764,1563,11092,1049,0,494,1543,1543,73,76,77,Southeast,20,26,440,550,435,565,420,520
C0162,Private,Doctoral degree,,57,46,3536,6223,21320,1345,54,85,1430,1376,29,45,50,New England,19,24,,,460,550,,
C0163,Public,Doctoral degree,,64,21,1912,2973,20960,777,0,93,870,870,80,84,84,Far West,23,29,490,620,530,650,500,620
C0164,Public,Bachelor's degree,,,,,,,129,0,33,162,162,54,59,60,Plains,,,440,520,450,540,,
C0165,Private,Master's degree,,,,,,39015,1125,47,255,1380,1333,57,67,68,Southeast,20,25,480,620,490,550,,
C0166,Public,Doctoral degree,,83,51,3389,4068,41250,4960,4040,468,5428,1388,78,82,82,Far West,18,22,420,535,420,510,,
C0167,Public,Master's degree,,,,,,24950,7631,526,662,8293,7767,62,74,74,Southeast,,,,,,,,
C0168,Private,Doctoral degree,,31,26,3061,9825,13054,24422,3749,5483,29905,26156,20,44,50,Far West,22,27,490,600,500,620,,
C0169,Private,Master's degree,,68,42,371,542,27456,5999,2008,7442,13441,11433,25,31,31,Southeast,23,27,530,630,540,640,530,630
C0170,Private,Doctoral degree,,,,,,29315,26242,5921,5775,32017,26096,24,42,48,Southeast,19,23,430,540,460,560,410,530
C0171,Private,Bachelor's degree,,66,24,1132,1723,22390,1900,1031,850,2750,1719,15,31,36,Southeast,23,28,530,630,520,630,,
C0172,Private,Doctoral degree,,88,28,572,653,4984,2784,2069,1872,4656,2587,15,33,41,Southwest,19,23,410,530,390,510,,
C0173,Private,Doctoral degree,,74,31,1126,1529,29250,1564,0,113,1677,1677,50,56,60,Plains,,,,,,,,
C0174,Private,Doctoral degree,,85,27,386,452,19770,995,285,766,1761,1476,7,20,28,Plains,,,490,590,510,610,,
C0175,Private,Doctoral degree,,96,14,1597,1662,23350,881,132,293,1174,1042,89,91,91,Southwest,,,,,,,,
C0176,Public,Doctoral degree,,32,18,6346,19843,23800,1591,9,67,1658,1649,15,24,29,Southeast,19,24,440,560,440,570,450,580
C0177,Private,Master's degree,,70,38,798,1143,6507,875,164,211,1086,922,69,75,76,Great Lakes,18,24,,,,,,
C0178,Private,Doctoral degree,,,,,,5085,3129,48,655,3784,3736,52,64,66,Plains,,,,,,,,
C0179,Public,Doctoral degree,,40,17,1323,3334,8040,22735,2717,6076,28811,26094,19,36,41,Southeast,20,24,460,540,470,560,440,530
C0180,Private,Doctoral degree,,78,37,5533,7074,5614,47741,12080,4318,52059,39979,25,25,25,Plains,,,,,,,,
C0181,Public,Doctoral degree,,72,33,3920,5455,,1947,0,226,2173,2173,8,19,24,Plains,23,28,500,620,520,630,,
C0182,Public,Doctoral degree,,62,40,371,594,22090,341,0,103,444,444,54,61,61,Southeast,,,,,,,,
C0183,Private,Master's degree,,91,25,6401,7034,6024,2390,66,917,3307,3241,35,40,41,New England,18,22,410,500,430,520,390,480
C0184,Private,Doctoral degree,,83,27,14969,18122,20780,1390,250,407,1797,1547,77,84,85,Rocky Mountains,20,25,,,,,,
C0185,Private,Doctoral degree,,58,25,3541,6146,10286,6535,998,1013,7548,6550,48,56,56,Southeast,16,20,420,500,415,505,415,480
C0186,Private,Doctoral degree,,65,38,2192,3373,49138,602,234,510,1112,878,54,59,60,Far West,18,22,430,520,420,510,410,490
C0187,Public,Master's degree,,68,13,5500,8082,13525,588,204,502,1090,886,42,55,56,New England,,,,,,,,
C0188,Private,Doctoral degree,,52,29,2807,5433,9666,1198,2064,1916,3114,1050,59,73,76,Southeast,21,28,450,610,500,630,470,590
C0189,Private,Doctoral degree,,69,25,906,1307,5138,2341,199,317,2658,2459,87,91,92,Southeast,18,21,360,485,360,490,360,470
C0190,Private,Doctoral degree,,97,27,837,864,27546,17308,5333,10952,28260,22927,14,42,48,Plains,18,25,433,568,430,560,423,550
C0191,Private,Doctoral degree,,64,17,4484,6960,37234,271,0,203,474,474,43,55,59,Southeast,,,,,,,,
C0192,Private,Master's degree,,100,71,34,34,26420,1698,516,898,2596,2080,37,37,38,Far West,25,30,570,670,550,660,550,670
C0193,Private,Doctoral degree,,56,19,2631,4675,8673,9123,3323,1174,10297,6974,28,44,48,New England,19,24,430,550,450,560,,
C0194,Private,Master's degree,,52,30,2063,3986,22891,1061,0,39,1100,1100,0,0,0,Southeast,,,,,,,,
C0195,Private,Doctoral degree,,59,11,4357,7437,14050,883,0,7,890,890,75,79,79,Great Lakes,24,30,520,630,540,660,510,620
C0196,Private,Doctoral degree,,90,25,1966,2179,9776,5362,943,1123,6485,5542,70,80,81,New England,23,29,500,630,540,650,490,600
C0197,Public,Doctoral degree,,52,40,205,396,6384,894,23,65,959,936,66,77,78,Southeast,19,23,420,540,430,530,420,530
C0198,Private,Master's degree,,63,12,4059,6458,45080,7549,1770,3466,11015,9245,59,67,68,Far West,19,26,,,,,,
C0199,Private,Bachelor's degree,,75,31,674,897,28210,1922,55,755,2677,2622,16,31,33,Southeast,23,28,530,620,550,640,510,610
C0200,Private,Bachelor's degree,,63,21,22665,36012,32284,4138,2387,1506,5644,3257,14,36,49,Southeast,21,26,480,570,500,580,480,560
C0201,Private,Doctoral degree,,73,21,2356,3242,31290,1395,310,38,1433,1123,33,38,38,New England,29,32,620,700,620,700,630,720
C0202,Public,Doctoral degree,,58,34,10167,17407,7510,775,587,558,1333,746,32,45,48,Great Lakes,,,,,,,,
C0203,Public,Doctoral degree,,40,34,1081,2708,28000,4698,5010,8923,13621,8611,9,19,25,Southeast,20,28,,,,,,
C0204,Private,Bachelor's degree,,61,24,651,1061,7490,1135,409,442,1577,1168,45,61,62,Mid East,19,24,420,550,430,570,,
C0205,Private,Bachelor's degree,,84,22,2468,2935,7602,1692,758,554,2246,1488,2,53,59,Far West,,,440,530,470,560,,
C0206,Private,Doctoral degree,,60,42,6405,10679,19665,8415,3524,1886,10301,6777,100,100,100,Southeast,23,28,520,620,530,640,530,640
