ID,Content Rating,Creative Type,Genre,IMDB Rating,Production Budget,Release Year,Rotten Tomatoes Rating,Running Time,Worldwide Gross
M067,PG,Kids Fiction,Adventure,7.4,65000000,2002,77,81,383000000
M068,PG-13,Contemporary Fiction,Comedy,5.7,,2004,22,119,
M069,R,Contemporary Fiction,Comedy,6.4,16000000,2000,59,94,120000000
M070,PG-13,Super Hero,Action,5.2,120000000,2007,26,110,238000000
M071,R,Contemporary Fiction,Drama,6.1,60000000,1999,22,116,150000000
M072,R,Historical Fiction,Drama,7.9,15000000,1997,92,152,43111725
M073,R,Contemporary Fiction,Action,,10000000,1999,48,110,15164492
M074,R,Contemporary Fiction,Thriller,6.2,32000000,2007,8,95,76593167
M075,PG-13,Contemporary Fiction,,7.1,,1997,,148,
M076,R,,,6.6,,1996,69,120,
M077,PG,Contemporary Fiction,Romantic Comedy,6.6,5000000,2002,75,95,369000000
M078,PG,Kids Fiction,Adventure,6.4,95000000,2000,49,90,65700000
M079,PG-13,,Comedy,5.6,,2005,30,115,
M080,R,,Action,6,135000000,2006,47,132,164000000
M081,R,Science Fiction,Horror,7.6,15000000,2003,,113,82719885
M082,PG,Kids Fiction,,7.2,100000000,2009,,90,140000000
M083,PG,Historical Fiction,,5.6,110000000,2004,30,120,72004159
M084,R,Contemporary Fiction,Drama,8,30000000,2003,,137,157000000
M085,R,Contemporary Fiction,Comedy,6.8,22000000,2001,53,104,33762400
M086,R,Historical Fiction,Drama,7.7,20000000,2007,63,128,20081987
M087,PG-13,Contemporary Fiction,Comedy,6.4,,1999,,96,
M088,PG-13,Dramatization,Drama,7.8,55000000,2006,,116,306000000
M089,R,,Drama,5.3,,2003,30,136,
M090,R,Fantasy,Action,8.3,40000000,2005,77,126,159000000
M091,R,Contemporary Fiction,Horror,6.7,15000,2009,82,85,194000000
M092,R,Contemporary Fiction,Drama,7.3,30000000,2002,85,125,106000000
M093,R,Contemporary Fiction,Drama,7.2,,2001,,111,
M094,PG,Kids Fiction,,5.6,120000000,2002,83,78,166000000
M095,PG-13,Contemporary Fiction,Romantic Comedy,5.7,55000000,2005,69,113,367000000
M096,PG-13,Contemporary Fiction,Action,5.3,70000000,2002,10,117,69157016
M097,R,Contemporary Fiction,Drama,8.2,6000000,2008,98,109,43236603
M098,PG-13,Science Fiction,Comedy,6.3,80000000,1996,,110,101000000
M099,PG,Contemporary Fiction,Comedy,5.6,30000000,1996,,90,181000000
M100,PG,Kids Fiction,Comedy,4.7,84000000,2002,,86,276000000
M101,R,Contemporary Fiction,Drama,6.7,48000000,1999,67,111,124000000
M102,PG,Kids Fiction,Comedy,3.3,58000000,2000,24,90,59431365
M103,PG,Contemporary Fiction,Adventure,4.6,,2001,12,95,
M104,PG,Contemporary Fiction,Comedy,5.6,,2003,24,98,
M105,R,Dramatization,Drama,7.4,23000000,2007,73,120,24489150
M106,R,,Action,6.9,90000000,2001,,126,143000000
M107,PG-13,Contemporary Fiction,Thriller,6.5,45000000,2004,54,94,45261739
M108,PG-13,Super Hero,,7.4,75000000,2000,82,104,335000000
M109,R,Contemporary Fiction,Horror,6,32000000,1999,22,103,89441732
M110,PG-13,Contemporary Fiction,Drama,6.8,40000000,2000,40,123,33508922
M111,G,Kids Fiction,Comedy,6.1,24000000,1999,,88,16304786
M112,PG,,Comedy,5.6,80000000,1996,,87,250000000
M113,PG,Contemporary Fiction,Comedy,5.7,25000000,2003,34,105,35990505
M114,PG-13,Historical Fiction,Comedy,6.2,,2004,64,101,
M115,PG-13,Contemporary Fiction,Comedy,5.4,16000000,2001,11,91,30987695
M116,PG-13,Contemporary Fiction,Thriller,6.5,90000000,2005,58,118,164000000
M117,R,Contemporary Fiction,Black Comedy,7.6,,2001,79,110,
M118,PG-13,Fantasy,Comedy,4.5,20000000,2008,12,84,7013191
M119,PG,Kids Fiction,Adventure,7.5,70000000,2004,89,92,920000000
M120,PG-13,Science Fiction,Comedy,5.7,45000000,1996,44,117,20133326
M121,G,Fantasy,Adventure,7.3,45000000,1998,,96,363000000
M122,PG-13,Contemporary Fiction,Drama,5.3,30000000,1998,,114,81529000
M123,R,Contemporary Fiction,Black Comedy,6.4,24000000,2000,84,110,27732366
M124,R,Contemporary Fiction,Black Comedy,7.4,8500000,1999,92,103,14943582
M125,R,Contemporary Fiction,Drama,6.9,30000000,1998,88,127,26708196
M126,R,Contemporary Fiction,Drama,6.7,11000000,1999,47,95,75803716
M127,PG-13,Fantasy,Adventure,7.4,150000000,2007,78,138,938000000
M128,R,Science Fiction,Action,5.5,80000000,1997,10,177,17650704
M129,R,Contemporary Fiction,Action,5.7,25000000,1997,17,95,41076865
M130,PG-13,Contemporary Fiction,Thriller,6.5,38000000,2002,,115,39177215
M131,PG-13,Science Fiction,Action,5.3,85000000,2003,42,133,74132631
M132,PG-13,Fantasy,Drama,6.1,37000000,2008,50,120,396000000
M133,R,,Black Comedy,6.8,32000000,1999,71,120,16640210
M134,PG-13,Contemporary Fiction,,6.2,82000000,2005,31,113,190000000
M135,R,Contemporary Fiction,Action,6.7,75000000,2005,,122,231000000
M136,PG-13,Historical Fiction,Musical,7.2,30000000,2002,88,113,308000000
M137,PG-13,Fantasy,Adventure,7,300000000,2007,45,167,961000000
M138,R,Historical Fiction,Thriller,6.7,80000000,2004,81,129,96148711
M139,R,Dramatization,Drama,7.1,25000000,2004,50,127,612000000
M140,PG-13,Contemporary Fiction,Horror,3.3,18000000,2005,5,101,37048526
M141,R,Contemporary Fiction,Action,6.3,80000000,2001,25,99,147000000
M142,PG-13,Contemporary Fiction,Thriller,4.8,20000000,2006,3,95,38164784
M143,PG,Dramatization,Adventure,6.8,60000000,1998,79,97,219000000
M144,PG-13,Historical Fiction,Action,6.4,62000000,2000,,116,128000000
M145,PG-13,Contemporary Fiction,Drama,6.9,,1997,,135,
M146,PG-13,Contemporary Fiction,Comedy,5.3,,2002,24,95,
M147,PG-13,Contemporary Fiction,Adventure,6.1,,1998,42,150,
M148,R,,Horror,7.1,20000000,1996,63,107,25728961
M149,PG-13,Contemporary Fiction,Thriller,5.3,53000000,2001,24,89,45207112
M150,PG-13,Contemporary Fiction,Comedy,5.8,43000000,2000,30,103,62063972
M151,R,Contemporary Fiction,Action,5.4,45000000,2008,9,98,46598133
M152,R,Historical Fiction,,8.4,70000000,2009,88,152,320000000
M153,PG-13,Science Fiction,,6.3,125000000,2004,46,124,544000000
M154,PG-13,Contemporary Fiction,Thriller,6.1,66000000,1999,38,112,212000000
M155,R,Science Fiction,Action,8.7,65000000,1999,86,136,460000000
M156,PG-13,Historical Fiction,Adventure,6.7,65000000,1998,,136,234000000
M157,PG,Contemporary Fiction,,5.1,35000000,2007,7,90,70799818
M158,R,Contemporary Fiction,,7.2,22000000,1998,83,119,360000000
M159,PG-13,Contemporary Fiction,,5.9,48000000,2000,,93,90376224
M160,R,Contemporary Fiction,Comedy,7.2,50000000,2004,53,118,34806726
M161,PG-13,Super Hero,Action,3.5,125000000,1997,11,130,238000000
M162,PG-13,Contemporary Fiction,Action,5.4,80000000,1996,22,115,159000000
M163,R,Contemporary Fiction,Thriller,7.2,53000000,2009,,108,113000000
M164,PG-13,Contemporary Fiction,Action,6.3,135000000,1999,51,125,362000000
M165,R,Contemporary Fiction,Romantic Comedy,6.1,45000000,1996,69,105,75854588
M166,R,Historical Fiction,Drama,6.5,22000000,1999,50,142,19288130
M167,R,Contemporary Fiction,Comedy,5.6,60000000,2002,27,96,54994757
M168,PG-13,,Romantic Comedy,6.6,28000000,2001,58,91,75294136
M169,PG,Contemporary Fiction,Drama,8,60000000,1998,95,102,248000000
M170,R,Contemporary Fiction,Action,5.8,65000000,1996,55,108,148000000
M171,R,Contemporary Fiction,,6.9,15000000,1997,71,105,63706632
M172,R,Contemporary Fiction,Drama,7,15000000,1997,84,120,64252038
M173,PG-13,Historical Fiction,,7.1,25000000,2009,84,107,1190003
M174,PG,Kids Fiction,Comedy,7.1,,2005,82,115,
M175,PG-13,Contemporary Fiction,Drama,,,1999,,137,
M176,PG-13,Contemporary Fiction,Comedy,2.2,20000000,2007,2,86,86858578
M177,PG-13,Science Fiction,Adventure,4.1,40000000,1996,23,95,27682712
M178,PG-13,Contemporary Fiction,Drama,6.4,60000000,1998,61,112,56709981
M179,PG-13,Contemporary Fiction,Romantic Comedy,6.1,50000000,2003,43,116,177000000
M180,R,Contemporary Fiction,Horror,5.3,,2000,38,118,
M181,PG-13,Contemporary Fiction,Action,6.2,57000000,2004,18,97,38329114
M182,PG-13,Contemporary Fiction,Comedy,6.1,,1997,71,92,
M183,R,Contemporary Fiction,Drama,6.2,55000000,1999,27,123,34105207
M184,R,Historical Fiction,Western,7.5,26000000,2003,79,139,68293719
M185,PG-13,Contemporary Fiction,,5.1,45000000,2005,,95,156000000
M186,PG-13,Science Fiction,Action,6.3,80000000,2009,,104,120000000
M187,R,Contemporary Fiction,Drama,6.1,40000000,1996,55,111,20278055
M188,R,Contemporary Fiction,Black Comedy,6.4,24000000,2009,,93,67348218
M189,R,,Horror,6.3,,1998,,102,
M190,R,Contemporary Fiction,Romantic Comedy,5.4,17000000,2002,38,96,95092667
M191,PG-13,Historical Fiction,Drama,6.5,16000000,2005,51,135,2814566
M192,PG-13,Science Fiction,Adventure,6,80000000,1998,47,120,349000000
M193,PG-13,Science Fiction,Action,8,39000000,2005,81,119,38514517
M194,PG,Kids Fiction,Comedy,5.5,55000000,2007,27,92,361000000
M195,G,Kids Fiction,Adventure,7.4,115000000,2001,95,95,527000000
M196,PG,Kids Fiction,Adventure,7.9,50000000,1999,97,86,31333917
M197,R,Contemporary Fiction,Comedy,7.5,35000000,2000,81,111,33422485
M198,PG-13,Fantasy,Horror,7.1,30000000,2009,92,99,85724728
M199,PG,Science Fiction,Drama,6.4,,1999,38,132,
M200,R,Contemporary Fiction,Comedy,8.2,,1998,78,127,
M201,R,Fantasy,Horror,2.3,20000000,2005,,96,8178569
M202,PG-13,Science Fiction,Action,5.6,49000000,2001,,87,43905746
M203,PG,Contemporary Fiction,Comedy,6.9,400000,2004,70,82,46140956
M204,R,Contemporary Fiction,Thriller,4.8,50000000,2004,2,97,40119848
M205,PG-13,Fantasy,,7.6,150000000,2005,,157,896000000
M206,R,Science Fiction,Action,7.1,100000000,1997,60,129,121000000
M207,R,Historical Fiction,,8.4,35000000,1997,99,137,111000000
M208,R,Contemporary Fiction,Action,5.2,33000000,2001,,100,79958599
M209,G,Fantasy,Adventure,5.3,25000000,1996,,94,36682170
M210,R,Contemporary Fiction,Comedy,6.9,12000000,1999,59,95,235000000
M211,PG-13,Contemporary Fiction,Action,,,2001,53,107,
M212,PG-13,,,6.8,14000000,2006,76,101,5699773
M213,R,Contemporary Fiction,,6,19000000,2000,,88,277000000
M214,R,Contemporary Fiction,Action,6.2,29000000,2003,68,102,98156459
M215,R,Fantasy,Horror,6.8,23000000,2000,31,98,113000000
M216,R,Contemporary Fiction,Drama,4.5,50000000,2000,19,119,39778599
M217,R,Science Fiction,Thriller,7.3,40000000,2007,74,108,32030610
M218,PG-13,Contemporary Fiction,,7.4,27000000,2002,,101,130000000
M219,R,Contemporary Fiction,Comedy,6.2,35000000,2004,54,104,77692139
M220,PG,Contemporary Fiction,Comedy,5.3,,2001,,98,
M221,R,Dramatization,,7.1,40000000,1997,,152,44212592
M222,PG-13,Contemporary Fiction,Romantic Comedy,6.4,60000000,2003,75,100,121000000
M223,R,Contemporary Fiction,Thriller,6.3,46000000,2002,92,118,114000000
M224,PG-13,Science Fiction,Adventure,6.4,120000000,2004,29,119,107000000
M225,G,Fantasy,Drama,6.7,82500000,2006,78,98,144000000
M226,PG-13,Contemporary Fiction,Romantic Comedy,6.9,85000000,2006,,131,205000000
M227,PG-13,Dramatization,Drama,7.9,29000000,2005,82,80,184000000
M228,PG-13,Historical Fiction,Drama,7.3,25000000,2000,62,122,153000000
M229,PG-13,Science Fiction,Thriller,6.9,70702619,2002,74,106,408000000
M230,PG-13,Dramatization,Drama,7.1,75000000,2004,60,128,219000000
M231,PG-13,Contemporary Fiction,Comedy,6.2,12000000,2002,,103,77081642
M232,PG-13,Contemporary Fiction,Action,6.8,35000000,1998,60,98,245000000
M233,PG-13,Super Hero,Adventure,7.4,139000000,2002,,121,822000000
M234,PG-13,Super Hero,Adventure,5.5,78000000,2003,17,110,179000000
M235,R,Contemporary Fiction,Thriller,6.9,48000000,2002,76,112,196000000
M236,PG-13,Contemporary Fiction,,7.5,85000000,2000,89,144,427000000
M237,R,Contemporary Fiction,Horror,5.9,24000000,1997,80,120,101000000
M238,R,Science Fiction,Action,7.1,127000000,2003,73,138,739000000
M239,R,Contemporary Fiction,Action,6.6,80000000,1997,57,115,224000000
M240,PG,Kids Fiction,Drama,6.9,7000000,2000,,95,35512760
M241,PG-13,Contemporary Fiction,Thriller,5.3,15000000,2000,,107,35007180
M242,G,Kids Fiction,Adventure,6.1,80000000,1998,61,75,69131860
M243,R,Historical Fiction,,7.9,40000000,2006,64,136,118000000
M244,R,Historical Fiction,Western,7.9,48000000,2007,89,117,69791889
M245,PG,Historical Fiction,,6,20000000,2006,16,124,13395961
M246,PG-13,Contemporary Fiction,Action,5.1,76000000,2003,36,107,236000000
M247,PG,Contemporary Fiction,Drama,6.7,20000000,1998,44,110,18253415
M248,PG-13,Contemporary Fiction,,7.8,30000000,2006,,112,45235190
M249,R,Contemporary Fiction,Drama,7.2,65000000,1999,78,159,86257553
M250,PG-13,Science Fiction,Horror,7.1,150000000,2007,69,100,585000000
