ID,Content Rating,Release Year,Running Time,Rotten Tomatoes Rating,Production Budget,Genre
M056,PG-13,1996,105,0,5500000,Dramatization
M057,R,1997,154,85,12000000,Contemporary Fiction
M058,PG-13,1997,119,55,110000000,Contemporary Fiction
M059,R,1998,86,39,30000000,Contemporary Fiction
M060,R,1998,166,78,0,Dramatization
M061,PG-13,1998,110,0,40000000,Kids Fiction
M062,PG-13,2003,138,85,135000000,Historical Fiction
M063,R,2006,136,79,14000000,Contemporary Fiction
M064,PG-13,2002,91,40,60000000,Fantasy
M065,R,2001,123,0,35000000,Historical Fiction
M066,R,2009,98,66,21000000,Contemporary Fiction
M067,PG,2002,81,77,65000000,Kids Fiction
M068,PG-13,2004,119,22,0,Contemporary Fiction
M069,R,2000,94,59,16000000,Contemporary Fiction
M070,PG-13,2007,110,26,120000000,Super Hero
M071,R,1999,116,22,60000000,Contemporary Fiction
M072,R,1997,152,92,15000000,Historical Fiction
M073,R,1999,110,48,10000000,Contemporary Fiction
M074,R,2007,95,8,32000000,Contemporary Fiction
M075,PG-13,1997,148,0,0,Contemporary Fiction
M076,R,1996,120,69,0,0
M077,PG,2002,95,75,5000000,Contemporary Fiction
M078,PG,2000,90,49,95000000,Kids Fiction
M079,PG-13,2005,115,30,0,0
M080,R,2006,132,47,135000000,0
M081,R,2003,113,0,15000000,Science Fiction
M082,PG,2009,90,0,100000000,Kids Fiction
M083,PG,2004,120,30,110000000,Historical Fiction
M084,R,2003,137,0,30000000,Contemporary Fiction
M085,R,2001,104,53,22000000,Contemporary Fiction
M086,R,2007,128,63,20000000,Historical Fiction
M087,PG-13,1999,96,0,0,Contemporary Fiction
M088,PG-13,2006,116,0,55000000,Dramatization
M089,R,2003,136,30,0,0
M090,R,2005,126,77,40000000,Fantasy
M091,R,2009,85,82,15000,Contemporary Fiction
M092,R,2002,125,85,30000000,Contemporary Fiction
M093,R,2001,111,0,0,Contemporary Fiction
M094,PG,2002,78,83,120000000,Kids Fiction
M095,PG-13,2005,113,69,55000000,Contemporary Fiction
M096,PG-13,2002,117,10,70000000,Contemporary Fiction
M097,R,2008,109,98,6000000,Contemporary Fiction
M098,PG-13,1996,110,0,80000000,Science Fiction
M099,PG,1996,90,0,30000000,Contemporary Fiction
M100,PG,2002,86,0,84000000,Kids Fiction
M101,R,1999,111,67,48000000,Contemporary Fiction
M102,PG,2000,90,24,58000000,Kids Fiction
M103,PG,2001,95,12,0,Contemporary Fiction
M104,PG,2003,98,24,0,Contemporary Fiction
M105,R,2007,120,73,23000000,Dramatization
M106,R,2001,126,0,90000000,0
M107,PG-13,2004,94,54,45000000,Contemporary Fiction
M108,PG-13,2000,104,82,75000000,Super Hero
M109,R,1999,103,22,32000000,Contemporary Fiction
M110,PG-13,2000,123,40,40000000,Contemporary Fiction
M111,G,1999,88,0,24000000,Kids Fiction
M112,PG,1996,87,0,80000000,0
M113,PG,2003,105,34,25000000,Contemporary Fiction
M114,PG-13,2004,101,64,0,Historical Fiction
M115,PG-13,2001,91,11,16000000,Contemporary Fiction
M116,PG-13,2005,118,58,90000000,Contemporary Fiction
M117,R,2001,110,79,0,Contemporary Fiction
M118,PG-13,2008,84,12,20000000,Fantasy
M119,PG,2004,92,89,70000000,Kids Fiction
M120,PG-13,1996,117,44,45000000,Science Fiction
M121,G,1998,96,0,45000000,Fantasy
M122,PG-13,1998,114,0,30000000,Contemporary Fiction
M123,R,2000,110,84,24000000,Contemporary Fiction
M124,R,1999,103,92,8500000,Contemporary Fiction
M125,R,1998,127,88,30000000,Contemporary Fiction
M126,R,1999,95,47,11000000,Contemporary Fiction
M127,PG-13,2007,138,78,150000000,Fantasy
M128,R,1997,177,10,80000000,Science Fiction
M129,R,1997,95,17,25000000,Contemporary Fiction
M130,PG-13,2002,115,0,38000000,Contemporary Fiction
M131,PG-13,2003,133,42,85000000,Science Fiction
M132,PG-13,2008,120,50,37000000,Fantasy
M133,R,1999,120,71,32000000,0
M134,PG-13,2005,113,31,82000000,Contemporary Fiction
M135,R,2005,122,0,75000000,Contemporary Fiction
M136,PG-13,2002,113,88,30000000,Historical Fiction
M137,PG-13,2007,167,45,300000000,Fantasy
M138,R,2004,129,81,80000000,Historical Fiction
M139,R,2004,127,50,25000000,Dramatization
M140,PG-13,2005,101,5,18000000,Contemporary Fiction
M141,R,2001,99,25,80000000,Contemporary Fiction
M142,PG-13,2006,95,3,20000000,Contemporary Fiction
M143,PG,1998,97,79,60000000,Dramatization
M144,PG-13,2000,116,0,62000000,Historical Fiction
M145,PG-13,1997,135,0,0,Contemporary Fiction
M146,PG-13,2002,95,24,0,Contemporary Fiction
M147,PG-13,1998,150,42,0,Contemporary Fiction
M148,R,1996,107,63,20000000,0
M149,PG-13,2001,89,24,53000000,Contemporary Fiction
M150,PG-13,2000,103,30,43000000,Contemporary Fiction
M151,R,2008,98,9,45000000,Contemporary Fiction
M152,R,2009,152,88,70000000,Historical Fiction
M153,PG-13,2004,124,46,125000000,Science Fiction
M154,PG-13,1999,112,38,66000000,Contemporary Fiction
M155,R,1999,136,86,65000000,Science Fiction
M156,PG-13,1998,136,0,65000000,Historical Fiction
M157,PG,2007,90,7,35000000,Contemporary Fiction
M158,R,1998,119,83,22000000,Contemporary Fiction
M159,PG-13,2000,93,0,48000000,Contemporary Fiction
M160,R,2004,118,53,50000000,Contemporary Fiction
M161,PG-13,1997,130,11,125000000,Super Hero
M162,PG-13,1996,115,22,80000000,Contemporary Fiction
M163,R,2009,108,0,53000000,Contemporary Fiction
M164,PG-13,1999,125,51,135000000,Contemporary Fiction
M165,R,1996,105,69,45000000,Contemporary Fiction
M166,R,1999,142,50,22000000,Historical Fiction
M167,R,2002,96,27,60000000,Contemporary Fiction
M168,PG-13,2001,91,58,28000000,0
M169,PG,1998,102,95,60000000,Contemporary Fiction
M170,R,1996,108,55,65000000,Contemporary Fiction
M171,R,1997,105,71,15000000,Contemporary Fiction
M172,R,1997,120,84,15000000,Contemporary Fiction
M173,PG-13,2009,107,84,25000000,Historical Fiction
M174,PG,2005,115,82,0,Kids Fiction
M175,PG-13,1999,137,0,0,Contemporary Fiction
M176,PG-13,2007,86,2,20000000,Contemporary Fiction
M177,PG-13,1996,95,23,40000000,Science Fiction
M178,PG-13,1998,112,61,60000000,Contemporary Fiction
M179,PG-13,2003,116,43,50000000,Contemporary Fiction
M180,R,2000,118,38,0,Contemporary Fiction
M181,PG-13,2004,97,18,57000000,Contemporary Fiction
M182,PG-13,1997,92,71,0,Contemporary Fiction
M183,R,1999,123,27,55000000,Contemporary Fiction
M184,R,2003,139,79,26000000,Historical Fiction
M185,PG-13,2005,95,0,45000000,Contemporary Fiction
M186,PG-13,2009,104,0,80000000,Science Fiction
M187,R,1996,111,55,40000000,Contemporary Fiction
M188,R,2009,93,0,24000000,Contemporary Fiction
M189,R,1998,102,0,0,0
M190,R,2002,96,38,17000000,Contemporary Fiction
M191,PG-13,2005,135,51,16000000,Historical Fiction
M192,PG-13,1998,120,47,80000000,Science Fiction
M193,PG-13,2005,119,81,39000000,Science Fiction
M194,PG,2007,92,27,55000000,Kids Fiction
M195,G,2001,95,95,115000000,Kids Fiction
M196,PG,1999,86,97,50000000,Kids Fiction
M197,R,2000,111,81,35000000,Contemporary Fiction
M198,PG-13,2009,99,92,30000000,Fantasy
M199,PG,1999,132,38,0,Science Fiction
M200,R,1998,127,78,0,Contemporary Fiction
M201,R,2005,96,0,20000000,Fantasy
M202,PG-13,2001,87,0,49000000,Science Fiction
M203,PG,2004,82,70,400000,Contemporary Fiction
M204,R,2004,97,2,50000000,Contemporary Fiction
M205,PG-13,2005,157,0,150000000,Fantasy
M206,R,1997,129,60,100000000,Science Fiction
M207,R,1997,137,99,35000000,Historical Fiction
M208,R,2001,100,0,33000000,Contemporary Fiction
M209,G,1996,94,0,25000000,Fantasy
M210,R,1999,95,59,12000000,Contemporary Fiction
M211,PG-13,2001,107,53,0,Contemporary Fiction
M212,PG-13,2006,101,76,14000000,0
M213,R,2000,88,0,19000000,Contemporary Fiction
M214,R,2003,102,68,29000000,Contemporary Fiction
M215,R,2000,98,31,23000000,Fantasy
M216,R,2000,119,19,50000000,Contemporary Fiction
M217,R,2007,108,74,40000000,Science Fiction
M218,PG-13,2002,101,0,27000000,Contemporary Fiction
M219,R,2004,104,54,35000000,Contemporary Fiction
M220,PG,2001,98,0,0,Contemporary Fiction
M221,R,1997,152,0,40000000,Dramatization
M222,PG-13,2003,100,75,60000000,Contemporary Fiction
M223,R,2002,118,92,46000000,Contemporary Fiction
M224,PG-13,2004,119,29,120000000,Science Fiction
M225,G,2006,98,78,82500000,Fantasy
M226,PG-13,2006,131,0,85000000,Contemporary Fiction
M227,PG-13,2005,80,82,29000000,Dramatization
M228,PG-13,2000,122,62,25000000,Historical Fiction
M229,PG-13,2002,106,74,70702619,Science Fiction
M230,PG-13,2004,128,60,75000000,Dramatization
M231,PG-13,2002,103,0,12000000,Contemporary Fiction
M232,PG-13,1998,98,60,35000000,Contemporary Fiction
M233,PG-13,2002,121,0,139000000,Super Hero
M234,PG-13,2003,110,17,78000000,Super Hero
M235,R,2002,112,76,48000000,Contemporary Fiction
M236,PG-13,2000,144,89,85000000,Contemporary Fiction
M237,R,1997,120,80,24000000,Contemporary Fiction
M238,R,2003,138,73,127000000,Science Fiction
M239,R,1997,115,57,80000000,Contemporary Fiction
M240,PG,2000,95,0,7000000,Kids Fiction
M241,PG-13,2000,107,0,15000000,Contemporary Fiction
M242,G,1998,75,61,80000000,Kids Fiction
M243,R,2006,136,64,40000000,Historical Fiction
M244,R,2007,117,89,48000000,Historical Fiction
M245,PG,2006,124,16,20000000,Historical Fiction
M246,PG-13,2003,107,36,76000000,Contemporary Fiction
M247,PG,1998,110,44,20000000,Contemporary Fiction
M248,PG-13,2006,112,0,30000000,Contemporary Fiction
M249,R,1999,159,78,65000000,Contemporary Fiction
M250,PG-13,2007,100,69,150000000,Science Fiction
