ID,Loan amount ($),Loan intent,Loan interest rate (%),Annual income ($),Loan grade,Home ownership,Job title,Length of employment (years),FICO score (high),FICO score (low),Open credit lines,Total credit limit ($),Total credit lines,Total current balance ($)
L068,28000,Debt consolidation,14.85,85000,C,Mortgage,Division General Manager,2,674,670,19,280650,29,256638
L069,20000,Debt consolidation,13.99,70000,C,Own,Facilities Coordinator,10,684,680,20,84200,35,34856
L070,17600,,19.89,44000,E,Rent,RN,1,684,680,7,139633,25,133285
L071,4200,Debt consolidation,13.44,102500,C,Mortgage,Manager,10,704,700,14,264272,37,197024
L072,19000,Credit card refinancing,14.85,75000,C,Own,Application Analyst,9,669,665,15,94620,34,72043
L073,15850,Debt consolidation,23.13,45000,F,Own,Lead manufacturing ,10,759,755,18,84300,24,45025
L074,10000,Debt consolidation,11.99,42500,C,Rent,CARDIOVASCULAR TECH,10,709,705,10,61054,23,41166
L075,30000,Home improvement,15.77,175000,D,Mortgage,Vice-President,2,729,725,9,447599,23,408118
L076,1500,Vacation,6.49,45000,A,Mortgage,,,749,745,12,179105,37,158643
L077,25000,Credit card refinancing,5.32,150000,A,Mortgage,Director,1,799,795,7,512381,18,430856
L078,16250,Debt consolidation,13.44,50000,C,Mortgage,Radiology Tech.,2,694,690,15,206555,21,201184
L079,20200,Debt consolidation,18.49,60000,D,Rent,Manager,4,724,720,10,84627,16,43224
L080,23975,Credit card refinancing,19.89,70000,E,Rent,Principal,10,689,685,10,74779,19,57655
L081,15000,Debt consolidation,10.78,65000,B,Mortgage,Senior Buyer,10,724,720,18,256635,32,224194
L082,10000,Debt consolidation,10.78,41600,B,Mortgage,Lpn,3,699,695,18,190694,33,168304
L083,15000,Credit card refinancing,8.49,110000,B,Mortgage,Senior Associate,6,674,670,16,369112,33,327836
L084,23100,Car financing,20.5,110000,E,Own,Regional Sales Direcdtor,2,664,660,11,102524,24,55048
L085,27300,Home improvement,17.27,65000,D,Mortgage,groundsman,10,664,660,14,253900,38,238105
L086,25000,Credit card refinancing,11.48,135000,B,Mortgage,Project Manager,10,709,705,16,72150,33,23522
L087,15000,Credit card refinancing,10.78,40000,B,Rent,Coaching General Manager,1,674,670,7,16300,9,12272
L088,10000,Debt consolidation,16.59,30000,D,Rent,Emergency Department technician ,1,719,715,19,85929,36,65214
L089,18500,Debt consolidation,12.88,70000,C,Mortgage,Supply Chain Coord.,10,679,675,9,143748,19,123863
L090,5000,Credit card refinancing,7.91,32000,A,Rent,Property Manager,6,689,685,7,21690,10,11665
L091,9000,Debt consolidation,9.17,50000,B,Own,Truck Driver,1,804,800,5,69818,11,40272
L092,11000,Credit card refinancing,6.49,85000,A,Mortgage,material handler lead,10,759,755,12,90996,31,32193
L093,20000,Debt consolidation,6.49,55000,A,Mortgage,"TEAM LEAD, QUALITY ENGINEER",6,754,750,9,247433,23,205155
L094,15000,Debt consolidation,5.32,80000,A,Rent,,,779,775,30,537200,47,330562
L095,12000,Debt consolidation,5.32,53750,A,Mortgage,Network Operation Engineer,4,704,700,8,183062,19,142615
L096,8000,Debt consolidation,10.78,45000,B,Mortgage,Counselor,1,674,670,28,168819,69,148154
L097,12000,Credit card refinancing,10.78,40000,B,Rent,Salesman,3,669,665,16,59420,22,31915
L098,18000,Debt consolidation,7.49,75000,A,Mortgage,Systems Support Engineer,5,719,715,12,335119,47,304914
L099,3600,Debt consolidation,11.48,85000,B,Mortgage,Systems Administrator,1,679,675,12,457315,23,407032
L100,7200,Debt consolidation,17.27,20000,D,Own,Department Manager ,9,709,705,8,22400,17,7302
L101,15000,Credit card refinancing,13.44,77213,C,Rent,Counselor,4,674,670,17,176208,44,155521
L102,5000,Other,9.8,72000,B,Own,Accounts Payable Manager,6,714,710,11,155131,20,142064
L103,11550,Credit card refinancing,16.59,38000,D,Rent,general manager,5,704,700,9,34105,12,10353
L104,33600,Debt consolidation,10.78,104000,B,Rent,Aviation Safety Inspector,8,694,690,14,92909,31,42952
L105,17925,Debt consolidation,17.27,39000,D,Own,IT Help Desk Support ,10,724,720,10,122214,21,102008
L106,17475,Debt consolidation,13.99,39750,C,Rent,Software Testing Analyst,2,699,695,7,50240,13,32365
L107,9000,Debt consolidation,8.49,47000,B,Mortgage,Office Manager,8,679,675,12,36500,22,9747
L108,12000,Debt consolidation,9.8,65000,B,Mortgage,Teacher,10,789,785,18,291626,37,181540
L109,4000,Debt consolidation,9.17,44500,B,Rent,Store Manager,2,674,670,4,33017,24,7980
L110,10500,Credit card refinancing,15.77,70100,D,Rent,Software Engineer,3,664,660,5,32280,10,26327
L111,14000,Medical expenses,9.8,100000,B,Mortgage,Master mechanic,4,689,685,7,531602,14,451137
L112,6000,Car financing,7.91,105000,A,Mortgage,Road driver,10,689,685,9,225933,11,182893
L113,16000,Home improvement,12.88,90000,C,Own,Unix System Administrator,10,704,700,8,263351,17,224292
L114,15000,Debt consolidation,9.8,92000,B,Mortgage,Electronic Branch Manager,3,684,680,7,347470,31,312996
L115,12000,Debt consolidation,9.17,39400,B,Mortgage,Registered Veterinary Technitian ,4,709,705,18,191950,25,153211
L116,10000,Debt consolidation,11.48,33000,B,Rent,Paralegal,2,714,710,12,49732,20,23197
L117,4200,Other,13.99,32000,C,Rent,Patrol Officer,2,709,705,10,53161,16,38865
L118,35000,Debt consolidation,20.5,120000,E,Mortgage,"Director, Human Resources",8,704,700,25,498200,54,440222
L119,5475,Debt consolidation,18.99,108000,E,Mortgage,Captain,10,674,670,11,337523,27,316524
L120,16000,Debt consolidation,7.91,60000,A,Mortgage,Project Supervisor,2,734,730,19,103434,22,88386
L121,6000,Debt consolidation,13.44,38700,C,Own,machine operation ,3,694,690,4,50486,10,38464
L122,24000,Debt consolidation,9.17,75000,B,Mortgage,Accounting Manager,10,664,660,14,42800,25,20031
L123,10000,Debt consolidation,12.88,60000,C,Rent,Truck Driver,1,719,715,5,10500,42,6727
L124,6900,Debt consolidation,19.89,80000,E,Rent,Teacher,10,669,665,10,11400,16,4091
L125,22400,Credit card refinancing,9.8,48000,B,Mortgage,CNC Machinist,10,709,705,9,77566,18,35168
L126,15975,Debt consolidation,16.59,58800,D,Mortgage,Director,4,669,665,11,17800,23,10916
L127,21600,Debt consolidation,13.44,54000,C,Mortgage,machines,9,694,690,9,170474,30,143634
L128,24000,Credit card refinancing,13.99,82193,C,Rent,Pastor,8,699,695,15,143088,34,90362
L129,14400,Debt consolidation,19.48,73320,E,Rent,GS12,3,664,660,9,44621,19,42894
L130,8000,,13.99,42000,C,Rent,District Manager,1,709,705,8,50625,10,40965
L131,7000,Debt consolidation,13.99,83000,C,Rent,Outside Account Manager,2,684,680,11,87124,28,77240
L132,20000,Debt consolidation,10.78,55000,B,Own,Driver,1,744,740,18,118711,32,60903
L133,25825,Debt consolidation,26.06,68000,F,Rent,Claims Rep ,6,679,675,18,94599,33,72831
L134,24575,Debt consolidation,22.45,92000,F,Mortgage,Service Delivery Manager,10,729,725,8,149185,27,103632
L135,3200,Medical expenses,8.49,30407,B,Rent,Custodian,10,714,710,5,13587,13,7804
L136,22875,Debt consolidation,15.77,137000,D,Mortgage,Athletic Director,10,704,700,22,952233,62,883789
L137,16000,Debt consolidation,14.85,80000,C,Mortgage,Billing Supervisor,10,704,700,14,197904,26,169184
L138,35000,Debt consolidation,13.44,125000,C,Mortgage,Account executive,1,714,710,15,594147,26,521496
L139,2400,Home improvement,17.27,52000,D,Mortgage,nurse,2,674,670,16,61191,18,42039
L140,25000,Debt consolidation,7.49,132000,A,Mortgage,,,749,745,14,137788,32,78666
L141,8800,Credit card refinancing,12.88,55000,C,Rent,Desktop Support Anylist,2,719,715,20,126203,29,95330
L142,2500,Debt consolidation,11.48,16488,B,Rent,,,774,770,12,51341,18,20449
L143,8000,Credit card refinancing,5.32,50000,A,Rent,Sales Person,1,719,715,21,73375,64,53525
L144,20000,Debt consolidation,11.99,78000,C,Mortgage,Professor,10,709,705,15,346262,37,290569
L145,35000,Major purchase,12.88,110000,C,Mortgage,Cosmetologist Manager,10,699,695,19,405622,32,318752
L146,15000,Debt consolidation,7.49,45000,A,Mortgage,,,714,710,10,226200,20,194062
L147,16000,Debt consolidation,15.77,70000,D,Mortgage,President,1,709,705,7,195530,25,178477
L148,10800,Debt consolidation,13.99,40000,C,Rent,Medical Support Assistant,3,669,665,7,35584,14,25378
L149,7500,Debt consolidation,17.97,15000,D,Own,Owner/Operator,10,689,685,8,24826,14,15043
L150,16000,Debt consolidation,10.78,63000,B,Rent,Bartender,5,674,670,12,103887,22,68741
L151,9000,Credit card refinancing,5.32,49000,A,Mortgage,Accounting senior,10,759,755,18,129026,29,51250
L152,9500,,15.77,28000,D,Rent,maintenance ,10,699,695,7,24105,14,14767
L153,10000,Debt consolidation,7.91,25000,A,Own,Medical Coder/biller,2,744,740,16,54000,30,22263
L154,6000,Debt consolidation,7.91,49000,A,Mortgage,Teacher,10,799,795,10,371400,16,274367
L155,15600,Major purchase,13.44,52000,C,Mortgage,Officer / Sheriff's office,10,724,720,6,139800,13,96594
L156,35000,Debt consolidation,8.49,90000,B,Own,Paralegal,1,754,750,11,466738,26,434242
L157,5000,Debt consolidation,11.48,78000,B,Mortgage,Financial Systems Analyst,9,704,700,19,197347,21,151774
L158,20400,Credit card refinancing,18.49,75000,D,Mortgage,Pilot,2,729,725,22,310057,49,210761
L159,8000,Debt consolidation,17.97,33130,D,Mortgage,,,669,665,18,249754,26,207921
L160,16000,Debt consolidation,10.78,87500,B,Rent,Veterinarian,3,699,695,13,54200,17,31768
L161,18000,Debt consolidation,7.91,80000,A,Mortgage,Mechanic,10,744,740,5,125210,6,84064
L162,35000,Debt consolidation,9.17,105000,B,Rent,Director,1,694,690,11,126649,26,103869
L163,13150,Major purchase,5.32,40000,A,Rent,Paraprofessional ,1,769,765,13,83916,17,29071
L164,5600,Credit card refinancing,9.17,48000,B,Rent,Business Coordinator III,8,664,660,8,31300,68,21160
L165,23000,,9.8,90247,B,Mortgage,Feeder Driver,9,684,680,11,234163,25,186007
L166,12600,Debt consolidation,14.85,175000,C,Mortgage,VP of Operations,1,694,690,14,148478,25,112859
L167,11000,Debt consolidation,16.59,55000,D,Mortgage,Teacher,8,739,735,6,271533,14,260988
L168,4000,Debt consolidation,11.99,41501,C,Rent,Secreatary 1,3,689,685,8,83833,12,82347
L169,20000,,13.44,75000,C,Mortgage,Administrative Manager ,9,719,715,16,355426,54,300744
L170,20000,Debt consolidation,11.48,60000,B,Rent,General Manager,5,689,685,10,63700,20,39394
L171,10000,Credit card refinancing,9.17,59307,B,Mortgage,analyst,10,694,690,17,197909,30,134518
L172,18850,Debt consolidation,21.48,55000,E,Mortgage,Social Worker,1,704,700,11,247115,26,236037
L173,21000,Debt consolidation,11.99,82000,C,Mortgage,research scientist,10,734,730,18,213675,34,129615
L174,10500,Debt consolidation,8.49,60000,B,Mortgage,Strategic Account Manager,4,689,685,13,132044,19,107112
L175,4575,Home buying,17.27,56000,D,Rent,2nd pressman,5,669,665,12,8900,17,2380
L176,5000,Other,11.48,17000,B,Rent,Direct Support Professional,1,694,690,8,63456,11,55327
L177,8000,Home improvement,6.99,45000,A,Mortgage,,,794,790,12,357341,26,317061
L178,5000,Debt consolidation,11.99,30000,C,Rent,Dental Assistant,1,679,675,12,19200,15,5426
L179,9075,Credit card refinancing,5.32,40000,A,Mortgage,Advanced Analyst,10,819,815,15,186900,26,100468
L180,24000,Debt consolidation,12.88,75181.21,C,Mortgage,Speech Language Pathologist,2,724,720,13,354971,37,276355
L181,12500,Credit card refinancing,7.49,52000,A,Rent,manager,10,709,705,5,12400,7,10009
L182,19600,Debt consolidation,15.77,80000,D,Mortgage,Sales representative,8,714,710,15,364600,26,341767
L183,35000,Debt consolidation,13.99,90000,C,Mortgage,Truck driver ,2,744,740,5,225820,7,201577
L184,28000,Debt consolidation,8.49,75000,B,Mortgage,Client Service Manager,1,689,685,16,406511,23,365724
L185,14000,Debt consolidation,15.77,45500,D,Rent,Business Systems Analyst,1,694,690,10,57447,12,37485
L186,16000,Credit card refinancing,9.8,99906,B,Mortgage,,,664,660,10,493100,26,426371
L187,14000,Debt consolidation,5.32,120000,A,Rent,Senior Brand Manager,4,779,775,13,63281,20,16909
L188,24000,Debt consolidation,8.49,72000,B,Mortgage,nutritionist,8,719,715,16,120823,52,74809
L189,35000,Debt consolidation,13.99,75000,C,Own,RRT,6,689,685,17,69518,32,52074
L190,14550,Debt consolidation,15.77,70000,D,Mortgage,Administrative Assistant,10,724,720,13,445111,27,369766
L191,8000,Credit card refinancing,11.48,21610,B,Rent,Valued Associate,1,709,705,9,35502,10,22866
L192,32400,Credit card refinancing,9.8,106284,B,Mortgage,Project Manager,10,734,730,33,468631,38,335236
L193,3600,Debt consolidation,13.44,25000,C,Rent,Graduate Student ,1,714,710,23,91319,39,78735
L194,10500,Debt consolidation,13.99,110000,C,Mortgage,SW,10,664,660,19,232011,38,166878
L195,3000,Home improvement,11.48,105000,B,Mortgage,technician,10,689,685,11,387088,22,297766
L196,16000,Credit card refinancing,14.85,43000,C,Rent,Nurse,2,679,675,13,31669,16,20258
L197,8000,Debt consolidation,7.49,57000,A,Mortgage,Teacher,10,744,740,19,164865,31,108395
L198,19500,Debt consolidation,7.49,85000,A,Rent,Producer,1,734,730,8,70472,20,42613
L199,2000,Other,8.49,140000,B,Mortgage,Dean,8,850,845,7,797960,16,679308
L200,16000,Debt consolidation,5.32,96000,A,Mortgage,Marketing manager,8,729,725,23,293017,38,200216
L201,3500,Vacation,10.78,122400,B,Mortgage,Account Manager,8,664,660,16,426956,30,385952
L202,14000,Debt consolidation,9.17,94000,B,Rent,Tax Accountant,4,719,715,11,473886,45,377868
L203,24000,Debt consolidation,11.48,95000,B,Own,Senior Business Analyst,3,679,675,9,93391,12,65133
L204,6000,Credit card refinancing,5.32,120000,A,Own,Director of Risk Management ,2,784,780,14,46500,21,9285
L205,24000,Debt consolidation,7.91,100000,A,Mortgage,Registered Nurse,9,679,675,21,277952,39,175638
L206,14875,Debt consolidation,18.49,37231,D,Rent,Case Manager,3,669,665,24,68739,49,47036
L207,10000,,11.99,45000,C,Rent,owner,7,689,685,19,75737,40,45543
L208,15000,Credit card refinancing,6.99,93000,A,Mortgage,Purchasing Manager,2,759,755,8,340542,17,306430
L209,10000,Credit card refinancing,5.32,68000,A,Rent,Science teacher,10,734,730,11,79749,32,32214
L210,18000,Major purchase,9.17,97000,B,Own,Teacher,10,714,710,13,372966,24,322455
L211,24000,Debt consolidation,19.48,97000,E,Rent,fsm,10,689,685,14,40126,38,25117
L212,23525,Debt consolidation,17.97,70000,D,Mortgage,Executive Assistant,5,679,675,13,263827,22,196733
L213,12000,Credit card refinancing,9.17,68000,B,Own,Financial Planner,10,694,690,20,117300,56,34714
L214,11000,Other,10.78,297000,B,Rent,Physician,10,674,670,12,179788,33,68689
L215,24000,Debt consolidation,9.17,210000,B,Mortgage,Nurse Anestheti,2,694,690,18,608164,35,560509
L216,15000,Debt consolidation,16.59,42900,D,Rent,Revenue Control Specialist,8,684,680,10,123717,32,125307
L217,16000,Credit card refinancing,8.49,140000,B,Mortgage,Engineer ,10,674,670,19,289636,25,232670
L218,15000,Debt consolidation,7.91,90000,A,Rent,Human Resources,5,689,685,20,117602,25,90875
L219,5000,Debt consolidation,11.99,60000,C,Mortgage,RN,8,679,675,13,187500,19,164988
L220,19100,Debt consolidation,10.78,115000,B,Mortgage,Administrator,10,689,685,8,321817,22,259591
L221,15000,Credit card refinancing,10.78,85000,B,Own,Sales Manager,3,689,685,16,45965,21,32012
L222,30000,Debt consolidation,18.49,85000,D,Mortgage,Sales,2,669,665,21,219013,49,195290
L223,15000,Credit card refinancing,9.8,60000,B,Rent,maintenance,10,724,720,19,169777,53,95299
L224,3500,Other,13.99,105000,C,Rent,electrical construction apprentice,10,669,665,9,72443,19,60499
L225,20000,Debt consolidation,9.17,130000,B,Rent,,2,719,715,8,66147,13,37657
L226,10000,Credit card refinancing,13.44,30160,C,Rent,Mechanic,7,689,685,5,27759,5,18032
L227,35000,Debt consolidation,18.49,132500,D,Mortgage,IT Supervisor,9,674,670,16,416820,25,359542
L228,16000,Credit card refinancing,14.85,90000,C,Rent,District Sales Leader,10,664,660,13,55011,20,36465
L229,2000,Other,11.99,180000,C,Mortgage,Financial Manager,10,669,665,10,428961,32,294683
L230,12000,Credit card refinancing,9.8,39500,B,Rent,Certified Lead Samsung Experience Consul,2,729,725,9,53890,10,35079
L231,8000,Credit card refinancing,6.99,80000,A,Mortgage,Registered Nurse ,1,744,740,17,359365,25,314484
L232,10000,Debt consolidation,9.8,92000,B,Mortgage,Quality Assurance Wings,10,684,680,8,205932,27,182684
L233,25000,Credit card refinancing,7.91,76500,A,Rent,Executive Admin,10,754,750,8,89097,21,45132
L234,35000,Debt consolidation,13.99,100000,C,Rent,Executive Director ,10,669,665,12,52338,22,44539
L235,25600,Debt consolidation,7.91,150000,A,Own,Lawyer,3,744,740,10,717956,39,678352
L236,4325,Major purchase,11.99,90000,C,Own,Account manager,10,734,730,17,248651,23,191071
L237,6000,,6.99,48000,A,Own,Teacher,10,764,760,18,74726,30,37729
L238,18200,Credit card refinancing,15.77,65000,D,Rent,Accounting Supervisor,8,664,660,27,121798,38,113674
L239,10000,Credit card refinancing,6.99,54000,A,Rent,Master Carpenter,3,704,700,11,63199,18,36381
L240,30000,Debt consolidation,13.44,81000,C,Mortgage,legal secretary,5,729,725,12,236670,18,166614
L241,13200,Home improvement,5.32,150000,A,Mortgage,"Director, Accounting & Finance",2,744,740,14,574360,30,365831
L242,10000,Debt consolidation,6.99,220000,A,Rent,SALES,5,714,710,8,43158,14,23438
L243,3000,Debt consolidation,11.48,75000,B,Mortgage,O&M Specialist III,5,669,665,13,266649,25,237257
L244,20000,Debt consolidation,9.8,96000,B,Own,Director,10,769,765,9,81444,14,42443
L245,13875,Credit card refinancing,11.99,32500,C,Mortgage,Purchasing Agent,10,714,710,7,138817,15,121944
L246,18000,Debt consolidation,6.49,76000,A,Mortgage,Dispatcher,10,759,755,20,413594,41,318868
L247,15225,Debt consolidation,8.49,40000,B,Own,Teacher,3,689,685,12,76171,30,63528
L248,16000,Debt consolidation,11.48,65000,B,Rent,Sr Sales Executive,6,709,705,13,69424,18,35429
L249,21000,Other,9.8,125000,B,Rent,manager,7,754,750,16,175088,21,19150
L250,13000,Debt consolidation,16.59,40000,D,Rent,Sr. Business Specialist,1,664,660,6,33399,17,25438
L251,20000,Major purchase,7.91,120000,A,Own,Community Manager,5,709,705,19,93896,31,12740
L252,31075,Credit card refinancing,7.49,70000,A,Rent,Lieutenant,10,729,725,10,174717,28,135003
L253,18000,Credit card refinancing,6.99,120000,A,Own,Owner,10,714,710,7,211500,13,170044
L254,5000,Other,9.17,74967,B,Mortgage,,,689,685,9,342623,35,303889
L255,4675,Credit card refinancing,17.27,13000,D,Mortgage,Sales Associate,1,679,675,6,44644,23,39353
L256,6000,Debt consolidation,9.8,85140,B,Mortgage,Automation Engineer,4,714,710,11,425306,12,394173
L257,12000,Debt consolidation,12.88,90000,C,Mortgage,General / sales Manager,10,664,660,11,46018,30,22151
L258,13000,Home improvement,13.99,115000,C,Rent,Technician,10,704,700,9,53990,21,28645
L259,1800,Other,11.48,50000,B,Rent,Benefits Consultant,10,664,660,9,26851,15,21440
L260,4475,Credit card refinancing,16.59,114000,D,Rent,Rph,10,674,670,5,16700,40,8108
L261,14400,Debt consolidation,6.49,70000,A,Mortgage,Sales Engineer,8,699,695,21,254733,26,243859
L262,5875,Debt consolidation,7.91,70000,A,Rent,Purchasing Assistant,5,674,670,9,32768,18,21709
L263,20000,Debt consolidation,17.97,180000,D,Mortgage,Nurse Manager,7,664,660,13,349868,30,277227
L264,10000,Debt consolidation,6.99,115000,A,Mortgage,Senior Electrical Engineer,5,719,715,17,455429,39,391089
L265,34100,Debt consolidation,12.88,92892,C,Mortgage,RN,8,739,735,13,256341,39,223544
L266,24000,Credit card refinancing,11.48,56457,B,Rent,Lecturer and Curriculum Fellow,3,684,680,5,26400,6,22849
L267,30000,Debt consolidation,18.49,300000,D,Mortgage,Division Manager,8,684,680,10,478537,21,452396
L268,5200,Debt consolidation,10.78,160000,B,Mortgage,President,7,664,660,6,149147,23,73435
L269,16800,Debt consolidation,11.99,50000,C,Rent,Project Coordinator,1,679,675,10,102060,30,113972
L270,10000,Debt consolidation,11.99,40000,C,Rent,Driver,7,669,665,4,17287,7,7735
L271,22000,Debt consolidation,17.97,55000,D,Mortgage,Service technician,10,669,665,10,232758,25,210586
L272,28000,Debt consolidation,5.32,144000,A,Mortgage,VP Manufacturing,10,719,715,16,326531,29,197858
L273,7200,Credit card refinancing,6.49,60000,A,Mortgage,Sales,10,729,725,3,47376,22,39078
L274,18000,Debt consolidation,11.99,41000,C,Rent,Clerk Typist II,9,694,690,12,71294,20,51443
