ID,Content Rating,Release Year,Running Time,Rotten Tomatoes Rating,Genre,Production Budget
M203,PG,2004,82,84,,55000000
M204,R,2004,97,17,Horror,12000000
M205,PG-13,2005,157,47,Action,15000000
M206,R,1997,129,78,,15000
M207,R,1997,137,31,Black Comedy,120000000
M208,R,2001,100,,,35000000
M209,G,1996,94,62,Drama,100000000
M210,R,1999,95,,Romantic Comedy,95000000
M211,PG-13,2001,107,44,,80000000
M212,PG-13,2006,101,69,Action,60000000
M213,R,2000,88,97,,120000000
M214,R,2003,102,37,,48000000
M215,R,2000,98,23,Adventure,20000000
M216,R,2000,119,88,Drama,
M217,R,2007,108,99,Action,
M218,PG-13,2002,101,51,Comedy,14000000
M219,R,2004,104,48,,75000000
M220,PG,2001,98,,,12000000
M221,R,1997,152,82,Drama,48000000
M222,PG-13,2003,100,61,,16000000
M223,R,2002,118,,Action,20000000
M224,PG-13,2004,119,86,,
M225,G,2006,98,,Action,5000000
M226,PG-13,2006,131,82,Drama,75000000
M227,PG-13,2005,80,55,Action,35000000
M228,PG-13,2000,122,24,Comedy,30000000
M229,PG-13,2002,106,,Thriller,80000000
M230,PG-13,2004,128,16,Action,49000000
M231,PG-13,2002,103,,Comedy,46000000
M232,PG-13,1998,98,54,Black Comedy,85000000
M233,PG-13,2002,121,,Drama,3000000
M234,PG-13,2003,110,,,8500000
M235,R,2002,112,38,Action,24000000
M236,PG-13,2000,144,8,Thriller,12000000
M237,R,1997,120,12,Romantic Comedy,32000000
M238,R,2003,138,74,Drama,22000000
M239,R,1997,115,45,,30000000
M240,PG,2000,95,,,40000000
M241,PG-13,2000,107,54,Action,11000000
M242,G,1998,75,53,Comedy,115000000
M243,R,2006,136,42,,29000000
M244,R,2007,117,,,25000000
M245,PG,2006,124,30,Comedy,30000000
M246,PG-13,2003,107,86,Drama,23000000
M247,PG,1998,110,33,Action,110000000
M248,PG-13,2006,112,59,Drama,55000000
M249,R,1999,159,69,Comedy,50000000
M250,PG-13,2007,100,53,Thriller,37000000
