ID,Control,Highest degree offered,,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),Tuition and fees 2013-14 ($),Geographic region,Total enrollment,Admission rate (%),Receiving financial aid (%),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile)
C0053,Private,Master's degree,,,,,33020,Far West,1140,49,100,20,25,470,570,470,570,450,560
C0054,Private,Master's degree,,25,36,38,9499,Mid East,11619,94,92,19,23,440,550,430,540,420,530
C0055,Private,Bachelor's degree,,60,76,77,31260,Great Lakes,1067,85,100,19,23,430,520,440,540,405,515
C0056,Private,Bachelor's degree,,5,12,15,44880,Far West,12109,51,62,,,390,500,400,510,380,500
C0057,Private,Bachelor's degree,,54,58,58,5246,Southeast,23881,67,83,19,25,450,600,460,600,450,580
C0058,Private,Bachelor's degree,,70,78,78,27728,Plains,657,62,100,,,,,,,,
C0059,Public,Master's degree,,88,93,94,44008,Plains,24473,,53,,,,,,,,
C0060,Public,Bachelor's degree,,36,47,48,29103,Mid East,6122,80,100,20,25,480,580,450,550,,
C0061,Private,Doctoral degree,,69,88,90,6948,Mid East,710,51,91,14,17,360,430,340,440,340,420
C0062,Private,Doctoral degree,,52,66,69,34835,Great Lakes,3181,68,88,17,22,440,530,450,540,430,520
C0063,Private,Doctoral degree,,20,40,44,11455,Far West,532,63,73,33,35,680,770,750,800,690,780
C0064,Private,Master's degree,,56,65,66,20540,Great Lakes,4880,58,96,20,26,,,,,,
C0065,Private,Doctoral degree,,67,76,78,13895,Great Lakes,4561,22,77,19,24,410,500,400,540,,
C0066,Private,Doctoral degree,,28,49,55,14800,Mid East,2154,65,93,25,30,530,640,540,680,,
C0067,Public,Master's degree,,35,44,50,8806,Southeast,26571,,96,22,30,480,640,420,600,490,580
C0068,Private,Doctoral degree,,8,11,18,20730,Great Lakes,2058,69,99,19,25,460,550,460,570,,
C0069,Public,Master's degree,,39,56,59,23964,Mid East,888,67,100,,,,,,,,
C0070,Public,Doctoral degree,,44,53,55,41110,Plains,4157,,77,,,,,,,,
C0071,Public,Doctoral degree,,35,48,51,12048,Plains,31899,70,100,23,27,510,610,520,610,510,600
C0072,Public,Doctoral degree,,49,54,55,,Southeast,7144,84,,21,27,460,560,480,580,430,530
C0073,Public,Master's degree,,25,37,40,22770,Great Lakes,17497,49,98,18,23,410,490,400,480,390,480
C0074,Public,Master's degree,,,,,12842,Great Lakes,1933,37,100,21,27,483,600,500,630,480,590
C0075,Public,Doctoral degree,,32,53,57,12096,Southeast,1716,47,41,19,24,450,550,440,570,423,530
C0076,Public,Doctoral degree,,39,51,54,19490,Plains,1668,53,87,20,26,460,610,480,580,450,580
C0077,Public,Doctoral degree,,46,51,52,21285,Great Lakes,10929,58,91,,,,,,,,
C0078,Public,Doctoral degree,,,,,38200,Plains,2714,93,99,19,24,440,570,420,550,430,560
C0079,Public,Doctoral degree,,60,68,68,21050,Southeast,482,77,100,18,22,420,520,440,530,,
C0080,Public,Doctoral degree,,54,66,69,24150,Mid East,6518,61,100,21,26,490,590,490,590,480,580
C0081,Public,Doctoral degree,,22,44,51,22484,Mid East,2933,55,100,20,25,480,580,470,560,450,540
C0082,Public,Doctoral degree,,10,31,39,23300,Mid East,2603,47,100,30,34,670,780,660,780,680,780
C0083,Public,Doctoral degree,,8,23,32,45372,Southeast,5898,38,89,17,23,410,530,430,540,400,520
C0084,Public,Doctoral degree,,24,48,53,6071,Mid East,1334,21,89,26,30,590,670,550,650,580,670
C0085,Public,Doctoral degree,,46,60,62,7044,Mid East,904,82,99,19,24,410,515,420,535,,
C0086,Public,Doctoral degree,,30,51,57,37348,Southwest,3608,36,99,21,26,480,600,480,580,460,580
C0087,Public,Doctoral degree,,16,26,30,28950,Great Lakes,1675,61,98,22,27,510,620,490,580,,
C0088,Public,Doctoral degree,,50,63,63,27492,Great Lakes,3764,,99,19,23,430,530,450,550,410,500
C0089,Public,Doctoral degree,,47,60,62,10355,New England,1144,65,84,,,380,480,380,460,380,460
C0090,Public,Bachelor's degree,,17,39,44,7092,Plains,2068,97,93,16,21,410,510,408,500,400,490
C0091,Private,Doctoral degree,,49,59,61,30310,Southeast,2125,68,100,20,26,400,460,410,510,430,480
C0092,Private,Master's degree,,87,91,93,26430,Mid East,8685,73,97,23,28,490,600,510,600,480,570
C0093,Private,Bachelor's degree,,37,55,60,41680,Plains,4340,60,99,26,30,570,660,600,680,560,660
C0094,Private,Doctoral degree,,38,63,68,6300,Great Lakes,3129,,100,23,31,590,700,570,640,570,690
C0095,Private,Master's degree,,13,29,36,10864,Mid East,684,91,84,17,19,380,450,400,470,360,430
C0096,Private,Master's degree,,11,21,23,6390,Southeast,4785,78,95,,,460,530,480,570,,
C0097,Private,Master's degree,,33,46,50,6583,Mid East,11929,46,93,18,23,410,540,410,550,400,540
C0098,Private,Doctoral degree,,60,65,65,47890,Southeast,2953,70,71,,,,,,,,
C0099,Private,Master's degree,,24,40,44,11220,Southeast,29748,72,92,18,23,460,550,460,540,,
C0100,Private,Doctoral degree,,47,56,56,25470,New England,1635,37,100,22,28,470,600,540,610,460,600
C0101,Private,Bachelor's degree,,23,35,37,11094,Far West,2421,75,89,15,19,,,,,,
C0102,Private,Master's degree,,35,41,46,22080,Great Lakes,2081,78,100,19,25,440,560,450,570,420,540
C0103,Public,Master's degree,,14,27,30,30990,Plains,3274,43,98,17,20,400,470,370,480,,
C0104,Private,Doctoral degree,,40,51,51,22070,Southeast,17901,73,100,20,25,440,590,460,600,,
C0105,Private,Doctoral degree,,36,54,56,7327,Mid East,1422,92,94,19,25,450,570,460,580,440,550
C0106,Private,Master's degree,,81,85,86,17100,Mid East,662,72,76,,,,,,,,
C0107,Private,Doctoral degree,,6,13,17,7022,Southeast,7850,61,87,19,24,435,548,440,590,,
C0108,Private,Doctoral degree,,15,35,44,10286,Great Lakes,2055,66,96,19,24,,,,,,
C0109,Private,Doctoral degree,,21,27,28,23021,New England,1678,67,99,17,23,420,530,430,520,410,510
C0110,Private,Doctoral degree,,13,34,43,46085,Southwest,2390,,53,,,,,,,,
C0111,Private,Doctoral degree,,14,30,34,20470,New England,3153,41,100,19,26,440,550,430,530,400,520
C0112,Private,Bachelor's degree,,60,64,66,27672,Southeast,20918,,100,27,32,610,710,610,720,620,700
C0113,Private,Doctoral degree,,24,58,66,16992,Southeast,21271,71,68,20,25,470,580,480,590,460,560
C0114,Private,Master's degree,,,,,,Mid East,3105,64,,,,360,450,390,475,,
C0115,Private,Doctoral degree,,4,10,12,27954,Mid East,11865,36,100,,,460,590,460,580,,
C0116,Private,Doctoral degree,,59,65,66,5422,Southwest,2346,45,95,22,28,490,620,500,600,,
C0117,Private,Master's degree,,14,30,43,5785,New England,41368,45,95,22,26,540,610,540,620,530,610
C0118,Private,Master's degree,,,,,13800,New England,5568,58,88,22,28,498,670,510,645,,
C0119,Private,Master's degree,,23,29,29,23800,Mid East,11778,,100,17,22,450,570,430,560,420,540
C0120,Private,Master's degree,,39,61,66,7557,Far West,8883,82,85,22,26,480,600,490,600,470,580
C0121,Private,Doctoral degree,,42,53,56,10110,Southeast,41428,49,93,21,25,,,,,,
C0122,Private,Doctoral degree,,54,60,64,18256,Mid East,5270,64,100,30,33,640,730,660,750,640,720
C0123,Private,Bachelor's degree,,13,25,30,30300,Great Lakes,2963,,100,21,27,,,,,,
C0124,Private,Master's degree,,24,37,37,22330,Southeast,20169,71,99,19,24,440,570,460,570,430,540
C0125,Private,Bachelor's degree,,50,64,65,24350,Southwest,902,89,98,26,31,600,700,580,670,580,690
C0126,Private,Doctoral degree,,31,35,38,5786,Southwest,10872,63,97,18,23,430,530,450,550,,
C0127,Public,Doctoral degree,,20,39,46,10008,Southeast,22499,6,95,21,25,460,560,470,560,440,540
C0128,Private,Doctoral degree,,28,46,49,5173,Southeast,2203,50,90,,,,,,,,
C0129,Public,Doctoral degree,,20,36,37,26550,Southeast,1136,46,100,16,20,380,480,360,440,,
C0130,Private,Doctoral degree,,86,89,89,5578,Southeast,28435,96,98,19,21,420,540,420,510,,
C0131,Public,Master's degree,,34,55,60,,New England,2966,72,,20,26,480,620,470,580,,
C0132,Private,Doctoral degree,,67,72,72,15010,New England,7578,70,98,19,26,480,590,450,570,,
C0133,Private,Bachelor's degree,,20,33,33,7575,New England,3534,62,97,18,24,440,550,450,550,,
C0134,Private,Master's degree,,41,54,56,46094,Great Lakes,15718,42,72,22,28,490,620,510,640,490,600
C0135,Private,Doctoral degree,,74,79,80,18506,Southeast,673,67,99,21,25,460,560,480,570,440,540
C0136,Public,Master's degree,,39,45,46,7249,Rocky Mountains,2565,66,94,29,33,650,750,660,750,,
C0137,Private,Master's degree,,13,22,24,46296,Mid East,10130,70,75,,,,,,,,
C0138,Private,Doctoral degree,,22,41,54,28720,Southeast,806,83,100,15,24,350,500,370,500,390,480
C0139,Private,Bachelor's degree,,54,63,67,41450,New England,27692,69,97,17,23,410,510,420,530,,
C0140,Private,Bachelor's degree,,18,33,37,25220,Mid East,1553,59,100,,,,,,,,
C0141,Private,Doctoral degree,,29,29,55,23332,Mid East,4114,53,100,21,26,450,590,490,600,,
C0142,Private,Master's degree,,60,63,63,13608,Mid East,18974,51,86,20,27,460,610,420,530,430,560
C0143,Public,Master's degree,,32,32,32,43500,Southeast,9661,81,91,,,,,,,,
C0144,Public,Doctoral degree,,0,4,9,6876,Southeast,949,,99,32,35,700,800,710,800,710,800
C0145,Public,Doctoral degree,,21,44,53,14096,Mid East,6177,64,95,23,25,520,620,520,620,,
C0146,Public,Doctoral degree,,68,73,73,6108,New England,2188,,77,,,,,,,,
C0147,Private,Master's degree,,100,100,100,41460,Southwest,9788,38,86,18,23,420,520,440,540,400,490
C0148,Private,Master's degree,,20,41,52,11966,New England,1222,82,80,20,24,480,570,500,600,480,570
C0149,Public,Doctoral degree,,56,63,64,32192,Far West,3966,,98,20,26,490,590,510,610,480,590
C0150,Public,Doctoral degree,,83,85,85,11940,Southeast,7645,90,93,20,26,470,590,455,590,,
C0151,Private,Bachelor's degree,,27,43,46,46370,Southeast,2391,91,75,21,27,485,630,485,610,,
C0152,Private,Doctoral degree,,0,21,21,20200,Mid East,4921,71,100,,,,,,,,
C0153,Public,Master's degree,,18,33,37,17750,Southwest,1209,12,100,27,32,600,720,610,700,600,710
C0154,Public,Doctoral degree,,7,15,18,12450,Southeast,843,51,91,,,,,,,,
C0155,Public,Master's degree,,26,42,46,20480,Far West,2129,80,97,25,31,560,680,600,760,590,710
C0156,Private,Master's degree,,26,35,39,12327,Southwest,27642,55,79,21,27,,,500,630,440,660
C0157,Public,Doctoral degree,,34,53,57,44272,Rocky Mountains,1804,73,72,,,390,490,453,540,,
C0158,Private,Doctoral degree,,28,56,66,22740,Southeast,991,43,100,22,27,480,590,500,610,,
C0159,Public,Master's degree,,48,59,60,6256,Southeast,1534,84,91,,,380,480,320,480,410,470
C0160,Public,Master's degree,,34,41,44,39890,Plains,24581,53,91,21,25,490,600,440,610,440,590
C0161,Private,Master's degree,,73,76,77,11092,Southeast,1543,49,75,20,26,440,550,435,565,420,520
C0162,Private,Doctoral degree,,29,45,50,21320,New England,1430,57,100,19,24,,,460,550,,
C0163,Public,Doctoral degree,,80,84,84,20960,Far West,870,64,97,23,29,490,620,530,650,500,620
C0164,Public,Bachelor's degree,,54,59,60,,Plains,162,,,,,440,520,450,540,,
C0165,Private,Master's degree,,57,67,68,39015,Southeast,1380,,99,20,25,480,620,490,550,,
C0166,Public,Doctoral degree,,78,82,82,41250,Far West,5428,83,96,18,22,420,535,420,510,,
C0167,Public,Master's degree,,62,74,74,24950,Southeast,8293,,100,,,,,,,,
C0168,Private,Doctoral degree,,20,44,50,13054,Far West,29905,31,91,22,27,490,600,500,620,,
C0169,Private,Master's degree,,25,31,31,27456,Southeast,13441,68,100,23,27,530,630,540,640,530,630
C0170,Private,Doctoral degree,,24,42,48,29315,Southeast,32017,,99,19,23,430,540,460,560,410,530
C0171,Private,Bachelor's degree,,15,31,36,22390,Southeast,2750,66,100,23,28,530,630,520,630,,
C0172,Private,Doctoral degree,,15,33,41,4984,Southwest,4656,88,83,19,23,410,530,390,510,,
C0173,Private,Doctoral degree,,50,56,60,29250,Plains,1677,74,99,,,,,,,,
C0174,Private,Doctoral degree,,7,20,28,19770,Plains,1761,85,93,,,490,590,510,610,,
C0175,Private,Doctoral degree,,89,91,91,23350,Southwest,1174,96,99,,,,,,,,
C0176,Public,Doctoral degree,,15,24,29,23800,Southeast,1658,32,99,19,24,440,560,440,570,450,580
C0177,Private,Master's degree,,69,75,76,6507,Great Lakes,1086,70,95,18,24,,,,,,
C0178,Private,Doctoral degree,,52,64,66,5085,Plains,3784,,91,,,,,,,,
C0179,Public,Doctoral degree,,19,36,41,8040,Southeast,28811,40,79,20,24,460,540,470,560,440,530
C0180,Private,Doctoral degree,,25,25,25,5614,Plains,52059,78,96,,,,,,,,
C0181,Public,Doctoral degree,,8,19,24,,Plains,2173,72,,23,28,500,620,520,630,,
C0182,Public,Doctoral degree,,54,61,61,22090,Southeast,444,62,100,,,,,,,,
C0183,Private,Master's degree,,35,40,41,6024,New England,3307,91,99,18,22,410,500,430,520,390,480
C0184,Private,Doctoral degree,,77,84,85,20780,Rocky Mountains,1797,83,94,20,25,,,,,,
C0185,Private,Doctoral degree,,48,56,56,10286,Southeast,7548,58,90,16,20,420,500,415,505,415,480
C0186,Private,Doctoral degree,,54,59,60,49138,Far West,1112,65,57,18,22,430,520,420,510,410,490
C0187,Public,Master's degree,,42,55,56,13525,New England,1090,68,71,,,,,,,,
C0188,Private,Doctoral degree,,59,73,76,9666,Southeast,3114,52,86,21,28,450,610,500,630,470,590
C0189,Private,Doctoral degree,,87,91,92,5138,Southeast,2658,69,86,18,21,360,485,360,490,360,470
C0190,Private,Doctoral degree,,14,42,48,27546,Plains,28260,97,100,18,25,433,568,430,560,423,550
C0191,Private,Doctoral degree,,43,55,59,37234,Southeast,474,64,89,,,,,,,,
C0192,Private,Master's degree,,37,37,38,26420,Far West,2596,100,97,25,30,570,670,550,660,550,670
C0193,Private,Doctoral degree,,28,44,48,8673,New England,10297,56,95,19,24,430,550,450,560,,
C0194,Private,Master's degree,,0,0,0,22891,Southeast,1100,52,95,,,,,,,,
C0195,Private,Doctoral degree,,75,79,79,14050,Great Lakes,890,59,88,24,30,520,630,540,660,510,620
C0196,Private,Doctoral degree,,70,80,81,9776,New England,6485,90,98,23,29,500,630,540,650,490,600
C0197,Public,Doctoral degree,,66,77,78,6384,Southeast,959,52,96,19,23,420,540,430,530,420,530
C0198,Private,Master's degree,,59,67,68,45080,Far West,11015,63,95,19,26,,,,,,
C0199,Private,Bachelor's degree,,16,31,33,28210,Southeast,2677,75,100,23,28,530,620,550,640,510,610
C0200,Private,Bachelor's degree,,14,36,49,32284,Southeast,5644,63,100,21,26,480,570,500,580,480,560
C0201,Private,Doctoral degree,,33,38,38,31290,New England,1433,73,100,29,32,620,700,620,700,630,720
C0202,Public,Doctoral degree,,32,45,48,7510,Great Lakes,1333,58,95,,,,,,,,
C0203,Public,Doctoral degree,,9,19,25,28000,Southeast,13621,40,99,20,28,,,,,,
C0204,Private,Bachelor's degree,,45,61,62,7490,Mid East,1577,61,98,19,24,420,550,430,570,,
C0205,Private,Bachelor's degree,,2,53,59,7602,Far West,2246,84,86,,,440,530,470,560,,
C0206,Private,Doctoral degree,,100,100,100,19665,Southeast,10301,60,100,23,28,520,620,530,640,530,640
C0207,Public,Doctoral degree,,28,47,50,25800,Southeast,2542,87,100,22,27,490,590,490,590,,
C0208,Private,Master's degree,,36,52,53,26934,Far West,3463,95,100,19,24,350,430,410,510,,
C0209,Private,Master's degree,,65,74,74,29100,Southeast,378,59,100,,,,,,,,
C0210,Public,Doctoral degree,,33,63,70,25046,Far West,3255,64,98,,,,,,,,
C0211,Public,Doctoral degree,,67,76,76,7517,Far West,2730,72,75,20,25,470,580,470,580,450,560
C0212,Private,Doctoral degree,,1,19,20,7336,Southeast,15263,42,97,21,26,435,575,393,560,,
C0213,Private,Bachelor's degree,,16,37,43,35725,New England,2732,44,92,,,,,,,,
C0214,Private,Doctoral degree,,48,53,54,29800,Far West,2776,65,97,,,,,,,,
C0215,Private,Master's degree,,35,49,53,,Mid East,6532,,,19,23,440,530,450,530,430,520
C0216,Private,Doctoral degree,,28,46,50,33000,Southeast,4004,72,100,20,25,480,560,500,600,470,550
C0217,Private,Bachelor's degree,,55,65,65,44222,New England,479,80,53,21,25,490,580,500,590,500,580
C0218,Public,Doctoral degree,,53,62,63,8866,New England,3712,33,86,18,23,420,460,440,510,380,440
C0219,Private,Doctoral degree,,19,30,40,17211,Mid East,5149,73,96,18,22,420,520,430,530,,
C0220,Private,Doctoral degree,,16,24,24,6491,Far West,1178,92,82,19,24,450,550,460,560,,
C0221,Private,Doctoral degree,,17,28,29,34740,Mid East,2489,49,99,19,23,,,,,,
C0222,Private,Doctoral degree,,42,45,45,22508,Great Lakes,2036,67,98,19,24,400,620,440,550,,
C0223,Public,Bachelor's degree,,30,43,46,7500,Great Lakes,3458,89,89,21,27,460,570,465,590,455,570
C0224,Public,Doctoral degree,,36,39,44,25520,Mid East,3026,96,100,21,26,,,,,,
C0225,Private,Doctoral degree,,40,61,65,6870,Southeast,4021,30,100,22,26,520,590,520,590,,
C0226,Private,Doctoral degree,,48,60,61,6070,Plains,4604,67,100,,,380,480,370,480,390,490
C0227,Private,Master's degree,,16,26,31,5376,New England,39557,73,93,,,400,510,400,520,380,500
C0228,Private,Master's degree,,17,30,34,17040,Mid East,4665,78,87,16,19,390,460,380,460,370,450
C0229,Private,Master's degree,,45,55,57,11340,Southeast,2629,85,69,16,19,390,460,400,470,370,450
C0230,Private,Master's degree,,66,70,72,45625,Far West,4295,47,53,29,33,630,730,600,710,610,710
C0231,Public,Doctoral degree,,34,49,51,45314,Southeast,1082,,45,23,27,510,590,540,630,500,590
C0232,Private,Bachelor's degree,,53,57,57,7457,Southeast,973,93,64,17,20,400,490,410,500,370,480
C0233,Public,Master's degree,,4,12,17,8040,Mid East,1711,57,88,21,26,480,570,480,580,470,560
C0234,Public,Doctoral degree,,25,56,63,4429,Southeast,4578,53,97,27,29,600,690,600,680,,
C0235,Private,Bachelor's degree,,33,55,60,5153,Mid East,3275,76,94,20,25,450,550,440,560,440,540
C0236,Private,Doctoral degree,,21,24,24,30596,Plains,804,,96,21,26,490,590,490,585,470,570
C0237,Private,Master's degree,,48,59,60,26094,Southeast,1946,44,100,18,27,472,656,476,648,,
C0238,Private,Doctoral degree,,32,61,67,35062,Far West,77338,94,99,19,25,490,610,430,570,470,590
C0239,Private,Bachelor's degree,,41,49,52,45388,Mid East,1341,42,81,19,25,450,590,470,620,,
C0240,Public,Master's degree,,76,80,81,8342,Southeast,1014,74,75,20,24,470,580,470,600,470,540
C0241,Public,Doctoral degree,,79,83,84,35573,Mid East,1935,63,96,,,550,660,580,680,560,670
C0242,Private,Master's degree,,28,46,47,31126,Great Lakes,2840,52,100,18,22,410,500,420,510,410,500
C0243,Public,Bachelor's degree,,53,62,63,32482,Great Lakes,5977,15,98,21,26,470,570,480,580,,
C0244,Private,Bachelor's degree,,38,52,54,6562,Southeast,8093,27,94,20,26,457,580,460,570,,
C0245,Private,Doctoral degree,,30,46,49,28800,Southeast,2111,57,99,22,27,460,550,470,630,480,630
C0246,Public,Master's degree,,24,43,46,15620,Mid East,8377,48,95,,,,,,,,
C0247,Public,Doctoral degree,,19,36,41,6649,Mid East,2222,57,73,25,29,500,640,580,700,540,630
C0248,Public,Master's degree,,20,32,36,7127,Great Lakes,375,72,89,24,29,520,630,540,650,520,630
C0249,Public,Doctoral degree,,11,17,20,40649,Southeast,28998,70,80,21,27,470,590,480,600,,
C0250,Public,Doctoral degree,,33,50,54,28390,Mid East,2927,58,93,19,24,420,500,420,540,,
C0251,Public,Doctoral degree,,14,40,53,24579,Mid East,22752,64,100,19,22,450,530,470,550,430,520
C0252,Public,Doctoral degree,,58,70,71,6524,Plains,15048,56,91,20,25,490,540,470,510,480,570
C0253,Public,Doctoral degree,,89,91,91,6764,Plains,46817,38,97,22,27,,,498,660,470,600
C0254,Private,Master's degree,,36,47,55,26540,Great Lakes,2910,38,100,,,,,,,,
C0255,Private,Doctoral degree,,61,66,67,9192,Southeast,684,67,94,19,24,453,468,420,508,403,445
C0256,Private,Doctoral degree,,85,88,88,36012,Mid East,3841,62,98,19,23,460,550,460,540,,
C0257,Private,Bachelor's degree,,53,61,61,17500,Mid East,1486,59,89,,,,,,,,
C0258,Public,Doctoral degree,,82,85,85,42755,Mid East,2919,84,91,23,29,518,650,530,660,,
C0259,Private,Master's degree,,59,74,76,15718,Great Lakes,3525,86,94,19,27,480,500,500,540,,
C0260,Private,Bachelor's degree,,70,74,75,45426,Great Lakes,11091,,57,19,24,450,580,450,570,,
C0261,Private,Doctoral degree,,,,,26076,Southeast,2307,50,99,21,25,470,570,480,580,460,560
C0262,Private,Master's degree,,9,25,31,28850,Great Lakes,3583,54,100,21,26,490,625,490,650,450,580
C0263,Public,Master's degree,,35,53,53,6350,Mid East,651,,68,20,25,450,560,480,590,,
C0264,Private,Master's degree,,83,86,88,26820,Far West,3882,61,99,31,34,690,780,700,790,690,780
C0265,Private,Bachelor's degree,,12,30,38,25890,Southwest,9134,65,100,,,,,,,,
C0266,Public,Master's degree,,38,45,47,31527,New England,33111,77,86,21,27,440,570,440,560,423,550
C0267,Private,Master's degree,,41,53,56,23718,Mid East,3082,89,100,21,26,470,590,500,610,450,550
C0268,Private,Bachelor's degree,,31,41,43,19650,Great Lakes,2012,55,100,18,23,450,535,435,530,430,540
C0269,Private,Bachelor's degree,,15,33,40,31424,Far West,662,88,100,19,24,420,520,450,530,400,490
C0270,Public,Doctoral degree,,40,46,46,26250,Plains,25670,75,99,18,27,400,510,420,530,,
C0271,Private,Master's degree,,32,48,51,32520,Mid East,2524,62,100,21,25,470,560,490,598,450,550
C0272,Public,Doctoral degree,,25,47,53,9356,Mid East,2367,74,84,20,25,,,,,,
