ID,Endowment assets ($),Receiving financial aid (%),Tuition and fees 2010-11 ($),Tuition and fees 2011-12 ($),Tuition and fees 2012-13 ($),Tuition and fees 2013-14 ($),Degree of urbanization,Geographic region
C1042,1806,99,24114,25650,26650,27492,City: Large,Far West
C0621,12566,84,9006,9606,9982,10355,City: Small,Great Lakes
C0014,1488,93,5424,6120,6360,7092,City: Small,Southeast
C1099,25137,100,26644,27680,29174,30310,City: Small,Mid East
C0397,8751,97,24430,24430,26430,26430,Town: Remote,Plains
C1015,122323,99,36598,38290,39810,41680,Town: Distant,Great Lakes
C0713,6889,100,6150,6540,6300,6300,Suburb: Large,Plains
C1313,17865,84,9886,10276,10666,10864,City: Midsize,Southwest
C0690,4359,95,5638,5947,6175,6390,Town: Remote,Plains
C1269,1859,93,5998,6283,6583,6583,Town: Distant,Southwest
C0898,351860,71,43190,44705,46270,47890,Suburb: Large,Mid East
C0589,4019,92,9688,10024,10950,11220,Town: Distant,Great Lakes
C0584,13019,100,22242,23428,24478,25470,Town: Fringe,Great Lakes
C0620,11158,89,9026,9809,10190,11094,City: Large,Great Lakes
C1199,5102,100,19200,20000,21000,22080,Town: Fringe,Southeast
C0493,8124,98,27345,28700,30030,30990,Rural: Fringe,New England
C0445,6512,100,18950,20030,21230,22070,Town: Remote,Southeast
C0159,2072,94,5615,6270,7327,7327,City: Midsize,Rocky Mountains
C1147,100631,76,14936,16132,16590,17100,City: Large,Mid East
C1296,4573,87,5704,5972,6608,7022,Town: Distant,Southwest
C1347,,96,9096,9468,9864,10286,Town: Remote,New England
C0614,12979,99,20500,21118,21971,23021,Rural: Distant,Great Lakes
C0165,114620,53,43990,43990,44890,46085,City: Small,New England
C0727,18228,100,18150,18780,19880,20470,City: Large,Plains
C0374,15698,100,24500,27622,27672,27672,Rural: Fringe,Great Lakes
C1134,32655,68,15250,15984,16444,16992,City: Small,Mid East
C1525,50,,,,,,City: Small,Great Lakes
C0696,46968,100,25400,26620,27410,27954,City: Midsize,Plains
C0929,3808,95,4416,4668,5059,5422,City: Large,Southeast
C0202,6827,95,4635,5187,5785,5785,City: Midsize,Southeast
C0188,121176,88,11226,11986,12806,13800,City: Large,Mid East
C1201,20081,100,22518,22925,23575,23800,Town: Distant,Southeast
C0633,2555,85,6725,7148,7531,7557,City: Small,Plains
C0443,41004,93,8610,9128,9676,10110,City: Large,Southeast
C0718,4927,100,15808,16626,17366,18256,City: Large,Plains
C1155,15171,100,27548,28354,29050,30300,Suburb: Large,Mid East
C1255,9927,99,18518,20490,21290,22330,City: Large,Southeast
C0056,154110,98,20530,22050,23250,24350,Town: Remote,Southeast
C0282,1610,97,4998,5348,5562,5786,City: Small,Rocky Mountains
C1317,2365,95,9482,9682,9682,10008,City: Small,Southwest
C1289,,90,4795,5034,5165,5173,City: Small,Southwest
C0283,12430,100,23100,24030,25190,26550,Suburb: Midsize,Rocky Mountains
C1268,3247,98,4467,4974,5328,5578,Rural: Fringe,Southwest
C1482,458781,,,,,,City: Midsize,Plains
C1189,11053,98,13168,13370,14528,15010,Town: Distant,Southeast
C0487,3659,97,7163,7575,7575,7575,Rural: Remote,New England
C1080,142411,72,41520,43060,44551,46094,City: Small,Mid East
C0287,27143,99,14996,16296,17502,18506,Town: Distant,Great Lakes
C1232,7875,94,5823,6271,6715,7249,City: Small,Southeast
C0516,142620,75,42192,43656,45004,46296,Suburb: Large,Mid East
C1375,22345,100,25655,26960,28020,28720,City: Small,Southeast
C0345,305019,97,36694,38284,40020,41450,Town: Distant,Great Lakes
C1089,17873,100,22236,23330,24480,25220,Suburb: Large,Mid East
C0946,18744,100,21614,21614,22674,23332,Town: Distant,Southeast
C1137,7075,86,12730,13102,13356,13608,Suburb: Large,Mid East
C1415,300205,91,38770,40496,42105,43500,City: Small,Far West
C1224,2599,99,6048,6432,6648,6876,City: Midsize,Southeast
C0591,2572,95,11964,12536,13192,14096,Suburb: Large,Great Lakes
C0653,3387,77,4858,5247,5712,6108,Rural: Remote,Southeast
C0221,113393,86,37640,38400,39900,41460,Suburb: Large,Southeast
C0551,5242,80,10611,11407,11966,11966,City: Large,New England
C1345,4423,98,27948,29316,30968,32192,Rural: Distant,New England
C1182,459,93,10884,11940,12140,11940,City: Midsize,Southeast
C0786,51449,75,41670,43306,44798,46370,Town: Fringe,Mid East
C1230,7201,100,18256,19200,20200,20200,Town: Fringe,Southeast
C0452,11474,100,15250,16250,17050,17750,Town: Remote,Southeast
C1179,8281,91,10476,11366,12450,12450,Suburb: Large,New England
C0619,8076,97,18974,19898,20480,20480,Town: Remote,Great Lakes
C1412,29245,79,9489,10799,12300,12327,Town: Distant,Far West
C0546,203172,72,39892,41488,43400,44272,City: Midsize,New England
C1417,6104,100,22204,22740,22740,22740,Town: Distant,Southeast
C1428,6213,91,5234,5554,5834,6256,Town: Fringe,Southeast
C0135,35761,91,35430,37150,38450,39890,Rural: Fringe,Far West
C1363,3813,75,9250,10084,10572,11092,City: Midsize,Southeast
C0669,23821,100,19390,20130,20720,21320,Town: Distant,Plains
C0706,9626,97,18956,19580,20288,20960,City: Small,Rocky Mountains
C1120,18735,,,,,,Suburb: Large,Mid East
C1351,33531,99,34845,36240,37510,39015,Suburb: Midsize,New England
C1436,92305,96,35038,36674,38474,41250,City: Small,Great Lakes
C0668,5216,100,21900,23100,23950,24950,City: Large,Plains
C1190,25762,91,11908,12304,12674,13054,Suburb: Large,Southeast
C1516,15311,100,24429,25407,26412,27456,City: Large,Southeast
C0645,10096,99,26090,27250,28320,29315,Town: Distant,Plains
C1359,7372,100,18800,19980,21060,22390,Town: Remote,Southeast
C0030,12346,83,5358,5568,5898,4984,Suburb: Small,Far West
C0137,1856,99,26342,27400,28500,29250,City: Midsize,Far West
C1057,8860,93,17604,18290,19030,19770,City: Large,Far West
C0319,26877,99,19960,21050,22150,23350,City: Large,Great Lakes
C0419,34444,99,20200,21400,22600,23800,Town: Remote,Plains
C0210,13906,95,5238,5826,6402,6507,City: Midsize,Southeast
C0234,1417,91,4510,4854,4942,5085,City: Midsize,Southeast
C0871,2600,79,6830,7172,7525,8040,City: Small,Mid East
C0413,13591,96,4636,4952,5272,5614,Town: Remote,Plains
C0169,32321,,,,,,City: Midsize,New England
C1184,5013,100,19854,20840,21440,22090,City: Small,Southeast
C0233,485,99,4592,5802,5912,6024,City: Small,Southeast
C1003,10676,94,18808,19520,19970,20780,Rural: Distant,Great Lakes
C1342,,90,9096,9468,9864,10286,Town: Distant,New England
C0794,316753,57,43304,45290,47246,49138,City: Large,Mid East
C1291,26972,71,12350,12350,12400,13525,City: Large,Southwest
C0334,1512,86,8401,8865,9251,9666,Suburb: Large,Great Lakes
C0187,9456,86,5010,5010,5138,5138,City: Large,Mid East
C1088,12180,100,24582,25522,26526,27546,City: Midsize,Mid East
C1174,44633,89,33357,34624,35991,37234,Suburb: Large,New England
C0967,6903,97,23500,24400,25496,26420,Town: Fringe,Great Lakes
C0447,,95,13350,13350,13350,8673,Rural: Fringe,Southeast
C0420,54442,95,19625,20600,21810,22891,Town: Remote,Plains
C1019,7354,88,12300,12900,13510,14050,Town: Distant,Southwest
C1208,232,98,8898,9258,9258,9776,Town: Distant,Southeast
C1424,9614,96,4888,5352,5860,6384,Town: Remote,Southeast
C1340,17627,95,41350,42800,44220,45080,Town: Distant,New England
C1229,18432,100,24870,26110,27290,28210,City: Large,Southeast
C0767,10939,100,28332,29800,31220,32284,City: Large,Mid East
C0693,15452,100,27340,28660,29840,31290,City: Large,Plains
C0046,3440,95,6640,6934,7180,7510,City: Small,Southeast
C0383,28657,99,24610,25760,26950,28000,City: Small,Plains
C0488,2765,98,7075,7480,7480,7490,Rural: Remote,New England
C1178,2236,86,6986,7268,7598,7602,Suburb: Large,New England
C1047,15876,100,17730,18405,18945,19665,Suburb: Large,Far West
C0989,15917,100,23550,24400,25100,25800,Suburb: Large,Great Lakes
C0726,9994,100,23134,24254,25214,26934,City: Large,Plains
C0242,24117,100,26226,27220,28270,29100,Suburb: Large,Southeast
C0147,1145,98,22040,22960,23870,25046,City: Midsize,Rocky Mountains
C1322,18131,75,6970,7380,7517,7517,City: Midsize,Southwest
C0181,4724,97,6731,7056,7336,7336,City: Small,Mid East
C0830,18273,92,26920,29700,32535,35725,City: Large,Mid East
C0941,42253,97,23752,25356,27576,29800,City: Large,Southeast
C0423,2018,,,,,,City: Midsize,Plains
C1074,16877,100,28967,30110,31596,33000,City: Midsize,Mid East
C0148,317840,53,38898,40050,41892,44222,City: Large,Rocky Mountains
C1113,3347,86,7700,8361,8600,8866,Suburb: Large,Mid East
C1524,,96,15024,15790,16795,17211,City: Large,Rocky Mountains
C0070,1455,82,5302,6582,6582,6491,Suburb: Small,Far West
C1406,22431,99,29200,30950,33100,34740,Suburb: Large,Far West
C1034,12590,98,20054,20756,21576,22508,City: Large,Southwest
C0485,1997,89,7125,7448,7448,7500,Town: Distant,New England
C0719,66487,100,22620,23734,24900,25520,Town: Distant,Plains
C0003,302,100,8360,8720,6800,6870,City: Midsize,Southeast
C1503,,100,5870,5870,6070,6070,Suburb: Large,Rocky Mountains
C0682,7231,93,4530,5090,5271,5376,City: Small,Plains
C1140,164,87,15300,15900,16500,17040,City: Large,Mid East
C1373,12640,69,9855,10530,10890,11340,Town: Remote,Southeast
C0095,456319,53,40230,42240,44085,45625,Suburb: Large,Far West
C1349,289779,45,41414,42428,44111,45314,Town: Distant,New England
C1337,21846,64,6272,6762,7139,7457,City: Midsize,Rocky Mountains
C0042,,88,7432,7800,7800,8040,City: Midsize,Southeast
C0913,1815,97,3640,3814,4150,4429,Town: Distant,Southeast
C0240,686,94,4566,4926,5014,5153,Suburb: Large,Southeast
C0346,43352,96,28076,29416,30556,30596,City: Midsize,Great Lakes
C1231,15082,100,22000,23494,24754,26094,City: Large,Southeast
C1402,22282,99,30925,32222,33652,35062,City: Midsize,Far West
C0632,340683,81,40046,42021,43693,45388,City: Large,Plains
C0517,2990,75,7656,7906,8132,8342,City: Small,Mid East
C0312,31599,96,32114,33294,34578,35573,City: Large,Great Lakes
C0117,10368,100,28500,29890,30522,31126,Suburb: Large,Far West
C1396,36117,98,28556,29680,30998,32482,City: Large,Southeast
C0656,6083,94,4851,5288,5724,6562,Town: Remote,Southeast
C0110,9560,99,25640,26650,27700,28800,Suburb: Large,Far West
C0343,5459,95,14200,14880,14880,15620,Suburb: Large,Great Lakes
C1484,2284,73,5044,6596,6452,6649,Suburb: Large,Far West
C0553,6277,89,8293,6867,7202,7127,Suburb: Midsize,New England
C0185,45966,80,36697,38071,39499,40649,City: Large,Mid East
C0813,827,93,24880,25908,27124,28390,Suburb: Large,Mid East
C1191,22100,100,20548,22200,23640,24579,Town: Distant,Southeast
C0280,19308,91,5402,5856,6212,6524,Rural: Fringe,Rocky Mountains
C1292,8014,97,6856,6132,6404,6764,Town: Distant,Southwest
C0386,20267,100,23180,24300,25520,26540,Town: Remote,Plains
C1109,279,94,8058,8654,8926,9192,Town: Distant,Mid East
C1416,40194,98,30204,32144,34346,36012,Suburb: Large,Far West
C0311,35491,89,21000,23000,17500,17500,Town: Distant,Great Lakes
C1117,70771,91,38380,39915,41510,42755,City: Midsize,Mid East
C1357,28952,94,14066,14784,15284,15718,City: Small,New England
C1093,345178,57,40624,42208,43702,45426,Suburb: Large,Mid East
C0432,23245,99,23303,24229,25311,26076,Town: Fringe,Southeast
C0377,10985,100,25400,26730,27790,28850,Town: Distant,Great Lakes
C0072,3819,68,4807,6106,6125,6350,Suburb: Large,Far West
C0908,40089,99,25160,25160,26040,26820,Suburb: Midsize,Southeast
C1318,72835,100,22890,23930,24990,25890,Town: Fringe,Southwest
C0332,8109,86,29100,30150,30780,31527,City: Large,Great Lakes
C0711,20707,100,21100,22134,22892,23718,City: Midsize,Rocky Mountains
C1420,19512,100,24700,25181,19681,19650,City: Small,Southeast
C1002,28859,100,28413,29550,30658,31424,Suburb: Large,Great Lakes
C0837,2752,99,23300,24410,25340,26250,Suburb: Large,Mid East
C0658,112710,100,27812,29482,30974,32520,City: Midsize,Southeast
C0610,11913,84,8160,8712,9028,9356,City: Midsize,Great Lakes
C1010,17022,100,23940,24910,25790,26720,Suburb: Large,Great Lakes
C0849,88229,95,40680,42704,44475,46269,City: Small,Mid East
C0217,,95,14745,15478,14695,15995,Suburb: Large,Southeast
C0424,10809,91,4848,5162,5494,5906,Town: Distant,Plains
C1264,1241,74,6294,6594,7084,7172,City: Large,Southwest
C0900,55802,100,32180,33410,34700,35900,Rural: Distant,Mid East
C1372,1646,95,18064,19154,19968,20768,City: Small,Southeast
C0304,135452,100,22800,24550,26500,27800,Town: Distant,Great Lakes
C0303,116710,99,35256,36572,37954,39316,City: Small,Great Lakes
C0617,4399,100,19790,20554,21152,21890,Town: Distant,Great Lakes
C1286,3790,90,5470,5648,7632,7665,City: Midsize,Southwest
C0152,38352,85,36501,37833,39177,40707,City: Large,Rocky Mountains
C1222,22053,93,6762,7209,7704,8022,Town: Distant,Plains
C0269,3613,100,14540,15010,15650,16610,Rural: Fringe,Southeast
C0088,5527,70,11686,13595,13671,13746,Suburb: Midsize,Far West
C1249,8453,95,19100,19700,21200,21800,Town: Distant,Southeast
C0328,8035,100,25710,26610,27730,28810,Suburb: Large,Great Lakes
C0972,41246,98,29930,31640,33400,35800,City: Midsize,Great Lakes
C1439,20588,100,29750,31300,33000,34850,Suburb: Midsize,Great Lakes
C0421,3655,99,20250,21500,21500,22290,Suburb: Large,Plains
C1020,4484,100,19200,20160,21140,22252,Town: Distant,Southwest
C0800,433,71,4978,5508,5858,6158,City: Large,Mid East
C0145,,76,6029,6512,6688,7024,City: Large,Rocky Mountains
C0995,4775,94,6102,6327,7140,7140,Rural: Fringe,Great Lakes
C0380,10169,97,23418,24694,25642,26650,City: Small,Plains
C0574,14958,97,29812,30844,31912,33020,City: Midsize,New England
C0547,17222,98,26000,27500,29000,30000,City: Small,New England
C0953,31554,100,16780,17270,17870,18494,Town: Remote,Plains
C0792,264911,41,41870,42920,44640,46380,Town: Distant,Mid East
C0768,27638,98,31890,33490,34750,35820,Suburb: Large,Mid East
C1259,82162,99,22760,25270,26770,28350,City: Midsize,Southwest
C0034,8058,91,8132,9720,9724,9861,City: Midsize,Southwest
C0537,27474,72,31422,32728,34198,35730,City: Large,New England
C0949,17933,99,21140,22180,23845,25040,Suburb: Large,Southeast
C1474,2324,,,,,,Suburb: Large,Far West
C0607,45391,63,11152,12202,12622,12862,City: Small,Great Lakes
C1032,28164,96,25760,27500,27500,29426,City: Large,Southwest
C0005,13202,93,7164,8082,7932,8720,City: Midsize,Southeast
C1131,11985,95,12596,12994,13244,13354,Town: Remote,Mid East
C0497,8075,95,7330,7500,7646,7838,City: Large,Mid East
C0980,3768,91,9030,9346,9672,9816,Suburb: Large,Great Lakes
C1045,58571,90,36632,38500,40330,41928,City: Large,Far West
C0058,20167,100,12020,12620,13150,13750,Rural: Distant,Southeast
C0342,37146,94,30558,31948,33138,34368,City: Large,Great Lakes
C1104,25904,100,31620,33200,34470,35700,Suburb: Small,Mid East
C1391,19817,79,8817,9517,9886,12002,City: Midsize,Southeast
C0529,137445,59,40542,42204,43878,45622,City: Small,New England
C0844,15730,97,25470,27290,28940,30780,Suburb: Large,Mid East
C0326,10037,100,24750,25570,26310,26710,City: Midsize,Great Lakes
C1082,21257,100,27502,28671,30034,31385,City: Large,Mid East
C0119,4625,98,23250,24064,25264,26050,Suburb: Large,Far West
C0736,2399,100,28800,29450,29950,31000,Rural: Fringe,New England
C1172,13243,98,15140,15880,16520,17010,Suburb: Midsize,Mid East
C1368,124516,100,32489,33874,35570,37352,Rural: Distant,Southeast
C1061,207241,100,15540,16074,16878,17724,Suburb: Large,Mid East
C1207,2881,91,9390,9760,9760,9760,City: Small,Southeast
C1142,6773,98,28990,30546,32064,33690,City: Large,Mid East
C0889,1849,94,5195,5545,5915,6265,Suburb: Small,Mid East
C0876,1367,92,6114,6439,6764,7090,Suburb: Midsize,Mid East
C0470,1322,95,4292,4737,5679,6468,City: Small,Southeast
C0321,330031,63,40223,41983,43779,45527,City: Small,Great Lakes
C1295,28528,92,23500,25300,26890,28240,City: Large,Southwest
C1072,9251,100,22600,23504,24438,25416,City: Large,Mid East
C0071,1353,85,5049,6518,6327,6550,City: Midsize,Far West
C0339,10714,100,24000,24610,25560,26280,City: Small,Great Lakes
C1188,58834,85,9871,10216,10523,10838,City: Midsize,Southeast
C1261,101878,99,29235,31270,32850,33830,City: Small,Southwest
C1276,53054,99,19950,21700,22560,23200,Town: Remote,Southwest
C0503,39225,98,29860,31060,32300,33280,City: Small,Mid East
C0097,14139,98,35550,37350,39050,40600,City: Small,Far West
C0582,121935,99,31186,32662,34194,36051,Town: Fringe,Great Lakes
C0756,973,90,9250,10021,10422,10653,City: Large,Mid East
C1237,,99,8000,8220,8560,9180,City: Small,Southeast
C0896,,18,,,,1032,Suburb: Large,US Service schools
C0492,5499,100,29330,30500,31870,33145,Suburb: Midsize,New England
C0268,2811,100,15885,16910,18210,19000,Rural: Fringe,Southeast
C1460,1529,83,6680,6995,7351,7401,City: Small,Great Lakes
C0235,2402,95,15880,16226,17400,17400,Town: Distant,Southeast
C0961,9394,97,27412,28582,28858,29836,Town: Fringe,Great Lakes
C0907,20894,100,22520,24720,25000,26240,Town: Fringe,Southeast
C1377,9700,95,23426,23972,25178,26430,City: Midsize,Southeast
C0960,8639,90,9247,9545,9863,10054,City: Midsize,Great Lakes
C1152,29618,97,35230,36640,37830,39040,City: Large,Mid East
C0636,7068,92,10623,11097,11456,11448,Town: Distant,Plains
C0670,3423,94,6585,6945,7147,7265,Town: Distant,Plains
C0522,2819,100,26700,27902,29158,30040,City: Midsize,New England
C1392,213079,54,10828,11786,12216,12668,City: Small,Southeast
C1129,11149,75,13240,13628,13900,14240,Suburb: Large,Mid East
C0299,10621,98,20924,22198,22920,23612,Town: Distant,Great Lakes
C0455,11307,100,24845,25845,26595,27345,Suburb: Large,Southeast
C0942,16582,100,10768,11200,11680,12160,Town: Distant,Southeast
C0436,4092,95,19710,20740,21600,22196,Town: Remote,Southeast
C1423,,93,5172,5326,5326,5824,Town: Distant,Southeast
C0558,5331,91,28870,30400,31700,32370,Suburb: Large,New England
C0259,18477,97,27950,29150,30150,31280,Suburb: Large,Southeast
C0749,,100,28054,28890,29630,30540,Suburb: Large,Mid East
C0698,4100,89,6276,6598,6792,6908,City: Midsize,Plains
C1069,180935,55,42342,43866,45378,46902,Town: Distant,Mid East
C0040,3657,99,16174,18968,21040,21832,City: Large,Southwest
C1479,905,99,14080,14830,15092,15688,City: Large,Southwest
C1196,6684,99,8480,8802,9066,9386,Suburb: Small,Southeast
C1085,2675,91,7730,8360,8578,8849,Town: Fringe,Mid East
C0289,746,97,8752,9062,8558,9032,City: Large,Great Lakes
C0296,26608,89,28660,30054,31650,32920,Suburb: Large,Great Lakes
C0752,2755,100,26425,28080,29400,29990,Suburb: Large,Mid East
C1139,10390,81,12596,12966,13238,13602,Suburb: Midsize,Mid East
C0322,788,77,7492,7879,8089,8460,City: Large,Great Lakes
C0965,17716,100,29310,30450,31364,31990,Suburb: Large,Great Lakes
C0106,86488,92,24542,25788,27080,27900,City: Large,Far West
C0776,962,95,2972,3284,3504,4000,Town: Remote,Southwest
C1468,2121,84,6845,7146,7505,7577,Town: Distant,Great Lakes
C0089,3473,80,11505,13416,13416,13397,City: Small,Far West
C0009,22092,76,7900,8698,9446,9852,City: Small,Southeast
C1431,9902,96,5164,5344,5558,5808,Rural: Fringe,Southeast
C0788,787,96,9525,11025,11025,11025,City: Large,Mid East
C1121,10806,93,12678,13048,13300,13412,Rural: Fringe,Mid East
C0327,16852,96,23000,25000,25950,26500,City: Large,Great Lakes
C0279,3835,87,5416,5796,6070,6344,City: Small,Rocky Mountains
C0227,2830,97,16430,17718,18596,19986,City: Small,Southeast
C1511,243,89,3563,4006,4498,4482,City: Large,Far West
C0215,1158,,,,,,Suburb: Large,Southeast
C0977,49493,100,27135,28950,30190,30290,Town: Fringe,Great Lakes
C0177,206497,41,42420,44070,45730,47510,City: Midsize,New England
C0815,3499,69,4164,4459,4790,5105,City: Large,Mid East
C0728,4753,92,5071,5318,5520,5574,Town: Distant,Plains
C0968,1196,91,5480,5672,5870,6058,Rural: Fringe,Great Lakes
C0390,9039,100,20222,21018,21826,22628,City: Midsize,Plains
C0747,5474,96,22400,23700,25050,25880,Suburb: Large,Mid East
C0816,39837,92,38602,40292,42057,43902,City: Large,Mid East
C0161,2997,83,24374,26294,28358,28378,City: Midsize,New England
C1520,3287,,,,,,City: Small,Mid East
C0157,6428,90,5997,6623,6514,6968,City: Small,Rocky Mountains
C1452,36623,99,28043,29395,30675,31866,Suburb: Midsize,Great Lakes
C0180,1528324,61,38300,40500,42300,44000,City: Midsize,New England
C1281,6117,99,5105,5409,5714,5818,City: Midsize,Southwest
C1475,2393,,,,,,City: Small,Far West
C0730,7827,92,5808,6428,6705,6690,City: Midsize,Far West
C1499,8465,100,9840,10080,10320,10800,Suburb: Large,Great Lakes
C0018,14086,93,16120,17220,18080,18690,Rural: Fringe,Southeast
C1216,29980,100,19850,20810,21750,22700,Town: Remote,Plains
C1257,7673,100,22390,24030,25650,26880,City: Small,Southeast
C1506,46,100,12240,13200,15020,15840,City: Small,Southeast
C0683,3316,100,17170,17780,17900,18300,Town: Remote,Plains
C1332,3223,88,4736,5198,5576,5924,Town: Remote,Rocky Mountains
C0951,6199,83,5124,5387,5925,6265,Rural: Fringe,Southeast
C0500,269,95,5547,5732,6065,6252,City: Large,Mid East
C1108,118787,100,30800,31818,32756,33746,City: Small,Mid East
C1500,15146,98,24429,25407,26412,27456,Suburb: Large,Southeast
C1144,144,97,12046,12496,12890,13078,Town: Remote,Mid East
C0244,4764,100,13520,14550,15700,16800,Town: Distant,Southeast
C0054,38304,99,19770,20766,21774,22734,Town: Distant,Southeast
C1432,28946,100,23980,24964,25804,26794,Town: Remote,Southeast
