ID,Loan amount ($),Loan intent,Annual income ($),Loan interest rate (%),Loan grade,Length of employment (years)
L094,15000,Debt consolidation,80000,5.32,A,
L095,12000,Debt consolidation,53750,5.32,A,4
L096,8000,Debt consolidation,45000,10.78,B,1
L097,12000,Credit card refinancing,40000,10.78,B,3
L098,18000,Debt consolidation,75000,7.49,A,5
L099,3600,Debt consolidation,85000,11.48,B,1
L100,7200,Debt consolidation,20000,17.27,D,9
L101,15000,Credit card refinancing,77213,13.44,C,4
L102,5000,Other,72000,9.8,B,6
L103,11550,Credit card refinancing,38000,16.59,D,5
L104,33600,Debt consolidation,104000,10.78,B,8
L105,17925,Debt consolidation,39000,17.27,D,10
L106,17475,Debt consolidation,39750,13.99,C,2
L107,9000,Debt consolidation,47000,8.49,B,8
L108,12000,Debt consolidation,65000,9.8,B,10
L109,4000,Debt consolidation,44500,9.17,B,2
L110,10500,Credit card refinancing,70100,15.77,D,3
L111,14000,Medical expenses,100000,9.8,B,4
L112,6000,Car financing,105000,7.91,A,10
L113,16000,Home improvement,90000,12.88,C,10
L114,15000,Debt consolidation,92000,9.8,B,3
L115,12000,Debt consolidation,39400,9.17,B,4
L116,10000,Debt consolidation,33000,11.48,B,2
L117,4200,Other,32000,13.99,C,2
L118,35000,Debt consolidation,120000,20.5,E,8
L119,5475,Debt consolidation,108000,18.99,E,10
L120,16000,Debt consolidation,60000,7.91,A,2
L121,6000,Debt consolidation,38700,13.44,C,3
L122,24000,Debt consolidation,75000,9.17,B,10
L123,10000,Debt consolidation,60000,12.88,C,1
L124,6900,Debt consolidation,80000,19.89,E,10
L125,22400,Credit card refinancing,48000,9.8,B,10
L126,15975,Debt consolidation,58800,16.59,D,4
L127,21600,Debt consolidation,54000,13.44,C,9
L128,24000,Credit card refinancing,82193,13.99,C,8
L129,14400,Debt consolidation,73320,19.48,E,3
L130,8000,,42000,13.99,C,1
L131,7000,Debt consolidation,83000,13.99,C,2
L132,20000,Debt consolidation,55000,10.78,B,1
L133,25825,Debt consolidation,68000,26.06,F,6
L134,24575,Debt consolidation,92000,22.45,F,10
L135,3200,Medical expenses,30407,8.49,B,10
L136,22875,Debt consolidation,137000,15.77,D,10
L137,16000,Debt consolidation,80000,14.85,C,10
L138,35000,Debt consolidation,125000,13.44,C,1
L139,2400,Home improvement,52000,17.27,D,2
L140,25000,Debt consolidation,132000,7.49,A,
L141,8800,Credit card refinancing,55000,12.88,C,2
L142,2500,Debt consolidation,16488,11.48,B,
L143,8000,Credit card refinancing,50000,5.32,A,1
L144,20000,Debt consolidation,78000,11.99,C,10
L145,35000,Major purchase,110000,12.88,C,10
L146,15000,Debt consolidation,45000,7.49,A,
L147,16000,Debt consolidation,70000,15.77,D,1
L148,10800,Debt consolidation,40000,13.99,C,3
L149,7500,Debt consolidation,15000,17.97,D,10
L150,16000,Debt consolidation,63000,10.78,B,5
L151,9000,Credit card refinancing,49000,5.32,A,10
L152,9500,,28000,15.77,D,10
L153,10000,Debt consolidation,25000,7.91,A,2
L154,6000,Debt consolidation,49000,7.91,A,10
L155,15600,Major purchase,52000,13.44,C,10
L156,35000,Debt consolidation,90000,8.49,B,1
L157,5000,Debt consolidation,78000,11.48,B,9
L158,20400,Credit card refinancing,75000,18.49,D,2
L159,8000,Debt consolidation,33130,17.97,D,
L160,16000,Debt consolidation,87500,10.78,B,3
L161,18000,Debt consolidation,80000,7.91,A,10
L162,35000,Debt consolidation,105000,9.17,B,1
L163,13150,Major purchase,40000,5.32,A,1
L164,5600,Credit card refinancing,48000,9.17,B,8
L165,23000,,90247,9.8,B,9
L166,12600,Debt consolidation,175000,14.85,C,1
L167,11000,Debt consolidation,55000,16.59,D,8
L168,4000,Debt consolidation,41501,11.99,C,3
L169,20000,,75000,13.44,C,9
L170,20000,Debt consolidation,60000,11.48,B,5
L171,10000,Credit card refinancing,59307,9.17,B,10
L172,18850,Debt consolidation,55000,21.48,E,1
L173,21000,Debt consolidation,82000,11.99,C,10
L174,10500,Debt consolidation,60000,8.49,B,4
L175,4575,Home buying,56000,17.27,D,5
L176,5000,Other,17000,11.48,B,1
L177,8000,Home improvement,45000,6.99,A,
L178,5000,Debt consolidation,30000,11.99,C,1
L179,9075,Credit card refinancing,40000,5.32,A,10
L180,24000,Debt consolidation,75181.21,12.88,C,2
L181,12500,Credit card refinancing,52000,7.49,A,10
L182,19600,Debt consolidation,80000,15.77,D,8
L183,35000,Debt consolidation,90000,13.99,C,2
L184,28000,Debt consolidation,75000,8.49,B,1
L185,14000,Debt consolidation,45500,15.77,D,1
L186,16000,Credit card refinancing,99906,9.8,B,
L187,14000,Debt consolidation,120000,5.32,A,4
L188,24000,Debt consolidation,72000,8.49,B,8
L189,35000,Debt consolidation,75000,13.99,C,6
L190,14550,Debt consolidation,70000,15.77,D,10
L191,8000,Credit card refinancing,21610,11.48,B,1
L192,32400,Credit card refinancing,106284,9.8,B,10
L193,3600,Debt consolidation,25000,13.44,C,1
L194,10500,Debt consolidation,110000,13.99,C,10
L195,3000,Home improvement,105000,11.48,B,10
L196,16000,Credit card refinancing,43000,14.85,C,2
L197,8000,Debt consolidation,57000,7.49,A,10
L198,19500,Debt consolidation,85000,7.49,A,1
L199,2000,Other,140000,8.49,B,8
L200,16000,Debt consolidation,96000,5.32,A,8
L201,3500,Vacation,122400,10.78,B,8
L202,14000,Debt consolidation,94000,9.17,B,4
L203,24000,Debt consolidation,95000,11.48,B,3
L204,6000,Credit card refinancing,120000,5.32,A,2
L205,24000,Debt consolidation,100000,7.91,A,9
L206,14875,Debt consolidation,37231,18.49,D,3
L207,10000,,45000,11.99,C,7
L208,15000,Credit card refinancing,93000,6.99,A,2
L209,10000,Credit card refinancing,68000,5.32,A,10
L210,18000,Major purchase,97000,9.17,B,10
L211,24000,Debt consolidation,97000,19.48,E,10
L212,23525,Debt consolidation,70000,17.97,D,5
L213,12000,Credit card refinancing,68000,9.17,B,10
L214,11000,Other,297000,10.78,B,10
L215,24000,Debt consolidation,210000,9.17,B,2
L216,15000,Debt consolidation,42900,16.59,D,8
L217,16000,Credit card refinancing,140000,8.49,B,10
L218,15000,Debt consolidation,90000,7.91,A,5
L219,5000,Debt consolidation,60000,11.99,C,8
L220,19100,Debt consolidation,115000,10.78,B,10
L221,15000,Credit card refinancing,85000,10.78,B,3
L222,30000,Debt consolidation,85000,18.49,D,2
L223,15000,Credit card refinancing,60000,9.8,B,10
L224,3500,Other,105000,13.99,C,10
L225,20000,Debt consolidation,130000,9.17,B,2
L226,10000,Credit card refinancing,30160,13.44,C,7
L227,35000,Debt consolidation,132500,18.49,D,9
L228,16000,Credit card refinancing,90000,14.85,C,10
L229,2000,Other,180000,11.99,C,10
L230,12000,Credit card refinancing,39500,9.8,B,2
L231,8000,Credit card refinancing,80000,6.99,A,1
L232,10000,Debt consolidation,92000,9.8,B,10
L233,25000,Credit card refinancing,76500,7.91,A,10
L234,35000,Debt consolidation,100000,13.99,C,10
L235,25600,Debt consolidation,150000,7.91,A,3
L236,4325,Major purchase,90000,11.99,C,10
L237,6000,,48000,6.99,A,10
L238,18200,Credit card refinancing,65000,15.77,D,8
L239,10000,Credit card refinancing,54000,6.99,A,3
L240,30000,Debt consolidation,81000,13.44,C,5
L241,13200,Home improvement,150000,5.32,A,2
L242,10000,Debt consolidation,220000,6.99,A,5
L243,3000,Debt consolidation,75000,11.48,B,5
L244,20000,Debt consolidation,96000,9.8,B,10
L245,13875,Credit card refinancing,32500,11.99,C,10
L246,18000,Debt consolidation,76000,6.49,A,10
L247,15225,Debt consolidation,40000,8.49,B,3
L248,16000,Debt consolidation,65000,11.48,B,6
L249,21000,Other,125000,9.8,B,7
L250,13000,Debt consolidation,40000,16.59,D,1
L251,20000,Major purchase,120000,7.91,A,5
L252,31075,Credit card refinancing,70000,7.49,A,10
L253,18000,Credit card refinancing,120000,6.99,A,10
L254,5000,Other,74967,9.17,B,
L255,4675,Credit card refinancing,13000,17.27,D,1
L256,6000,Debt consolidation,85140,9.8,B,4
L257,12000,Debt consolidation,90000,12.88,C,10
L258,13000,Home improvement,115000,13.99,C,10
L259,1800,Other,50000,11.48,B,10
L260,4475,Credit card refinancing,114000,16.59,D,10
L261,14400,Debt consolidation,70000,6.49,A,8
L262,5875,Debt consolidation,70000,7.91,A,5
L263,20000,Debt consolidation,180000,17.97,D,7
L264,10000,Debt consolidation,115000,6.99,A,5
L265,34100,Debt consolidation,92892,12.88,C,8
L266,24000,Credit card refinancing,56457,11.48,B,3
L267,30000,Debt consolidation,300000,18.49,D,8
L268,5200,Debt consolidation,160000,10.78,B,7
L269,16800,Debt consolidation,50000,11.99,C,1
L270,10000,Debt consolidation,40000,11.99,C,7
L271,22000,Debt consolidation,55000,17.97,D,10
L272,28000,Debt consolidation,144000,5.32,A,10
L273,7200,Credit card refinancing,60000,6.49,A,10
L274,18000,Debt consolidation,41000,11.99,C,9
L275,8400,Debt consolidation,30000,7.49,A,1
L276,5000,Credit card refinancing,67000,14.85,C,2
L277,5000,Debt consolidation,55000,9.8,B,10
L278,2400,Debt consolidation,60000,11.48,B,5
L279,15000,Debt consolidation,60000,5.32,A,9
L280,6075,,64400,9.17,B,9
L281,20000,Debt consolidation,55000,10.78,B,2
L282,6025,Debt consolidation,110000,14.85,C,10
L283,8400,Debt consolidation,70000,9.17,B,2
L284,15000,Debt consolidation,90000,12.88,C,2
L285,19200,Debt consolidation,72000,8.49,B,10
L286,12000,Debt consolidation,143000,15.77,D,1
L287,28800,Home improvement,60000,12.88,C,8
L288,5000,Debt consolidation,60000,5.32,A,10
L289,5000,Home improvement,60000,12.88,C,7
L290,31500,Debt consolidation,120000,11.99,C,10
L291,24000,Debt consolidation,165000,18.49,D,10
L292,20000,Debt consolidation,110000,12.88,C,1
L293,24000,Debt consolidation,110000,10.78,B,2
L294,21850,Debt consolidation,65000,17.27,D,10
L295,9500,Home improvement,126500,6.49,A,10
L296,20000,Debt consolidation,98000,8.49,B,10
L297,20000,Credit card refinancing,59000,13.44,C,8
L298,20000,Home improvement,135000,16.59,D,10
L299,20000,,65000,12.88,C,1
L300,25200,Credit card refinancing,78000,13.44,C,2
L301,12000,Credit card refinancing,50000,6.99,A,10
L302,10000,Debt consolidation,65000,12.88,C,10
L303,12000,Debt consolidation,36500,9.8,B,10
L304,12000,Debt consolidation,75000,7.91,A,8
L305,6425,Debt consolidation,41000,15.77,D,1
L306,12700,Debt consolidation,32760,17.97,D,3
L307,35000,Credit card refinancing,121000,13.99,C,10
L308,16000,Debt consolidation,110000,13.44,C,5
L309,15000,Credit card refinancing,48000,13.99,C,2
L310,20550,Debt consolidation,60000,16.59,D,10
L311,25000,Home improvement,127000,6.99,A,10
L312,14000,Debt consolidation,115000,19.48,E,10
L313,16925,Major purchase,47000,21.48,E,10
L314,4700,Debt consolidation,22000,13.44,C,3
L315,5000,Debt consolidation,25000,8.49,B,
L316,12000,Debt consolidation,92500,14.85,C,2
L317,12000,Debt consolidation,55000,9.8,B,10
L318,15000,Debt consolidation,117000,6.99,A,1
L319,4900,Debt consolidation,123000,13.44,C,2
L320,18000,Credit card refinancing,70000,7.49,A,1
L321,18000,Debt consolidation,48000,14.85,C,5
L322,25000,Debt consolidation,120000,17.27,D,10
L323,15000,Debt consolidation,50000,12.88,C,10
L324,3600,Car financing,97000,11.48,B,1
L325,33000,Other,92250,8.49,B,5
L326,14950,Debt consolidation,68000,18.99,E,10
L327,15000,Debt consolidation,154000,12.88,C,10
L328,7000,Debt consolidation,30100,16.59,D,2
L329,15000,Debt consolidation,35300,16.59,D,10
L330,35000,Debt consolidation,98000,12.88,C,4
L331,8000,Credit card refinancing,58000,8.49,B,
L332,20000,Credit card refinancing,40000,11.99,C,8
L333,14375,Debt consolidation,80000,19.89,E,1
L334,21000,Debt consolidation,85000,9.17,B,1
L335,3700,Debt consolidation,65000,12.88,C,10
L336,8400,Credit card refinancing,85000,9.17,B,10
L337,7200,Debt consolidation,22000,11.48,B,1
L338,16800,Debt consolidation,85400,8.49,B,8
L339,9000,Major purchase,150000,5.32,A,7
L340,6000,Home improvement,43700,13.99,C,6
L341,34000,Debt consolidation,76497,10.78,B,7
L342,20000,Debt consolidation,67000,11.99,C,10
L343,16000,Debt consolidation,91000,12.88,C,10
L344,11200,Debt consolidation,70000,8.49,B,10
L345,21000,Debt consolidation,95000,18.49,D,10
L346,16000,Credit card refinancing,65000,12.88,C,10
L347,6000,Debt consolidation,50000,7.91,A,10
L348,9100,Credit card refinancing,84000,6.49,A,4
L349,10000,Other,60000,6.99,A,10
L350,28000,Debt consolidation,135000,10.78,B,3
L351,30000,Other,115000,27.49,G,1
L352,8450,Debt consolidation,37380,11.99,C,10
L353,8775,Credit card refinancing,75000,22.45,F,10
L354,6000,Debt consolidation,72000,5.32,A,5
L355,10000,Debt consolidation,75000,5.32,A,10
L356,10000,Debt consolidation,128000,15.77,D,4
L357,7200,Debt consolidation,22000,17.27,D,3
L358,20000,Debt consolidation,75000,14.85,C,5
L359,20000,Debt consolidation,95750,9.17,B,2
L360,5000,Debt consolidation,130000,5.32,A,8
L361,15000,Debt consolidation,35179,9.8,B,1
L362,23950,Credit card refinancing,160000,17.97,D,3
L363,15000,Debt consolidation,160000,10.78,B,10
L364,2250,Credit card refinancing,60000,8.49,B,1
L365,14000,Debt consolidation,40000,13.44,C,1
L366,14000,Debt consolidation,80000,12.88,C,2
L367,18000,Debt consolidation,83000,7.49,A,3
L368,12000,Other,72500,5.32,A,3
L369,5600,Credit card refinancing,46000,10.78,B,10
L370,35000,Debt consolidation,83000,16.59,D,1
L371,8000,Other,43500,12.88,C,3
L372,2400,Debt consolidation,26000,13.44,C,3
L373,35000,Debt consolidation,98000,17.27,D,1
L374,35000,Credit card refinancing,140000,10.78,B,10
L375,7000,Other,55000,12.88,C,10
L376,8000,Debt consolidation,23200,11.99,C,2
L377,6125,Debt consolidation,70000,17.27,D,4
L378,10400,Debt consolidation,150000,13.44,C,10
L379,30000,Debt consolidation,134000,7.91,A,5
L380,4000,Debt consolidation,30000,14.85,C,5
L381,10000,Debt consolidation,125000,10.78,B,10
L382,16000,Debt consolidation,50000,7.91,A,1
L383,24000,Home improvement,67000,17.27,D,10
L384,19225,,56600,26.99,G,1
L385,13000,Home improvement,130000,12.88,C,5
L386,16800,Debt consolidation,52000,9.17,B,7
L387,2000,Credit card refinancing,35037,6.49,A,3
L388,19200,Debt consolidation,50000,5.32,A,1
L389,10000,Debt consolidation,140000,13.44,C,10
L390,35000,Debt consolidation,165000,7.91,A,4
L391,15000,Debt consolidation,60000,12.88,C,10
L392,35000,Debt consolidation,84468,15.77,D,1
L393,18000,Credit card refinancing,55000,8.49,B,1
L394,8000,Debt consolidation,40000,9.8,B,6
L395,15000,Debt consolidation,50000,12.88,C,10
L396,17400,Debt consolidation,175000,8.49,B,10
L397,35000,Credit card refinancing,156000,11.99,C,10
L398,12000,Debt consolidation,100000,9.17,B,3
L399,24000,Debt consolidation,66000,9.17,B,10
L400,8000,Home improvement,66500,7.91,A,5
L401,16775,Debt consolidation,74000,19.89,E,1
L402,8000,Credit card refinancing,48000,8.49,B,3
L403,21000,Debt consolidation,100000,10.78,B,1
L404,20000,Other,150000,13.44,C,2
L405,10000,Credit card refinancing,113000,12.88,C,1
L406,6000,Debt consolidation,81120,7.91,A,1
L407,6000,Debt consolidation,54744,18.49,D,
L408,8400,Credit card refinancing,80000,11.48,B,1
L409,10000,Credit card refinancing,33000,12.88,C,10
L410,6000,Credit card refinancing,72000,9.17,B,2
L411,20000,Credit card refinancing,70000,8.49,B,10
L412,4600,Credit card refinancing,14688,11.99,C,
L413,20000,,50000,17.27,D,10
L414,15000,Credit card refinancing,48112,9.17,B,2
L415,12000,Debt consolidation,40000,12.88,C,4
L416,5000,Debt consolidation,75000,10.78,B,10
L417,6000,Debt consolidation,57000,10.78,B,1
L418,10050,Credit card refinancing,34000,17.27,D,10
L419,6000,Debt consolidation,43000,5.32,A,10
L420,28000,Debt consolidation,84000,20.5,E,10
L421,15000,Credit card refinancing,81000,5.32,A,3
L422,10500,Other,168400,8.49,B,10
L423,10000,Debt consolidation,34000,13.44,C,3
L424,3600,Debt consolidation,62000,7.49,A,1
L425,10000,Other,72000,11.48,B,10
L426,30000,Credit card refinancing,115000,8.49,B,10
L427,8000,Debt consolidation,35000,11.99,C,2
L428,15000,Debt consolidation,55000,16.59,D,1
L429,21600,Debt consolidation,60000,8.49,B,2
L430,12000,,105000,9.17,B,10
L431,28000,Credit card refinancing,102000,7.91,A,8
L432,6400,Credit card refinancing,33000,11.48,B,10
L433,15000,Car financing,48000,9.17,B,10
L434,13000,Credit card refinancing,70000,7.91,A,2
L435,10000,Credit card refinancing,80000,13.44,C,3
L436,24800,,95000,7.91,A,10
L437,12000,Other,56000,10.78,B,10
L438,10800,Car financing,96000,8.49,B,9
L439,15000,,65000,11.99,C,1
L440,24000,Credit card refinancing,120000,5.32,A,3
L441,2000,Debt consolidation,75600,13.44,C,10
L442,22600,Debt consolidation,53867,15.77,D,3
L443,13500,Debt consolidation,50000,23.13,F,10
L444,6000,,66000,10.78,B,10
L445,20000,Credit card refinancing,84000,9.8,B,10
L446,5000,Debt consolidation,55000,6.49,A,10
L447,20000,Credit card refinancing,100000,7.49,A,10
L448,12000,Debt consolidation,103000,9.8,B,10
L449,32000,Credit card refinancing,107000,11.48,B,10
L450,15200,Debt consolidation,69998,13.99,C,10
L451,12500,Debt consolidation,60000,11.99,C,1
L452,21000,Debt consolidation,81000,10.78,B,4
L453,16000,Credit card refinancing,35000,8.49,B,3
L454,24650,Debt consolidation,100000,11.48,B,10
L455,11000,Debt consolidation,77000,7.91,A,3
L456,22400,Credit card refinancing,70000,14.85,C,10
L457,15125,Debt consolidation,61000,18.49,D,10
L458,8725,Debt consolidation,60000,11.99,C,10
L459,8000,Debt consolidation,63800,7.91,A,10
L460,8000,Major purchase,52000,9.17,B,2
L461,11000,,42240,14.85,C,2
L462,11725,Debt consolidation,82000,18.99,E,5
L463,28500,Debt consolidation,70000,18.99,E,1
L464,25000,Credit card refinancing,120000,6.49,A,5
L465,7000,Moving and relocation,70000,9.17,B,5
L466,12000,Debt consolidation,100000,9.8,B,1
L467,20000,Credit card refinancing,40000,8.49,B,10
L468,5875,Debt consolidation,56000,15.77,D,10
L469,18000,Debt consolidation,145000,18.49,D,10
L470,28000,Home improvement,160000,7.91,A,1
L471,35000,Moving and relocation,205000,9.8,B,10
L472,31800,Debt consolidation,65000,16.59,D,1
L473,25000,Debt consolidation,105000,17.97,D,10
L474,16000,Debt consolidation,54000,17.27,D,6
L475,25000,Credit card refinancing,82000,10.78,B,10
L476,35000,Credit card refinancing,139000,16.59,D,5
L477,18000,Credit card refinancing,60000,7.91,A,1
L478,10000,Debt consolidation,55500,7.49,A,1
L479,8000,Credit card refinancing,53040,14.85,C,2
L480,12000,Debt consolidation,75000,13.44,C,10
L481,15000,Debt consolidation,75000,5.32,A,
L482,20000,Home buying,155000,11.99,C,4
L483,14000,Business,80000,19.89,E,10
L484,20500,Debt consolidation,77700,8.49,B,
L485,4700,Debt consolidation,88000,13.99,C,4
L486,28000,Debt consolidation,76008,9.17,B,4
L487,12000,Debt consolidation,71000,7.91,A,10
L488,7200,Credit card refinancing,42500,7.91,A,1
L489,11000,Debt consolidation,33000,7.49,A,
L490,11000,Debt consolidation,52000,13.99,C,5
L491,3500,Car financing,45000,9.8,B,1
L492,23850,Major purchase,111000,13.44,C,3
L493,3600,Other,70000,15.77,D,3
L494,15000,Debt consolidation,54000,7.91,A,2
L495,16500,Credit card refinancing,76000,11.99,C,10
L496,8275,Credit card refinancing,55000,10.78,B,
L497,35000,Home improvement,80000,17.27,D,1
L498,20000,Debt consolidation,106000,5.32,A,1
L499,22800,Debt consolidation,76000,5.32,A,6
L500,10000,Credit card refinancing,35000,8.49,B,4
