ID,Control,Highest degree offered,,Tuition and fees 2013-14 ($),Admission rate (%),Geographic region,Total enrollment,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),ACT Composite score (25th percentile),ACT Composite score (75th percentile),Receiving financial aid (%)
C0069,Public,Master's degree,,23964,67,Mid East,888,39,56,59,,,100
C0070,Public,Doctoral degree,,41110,,Plains,4157,44,53,55,,,77
C0071,Public,Doctoral degree,,12048,70,Plains,31899,35,48,51,23,27,100
C0072,Public,Doctoral degree,,,84,Southeast,7144,49,54,55,21,27,
C0073,Public,Master's degree,,22770,49,Great Lakes,17497,25,37,40,18,23,98
C0074,Public,Master's degree,,12842,37,Great Lakes,1933,,,,21,27,100
C0075,Public,Doctoral degree,,12096,47,Southeast,1716,32,53,57,19,24,41
C0076,Public,Doctoral degree,,19490,53,Plains,1668,39,51,54,20,26,87
C0077,Public,Doctoral degree,,21285,58,Great Lakes,10929,46,51,52,,,91
C0078,Public,Doctoral degree,,38200,93,Plains,2714,,,,19,24,99
C0079,Public,Doctoral degree,,21050,77,Southeast,482,60,68,68,18,22,100
C0080,Public,Doctoral degree,,24150,61,Mid East,6518,54,66,69,21,26,100
C0081,Public,Doctoral degree,,22484,55,Mid East,2933,22,44,51,20,25,100
C0082,Public,Doctoral degree,,23300,47,Mid East,2603,10,31,39,30,34,100
C0083,Public,Doctoral degree,,45372,38,Southeast,5898,8,23,32,17,23,89
C0084,Public,Doctoral degree,,6071,21,Mid East,1334,24,48,53,26,30,89
C0085,Public,Doctoral degree,,7044,82,Mid East,904,46,60,62,19,24,99
C0086,Public,Doctoral degree,,37348,36,Southwest,3608,30,51,57,21,26,99
C0087,Public,Doctoral degree,,28950,61,Great Lakes,1675,16,26,30,22,27,98
C0088,Public,Doctoral degree,,27492,,Great Lakes,3764,50,63,63,19,23,99
C0089,Public,Doctoral degree,,10355,65,New England,1144,47,60,62,,,84
C0090,Public,Bachelor's degree,,7092,97,Plains,2068,17,39,44,16,21,93
C0091,Private,Doctoral degree,,30310,68,Southeast,2125,49,59,61,20,26,100
C0092,Private,Master's degree,,26430,73,Mid East,8685,87,91,93,23,28,97
C0093,Private,Bachelor's degree,,41680,60,Plains,4340,37,55,60,26,30,99
C0094,Private,Doctoral degree,,6300,,Great Lakes,3129,38,63,68,23,31,100
C0095,Private,Master's degree,,10864,91,Mid East,684,13,29,36,17,19,84
C0096,Private,Master's degree,,6390,78,Southeast,4785,11,21,23,,,95
C0097,Private,Master's degree,,6583,46,Mid East,11929,33,46,50,18,23,93
C0098,Private,Doctoral degree,,47890,70,Southeast,2953,60,65,65,,,71
C0099,Private,Master's degree,,11220,72,Southeast,29748,24,40,44,18,23,92
C0100,Private,Doctoral degree,,25470,37,New England,1635,47,56,56,22,28,100
C0101,Private,Bachelor's degree,,11094,75,Far West,2421,23,35,37,15,19,89
C0102,Private,Master's degree,,22080,78,Great Lakes,2081,35,41,46,19,25,100
C0103,Public,Master's degree,,30990,43,Plains,3274,14,27,30,17,20,98
C0104,Private,Doctoral degree,,22070,73,Southeast,17901,40,51,51,20,25,100
C0105,Private,Doctoral degree,,7327,92,Mid East,1422,36,54,56,19,25,94
C0106,Private,Master's degree,,17100,72,Mid East,662,81,85,86,,,76
C0107,Private,Doctoral degree,,7022,61,Southeast,7850,6,13,17,19,24,87
C0108,Private,Doctoral degree,,10286,66,Great Lakes,2055,15,35,44,19,24,96
C0109,Private,Doctoral degree,,23021,67,New England,1678,21,27,28,17,23,99
C0110,Private,Doctoral degree,,46085,,Southwest,2390,13,34,43,,,53
C0111,Private,Doctoral degree,,20470,41,New England,3153,14,30,34,19,26,100
C0112,Private,Bachelor's degree,,27672,,Southeast,20918,60,64,66,27,32,100
C0113,Private,Doctoral degree,,16992,71,Southeast,21271,24,58,66,20,25,68
C0114,Private,Master's degree,,,64,Mid East,3105,,,,,,
C0115,Private,Doctoral degree,,27954,36,Mid East,11865,4,10,12,,,100
C0116,Private,Doctoral degree,,5422,45,Southwest,2346,59,65,66,22,28,95
C0117,Private,Master's degree,,5785,45,New England,41368,14,30,43,22,26,95
C0118,Private,Master's degree,,13800,58,New England,5568,,,,22,28,88
C0119,Private,Master's degree,,23800,,Mid East,11778,23,29,29,17,22,100
C0120,Private,Master's degree,,7557,82,Far West,8883,39,61,66,22,26,85
C0121,Private,Doctoral degree,,10110,49,Southeast,41428,42,53,56,21,25,93
C0122,Private,Doctoral degree,,18256,64,Mid East,5270,54,60,64,30,33,100
C0123,Private,Bachelor's degree,,30300,,Great Lakes,2963,13,25,30,21,27,100
C0124,Private,Master's degree,,22330,71,Southeast,20169,24,37,37,19,24,99
C0125,Private,Bachelor's degree,,24350,89,Southwest,902,50,64,65,26,31,98
C0126,Private,Doctoral degree,,5786,63,Southwest,10872,31,35,38,18,23,97
C0127,Public,Doctoral degree,,10008,6,Southeast,22499,20,39,46,21,25,95
C0128,Private,Doctoral degree,,5173,50,Southeast,2203,28,46,49,,,90
C0129,Public,Doctoral degree,,26550,46,Southeast,1136,20,36,37,16,20,100
C0130,Private,Doctoral degree,,5578,96,Southeast,28435,86,89,89,19,21,98
C0131,Public,Master's degree,,,72,New England,2966,34,55,60,20,26,
C0132,Private,Doctoral degree,,15010,70,New England,7578,67,72,72,19,26,98
C0133,Private,Bachelor's degree,,7575,62,New England,3534,20,33,33,18,24,97
C0134,Private,Master's degree,,46094,42,Great Lakes,15718,41,54,56,22,28,72
C0135,Private,Doctoral degree,,18506,67,Southeast,673,74,79,80,21,25,99
C0136,Public,Master's degree,,7249,66,Rocky Mountains,2565,39,45,46,29,33,94
C0137,Private,Master's degree,,46296,70,Mid East,10130,13,22,24,,,75
C0138,Private,Doctoral degree,,28720,83,Southeast,806,22,41,54,15,24,100
C0139,Private,Bachelor's degree,,41450,69,New England,27692,54,63,67,17,23,97
C0140,Private,Bachelor's degree,,25220,59,Mid East,1553,18,33,37,,,100
C0141,Private,Doctoral degree,,23332,53,Mid East,4114,29,29,55,21,26,100
C0142,Private,Master's degree,,13608,51,Mid East,18974,60,63,63,20,27,86
C0143,Public,Master's degree,,43500,81,Southeast,9661,32,32,32,,,91
C0144,Public,Doctoral degree,,6876,,Southeast,949,0,4,9,32,35,99
C0145,Public,Doctoral degree,,14096,64,Mid East,6177,21,44,53,23,25,95
C0146,Public,Doctoral degree,,6108,,New England,2188,68,73,73,,,77
C0147,Private,Master's degree,,41460,38,Southwest,9788,100,100,100,18,23,86
C0148,Private,Master's degree,,11966,82,New England,1222,20,41,52,20,24,80
C0149,Public,Doctoral degree,,32192,,Far West,3966,56,63,64,20,26,98
C0150,Public,Doctoral degree,,11940,90,Southeast,7645,83,85,85,20,26,93
C0151,Private,Bachelor's degree,,46370,91,Southeast,2391,27,43,46,21,27,75
C0152,Private,Doctoral degree,,20200,71,Mid East,4921,0,21,21,,,100
C0153,Public,Master's degree,,17750,12,Southwest,1209,18,33,37,27,32,100
C0154,Public,Doctoral degree,,12450,51,Southeast,843,7,15,18,,,91
C0155,Public,Master's degree,,20480,80,Far West,2129,26,42,46,25,31,97
C0156,Private,Master's degree,,12327,55,Southwest,27642,26,35,39,21,27,79
C0157,Public,Doctoral degree,,44272,73,Rocky Mountains,1804,34,53,57,,,72
C0158,Private,Doctoral degree,,22740,43,Southeast,991,28,56,66,22,27,100
C0159,Public,Master's degree,,6256,84,Southeast,1534,48,59,60,,,91
C0160,Public,Master's degree,,39890,53,Plains,24581,34,41,44,21,25,91
C0161,Private,Master's degree,,11092,49,Southeast,1543,73,76,77,20,26,75
C0162,Private,Doctoral degree,,21320,57,New England,1430,29,45,50,19,24,100
C0163,Public,Doctoral degree,,20960,64,Far West,870,80,84,84,23,29,97
C0164,Public,Bachelor's degree,,,,Plains,162,54,59,60,,,
C0165,Private,Master's degree,,39015,,Southeast,1380,57,67,68,20,25,99
C0166,Public,Doctoral degree,,41250,83,Far West,5428,78,82,82,18,22,96
C0167,Public,Master's degree,,24950,,Southeast,8293,62,74,74,,,100
C0168,Private,Doctoral degree,,13054,31,Far West,29905,20,44,50,22,27,91
C0169,Private,Master's degree,,27456,68,Southeast,13441,25,31,31,23,27,100
C0170,Private,Doctoral degree,,29315,,Southeast,32017,24,42,48,19,23,99
C0171,Private,Bachelor's degree,,22390,66,Southeast,2750,15,31,36,23,28,100
C0172,Private,Doctoral degree,,4984,88,Southwest,4656,15,33,41,19,23,83
C0173,Private,Doctoral degree,,29250,74,Plains,1677,50,56,60,,,99
C0174,Private,Doctoral degree,,19770,85,Plains,1761,7,20,28,,,93
C0175,Private,Doctoral degree,,23350,96,Southwest,1174,89,91,91,,,99
C0176,Public,Doctoral degree,,23800,32,Southeast,1658,15,24,29,19,24,99
C0177,Private,Master's degree,,6507,70,Great Lakes,1086,69,75,76,18,24,95
C0178,Private,Doctoral degree,,5085,,Plains,3784,52,64,66,,,91
C0179,Public,Doctoral degree,,8040,40,Southeast,28811,19,36,41,20,24,79
C0180,Private,Doctoral degree,,5614,78,Plains,52059,25,25,25,,,96
C0181,Public,Doctoral degree,,,72,Plains,2173,8,19,24,23,28,
C0182,Public,Doctoral degree,,22090,62,Southeast,444,54,61,61,,,100
C0183,Private,Master's degree,,6024,91,New England,3307,35,40,41,18,22,99
C0184,Private,Doctoral degree,,20780,83,Rocky Mountains,1797,77,84,85,20,25,94
C0185,Private,Doctoral degree,,10286,58,Southeast,7548,48,56,56,16,20,90
C0186,Private,Doctoral degree,,49138,65,Far West,1112,54,59,60,18,22,57
C0187,Public,Master's degree,,13525,68,New England,1090,42,55,56,,,71
C0188,Private,Doctoral degree,,9666,52,Southeast,3114,59,73,76,21,28,86
C0189,Private,Doctoral degree,,5138,69,Southeast,2658,87,91,92,18,21,86
C0190,Private,Doctoral degree,,27546,97,Plains,28260,14,42,48,18,25,100
C0191,Private,Doctoral degree,,37234,64,Southeast,474,43,55,59,,,89
C0192,Private,Master's degree,,26420,100,Far West,2596,37,37,38,25,30,97
C0193,Private,Doctoral degree,,8673,56,New England,10297,28,44,48,19,24,95
C0194,Private,Master's degree,,22891,52,Southeast,1100,0,0,0,,,95
C0195,Private,Doctoral degree,,14050,59,Great Lakes,890,75,79,79,24,30,88
C0196,Private,Doctoral degree,,9776,90,New England,6485,70,80,81,23,29,98
C0197,Public,Doctoral degree,,6384,52,Southeast,959,66,77,78,19,23,96
C0198,Private,Master's degree,,45080,63,Far West,11015,59,67,68,19,26,95
C0199,Private,Bachelor's degree,,28210,75,Southeast,2677,16,31,33,23,28,100
C0200,Private,Bachelor's degree,,32284,63,Southeast,5644,14,36,49,21,26,100
C0201,Private,Doctoral degree,,31290,73,New England,1433,33,38,38,29,32,100
C0202,Public,Doctoral degree,,7510,58,Great Lakes,1333,32,45,48,,,95
C0203,Public,Doctoral degree,,28000,40,Southeast,13621,9,19,25,20,28,99
C0204,Private,Bachelor's degree,,7490,61,Mid East,1577,45,61,62,19,24,98
C0205,Private,Bachelor's degree,,7602,84,Far West,2246,2,53,59,,,86
C0206,Private,Doctoral degree,,19665,60,Southeast,10301,100,100,100,23,28,100
C0207,Public,Doctoral degree,,25800,87,Southeast,2542,28,47,50,22,27,100
C0208,Private,Master's degree,,26934,95,Far West,3463,36,52,53,19,24,100
C0209,Private,Master's degree,,29100,59,Southeast,378,65,74,74,,,100
C0210,Public,Doctoral degree,,25046,64,Far West,3255,33,63,70,,,98
C0211,Public,Doctoral degree,,7517,72,Far West,2730,67,76,76,20,25,75
C0212,Private,Doctoral degree,,7336,42,Southeast,15263,1,19,20,21,26,97
C0213,Private,Bachelor's degree,,35725,44,New England,2732,16,37,43,,,92
C0214,Private,Doctoral degree,,29800,65,Far West,2776,48,53,54,,,97
C0215,Private,Master's degree,,,,Mid East,6532,35,49,53,19,23,
C0216,Private,Doctoral degree,,33000,72,Southeast,4004,28,46,50,20,25,100
C0217,Private,Bachelor's degree,,44222,80,New England,479,55,65,65,21,25,53
C0218,Public,Doctoral degree,,8866,33,New England,3712,53,62,63,18,23,86
C0219,Private,Doctoral degree,,17211,73,Mid East,5149,19,30,40,18,22,96
C0220,Private,Doctoral degree,,6491,92,Far West,1178,16,24,24,19,24,82
C0221,Private,Doctoral degree,,34740,49,Mid East,2489,17,28,29,19,23,99
C0222,Private,Doctoral degree,,22508,67,Great Lakes,2036,42,45,45,19,24,98
C0223,Public,Bachelor's degree,,7500,89,Great Lakes,3458,30,43,46,21,27,89
C0224,Public,Doctoral degree,,25520,96,Mid East,3026,36,39,44,21,26,100
C0225,Private,Doctoral degree,,6870,30,Southeast,4021,40,61,65,22,26,100
C0226,Private,Doctoral degree,,6070,67,Plains,4604,48,60,61,,,100
C0227,Private,Master's degree,,5376,73,New England,39557,16,26,31,,,93
C0228,Private,Master's degree,,17040,78,Mid East,4665,17,30,34,16,19,87
C0229,Private,Master's degree,,11340,85,Southeast,2629,45,55,57,16,19,69
C0230,Private,Master's degree,,45625,47,Far West,4295,66,70,72,29,33,53
C0231,Public,Doctoral degree,,45314,,Southeast,1082,34,49,51,23,27,45
C0232,Private,Bachelor's degree,,7457,93,Southeast,973,53,57,57,17,20,64
C0233,Public,Master's degree,,8040,57,Mid East,1711,4,12,17,21,26,88
C0234,Public,Doctoral degree,,4429,53,Southeast,4578,25,56,63,27,29,97
C0235,Private,Bachelor's degree,,5153,76,Mid East,3275,33,55,60,20,25,94
C0236,Private,Doctoral degree,,30596,,Plains,804,21,24,24,21,26,96
C0237,Private,Master's degree,,26094,44,Southeast,1946,48,59,60,18,27,100
C0238,Private,Doctoral degree,,35062,94,Far West,77338,32,61,67,19,25,99
C0239,Private,Bachelor's degree,,45388,42,Mid East,1341,41,49,52,19,25,81
C0240,Public,Master's degree,,8342,74,Southeast,1014,76,80,81,20,24,75
C0241,Public,Doctoral degree,,35573,63,Mid East,1935,79,83,84,,,96
C0242,Private,Master's degree,,31126,52,Great Lakes,2840,28,46,47,18,22,100
C0243,Public,Bachelor's degree,,32482,15,Great Lakes,5977,53,62,63,21,26,98
C0244,Private,Bachelor's degree,,6562,27,Southeast,8093,38,52,54,20,26,94
C0245,Private,Doctoral degree,,28800,57,Southeast,2111,30,46,49,22,27,99
C0246,Public,Master's degree,,15620,48,Mid East,8377,24,43,46,,,95
C0247,Public,Doctoral degree,,6649,57,Mid East,2222,19,36,41,25,29,73
C0248,Public,Master's degree,,7127,72,Great Lakes,375,20,32,36,24,29,89
C0249,Public,Doctoral degree,,40649,70,Southeast,28998,11,17,20,21,27,80
C0250,Public,Doctoral degree,,28390,58,Mid East,2927,33,50,54,19,24,93
C0251,Public,Doctoral degree,,24579,64,Mid East,22752,14,40,53,19,22,100
C0252,Public,Doctoral degree,,6524,56,Plains,15048,58,70,71,20,25,91
C0253,Public,Doctoral degree,,6764,38,Plains,46817,89,91,91,22,27,97
C0254,Private,Master's degree,,26540,38,Great Lakes,2910,36,47,55,,,100
C0255,Private,Doctoral degree,,9192,67,Southeast,684,61,66,67,19,24,94
C0256,Private,Doctoral degree,,36012,62,Mid East,3841,85,88,88,19,23,98
C0257,Private,Bachelor's degree,,17500,59,Mid East,1486,53,61,61,,,89
C0258,Public,Doctoral degree,,42755,84,Mid East,2919,82,85,85,23,29,91
C0259,Private,Master's degree,,15718,86,Great Lakes,3525,59,74,76,19,27,94
C0260,Private,Bachelor's degree,,45426,,Great Lakes,11091,70,74,75,19,24,57
C0261,Private,Doctoral degree,,26076,50,Southeast,2307,,,,21,25,99
C0262,Private,Master's degree,,28850,54,Great Lakes,3583,9,25,31,21,26,100
C0263,Public,Master's degree,,6350,,Mid East,651,35,53,53,20,25,68
C0264,Private,Master's degree,,26820,61,Far West,3882,83,86,88,31,34,99
C0265,Private,Bachelor's degree,,25890,65,Southwest,9134,12,30,38,,,100
C0266,Public,Master's degree,,31527,77,New England,33111,38,45,47,21,27,86
C0267,Private,Master's degree,,23718,89,Mid East,3082,41,53,56,21,26,100
C0268,Private,Bachelor's degree,,19650,55,Great Lakes,2012,31,41,43,18,23,100
C0269,Private,Bachelor's degree,,31424,88,Far West,662,15,33,40,19,24,100
C0270,Public,Doctoral degree,,26250,75,Plains,25670,40,46,46,18,27,99
C0271,Private,Master's degree,,32520,62,Mid East,2524,32,48,51,21,25,100
C0272,Public,Doctoral degree,,9356,74,Mid East,2367,25,47,53,20,25,84
C0273,Private,Master's degree,,26720,46,Mid East,10978,17,33,40,27,32,100
C0274,Public,Doctoral degree,,46269,60,Southwest,4042,25,39,45,,,95
C0275,Public,Doctoral degree,,15995,76,Great Lakes,1173,32,48,51,21,26,95
C0276,Private,Master's degree,,5906,94,Far West,8645,17,36,42,18,25,91
C0277,Public,Bachelor's degree,,7172,66,Rocky Mountains,3048,50,50,60,21,24,74
C0278,Public,Doctoral degree,,35900,,Great Lakes,2277,26,36,37,22,26,100
C0279,Public,Doctoral degree,,20768,80,New England,5017,10,14,14,,,95
C0280,Public,Doctoral degree,,27800,74,Mid East,986,81,88,90,21,26,100
C0281,Private,Master's degree,,39316,72,Southwest,17343,24,39,45,,,99
C0282,Public,Bachelor's degree,,21890,85,Plains,1357,22,35,41,,,100
C0283,Private,Doctoral degree,,7665,38,Great Lakes,36198,21,38,42,22,27,90
C0284,Private,Bachelor's degree,,40707,88,Mid East,3952,10,29,38,21,27,85
C0285,Private,Bachelor's degree,,8022,77,Southeast,26968,67,75,76,23,27,93
C0286,Private,Doctoral degree,,16610,60,Mid East,366,0,0,0,,,100
C0287,Private,Bachelor's degree,,13746,76,Southeast,2615,6,6,49,19,25,70
C0288,Private,Doctoral degree,,21800,85,Mid East,1481,33,50,51,,,95
C0289,Public,Doctoral degree,,28810,74,Great Lakes,3800,23,37,40,20,25,100
C0290,Private,Doctoral degree,,35800,,Southeast,1133,27,38,44,,,98
C0291,Private,Master's degree,,34850,69,Far West,3305,11,30,39,19,24,100
C0292,Private,Doctoral degree,,22290,55,New England,243,21,43,50,16,22,99
C0293,Private,Doctoral degree,,22252,61,New England,5020,31,53,57,,,100
C0294,Private,Bachelor's degree,,6158,72,Southeast,2477,55,64,65,19,24,71
C0295,Public,Master's degree,,7024,75,New England,350,37,56,59,23,27,76
C0296,Private,Master's degree,,7140,60,New England,16356,24,39,42,15,20,94
C0297,Private,Bachelor's degree,,26650,100,Southeast,1788,4,8,9,19,25,97
C0298,Public,Doctoral degree,,33020,89,New England,12525,30,45,49,24,29,97
C0299,Private,Master's degree,,30000,35,New England,2061,63,66,67,26,30,98
C0300,Public,Doctoral degree,,18494,83,Southeast,291,46,66,69,,,100
C0301,Private,Doctoral degree,,46380,33,Plains,2415,31,39,41,,,41
C0302,Public,Doctoral degree,,35820,85,Mid East,18207,80,84,84,16,22,98
C0303,Private,Bachelor's degree,,28350,76,Great Lakes,3492,33,47,51,15,22,99
C0304,Private,Master's degree,,9861,,Southeast,943,54,67,67,26,31,91
C0305,Private,Doctoral degree,,35730,71,New England,34009,38,45,46,17,27,72
C0306,Public,Doctoral degree,,25040,43,Southeast,3002,83,87,87,19,23,99
C0307,Private,Doctoral degree,,,13,Southeast,4890,9,23,30,,,
C0308,Private,Bachelor's degree,,12862,78,Great Lakes,2097,64,78,80,17,23,63
C0309,Private,Master's degree,,29426,67,Mid East,992,23,23,23,15,22,96
C0310,Private,Doctoral degree,,8720,94,Mid East,9676,61,69,70,22,25,93
C0311,Private,Bachelor's degree,,13354,77,Mid East,1972,,,,15,22,95
C0312,Private,Doctoral degree,,7838,49,Far West,2970,27,44,52,16,21,95
C0313,Private,Bachelor's degree,,9816,90,New England,1169,43,61,61,20,25,91
C0314,Private,Doctoral degree,,41928,63,New England,1561,50,58,63,20,25,90
C0315,Private,Doctoral degree,,13750,60,Far West,2251,66,73,74,16,22,100
C0316,Private,Bachelor's degree,,34368,,Plains,18346,31,39,43,24,29,94
C0317,Private,Doctoral degree,,35700,52,Plains,10240,,,,,,100
C0318,Private,Master's degree,,12002,46,Plains,17964,32,60,67,18,26,79
C0319,Private,Doctoral degree,,45622,33,Mid East,347,73,82,82,24,29,59
C0320,Public,Doctoral degree,,30780,56,Southwest,5011,86,89,91,25,29,97
C0321,Private,Doctoral degree,,26710,67,Mid East,4954,31,42,44,13,16,100
C0322,Public,Master's degree,,31385,74,New England,19703,4,15,21,21,24,100
C0323,Private,Doctoral degree,,26050,57,Southeast,8748,20,45,52,19,24,98
C0324,Private,Master's degree,,31000,68,New England,12938,3,19,41,16,21,100
C0325,Private,Master's degree,,17010,,Mid East,1023,15,27,30,,,98
C0326,Private,Master's degree,,37352,42,Southeast,17849,19,41,47,23,28,100
C0327,Private,Doctoral degree,,17724,71,New England,2245,68,79,81,18,23,100
C0328,Private,Doctoral degree,,9760,86,Great Lakes,5825,38,55,59,20,23,91
C0329,Private,Doctoral degree,,33690,93,Mid East,1595,36,50,51,20,25,98
C0330,Private,Master's degree,,6265,95,Plains,31205,84,91,93,18,23,94
C0331,Public,Doctoral degree,,7090,58,Mid East,1162,13,31,37,24,29,92
C0332,Private,Bachelor's degree,,6468,61,Great Lakes,1298,44,66,70,,,95
C0333,Public,Doctoral degree,,45527,68,Great Lakes,2181,66,82,84,18,23,63
C0334,Public,Doctoral degree,,28240,67,Southeast,2823,56,64,66,22,24,92
C0335,Private,Master's degree,,25416,59,Southeast,1221,23,29,32,30,33,100
C0336,Private,Doctoral degree,,6550,58,Great Lakes,11287,24,34,36,21,26,85
C0337,Public,Doctoral degree,,26280,84,Mid East,2733,66,74,76,,,100
C0338,Private,Doctoral degree,,10838,57,Great Lakes,14934,57,77,78,22,26,85
C0339,Private,Doctoral degree,,33830,15,Mid East,6429,27,36,42,20,24,99
C0340,Public,Doctoral degree,,23200,38,Mid East,20517,58,63,64,18,22,99
C0341,Private,Master's degree,,33280,,Mid East,1671,27,47,50,,,98
C0342,Private,Doctoral degree,,40600,39,Mid East,2302,74,79,79,13,17,98
C0343,Private,Master's degree,,36051,7,Southeast,1378,21,46,52,22,26,99
C0344,Private,Bachelor's degree,,10653,100,Southeast,2074,9,23,30,18,22,90
C0345,Private,Master's degree,,9180,62,New England,1288,43,56,58,,,99
C0346,Private,Doctoral degree,,1032,64,Southwest,34379,50,57,57,,,18
