ID,Annual income ($),Home ownership,Job title,Length of employment (years)
L047,55000,Rent,Bank Officer Senior Customer Care Spec.,1
L188,72000,Mortgage,nutritionist,8
L476,139000,Mortgage,Registered Nurse,5
L366,80000,Rent,Sales Account Rep,2
L441,75600,Own,Engineer,10
L439,65000,Mortgage,Lead Tech,1
L266,56457,Rent,Lecturer and Curriculum Fellow,3
L300,78000,Mortgage,Information Assurance Manager,2
L384,56600,Mortgage,OTR Truck Driver,1
L454,100000,Mortgage,Supervising Psychiatric Social Worker,10
L450,69998,Own,Engineer,10
L448,103000,Mortgage,Sergeant Major,10
L424,62000,Mortgage,Accounts Receivable Manager,1
L091,50000,Own,Truck Driver,1
L444,66000,Mortgage,"Pastor assigned-Minneapolis, MN",10
L199,140000,Mortgage,Dean,8
L363,160000,Mortgage,Cheif Electronic Tech ,10
L443,50000,Rent,Electrician,10
L305,41000,Rent,Laboratory Services Technician,1
L073,45000,Own,Lead manufacturing ,10
L328,30100,Mortgage,Vendor Auditor,2
L015,92000,Mortgage,Senior Manager,10
L296,98000,Mortgage,registered nurse,10
L466,100000,Mortgage,Director of Channel Sales & Marketing,1
L080,70000,Rent,Principal,10
L380,30000,Mortgage,CNA,5
L261,70000,Mortgage,Sales Engineer,8
L159,33130,Mortgage,,
L460,52000,Rent,Wholesale Mgr,2
L418,34000,Rent,Library Associate,10
L228,90000,Rent,District Sales Leader,10
L041,70000,Rent,Clinical Intake,5
L107,47000,Mortgage,Office Manager,8
L349,60000,Mortgage,foodservice manager,10
L092,85000,Mortgage,material handler lead,10
L048,92000,Mortgage,Sales Representative/ Agent,10
L353,75000,Rent,Service Rep,10
L185,45500,Rent,Business Systems Analyst,1
L218,90000,Rent,Human Resources,5
L347,50000,Mortgage,Mortician,10
L125,48000,Mortgage,CNC Machinist,10
L390,165000,Mortgage,agent,4
L317,55000,Rent,Hvac tech,10
L153,25000,Own,Medical Coder/biller,2
L175,56000,Rent,2nd pressman,5
L326,68000,Mortgage,electrical lead,10
L367,83000,Mortgage,Sr. Designer,3
L019,64000,Rent,Teacher,5
L136,137000,Mortgage,Athletic Director,10
L330,98000,Rent,Sr Software Eng,4
L088,30000,Rent,Emergency Department technician ,1
L377,70000,Rent,High Voltage Electrician/Plant Engineer,4
L244,96000,Own,Director,10
L207,45000,Rent,owner,7
L433,48000,Rent,Intl Logistics LifeScience Agent,10
L060,40100,Rent,Teacher,2
L098,75000,Mortgage,Systems Support Engineer,5
L360,130000,Mortgage,Senior Buyer,8
L251,120000,Own,Community Manager,5
L323,50000,Mortgage,line leader,10
L241,150000,Mortgage,"Director, Accounting & Finance",2
L245,32500,Mortgage,Purchasing Agent,10
L230,39500,Rent,Certified Lead Samsung Experience Consul,2
L413,50000,Mortgage,Electrician,10
L295,126500,Mortgage,Executive manager,10
L446,55000,Own,Pressoperater,10
L302,65000,Mortgage,Revenue tech,10
L472,65000,Mortgage,Finance and Admn. Director,1
L087,40000,Rent,Coaching General Manager,1
L350,135000,Mortgage,Process Facility Engineer,3
L291,165000,Rent,Laboratory Manager,10
L134,92000,Mortgage,Service Delivery Manager,10
L483,80000,Mortgage,Program Group Leader,10
L283,70000,Mortgage,Budget Services Coordinator,2
L115,39400,Mortgage,Registered Veterinary Technitian ,4
L197,57000,Mortgage,Teacher,10
L034,79000,Mortgage,Executive Assistant,9
L405,113000,Mortgage,Fire Chief,1
L332,40000,Mortgage,Driver,8
L462,82000,Mortgage,Teacher,5
L202,94000,Rent,Tax Accountant,4
L158,75000,Mortgage,Pilot,2
L083,110000,Mortgage,Senior Associate,6
L339,150000,Mortgage,Financial Advisor,7
L285,72000,Mortgage,HR Assistant,10
L461,42240,Rent,Field Technician,2
L140,132000,Mortgage,,
L247,40000,Own,Teacher,3
L389,140000,Rent,General Manager,10
L375,55000,Own,BILLING REPRESENTATIVE,10
L110,70100,Rent,Software Engineer,3
L094,80000,Rent,,
L124,80000,Rent,Teacher,10
L067,62000,Mortgage,Supervisor,5
L246,76000,Mortgage,Dispatcher,10
L344,70000,Mortgage, Equipment operator ,10
L453,35000,Rent,Customer Care coordinator,3
L217,140000,Mortgage,Engineer ,10
L412,14688,Rent,,
L225,130000,Rent,,2
L286,143000,Mortgage,Payroll Manager,1
L138,125000,Mortgage,Account executive,1
L434,70000,Rent,Consultant,2
L220,115000,Mortgage,Administrator,10
L257,90000,Mortgage,General / sales Manager,10
L149,15000,Own,Owner/Operator,10
L425,72000,Mortgage,Accounting Assistant,10
L182,80000,Mortgage,Sales representative,8
L395,50000,Own,Credit Reager,10
L119,108000,Mortgage,Captain,10
L117,32000,Rent,Patrol Officer,2
L018,112000,Mortgage,GS-11,10
L142,16488,Rent,,
L237,48000,Own,Teacher,10
L308,110000,Mortgage,Lead Medic/Critical Care Paramedic,5
L099,85000,Mortgage,Systems Administrator,1
L249,125000,Rent,manager,7
L135,30407,Rent,Custodian,10
L170,60000,Rent,General Manager,5
L489,33000,Own,,
L282,110000,Rent,Mgr. Quality Control,10
L122,75000,Mortgage,Accounting Manager,10
L046,54649,Rent,Teacher,2
L278,60000,Mortgage,Chemical operator,5
L415,40000,Mortgage,server,4
L027,65000,Own,driver,9
L057,75000,Mortgage,Engineer,10
L205,100000,Mortgage,Registered Nurse,9
L086,135000,Mortgage,Project Manager,10
L267,300000,Mortgage,Division Manager,8
L176,17000,Rent,Direct Support Professional,1
L354,72000,Mortgage,Engineering Manager,5
L398,100000,Rent,Senior Associate,3
L121,38700,Own,machine operation ,3
L420,84000,Rent,Engineer Instructor,10
L315,25000,Own,,
L260,114000,Rent,Rph,10
L070,44000,Rent,RN,1
L164,48000,Rent,Business Coordinator III,8
L487,71000,Mortgage,HR Director,10
L456,70000,Rent,librarian,10
L273,60000,Mortgage,Sales,10
L287,60000,Mortgage,Manager,8
L129,73320,Rent,GS12,3
L012,70000,Mortgage,Senior Structural Designer,1
L224,105000,Rent,electrical construction apprentice,10
L187,120000,Rent,Senior Brand Manager,4
L379,134000,Mortgage,District Manager,5
L421,81000,Own,teacher assistant,3
L438,96000,Mortgage,Senior Consultant,9
L383,67000,Mortgage,Special Education Teacher,10
L128,82193,Rent,Pastor,8
L498,106000,Mortgage,Radiology Ancillary Manager ,1
L029,88000,Mortgage,Network Security Specialist III,1
L478,55500,Mortgage,Support Staff,1
L194,110000,Mortgage,SW,10
L429,60000,Mortgage,Finisher Carpenter,2
L468,56000,Rent,manufacturing driver,10
L289,60000,Mortgage,Bartender ,7
