ID,Loan amount ($),Loan intent,Annual income ($),Loan grade,Loan interest rate (%),Home ownership,Job title,Length of employment (years),FICO score (high),FICO score (low),Total current balance ($)
L047,7200,,55000,D,15.77,Rent,Bank Officer Senior Customer Care Spec.,1,684,680,275831
L048,8800,Credit card refinancing,92000,B,9.8,Mortgage,Sales Representative/ Agent,10,669,665,105650
L049,14650,Debt consolidation,43160,E,20.5,Rent,Senior Service Specialist,2,694,690,62813
L050,2500,Other,50000,D,17.27,Mortgage,Teacher,10,674,670,197169
L051,11000,Credit card refinancing,69000,B,9.17,Mortgage,PRINTER,10,684,680,205780
L052,23850,Debt consolidation,68046,D,17.27,Own,Teacher,10,669,665,525195
L053,15700,Credit card refinancing,48000,D,16.59,Mortgage,Teacher,6,689,685,270017
L054,28800,Debt consolidation,60000,C,11.99,Own,Office Manager,10,804,800,41270
L055,10000,Home buying,91392,C,12.88,Mortgage,Contract Specialist,4,714,710,304514
L056,24000,Home improvement,77900,B,9.8,Own,0,0,744,740,127412
L057,28000,Debt consolidation,75000,D,18.49,Mortgage,Engineer,10,689,685,193745
L058,35000,Home improvement,128000,C,11.99,Mortgage,Foreign Service Officer,10,689,685,146867
L059,7200,Debt consolidation,50000,B,9.17,Mortgage,Site lead,10,679,675,218695
L060,10000,Credit card refinancing,40100,A,7.91,Rent,Teacher,2,684,680,27354
L061,16000,Credit card refinancing,42000,C,13.44,Rent,Merchandise Manager,1,674,670,83690
L062,21875,Credit card refinancing,47590,C,11.99,Rent,Wire Technician,1,704,700,40976
L063,14025,Debt consolidation,39000,D,18.49,Mortgage,accts payable,10,679,675,60381
L064,35000,Debt consolidation,106000,C,12.88,Mortgage,Lieutenant ,7,734,730,299890
L065,20000,Debt consolidation,145000,C,12.88,Mortgage,President,10,699,695,429218
L066,14000,,60000,C,14.85,Mortgage,Accountant,2,694,690,70789
L067,16000,Credit card refinancing,62000,B,8.49,Mortgage,Supervisor,5,724,720,227708
L068,28000,Debt consolidation,85000,C,14.85,Mortgage,Division General Manager,2,674,670,256638
L069,20000,Debt consolidation,70000,C,13.99,Own,Facilities Coordinator,10,684,680,34856
L070,17600,,44000,E,19.89,Rent,RN,1,684,680,133285
L071,4200,Debt consolidation,102500,C,13.44,Mortgage,Manager,10,704,700,197024
L072,19000,Credit card refinancing,75000,C,14.85,Own,Application Analyst,9,669,665,72043
L073,15850,Debt consolidation,45000,F,23.13,Own,Lead manufacturing ,10,759,755,45025
L074,10000,Debt consolidation,42500,C,11.99,Rent,CARDIOVASCULAR TECH,10,709,705,41166
L075,30000,Home improvement,175000,D,15.77,Mortgage,Vice-President,2,729,725,408118
L076,1500,Vacation,45000,A,6.49,Mortgage,0,0,749,745,158643
L077,25000,Credit card refinancing,150000,A,5.32,Mortgage,Director,1,799,795,430856
L078,16250,Debt consolidation,50000,C,13.44,Mortgage,Radiology Tech.,2,694,690,201184
L079,20200,Debt consolidation,60000,D,18.49,Rent,Manager,4,724,720,43224
L080,23975,Credit card refinancing,70000,E,19.89,Rent,Principal,10,689,685,57655
L081,15000,Debt consolidation,65000,B,10.78,Mortgage,Senior Buyer,10,724,720,224194
L082,10000,Debt consolidation,41600,B,10.78,Mortgage,Lpn,3,699,695,168304
L083,15000,Credit card refinancing,110000,B,8.49,Mortgage,Senior Associate,6,674,670,327836
L084,23100,Car financing,110000,E,20.5,Own,Regional Sales Direcdtor,2,664,660,55048
L085,27300,Home improvement,65000,D,17.27,Mortgage,groundsman,10,664,660,238105
L086,25000,Credit card refinancing,135000,B,11.48,Mortgage,Project Manager,10,709,705,23522
L087,15000,Credit card refinancing,40000,B,10.78,Rent,Coaching General Manager,1,674,670,12272
L088,10000,Debt consolidation,30000,D,16.59,Rent,Emergency Department technician ,1,719,715,65214
L089,18500,Debt consolidation,70000,C,12.88,Mortgage,Supply Chain Coord.,10,679,675,123863
L090,5000,Credit card refinancing,32000,A,7.91,Rent,Property Manager,6,689,685,11665
L091,9000,Debt consolidation,50000,B,9.17,Own,Truck Driver,1,804,800,40272
L092,11000,Credit card refinancing,85000,A,6.49,Mortgage,material handler lead,10,759,755,32193
L093,20000,Debt consolidation,55000,A,6.49,Mortgage,"TEAM LEAD, QUALITY ENGINEER",6,754,750,205155
L094,15000,Debt consolidation,80000,A,5.32,Rent,0,0,779,775,330562
L095,12000,Debt consolidation,53750,A,5.32,Mortgage,Network Operation Engineer,4,704,700,142615
L096,8000,Debt consolidation,45000,B,10.78,Mortgage,Counselor,1,674,670,148154
L097,12000,Credit card refinancing,40000,B,10.78,Rent,Salesman,3,669,665,31915
L098,18000,Debt consolidation,75000,A,7.49,Mortgage,Systems Support Engineer,5,719,715,304914
L099,3600,Debt consolidation,85000,B,11.48,Mortgage,Systems Administrator,1,679,675,407032
L100,7200,Debt consolidation,20000,D,17.27,Own,Department Manager ,9,709,705,7302
L101,15000,Credit card refinancing,77213,C,13.44,Rent,Counselor,4,674,670,155521
L102,5000,Other,72000,B,9.8,Own,Accounts Payable Manager,6,714,710,142064
L103,11550,Credit card refinancing,38000,D,16.59,Rent,general manager,5,704,700,10353
L104,33600,Debt consolidation,104000,B,10.78,Rent,Aviation Safety Inspector,8,694,690,42952
L105,17925,Debt consolidation,39000,D,17.27,Own,IT Help Desk Support ,10,724,720,102008
L106,17475,Debt consolidation,39750,C,13.99,Rent,Software Testing Analyst,2,699,695,32365
L107,9000,Debt consolidation,47000,B,8.49,Mortgage,Office Manager,8,679,675,9747
L108,12000,Debt consolidation,65000,B,9.8,Mortgage,Teacher,10,789,785,181540
L109,4000,Debt consolidation,44500,B,9.17,Rent,Store Manager,2,674,670,7980
L110,10500,Credit card refinancing,70100,D,15.77,Rent,Software Engineer,3,664,660,26327
L111,14000,Medical expenses,100000,B,9.8,Mortgage,Master mechanic,4,689,685,451137
L112,6000,Car financing,105000,A,7.91,Mortgage,Road driver,10,689,685,182893
L113,16000,Home improvement,90000,C,12.88,Own,Unix System Administrator,10,704,700,224292
L114,15000,Debt consolidation,92000,B,9.8,Mortgage,Electronic Branch Manager,3,684,680,312996
L115,12000,Debt consolidation,39400,B,9.17,Mortgage,Registered Veterinary Technitian ,4,709,705,153211
L116,10000,Debt consolidation,33000,B,11.48,Rent,Paralegal,2,714,710,23197
L117,4200,Other,32000,C,13.99,Rent,Patrol Officer,2,709,705,38865
L118,35000,Debt consolidation,120000,E,20.5,Mortgage,"Director, Human Resources",8,704,700,440222
L119,5475,Debt consolidation,108000,E,18.99,Mortgage,Captain,10,674,670,316524
L120,16000,Debt consolidation,60000,A,7.91,Mortgage,Project Supervisor,2,734,730,88386
L121,6000,Debt consolidation,38700,C,13.44,Own,machine operation ,3,694,690,38464
L122,24000,Debt consolidation,75000,B,9.17,Mortgage,Accounting Manager,10,664,660,20031
L123,10000,Debt consolidation,60000,C,12.88,Rent,Truck Driver,1,719,715,6727
L124,6900,Debt consolidation,80000,E,19.89,Rent,Teacher,10,669,665,4091
L125,22400,Credit card refinancing,48000,B,9.8,Mortgage,CNC Machinist,10,709,705,35168
L126,15975,Debt consolidation,58800,D,16.59,Mortgage,Director,4,669,665,10916
L127,21600,Debt consolidation,54000,C,13.44,Mortgage,machines,9,694,690,143634
L128,24000,Credit card refinancing,82193,C,13.99,Rent,Pastor,8,699,695,90362
L129,14400,Debt consolidation,73320,E,19.48,Rent,GS12,3,664,660,42894
L130,8000,,42000,C,13.99,Rent,District Manager,1,709,705,40965
L131,7000,Debt consolidation,83000,C,13.99,Rent,Outside Account Manager,2,684,680,77240
L132,20000,Debt consolidation,55000,B,10.78,Own,Driver,1,744,740,60903
L133,25825,Debt consolidation,68000,F,26.06,Rent,Claims Rep ,6,679,675,72831
L134,24575,Debt consolidation,92000,F,22.45,Mortgage,Service Delivery Manager,10,729,725,103632
L135,3200,Medical expenses,30407,B,8.49,Rent,Custodian,10,714,710,7804
L136,22875,Debt consolidation,137000,D,15.77,Mortgage,Athletic Director,10,704,700,883789
L137,16000,Debt consolidation,80000,C,14.85,Mortgage,Billing Supervisor,10,704,700,169184
L138,35000,Debt consolidation,125000,C,13.44,Mortgage,Account executive,1,714,710,521496
L139,2400,Home improvement,52000,D,17.27,Mortgage,nurse,2,674,670,42039
L140,25000,Debt consolidation,132000,A,7.49,Mortgage,0,0,749,745,78666
L141,8800,Credit card refinancing,55000,C,12.88,Rent,Desktop Support Anylist,2,719,715,95330
L142,2500,Debt consolidation,16488,B,11.48,Rent,0,0,774,770,20449
L143,8000,Credit card refinancing,50000,A,5.32,Rent,Sales Person,1,719,715,53525
L144,20000,Debt consolidation,78000,C,11.99,Mortgage,Professor,10,709,705,290569
L145,35000,Major purchase,110000,C,12.88,Mortgage,Cosmetologist Manager,10,699,695,318752
L146,15000,Debt consolidation,45000,A,7.49,Mortgage,0,0,714,710,194062
L147,16000,Debt consolidation,70000,D,15.77,Mortgage,President,1,709,705,178477
L148,10800,Debt consolidation,40000,C,13.99,Rent,Medical Support Assistant,3,669,665,25378
L149,7500,Debt consolidation,15000,D,17.97,Own,Owner/Operator,10,689,685,15043
L150,16000,Debt consolidation,63000,B,10.78,Rent,Bartender,5,674,670,68741
L151,9000,Credit card refinancing,49000,A,5.32,Mortgage,Accounting senior,10,759,755,51250
L152,9500,,28000,D,15.77,Rent,maintenance ,10,699,695,14767
L153,10000,Debt consolidation,25000,A,7.91,Own,Medical Coder/biller,2,744,740,22263
L154,6000,Debt consolidation,49000,A,7.91,Mortgage,Teacher,10,799,795,274367
L155,15600,Major purchase,52000,C,13.44,Mortgage,Officer / Sheriff's office,10,724,720,96594
L156,35000,Debt consolidation,90000,B,8.49,Own,Paralegal,1,754,750,434242
L157,5000,Debt consolidation,78000,B,11.48,Mortgage,Financial Systems Analyst,9,704,700,151774
L158,20400,Credit card refinancing,75000,D,18.49,Mortgage,Pilot,2,729,725,210761
L159,8000,Debt consolidation,33130,D,17.97,Mortgage,0,0,669,665,207921
L160,16000,Debt consolidation,87500,B,10.78,Rent,Veterinarian,3,699,695,31768
L161,18000,Debt consolidation,80000,A,7.91,Mortgage,Mechanic,10,744,740,84064
L162,35000,Debt consolidation,105000,B,9.17,Rent,Director,1,694,690,103869
L163,13150,Major purchase,40000,A,5.32,Rent,Paraprofessional ,1,769,765,29071
L164,5600,Credit card refinancing,48000,B,9.17,Rent,Business Coordinator III,8,664,660,21160
L165,23000,,90247,B,9.8,Mortgage,Feeder Driver,9,684,680,186007
L166,12600,Debt consolidation,175000,C,14.85,Mortgage,VP of Operations,1,694,690,112859
L167,11000,Debt consolidation,55000,D,16.59,Mortgage,Teacher,8,739,735,260988
L168,4000,Debt consolidation,41501,C,11.99,Rent,Secreatary 1,3,689,685,82347
L169,20000,,75000,C,13.44,Mortgage,Administrative Manager ,9,719,715,300744
L170,20000,Debt consolidation,60000,B,11.48,Rent,General Manager,5,689,685,39394
L171,10000,Credit card refinancing,59307,B,9.17,Mortgage,analyst,10,694,690,134518
L172,18850,Debt consolidation,55000,E,21.48,Mortgage,Social Worker,1,704,700,236037
L173,21000,Debt consolidation,82000,C,11.99,Mortgage,research scientist,10,734,730,129615
L174,10500,Debt consolidation,60000,B,8.49,Mortgage,Strategic Account Manager,4,689,685,107112
L175,4575,Home buying,56000,D,17.27,Rent,2nd pressman,5,669,665,2380
L176,5000,Other,17000,B,11.48,Rent,Direct Support Professional,1,694,690,55327
L177,8000,Home improvement,45000,A,6.99,Mortgage,0,0,794,790,317061
L178,5000,Debt consolidation,30000,C,11.99,Rent,Dental Assistant,1,679,675,5426
L179,9075,Credit card refinancing,40000,A,5.32,Mortgage,Advanced Analyst,10,819,815,100468
L180,24000,Debt consolidation,75181.21,C,12.88,Mortgage,Speech Language Pathologist,2,724,720,276355
L181,12500,Credit card refinancing,52000,A,7.49,Rent,manager,10,709,705,10009
L182,19600,Debt consolidation,80000,D,15.77,Mortgage,Sales representative,8,714,710,341767
L183,35000,Debt consolidation,90000,C,13.99,Mortgage,Truck driver ,2,744,740,201577
L184,28000,Debt consolidation,75000,B,8.49,Mortgage,Client Service Manager,1,689,685,365724
L185,14000,Debt consolidation,45500,D,15.77,Rent,Business Systems Analyst,1,694,690,37485
L186,16000,Credit card refinancing,99906,B,9.8,Mortgage,0,0,664,660,426371
L187,14000,Debt consolidation,120000,A,5.32,Rent,Senior Brand Manager,4,779,775,16909
L188,24000,Debt consolidation,72000,B,8.49,Mortgage,nutritionist,8,719,715,74809
L189,35000,Debt consolidation,75000,C,13.99,Own,RRT,6,689,685,52074
L190,14550,Debt consolidation,70000,D,15.77,Mortgage,Administrative Assistant,10,724,720,369766
L191,8000,Credit card refinancing,21610,B,11.48,Rent,Valued Associate,1,709,705,22866
L192,32400,Credit card refinancing,106284,B,9.8,Mortgage,Project Manager,10,734,730,335236
L193,3600,Debt consolidation,25000,C,13.44,Rent,Graduate Student ,1,714,710,78735
L194,10500,Debt consolidation,110000,C,13.99,Mortgage,SW,10,664,660,166878
L195,3000,Home improvement,105000,B,11.48,Mortgage,technician,10,689,685,297766
L196,16000,Credit card refinancing,43000,C,14.85,Rent,Nurse,2,679,675,20258
L197,8000,Debt consolidation,57000,A,7.49,Mortgage,Teacher,10,744,740,108395
L198,19500,Debt consolidation,85000,A,7.49,Rent,Producer,1,734,730,42613
L199,2000,Other,140000,B,8.49,Mortgage,Dean,8,850,845,679308
L200,16000,Debt consolidation,96000,A,5.32,Mortgage,Marketing manager,8,729,725,200216
L201,3500,Vacation,122400,B,10.78,Mortgage,Account Manager,8,664,660,385952
L202,14000,Debt consolidation,94000,B,9.17,Rent,Tax Accountant,4,719,715,377868
L203,24000,Debt consolidation,95000,B,11.48,Own,Senior Business Analyst,3,679,675,65133
L204,6000,Credit card refinancing,120000,A,5.32,Own,Director of Risk Management ,2,784,780,9285
L205,24000,Debt consolidation,100000,A,7.91,Mortgage,Registered Nurse,9,679,675,175638
L206,14875,Debt consolidation,37231,D,18.49,Rent,Case Manager,3,669,665,47036
L207,10000,,45000,C,11.99,Rent,owner,7,689,685,45543
L208,15000,Credit card refinancing,93000,A,6.99,Mortgage,Purchasing Manager,2,759,755,306430
L209,10000,Credit card refinancing,68000,A,5.32,Rent,Science teacher,10,734,730,32214
L210,18000,Major purchase,97000,B,9.17,Own,Teacher,10,714,710,322455
L211,24000,Debt consolidation,97000,E,19.48,Rent,fsm,10,689,685,25117
L212,23525,Debt consolidation,70000,D,17.97,Mortgage,Executive Assistant,5,679,675,196733
L213,12000,Credit card refinancing,68000,B,9.17,Own,Financial Planner,10,694,690,34714
L214,11000,Other,297000,B,10.78,Rent,Physician,10,674,670,68689
L215,24000,Debt consolidation,210000,B,9.17,Mortgage,Nurse Anestheti,2,694,690,560509
L216,15000,Debt consolidation,42900,D,16.59,Rent,Revenue Control Specialist,8,684,680,125307
L217,16000,Credit card refinancing,140000,B,8.49,Mortgage,Engineer ,10,674,670,232670
L218,15000,Debt consolidation,90000,A,7.91,Rent,Human Resources,5,689,685,90875
L219,5000,Debt consolidation,60000,C,11.99,Mortgage,RN,8,679,675,164988
L220,19100,Debt consolidation,115000,B,10.78,Mortgage,Administrator,10,689,685,259591
L221,15000,Credit card refinancing,85000,B,10.78,Own,Sales Manager,3,689,685,32012
L222,30000,Debt consolidation,85000,D,18.49,Mortgage,Sales,2,669,665,195290
L223,15000,Credit card refinancing,60000,B,9.8,Rent,maintenance,10,724,720,95299
L224,3500,Other,105000,C,13.99,Rent,electrical construction apprentice,10,669,665,60499
L225,20000,Debt consolidation,130000,B,9.17,Rent,0,2,719,715,37657
L226,10000,Credit card refinancing,30160,C,13.44,Rent,Mechanic,7,689,685,18032
L227,35000,Debt consolidation,132500,D,18.49,Mortgage,IT Supervisor,9,674,670,359542
L228,16000,Credit card refinancing,90000,C,14.85,Rent,District Sales Leader,10,664,660,36465
L229,2000,Other,180000,C,11.99,Mortgage,Financial Manager,10,669,665,294683
L230,12000,Credit card refinancing,39500,B,9.8,Rent,Certified Lead Samsung Experience Consul,2,729,725,35079
L231,8000,Credit card refinancing,80000,A,6.99,Mortgage,Registered Nurse ,1,744,740,314484
L232,10000,Debt consolidation,92000,B,9.8,Mortgage,Quality Assurance Wings,10,684,680,182684
L233,25000,Credit card refinancing,76500,A,7.91,Rent,Executive Admin,10,754,750,45132
L234,35000,Debt consolidation,100000,C,13.99,Rent,Executive Director ,10,669,665,44539
L235,25600,Debt consolidation,150000,A,7.91,Own,Lawyer,3,744,740,678352
L236,4325,Major purchase,90000,C,11.99,Own,Account manager,10,734,730,191071
L237,6000,,48000,A,6.99,Own,Teacher,10,764,760,37729
L238,18200,Credit card refinancing,65000,D,15.77,Rent,Accounting Supervisor,8,664,660,113674
L239,10000,Credit card refinancing,54000,A,6.99,Rent,Master Carpenter,3,704,700,36381
L240,30000,Debt consolidation,81000,C,13.44,Mortgage,legal secretary,5,729,725,166614
L241,13200,Home improvement,150000,A,5.32,Mortgage,"Director, Accounting & Finance",2,744,740,365831
L242,10000,Debt consolidation,220000,A,6.99,Rent,SALES,5,714,710,23438
L243,3000,Debt consolidation,75000,B,11.48,Mortgage,O&M Specialist III,5,669,665,237257
L244,20000,Debt consolidation,96000,B,9.8,Own,Director,10,769,765,42443
L245,13875,Credit card refinancing,32500,C,11.99,Mortgage,Purchasing Agent,10,714,710,121944
L246,18000,Debt consolidation,76000,A,6.49,Mortgage,Dispatcher,10,759,755,318868
L247,15225,Debt consolidation,40000,B,8.49,Own,Teacher,3,689,685,63528
L248,16000,Debt consolidation,65000,B,11.48,Rent,Sr Sales Executive,6,709,705,35429
L249,21000,Other,125000,B,9.8,Rent,manager,7,754,750,19150
L250,13000,Debt consolidation,40000,D,16.59,Rent,Sr. Business Specialist,1,664,660,25438
L251,20000,Major purchase,120000,A,7.91,Own,Community Manager,5,709,705,12740
L252,31075,Credit card refinancing,70000,A,7.49,Rent,Lieutenant,10,729,725,135003
L253,18000,Credit card refinancing,120000,A,6.99,Own,Owner,10,714,710,170044
L254,5000,Other,74967,B,9.17,Mortgage,0,0,689,685,303889
L255,4675,Credit card refinancing,13000,D,17.27,Mortgage,Sales Associate,1,679,675,39353
L256,6000,Debt consolidation,85140,B,9.8,Mortgage,Automation Engineer,4,714,710,394173
L257,12000,Debt consolidation,90000,C,12.88,Mortgage,General / sales Manager,10,664,660,22151
L258,13000,Home improvement,115000,C,13.99,Rent,Technician,10,704,700,28645
L259,1800,Other,50000,B,11.48,Rent,Benefits Consultant,10,664,660,21440
L260,4475,Credit card refinancing,114000,D,16.59,Rent,Rph,10,674,670,8108
L261,14400,Debt consolidation,70000,A,6.49,Mortgage,Sales Engineer,8,699,695,243859
L262,5875,Debt consolidation,70000,A,7.91,Rent,Purchasing Assistant,5,674,670,21709
L263,20000,Debt consolidation,180000,D,17.97,Mortgage,Nurse Manager,7,664,660,277227
L264,10000,Debt consolidation,115000,A,6.99,Mortgage,Senior Electrical Engineer,5,719,715,391089
L265,34100,Debt consolidation,92892,C,12.88,Mortgage,RN,8,739,735,223544
L266,24000,Credit card refinancing,56457,B,11.48,Rent,Lecturer and Curriculum Fellow,3,684,680,22849
L267,30000,Debt consolidation,300000,D,18.49,Mortgage,Division Manager,8,684,680,452396
L268,5200,Debt consolidation,160000,B,10.78,Mortgage,President,7,664,660,73435
L269,16800,Debt consolidation,50000,C,11.99,Rent,Project Coordinator,1,679,675,113972
L270,10000,Debt consolidation,40000,C,11.99,Rent,Driver,7,669,665,7735
L271,22000,Debt consolidation,55000,D,17.97,Mortgage,Service technician,10,669,665,210586
L272,28000,Debt consolidation,144000,A,5.32,Mortgage,VP Manufacturing,10,719,715,197858
L273,7200,Credit card refinancing,60000,A,6.49,Mortgage,Sales,10,729,725,39078
L274,18000,Debt consolidation,41000,C,11.99,Rent,Clerk Typist II,9,694,690,51443
L275,8400,Debt consolidation,30000,A,7.49,Own,iron fitter,1,734,730,44202
L276,5000,Credit card refinancing,67000,C,14.85,Rent,Social Worker Supervisor,2,674,670,123030
L277,5000,Debt consolidation,55000,B,9.8,Rent,Maintenance worker,10,669,665,16016
L278,2400,Debt consolidation,60000,B,11.48,Mortgage,Chemical operator,5,674,670,178927
L279,15000,Debt consolidation,60000,A,5.32,Own,Truck Driver,9,794,790,23508
L280,6075,,64400,B,9.17,Mortgage,Senior Compliance Analyst ,9,734,730,334235
L281,20000,Debt consolidation,55000,B,10.78,Rent,Analytical Research Scientist,2,674,670,47397
L282,6025,Debt consolidation,110000,C,14.85,Rent,Mgr. Quality Control,10,669,665,71368
L283,8400,Debt consolidation,70000,B,9.17,Mortgage,Budget Services Coordinator,2,694,690,134707
L284,15000,Debt consolidation,90000,C,12.88,Rent,Systems Software Specialist II,2,714,710,42952
L285,19200,Debt consolidation,72000,B,8.49,Mortgage,HR Assistant,10,724,720,442322
L286,12000,Debt consolidation,143000,D,15.77,Mortgage,Payroll Manager,1,699,695,356838
L287,28800,Home improvement,60000,C,12.88,Mortgage,Manager,8,704,700,25166
L288,5000,Debt consolidation,60000,A,5.32,Mortgage,Orientation ,10,734,730,406338
L289,5000,Home improvement,60000,C,12.88,Mortgage,Bartender ,7,689,685,41131
L290,31500,Debt consolidation,120000,C,11.99,Mortgage,Lieutenant ,10,759,755,549792
L291,24000,Debt consolidation,165000,D,18.49,Rent,Laboratory Manager,10,664,660,59253
L292,20000,Debt consolidation,110000,C,12.88,Mortgage,Division Manager,1,674,670,286847
L293,24000,Debt consolidation,110000,B,10.78,Mortgage,Division Director OBGYN ,2,739,735,199389
L294,21850,Debt consolidation,65000,D,17.27,Mortgage,College professor,10,664,660,120551
L295,9500,Home improvement,126500,A,6.49,Mortgage,Executive manager,10,684,680,264336
L296,20000,Debt consolidation,98000,B,8.49,Mortgage,registered nurse,10,679,675,308743
L297,20000,Credit card refinancing,59000,C,13.44,Rent,teacher,8,684,680,76322
L298,20000,Home improvement,135000,D,16.59,Mortgage,IT Consultant,10,689,685,148848
L299,20000,,65000,C,12.88,Rent,Payroll Processor,1,739,735,28351
L300,25200,Credit card refinancing,78000,C,13.44,Mortgage,Information Assurance Manager,2,714,710,327255
L301,12000,Credit card refinancing,50000,A,6.99,Mortgage,Store Manager,10,794,790,135859
L302,10000,Debt consolidation,65000,C,12.88,Mortgage,Revenue tech,10,674,670,31312
L303,12000,Debt consolidation,36500,B,9.8,Mortgage,Business Office Asst,10,809,805,106299
L304,12000,Debt consolidation,75000,A,7.91,Mortgage,Registered Nurse,8,754,750,213908
L305,6425,Debt consolidation,41000,D,15.77,Rent,Laboratory Services Technician,1,674,670,476
L306,12700,Debt consolidation,32760,D,17.97,Rent,Accounting ,3,679,675,27300
L307,35000,Credit card refinancing,121000,C,13.99,Own,Teacher,10,684,680,35619
L308,16000,Debt consolidation,110000,C,13.44,Mortgage,Lead Medic/Critical Care Paramedic,5,679,675,183857
L309,15000,Credit card refinancing,48000,C,13.99,Own,Table Games Supervisor,2,674,670,48714
L310,20550,Debt consolidation,60000,D,16.59,Rent,Flight Attendant ,10,719,715,290278
L311,25000,Home improvement,127000,A,6.99,Mortgage,Program Analyst,10,729,725,128658
L312,14000,Debt consolidation,115000,E,19.48,Rent,foreman pipe fitter ,10,664,660,38073
L313,16925,Major purchase,47000,E,21.48,Rent,Executive Assistant,10,684,680,77020
L314,4700,Debt consolidation,22000,C,13.44,Rent,Phlebotomist ,3,709,705,16145
L315,5000,Debt consolidation,25000,B,8.49,Own,0,0,679,675,7259
L316,12000,Debt consolidation,92500,C,14.85,Mortgage,Business Project Manager,2,674,670,25800
L317,12000,Debt consolidation,55000,B,9.8,Rent,Hvac tech,10,664,660,7963
