ID,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),ACT Composite score (25th percentile),ACT Composite score (75th percentile),Admission rate (%),Admission yield (%),Admissions total,Applicants total,Control,Degree of urbanization,Endowment assets ($),Full-time enrollment,Geographic region,Graduate enrollment,Highest degree offered,Historically Black College or University?,Part-time enrollment,Receiving financial aid (%),Religious affiliation,SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile),SAT Writing score (75th percentile),Total enrollment,Tribal college?,Tuition and fees 2010-11 ($),Tuition and fees 2011-12 ($),Tuition and fees 2012-13 ($),Tuition and fees 2013-14 ($),Undergraduate enrollment
C0073,17,47,56,19,24,72,22,12327,17215,Public,City: Small,2401,14960,Far West,1066,Master's degree,No,1396,63,N/A,450,550,460,570,,,16356,No,5620,6890,6890,6972,15290
C0074,4,16,29,15,19,57,14,8472,14742,Public,City: Small,1234,9599,Far West,2189,Master's degree,No,5071,88,N/A,380,470,380,470,,,14670,No,4849,6095,6095,6100,12481
C0075,14,36,49,16,22,58,33,9444,16242,Public,City: Large,7161,19511,Far West,2765,Doctoral degree,No,3549,80,N/A,400,510,410,530,,,23060,No,4879,6263,6228,6287,20295
C0076,14,40,53,19,24,46,25,17817,38909,Public,Suburb: Large,1476,29023,Far West,5209,Doctoral degree,No,9302,66,N/A,450,550,470,580,,,38325,No,4858,6120,6195,6186,33116
C0077,11,30,38,16,22,69,18,8756,12741,Public,City: Midsize,825,11733,Far West,2380,Doctoral degree,No,2793,75,N/A,400,500,400,520,,,14526,No,5091,6414,6309,6550,12146
C0078,14,43,60,18,24,31,25,16956,55019,Public,City: Large,1788,28440,Far West,4993,Doctoral degree,No,7146,71,N/A,440,550,460,590,,,35586,No,4810,6240,6052,6240,30593
C0079,7,22,36,15,20,68,16,18448,27321,Public,City: Large,989,18104,Far West,3669,Doctoral degree,No,5154,82,N/A,380,480,390,510,,,23258,No,4848,6095,6101,6344,19589
C0080,13,35,46,16,22,46,31,13566,29339,Public,City: Large,2387,30423,Far West,4539,Doctoral degree,No,7887,74,N/A,400,510,400,530,,,38310,No,5076,6488,6296,6525,33771
C0081,8,30,43,17,22,70,23,13728,19702,Public,City: Large,1303,22735,Far West,2717,Doctoral degree,No,6076,79,N/A,410,520,430,540,,,28811,No,5195,6573,6620,6628,26094
C0082,72,89,91,27,33,18,37,11108,61717,Public,City: Midsize,36917,34675,Far West,10247,Doctoral degree,No,1523,69,N/A,590,720,630,770,620,750,36198,No,10940,12834,12874,12864,25951
C0083,51,77,81,23,29,45,23,22526,49820,Public,Suburb: Small,7855,31986,Far West,6774,Doctoral degree,No,1321,77,N/A,510,640,560,680,530,650,33307,No,11958,13860,13877,13895,26533
C0084,68,84,86,21,27,42,21,23956,56515,Public,City: Midsize,8945,28046,Far West,5365,Doctoral degree,No,849,77,N/A,460,600,530,670,490,620,28895,No,11232,13122,13122,13149,23530
C0085,69,88,90,25,31,22,35,15981,72676,Public,City: Large,34375,39794,Far West,12121,Doctoral degree,No,1001,62,N/A,560,680,600,760,590,710,40795,No,10781,12686,12692,12697,28674
C0086,41,62,66,20,25,62,21,18843,30391,Public,City: Large,5387,20653,Far West,2586,Doctoral degree,No,554,86,N/A,470,580,500,630,480,590,21207,No,11029,12924,12960,12960,18621
C0087,56,81,86,25,31,38,20,22812,60832,Public,City: Large,15714,28606,Far West,5712,Doctoral degree,No,911,62,N/A,550,660,620,730,580,690,29517,No,11306,13200,13217,13271,23805
C0088,68,79,81,24,29,44,19,24556,55258,Public,Suburb: Midsize,5527,21771,Far West,2863,Doctoral degree,No,454,70,N/A,530,650,560,690,550,660,22225,No,11686,13595,13671,13746,19362
C0089,50,69,73,20,26,60,19,19851,33137,Public,City: Small,3473,16755,Far West,1508,Doctoral degree,No,448,80,N/A,470,610,490,620,470,610,17203,No,11505,13416,13416,13397,15695
C0090,43,57,59,21,26,75,30,668,893,Public,City: Midsize,4413,1008,Far West,0,Bachelor's degree,No,37,68,N/A,470,580,490,610,,,1045,No,5294,6536,6536,6536,1045
C0091,59,73,76,24,29,45,25,5253,11750,Private,City: Midsize,29744,7071,Far West,1887,Doctoral degree,No,821,87,Christian Church (Disciples of Christ),550,640,570,660,560,650,7892,No,38524,40234,42084,43573,6005
C0092,54,61,63,20,25,91,20,1874,2055,Private,City: Midsize,3240,3345,Far West,2102,Master's degree,No,701,100,Lutheran Church - Missouri Synod,453,550,450,560,450,550,4046,No,26000,27300,28500,29630,1944
C0093,31,39,41,19,22,49,36,276,561,Private,Suburb: Large,821,817,Far West,22,Bachelor's degree,No,97,100,Undenominational,440,570,430,550,425,530,914,No,22692,23814,25108,25888,892
C0094,,,,,,,,,,Private,Suburb: Large,144214,1532,Far West,2204,Doctoral degree,No,672,,N/A,,,,,,,2204,No,,,,,0
C0095,84,91,93,29,33,12,52,647,5518,Private,Suburb: Large,456319,1324,Far West,12,Master's degree,No,4,53,N/A,650,740,670,760,660,750,1328,No,40230,42240,44085,45625,1316
C0096,100,100,100,,,100,73,82,82,Private,City: Large,,734,Far West,301,Master's degree,No,99,90,N/A,,,,,,,833,No,19600,19600,19600,20200,532
C0097,36,51,53,20,25,78,17,1800,2322,Private,City: Small,14139,1603,Far West,544,Master's degree,No,544,98,N/A,480,570,480,590,480,580,2147,No,35550,37350,39050,40600,1603
C0098,,,,,,,,,,Private,City: Small,4399,963,Far West,1190,Doctoral degree,No,227,,N/A,,,,,,,1190,No,,,,,0
C0099,43,53,54,18,22,78,38,553,705,Private,City: Large,3713,2423,Far West,807,Master's degree,No,970,99,Mennonite Brethren Church,440,550,440,550,428,550,3393,No,23904,24790,25336,25716,2586
C0100,,,,,,,,0,0,Private,City: Large,24825,1130,Far West,2752,Doctoral degree,No,2097,,N/A,,,,,,,3227,No,,,14160,14400,475
C0101,86,89,91,32,35,18,34,643,3539,Private,Suburb: Large,306579,805,Far West,0,Bachelor's degree,No,2,75,N/A,680,760,720,800,670,760,807,No,40390,42410,44442,46509,807
C0102,25,32,35,17,21,57,27,318,561,Private,City: Large,10735,827,Far West,455,Master's degree,No,516,100,Roman Catholic,410,500,410,500,,,1343,No,28690,30390,31640,33020,888
C0103,11,29,40,18,24,80,15,8000,9978,Public,Town: Remote,3387,7631,Far West,526,Master's degree,No,662,74,N/A,450,580,440,560,,,8293,No,5750,7062,7135,7144,7767
C0104,52,57,71,,,,,,,Private,City: Large,129,517,Far West,233,Doctoral degree,No,473,73,N/A,,,,,,,990,No,10134,10620,11160,11277,757
C0105,,,,,,,,,,Private,Suburb: Large,3087,580,Far West,1077,Doctoral degree,No,776,,N/A,,,,,,,1356,No,,,,,279
C0106,69,81,81,,,59,39,59,100,Private,City: Large,86488,188,Far West,117,Master's degree,No,41,92,Jewish,,,,,,,229,No,24542,25788,27080,27900,112
C0107,39,56,59,20,25,39,23,2722,6989,Private,Suburb: Large,6673,5550,Far West,3580,Doctoral degree,No,3246,97,N/A,460,550,470,580,460,560,8796,No,29800,31300,33350,35000,5216
C0108,0,76,76,,,,,,,Private,City: Large,,436,Far West,376,Doctoral degree,No,56,22,N/A,,,,,,,492,No,9210,9220,10105,10105,116
C0109,30,53,59,17,22,47,29,1627,3479,Private,City: Large,7322,2112,Far West,335,Doctoral degree,No,328,100,Seventh Day Adventists,400,510,410,530,410,520,2440,No,25881,27231,28314,29103,2105
C0110,48,53,54,22,27,61,40,521,849,Private,Suburb: Large,9560,1105,Far West,387,Doctoral degree,No,394,99,Interdenominational,490,620,470,610,,,1499,No,25640,26650,27700,28800,1112
C0111,67,74,76,25,29,54,22,6209,11472,Private,City: Large,48767,8710,Far West,3456,Doctoral degree,No,951,90,Roman Catholic,540,640,550,650,550,650,9661,No,36622,37825,39125,40265,6205
C0112,28,39,41,19,25,37,9,1519,4100,Private,Suburb: Large,38268,712,Far West,0,Bachelor's degree,No,33,98,N/A,432,532,450,565,425,513,745,No,33550,35076,36110,37100,745
C0113,53,61,62,23,28,68,17,1242,1827,Private,City: Large,111600,1424,Far West,610,Doctoral degree,No,171,100,N/A,540,640,500,610,520,620,1595,No,37485,39264,40080,41494,985
C0114,,,,,,,,,,Private,Suburb: Midsize,86534,651,Far West,709,Master's degree,No,80,,N/A,,,,,,,731,No,,,,,22
C0115,52,64,66,16,22,74,33,1716,2316,Private,City: Large,42905,2508,Far West,649,Doctoral degree,No,766,100,Roman Catholic,420,510,420,520,,,3274,No,30132,31339,32894,33852,2625
C0116,15,31,38,,,,,,,Private,City: Large,19810,8877,Far West,8133,Doctoral degree,No,9330,41,N/A,,,,,,,18207,No,11088,11376,11736,12096,10074
C0117,36,47,48,18,22,87,10,1676,1922,Private,Suburb: Large,10368,1071,Far West,817,Master's degree,No,959,100,Roman Catholic,430,550,430,560,430,510,2030,No,28500,29890,30522,31126,1213
C0118,83,86,88,27,31,42,21,2574,6072,Private,City: Large,156752,2113,Far West,0,Master's degree,No,15,69,N/A,600,700,610,700,610,700,2128,No,40939,42871,44570,46652,2128
C0119,27,38,44,17,22,47,41,191,408,Private,Suburb: Large,4625,935,Far West,431,Master's degree,No,421,98,Christian Churches and Churches of Christ,433,538,420,528,423,530,1356,No,23250,24064,25264,26050,925
C0120,24,34,37,18,25,51,32,1063,2103,Private,Rural: Fringe,15273,1456,Far West,2,Master's degree,No,191,100,Seventh Day Adventists,450,570,440,580,440,560,1647,No,25221,25965,26640,27480,1645
C0121,40,58,63,22,29,73,9,10332,14222,Private,City: Large,44622,5749,Far West,2544,Doctoral degree,No,672,91,N/A,500,640,530,680,500,640,6421,No,34100,36290,38320,39810,3877
C0122,70,79,80,,,37,22,3630,9721,Private,Suburb: Large,96659,5414,Far West,3777,Doctoral degree,No,1901,72,Churches of Christ,560,660,570,680,570,670,7315,No,39080,40752,42772,44902,3538
C0123,73,82,82,,,15,44,597,4115,Private,Suburb: Large,114135,1044,Far West,0,Bachelor's degree,No,37,41,N/A,,,,,,,1081,No,41130,42550,43402,45018,1081
C0124,62,70,72,23,28,67,31,2088,3138,Private,City: Large,12396,2669,Far West,803,Master's degree,No,690,93,Church of the Nazarene,520,630,520,630,,,3359,No,27100,28310,29510,30356,2556
C0125,93,95,96,31,34,14,40,996,7153,Private,Suburb: Large,1146818,1596,Far West,0,Bachelor's degree,No,14,68,N/A,690,760,690,780,690,780,1610,No,38394,39883,41438,43580,1610
C0126,63,71,73,23,27,67,21,3137,4668,Private,City: Small,22824,3907,Far West,1540,Doctoral degree,No,1240,94,N/A,510,610,520,620,,,5147,No,35540,37302,39338,41290,3607
C0127,33,59,66,21,26,31,26,15970,51163,Public,City: Large,5770,26859,Far West,4800,Doctoral degree,No,5040,62,N/A,480,590,500,610,,,31899,No,5206,6578,6578,6766,27099
C0128,65,74,75,25,30,49,17,7178,14693,Private,City: Large,46387,7066,Far West,2656,Doctoral degree,No,1255,76,Roman Catholic,540,650,570,670,,,8321,No,37372,38582,39970,41392,5665
C0129,13,35,45,19,24,64,19,20070,31462,Public,City: Large,1675,24422,Far West,3749,Doctoral degree,No,5483,70,N/A,430,550,450,560,,,29905,No,5014,6276,6440,6450,26156
C0130,57,67,69,23,27,61,13,9076,14808,Private,City: Large,24298,9255,Far West,3720,Doctoral degree,No,857,71,Roman Catholic,530,630,540,640,530,630,10112,No,36380,37424,38884,40294,6392
C0131,8,33,48,19,25,63,21,15967,25155,Public,City: Large,4276,24196,Far West,5416,Master's degree,No,7082,60,N/A,440,550,470,600,,,31278,No,5370,6828,6852,7343,25862
C0132,77,83,84,27,31,51,17,7344,14339,Private,City: Midsize,69357,7225,Far West,3335,Doctoral degree,No,1545,84,Roman Catholic,590,680,610,700,,,8770,No,37368,39048,40572,42156,5435
C0133,80,84,84,29,32,36,32,849,2378,Private,Suburb: Large,289527,996,Far West,19,Bachelor's degree,No,13,61,N/A,640,733,640,720,660,750,1009,No,40450,41950,43620,45564,990
C0134,38,45,47,21,23,55,47,318,573,Private,City: Small,4355,1088,Far West,231,Master's degree,No,167,100,Christ and Missionary Alliance Church,460,570,450,580,450,560,1255,No,21000,21600,22400,23300,1024
C0135,50,58,60,22,27,69,18,3379,4864,Private,Rural: Fringe,35761,3490,Far West,1202,Doctoral degree,No,767,91,Roman Catholic,500,600,510,610,510,610,4257,No,35430,37150,38450,39890,3055
C0136,26,48,54,19,24,82,16,10758,13142,Public,Suburb: Large,4095,8052,Far West,729,Master's degree,No,1068,62,N/A,450,550,450,560,,,9120,No,5508,6862,7162,7234,8391
C0137,47,52,52,18,28,70,38,1043,1495,Private,City: Midsize,1856,1678,Far West,280,Master's degree,No,737,99,Assemblies of God Church,430,550,400,520,,,2415,No,26342,27400,28500,29250,2135
C0138,78,90,91,29,33,20,31,9395,47358,Private,City: Large,107715,35895,Far West,22923,Doctoral degree,No,5473,67,N/A,620,720,660,760,640,750,41368,No,41022,42818,44463,46298,18445
C0139,73,76,80,23,31,79,62,141,178,Private,Rural: Distant,33310,366,Far West,0,Bachelor's degree,No,0,82,Roman Catholic,590,700,570,640,570,690,366,No,22400,22850,23600,24500,366
C0140,72,76,76,24,29,70,20,1505,2145,Private,Suburb: Midsize,52202,1311,Far West,13,Bachelor's degree,No,10,99,N/A,520,650,540,660,520,650,1321,No,34460,35650,37020,38510,1308
C0141,63,66,67,20,25,63,16,2771,4381,Private,Suburb: Large,38487,2065,Far West,683,Doctoral degree,No,274,94,N/A,460,570,470,580,470,580,2339,No,35582,36992,38640,40296,1656
C0142,19,35,45,19,25,56,24,490,879,Private,City: Large,10517,1393,Far West,250,Master's degree,No,214,79,N/A,420,540,440,550,,,1607,No,29132,29994,31444,33150,1357
