ID,,Home ownership,Job title,Length of employment (years)
L061,,Rent,Merchandise Manager,1
L345,,Mortgage,Commander /03,10
L172,,Mortgage,Social Worker,1
L346,,Mortgage,Teacher,10
L023,,Own,Director of Product Development ,2
L440,,Mortgage,Pharmacist,3
L372,,Rent,Logistics,3
L024,,Rent,General Manager,2
L145,,Mortgage,Cosmetologist Manager,10
L025,,Mortgage,Analyst,10
L131,,Rent,Outside Account Manager,2
L265,,Mortgage,RN,8
L106,,Rent,Software Testing Analyst,2
L226,,Rent,Mechanic,7
L081,,Mortgage,Senior Buyer,10
L236,,Own,Account manager,10
L458,,Mortgage,account sales mng,10
L284,,Rent,Systems Software Specialist II,2
L408,,Rent,Customer advocate,1
L189,,Own,RRT,6
L386,,Mortgage,Public Services Librarian,7
L213,,Own,Financial Planner,10
L112,,Mortgage,Road driver,10
L325,,Mortgage,Systems Administrator II,5
L490,,Mortgage,sales/merchandiser,5
L488,,Rent,Sales Associate,1
L071,,Mortgage,Manager,10
L307,,Own,Teacher,10
L016,,Mortgage,tech,8
L431,,Mortgage,Nurse Practitioner,8
L235,,Own,Lawyer,3
L214,,Rent,Physician,10
L268,,Mortgage,President,7
L497,,Mortgage,Director of Catering & Events,1
L449,,Mortgage,Professor,10
L486,,Mortgage,Attorney,4
L348,,Rent,Lean Manger,4
L336,,Rent,Technical manager,10
L370,,Rent,Certified Teacher,1
L343,,Mortgage,SR. Analyst,10
L179,,Mortgage,Advanced Analyst,10
L369,,Own,Department manager,10
L068,,Mortgage,Division General Manager,2
L477,,Own,Sales,1
L364,,Mortgage,PTC Support,1
L013,,Mortgage,Logistics Manager,3
L177,,Mortgage,,
L457,,Mortgage,driver,10
L464,,Own,Manager,5
L030,,Mortgage,DEPUTY SHERIFF,10
L017,,Mortgage,Sales Manager,10
L009,,Rent,SERVICE MANAGER,6
L416,,Own,Reliability Mechanic,10
L321,,Rent,administrative assistant,5
L362,,Rent,SALES MANAGER,3
L085,,Mortgage,groundsman,10
L130,,Rent,District Manager,1
L209,,Rent,Science teacher,10
L340,,Mortgage,A/C Technician,6
L040,,Rent,GM,6
L204,,Own,Director of Risk Management ,2
L036,,Mortgage,Carrier,10
L409,,Rent,teacher aid,10
L215,,Mortgage,Nurse Anestheti,2
L414,,Rent,Customer Service Manager,2
L399,,Rent,teacher/school employee,10
L406,,Mortgage,Benefits Subject Matter Expert,1
L482,,Mortgage,CEO/Therapist,4
L150,,Rent,Bartender,5
L154,,Mortgage,Teacher,10
L410,,Own,Controller honduras,2
L174,,Mortgage,Strategic Account Manager,4
L316,,Mortgage,Business Project Manager,2
L090,,Rent,Property Manager,6
L053,,Mortgage,Teacher,6
L219,,Mortgage,RN,8
L320,,Mortgage,Registered Nurse,1
L055,,Mortgage,Contract Specialist,4
L103,,Rent,general manager,5
L200,,Mortgage,Marketing manager,8
L051,,Mortgage,PRINTER,10
L096,,Mortgage,Counselor,1
L144,,Mortgage,Professor,10
L427,,Rent,Customer service,2
L234,,Rent,Executive Director ,10
L021,,Mortgage,Corporate Insurance,10
L050,,Mortgage,Teacher,10
L076,,Mortgage,,
L038,,Mortgage,Manager,10
L133,,Rent,Claims Rep ,6
L303,,Mortgage,Business Office Asst,10
L335,,Own,warehouse reciever/ lead,10
L272,,Mortgage,VP Manufacturing,10
L452,,Mortgage,IT Specialist,4
L423,,Mortgage,MHW2,3
L078,,Mortgage,Radiology Tech.,2
L338,,Mortgage,Director of Admissions,8
L008,,Mortgage,road driver,10
L212,,Mortgage,Executive Assistant,5
L256,,Mortgage,Automation Engineer,4
L045,,Mortgage,Associate Consultant,1
L007,,Mortgage,Vice President of Recruiting Operations,10
L173,,Mortgage,research scientist,10
L479,,Rent,ESTIMATING ASSISTANT,2
L186,,Mortgage,,
L084,,Own,Regional Sales Direcdtor,2
L032,,Mortgage,hvac technician,4
L357,,Rent,Part-time Supervisor ,3
L003,,Mortgage,truck driver,10
L435,,Rent,assistant svc manager ,3
L211,,Rent,fsm,10
L163,,Rent,Paraprofessional ,1
L105,,Own,IT Help Desk Support ,10
L311,,Mortgage,Program Analyst,10
L195,,Mortgage,technician,10
L101,,Rent,Counselor,4
L334,,Mortgage,Paint and Body technician ,1
L139,,Mortgage,nurse,2
L093,,Mortgage,"TEAM LEAD, QUALITY ENGINEER",6
L240,,Mortgage,legal secretary,5
L190,,Mortgage,Administrative Assistant,10
L033,,Rent,Public Affairs Specialist ,1
L382,,Mortgage,lead operator,1
L058,,Mortgage,Foreign Service Officer,10
L183,,Mortgage,Truck driver ,2
L397,,Mortgage,Assistant Vice President,10
L463,,Mortgage,Sales,1
L056,,Own,,
L329,,Rent,Dispatcher II,10
L141,,Rent,Desktop Support Anylist,2
L075,,Mortgage,Vice-President,2
L304,,Mortgage,Registered Nurse,8
L166,,Mortgage,VP of Operations,1
L455,,Mortgage,Senior Financial/Budget Analyst,3
L049,,Rent,Senior Service Specialist,2
L035,,Mortgage,CEO,10
L491,,Mortgage,Operation to Cash Analyst,1
L277,,Rent,Maintenance worker,10
L052,,Own,Teacher,10
L385,,Mortgage,Sr. Ops Coordinator,5
L167,,Mortgage,Teacher,8
L109,,Rent,Store Manager,2
L258,,Rent,Technician,10
L310,,Rent,Flight Attendant ,10
L006,,Rent,Veterinary Tecnician,4
L299,,Rent,Payroll Processor,1
L481,,Mortgage,,
L022,,Mortgage,Bookkeeper/Accounting,10
L394,,Rent,driver ,6
L314,,Rent,Phlebotomist ,3
L309,,Own,Table Games Supervisor,2
L169,,Mortgage,Administrative Manager ,9
L074,,Rent,CARDIOVASCULAR TECH,10
L442,,Mortgage,Teacher,3
L376,,Own,Manufacturing associate,2
L381,,Mortgage,Pharmacist,10
L108,,Mortgage,Teacher,10
L082,,Mortgage,Lpn,3
L253,,Own,Owner,10
L064,,Mortgage,Lieutenant ,7
L301,,Mortgage,Store Manager,10
L095,,Mortgage,Network Operation Engineer,4
L358,,Own,Accounting Manager,5
L054,,Own,Office Manager,10
L298,,Mortgage,IT Consultant,10
L263,,Mortgage,Nurse Manager,7
L232,,Mortgage,Quality Assurance Wings,10
L165,,Mortgage,Feeder Driver,9
L047,,Rent,Bank Officer Senior Customer Care Spec.,1
L188,,Mortgage,nutritionist,8
L476,,Mortgage,Registered Nurse,5
L366,,Rent,Sales Account Rep,2
L441,,Own,Engineer,10
L439,,Mortgage,Lead Tech,1
L266,,Rent,Lecturer and Curriculum Fellow,3
L300,,Mortgage,Information Assurance Manager,2
L384,,Mortgage,OTR Truck Driver,1
L454,,Mortgage,Supervising Psychiatric Social Worker,10
L450,,Own,Engineer,10
L448,,Mortgage,Sergeant Major,10
L424,,Mortgage,Accounts Receivable Manager,1
L091,,Own,Truck Driver,1
L444,,Mortgage,"Pastor assigned-Minneapolis, MN",10
L199,,Mortgage,Dean,8
L363,,Mortgage,Cheif Electronic Tech ,10
L443,,Rent,Electrician,10
L305,,Rent,Laboratory Services Technician,1
L073,,Own,Lead manufacturing ,10
L328,,Mortgage,Vendor Auditor,2
L015,,Mortgage,Senior Manager,10
L296,,Mortgage,registered nurse,10
L466,,Mortgage,Director of Channel Sales & Marketing,1
L080,,Rent,Principal,10
L380,,Mortgage,CNA,5
L261,,Mortgage,Sales Engineer,8
L159,,Mortgage,,
L460,,Rent,Wholesale Mgr,2
L418,,Rent,Library Associate,10
L228,,Rent,District Sales Leader,10
L041,,Rent,Clinical Intake,5
L107,,Mortgage,Office Manager,8
L349,,Mortgage,foodservice manager,10
L092,,Mortgage,material handler lead,10
L048,,Mortgage,Sales Representative/ Agent,10
L353,,Rent,Service Rep,10
L185,,Rent,Business Systems Analyst,1
L218,,Rent,Human Resources,5
L347,,Mortgage,Mortician,10
L125,,Mortgage,CNC Machinist,10
L390,,Mortgage,agent,4
L317,,Rent,Hvac tech,10
L153,,Own,Medical Coder/biller,2
L175,,Rent,2nd pressman,5
L326,,Mortgage,electrical lead,10
L367,,Mortgage,Sr. Designer,3
L019,,Rent,Teacher,5
L136,,Mortgage,Athletic Director,10
L330,,Rent,Sr Software Eng,4
L088,,Rent,Emergency Department technician ,1
L377,,Rent,High Voltage Electrician/Plant Engineer,4
L244,,Own,Director,10
L207,,Rent,owner,7
L433,,Rent,Intl Logistics LifeScience Agent,10
L060,,Rent,Teacher,2
L098,,Mortgage,Systems Support Engineer,5
L360,,Mortgage,Senior Buyer,8
L251,,Own,Community Manager,5
L323,,Mortgage,line leader,10
L241,,Mortgage,"Director, Accounting & Finance",2
L245,,Mortgage,Purchasing Agent,10
L230,,Rent,Certified Lead Samsung Experience Consul,2
L413,,Mortgage,Electrician,10
L295,,Mortgage,Executive manager,10
L446,,Own,Pressoperater,10
L302,,Mortgage,Revenue tech,10
L472,,Mortgage,Finance and Admn. Director,1
L087,,Rent,Coaching General Manager,1
L350,,Mortgage,Process Facility Engineer,3
L291,,Rent,Laboratory Manager,10
L134,,Mortgage,Service Delivery Manager,10
L483,,Mortgage,Program Group Leader,10
L283,,Mortgage,Budget Services Coordinator,2
L115,,Mortgage,Registered Veterinary Technitian ,4
L197,,Mortgage,Teacher,10
L034,,Mortgage,Executive Assistant,9
L405,,Mortgage,Fire Chief,1
L332,,Mortgage,Driver,8
L462,,Mortgage,Teacher,5
L202,,Rent,Tax Accountant,4
L158,,Mortgage,Pilot,2
L083,,Mortgage,Senior Associate,6
L339,,Mortgage,Financial Advisor,7
L285,,Mortgage,HR Assistant,10
L461,,Rent,Field Technician,2
L140,,Mortgage,,
L247,,Own,Teacher,3
L389,,Rent,General Manager,10
L375,,Own,BILLING REPRESENTATIVE,10
L110,,Rent,Software Engineer,3
L094,,Rent,,
L124,,Rent,Teacher,10
L067,,Mortgage,Supervisor,5
L246,,Mortgage,Dispatcher,10
L344,,Mortgage, Equipment operator ,10
L453,,Rent,Customer Care coordinator,3
L217,,Mortgage,Engineer ,10
L412,,Rent,,
L225,,Rent,,2
L286,,Mortgage,Payroll Manager,1
L138,,Mortgage,Account executive,1
L434,,Rent,Consultant,2
L220,,Mortgage,Administrator,10
L257,,Mortgage,General / sales Manager,10
L149,,Own,Owner/Operator,10
L425,,Mortgage,Accounting Assistant,10
L182,,Mortgage,Sales representative,8
L395,,Own,Credit Reager,10
L119,,Mortgage,Captain,10
L117,,Rent,Patrol Officer,2
L018,,Mortgage,GS-11,10
L142,,Rent,,
L237,,Own,Teacher,10
L308,,Mortgage,Lead Medic/Critical Care Paramedic,5
L099,,Mortgage,Systems Administrator,1
L249,,Rent,manager,7
L135,,Rent,Custodian,10
L170,,Rent,General Manager,5
L489,,Own,,
L282,,Rent,Mgr. Quality Control,10
L122,,Mortgage,Accounting Manager,10
L046,,Rent,Teacher,2
L278,,Mortgage,Chemical operator,5
L415,,Mortgage,server,4
L027,,Own,driver,9
L057,,Mortgage,Engineer,10
L205,,Mortgage,Registered Nurse,9
L086,,Mortgage,Project Manager,10
L267,,Mortgage,Division Manager,8
L176,,Rent,Direct Support Professional,1
L354,,Mortgage,Engineering Manager,5
L398,,Rent,Senior Associate,3
L121,,Own,machine operation ,3
L420,,Rent,Engineer Instructor,10
L315,,Own,,
L260,,Rent,Rph,10
L070,,Rent,RN,1
L164,,Rent,Business Coordinator III,8
L487,,Mortgage,HR Director,10
L456,,Rent,librarian,10
L273,,Mortgage,Sales,10
L287,,Mortgage,Manager,8
L129,,Rent,GS12,3
L012,,Mortgage,Senior Structural Designer,1
L224,,Rent,electrical construction apprentice,10
L187,,Rent,Senior Brand Manager,4
L379,,Mortgage,District Manager,5
L421,,Own,teacher assistant,3
L438,,Mortgage,Senior Consultant,9
L383,,Mortgage,Special Education Teacher,10
L128,,Rent,Pastor,8
L498,,Mortgage,Radiology Ancillary Manager ,1
L029,,Mortgage,Network Security Specialist III,1
L478,,Mortgage,Support Staff,1
L194,,Mortgage,SW,10
L429,,Mortgage,Finisher Carpenter,2
L468,,Rent,manufacturing driver,10
L289,,Mortgage,Bartender ,7
