ID,,,Loan term
L113,,,60 months
L144,,,36 months
L324,,,36 months
L141,,,36 months
L405,,,36 months
L038,,,60 months
L209,,,36 months
L164,,,36 months
L444,,,36 months
L498,,,36 months
L490,,,60 months
L179,,,36 months
L341,,,36 months
L220,,,60 months
L213,,,60 months
L333,,,60 months
L010,,,36 months
L123,,,36 months
L112,,,36 months
L325,,,36 months
L417,,,36 months
L319,,,36 months
L418,,,60 months
L463,,,60 months
L239,,,36 months
L273,,,36 months
L060,,,36 months
L017,,,36 months
L045,,,36 months
L211,,,60 months
L047,,,36 months
L235,,,60 months
L246,,,36 months
L274,,,36 months
L416,,,36 months
L419,,,36 months
L089,,,60 months
L091,,,36 months
L422,,,36 months
L219,,,36 months
L327,,,36 months
L487,,,36 months
L276,,,36 months
L359,,,36 months
L423,,,36 months
L268,,,36 months
L188,,,36 months
L296,,,36 months
L008,,,36 months
L266,,,36 months
L395,,,60 months
L030,,,36 months
L431,,,36 months
L302,,,36 months
L456,,,60 months
L337,,,36 months
L151,,,36 months
L190,,,60 months
L290,,,60 months
L052,,,60 months
L494,,,36 months
L084,,,60 months
L383,,,60 months
L390,,,36 months
L271,,,60 months
L315,,,36 months
L005,,,60 months
L485,,,36 months
L336,,,36 months
L466,,,36 months
L363,,,36 months
L170,,,36 months
L385,,,60 months
L066,,,60 months
L127,,,36 months
L152,,,36 months
L024,,,36 months
L458,,,36 months
L110,,,36 months
L486,,,60 months
L203,,,36 months
L334,,,36 months
L323,,,36 months
L482,,,60 months
L308,,,60 months
L189,,,36 months
L004,,,60 months
L081,,,60 months
L262,,,36 months
L022,,,60 months
L153,,,36 months
L406,,,36 months
L451,,,60 months
L391,,,36 months
L409,,,60 months
L399,,,36 months
L095,,,36 months
L025,,,36 months
L035,,,60 months
L228,,,60 months
L253,,,36 months
L015,,,36 months
L432,,,36 months
L326,,,60 months
L202,,,60 months
L436,,,36 months
L344,,,36 months
L163,,,36 months
L388,,,36 months
L412,,,36 months
L429,,,36 months
L205,,,36 months
L260,,,36 months
L107,,,36 months
L149,,,36 months
L174,,,36 months
L029,,,36 months
L376,,,36 months
L147,,,36 months
L330,,,36 months
L135,,,36 months
L238,,,60 months
L044,,,36 months
L261,,,36 months
L016,,,36 months
L400,,,36 months
L245,,,60 months
L148,,,60 months
L449,,,36 months
L014,,,60 months
L295,,,36 months
L056,,,60 months
L237,,,36 months
L023,,,36 months
L258,,,60 months
L172,,,36 months
L411,,,36 months
L358,,,60 months
L224,,,36 months
L240,,,60 months
L218,,,60 months
L272,,,36 months
L136,,,60 months
L083,,,36 months
L480,,,60 months
L402,,,36 months
L063,,,60 months
L037,,,60 months
L381,,,36 months
L049,,,60 months
L421,,,36 months
L426,,,36 months
L142,,,36 months
L285,,,60 months
L304,,,60 months
L441,,,36 months
L231,,,36 months
L150,,,36 months
L105,,,60 months
L310,,,60 months
L099,,,36 months
L104,,,36 months
L002,,,36 months
L187,,,36 months
L461,,,36 months
L178,,,36 months
L046,,,60 months
L071,,,36 months
L210,,,60 months
L168,,,36 months
L450,,,60 months
L101,,,60 months
L379,,,36 months
L175,,,36 months
L204,,,36 months
L069,,,60 months
L249,,,60 months
L452,,,36 months
L006,,,36 months
L382,,,36 months
L250,,,60 months
L380,,,36 months
L086,,,60 months
L414,,,36 months
L243,,,36 months
L465,,,36 months
L247,,,36 months
L094,,,36 months
L012,,,60 months
L043,,,60 months
L215,,,36 months
L125,,,60 months
L478,,,36 months
L085,,,36 months
L076,,,36 months
L328,,,36 months
L259,,,36 months
L269,,,36 months
L207,,,36 months
L212,,,60 months
L244,,,36 months
L062,,,36 months
L007,,,36 months
L064,,,60 months
L216,,,60 months
L230,,,36 months
L368,,,36 months
L117,,,36 months
L457,,,60 months
L183,,,36 months
L173,,,60 months
L157,,,36 months
L103,,,60 months
L140,,,36 months
L427,,,36 months
L242,,,36 months
L214,,,36 months
L132,,,36 months
L001,,,36 months
L072,,,60 months
L374,,,60 months
L177,,,36 months
L114,,,36 months
L115,,,36 months
L257,,,60 months
L306,,,36 months
L477,,,36 months
L355,,,36 months
L430,,,36 months
L301,,,36 months
L413,,,36 months
L288,,,36 months
L495,,,36 months
L320,,,36 months
L034,,,60 months
L292,,,60 months
L186,,,36 months
L129,,,60 months
L338,,,36 months
L232,,,36 months
L087,,,36 months
L389,,,60 months
L386,,,60 months
L159,,,36 months
L375,,,36 months
L332,,,36 months
L489,,,36 months
L447,,,36 months
L424,,,36 months
L331,,,36 months
L393,,,36 months
L106,,,36 months
L348,,,36 months
L234,,,36 months
L275,,,36 months
L019,,,60 months
L488,,,36 months
L182,,,60 months
L434,,,36 months
L384,,,60 months
L192,,,60 months
L156,,,36 months
L475,,,60 months
L401,,,60 months
L387,,,36 months
L092,,,36 months
L428,,,60 months
L287,,,36 months
L075,,,36 months
L054,,,60 months
L206,,,60 months
L483,,,60 months
L077,,,36 months
L119,,,36 months
L200,,,36 months
L032,,,60 months
L373,,,36 months
L433,,,36 months
L439,,,36 months
L031,,,36 months
L316,,,36 months
L442,,,36 months
L370,,,36 months
L195,,,36 months
L278,,,36 months
L027,,,36 months
L283,,,36 months
L080,,,60 months
L420,,,60 months
L280,,,36 months
L233,,,60 months
L469,,,60 months
L343,,,36 months
L082,,,36 months
L372,,,36 months
L365,,,36 months
L500,,,36 months
L033,,,36 months
L311,,,36 months
L345,,,60 months
L009,,,36 months
L217,,,36 months
L229,,,36 months
L354,,,36 months
L252,,,36 months
L126,,,36 months
L100,,,36 months
L366,,,36 months
L021,,,60 months
L068,,,60 months
L053,,,60 months
L198,,,36 months
L415,,,36 months
L039,,,36 months
L318,,,36 months
L470,,,36 months
L042,,,60 months
L116,,,36 months
L241,,,36 months
L193,,,36 months
L111,,,36 months
L011,,,60 months
L013,,,36 months
L407,,,36 months
L108,,,60 months
L460,,,36 months
L303,,,60 months
L471,,,60 months
L254,,,36 months
L256,,,36 months
L128,,,60 months
L130,,,36 months
L018,,,60 months
L497,,,36 months
L041,,,36 months
L264,,,36 months
L059,,,36 months
L143,,,36 months
L133,,,60 months
L455,,,36 months
L307,,,36 months
L459,,,36 months
L020,,,36 months
