ID,Loan amount ($),Loan intent,Annual income ($),Loan interest rate (%),Loan grade,Total credit limit ($),FICO score (low),Bankcards at >75% limit (%),Bankruptcies,Total current balance ($)
L041,20000,Home buying,70000,15.77,D,104696,680,0,0,63456
L042,10000,Credit card refinancing,55000,17.97,D,302401,685,100,0,288087
L043,16000,Debt consolidation,142000,13.99,C,704224,680,25,0,667373
L044,20000,Debt consolidation,75000,9.8,B,117477,725,0,0,40090
L045,8650,Credit card refinancing,100000,5.32,A,191618,750,0,0,165450
L046,21000,Debt consolidation,54649,13.44,C,57564,670,50,1,51489
L047,7200,,55000,15.77,D,255047,680,50,0,275831
L048,8800,Credit card refinancing,92000,9.8,B,116292,665,100,0,105650
L049,14650,Debt consolidation,43160,20.5,E,67732,690,100,0,62813
L050,2500,Other,50000,17.27,D,196429,670,0,0,197169
L051,11000,Credit card refinancing,69000,9.17,B,231864,680,75,0,205780
L052,23850,Debt consolidation,68046,17.27,D,554242,665,100,0,525195
L053,15700,Credit card refinancing,48000,16.59,D,305962,685,75,0,270017
L054,28800,Debt consolidation,60000,11.99,C,200980,800,0,0,41270
L055,10000,Home buying,91392,12.88,C,321380,710,100,0,304514
L056,24000,Home improvement,77900,9.8,B,202351,740,0,0,127412
L057,28000,Debt consolidation,75000,18.49,D,267312,685,50,0,193745
L058,35000,Home improvement,128000,11.99,C,220950,685,33.3,0,146867
L059,7200,Debt consolidation,50000,9.17,B,236795,675,37.5,0,218695
L060,10000,Credit card refinancing,40100,7.91,A,35247,680,0,0,27354
L061,16000,Credit card refinancing,42000,13.44,C,87509,670,30.8,0,83690
L062,21875,Credit card refinancing,47590,11.99,C,76326,700,60,0,40976
L063,14025,Debt consolidation,39000,18.49,D,72286,675,66.7,0,60381
L064,35000,Debt consolidation,106000,12.88,C,366974,730,0,0,299890
L065,20000,Debt consolidation,145000,12.88,C,472759,695,75,0,429218
L066,14000,,60000,14.85,C,83083,690,87.5,0,70789
L067,16000,Credit card refinancing,62000,8.49,B,307343,720,50,0,227708
L068,28000,Debt consolidation,85000,14.85,C,280650,670,60,0,256638
L069,20000,Debt consolidation,70000,13.99,C,84200,680,44.4,0,34856
L070,17600,,44000,19.89,E,139633,680,100,0,133285
L071,4200,Debt consolidation,102500,13.44,C,264272,700,100,0,197024
L072,19000,Credit card refinancing,75000,14.85,C,94620,665,100,0,72043
L073,15850,Debt consolidation,45000,23.13,F,84300,755,0,0,45025
L074,10000,Debt consolidation,42500,11.99,C,61054,705,50,0,41166
L075,30000,Home improvement,175000,15.77,D,447599,725,33.3,0,408118
L076,1500,Vacation,45000,6.49,A,179105,745,0,0,158643
L077,25000,Credit card refinancing,150000,5.32,A,512381,795,0,0,430856
L078,16250,Debt consolidation,50000,13.44,C,206555,690,100,0,201184
L079,20200,Debt consolidation,60000,18.49,D,84627,720,25,1,43224
L080,23975,Credit card refinancing,70000,19.89,E,74779,685,100,0,57655
L081,15000,Debt consolidation,65000,10.78,B,256635,720,71.4,0,224194
L082,10000,Debt consolidation,41600,10.78,B,190694,695,33.3,0,168304
L083,15000,Credit card refinancing,110000,8.49,B,369112,670,20,1,327836
L084,23100,Car financing,110000,20.5,E,102524,660,85.7,0,55048
L085,27300,Home improvement,65000,17.27,D,253900,660,85.7,0,238105
L086,25000,Credit card refinancing,135000,11.48,B,72150,705,0,0,23522
L087,15000,Credit card refinancing,40000,10.78,B,16300,670,100,0,12272
L088,10000,Debt consolidation,30000,16.59,D,85929,715,0,1,65214
L089,18500,Debt consolidation,70000,12.88,C,143748,675,16.7,0,123863
L090,5000,Credit card refinancing,32000,7.91,A,21690,685,0,1,11665
L091,9000,Debt consolidation,50000,9.17,B,69818,800,33.3,0,40272
L092,11000,Credit card refinancing,85000,6.49,A,90996,755,0,0,32193
L093,20000,Debt consolidation,55000,6.49,A,247433,750,0,0,205155
L094,15000,Debt consolidation,80000,5.32,A,537200,775,0,0,330562
L095,12000,Debt consolidation,53750,5.32,A,183062,700,0,0,142615
L096,8000,Debt consolidation,45000,10.78,B,168819,670,100,0,148154
L097,12000,Credit card refinancing,40000,10.78,B,59420,665,20,0,31915
L098,18000,Debt consolidation,75000,7.49,A,335119,715,50,0,304914
L099,3600,Debt consolidation,85000,11.48,B,457315,675,28.6,1,407032
L100,7200,Debt consolidation,20000,17.27,D,22400,705,0,0,7302
L101,15000,Credit card refinancing,77213,13.44,C,176208,670,40,1,155521
L102,5000,Other,72000,9.8,B,155131,710,,1,142064
L103,11550,Credit card refinancing,38000,16.59,D,34105,700,60,0,10353
L104,33600,Debt consolidation,104000,10.78,B,92909,690,33.3,0,42952
L105,17925,Debt consolidation,39000,17.27,D,122214,720,66.7,0,102008
L106,17475,Debt consolidation,39750,13.99,C,50240,695,0,0,32365
L107,9000,Debt consolidation,47000,8.49,B,36500,675,12.5,0,9747
L108,12000,Debt consolidation,65000,9.8,B,291626,785,0,0,181540
L109,4000,Debt consolidation,44500,9.17,B,33017,670,0,1,7980
L110,10500,Credit card refinancing,70100,15.77,D,32280,660,50,0,26327
L111,14000,Medical expenses,100000,9.8,B,531602,685,0,0,451137
L112,6000,Car financing,105000,7.91,A,225933,685,0,0,182893
L113,16000,Home improvement,90000,12.88,C,263351,700,25,0,224292
L114,15000,Debt consolidation,92000,9.8,B,347470,680,0,1,312996
L115,12000,Debt consolidation,39400,9.17,B,191950,705,40,0,153211
L116,10000,Debt consolidation,33000,11.48,B,49732,710,33.3,0,23197
L117,4200,Other,32000,13.99,C,53161,705,0,0,38865
L118,35000,Debt consolidation,120000,20.5,E,498200,700,0,0,440222
L119,5475,Debt consolidation,108000,18.99,E,337523,670,75,0,316524
L120,16000,Debt consolidation,60000,7.91,A,103434,730,0,0,88386
L121,6000,Debt consolidation,38700,13.44,C,50486,690,0,0,38464
L122,24000,Debt consolidation,75000,9.17,B,42800,660,40,1,20031
L123,10000,Debt consolidation,60000,12.88,C,10500,715,33.3,0,6727
L124,6900,Debt consolidation,80000,19.89,E,11400,665,25,0,4091
L125,22400,Credit card refinancing,48000,9.8,B,77566,705,57.1,0,35168
L126,15975,Debt consolidation,58800,16.59,D,17800,665,66.7,0,10916
L127,21600,Debt consolidation,54000,13.44,C,170474,690,50,0,143634
L128,24000,Credit card refinancing,82193,13.99,C,143088,695,57.1,0,90362
L129,14400,Debt consolidation,73320,19.48,E,44621,660,100,0,42894
L130,8000,,42000,13.99,C,50625,705,25,0,40965
L131,7000,Debt consolidation,83000,13.99,C,87124,680,100,0,77240
L132,20000,Debt consolidation,55000,10.78,B,118711,740,11.1,0,60903
L133,25825,Debt consolidation,68000,26.06,F,94599,675,33.3,0,72831
L134,24575,Debt consolidation,92000,22.45,F,149185,725,100,0,103632
L135,3200,Medical expenses,30407,8.49,B,13587,710,0,0,7804
L136,22875,Debt consolidation,137000,15.77,D,952233,700,30,0,883789
L137,16000,Debt consolidation,80000,14.85,C,197904,700,75,0,169184
L138,35000,Debt consolidation,125000,13.44,C,594147,710,42.9,0,521496
L139,2400,Home improvement,52000,17.27,D,61191,670,28.6,0,42039
L140,25000,Debt consolidation,132000,7.49,A,137788,745,50,0,78666
L141,8800,Credit card refinancing,55000,12.88,C,126203,715,0,0,95330
L142,2500,Debt consolidation,16488,11.48,B,51341,770,0,0,20449
L143,8000,Credit card refinancing,50000,5.32,A,73375,715,0,0,53525
L144,20000,Debt consolidation,78000,11.99,C,346262,705,50,0,290569
L145,35000,Major purchase,110000,12.88,C,405622,695,0,0,318752
L146,15000,Debt consolidation,45000,7.49,A,226200,710,0,0,194062
L147,16000,Debt consolidation,70000,15.77,D,195530,705,75,0,178477
L148,10800,Debt consolidation,40000,13.99,C,35584,665,50,2,25378
L149,7500,Debt consolidation,15000,17.97,D,24826,685,66.7,1,15043
L150,16000,Debt consolidation,63000,10.78,B,103887,670,50,0,68741
L151,9000,Credit card refinancing,49000,5.32,A,129026,755,0,0,51250
L152,9500,,28000,15.77,D,24105,695,50,0,14767
L153,10000,Debt consolidation,25000,7.91,A,54000,740,0,0,22263
L154,6000,Debt consolidation,49000,7.91,A,371400,795,0,0,274367
L155,15600,Major purchase,52000,13.44,C,139800,720,100,0,96594
L156,35000,Debt consolidation,90000,8.49,B,466738,750,66.7,0,434242
L157,5000,Debt consolidation,78000,11.48,B,197347,700,57.1,0,151774
L158,20400,Credit card refinancing,75000,18.49,D,310057,725,22.2,0,210761
L159,8000,Debt consolidation,33130,17.97,D,249754,665,0,0,207921
L160,16000,Debt consolidation,87500,10.78,B,54200,695,100,0,31768
L161,18000,Debt consolidation,80000,7.91,A,125210,740,66.7,0,84064
L162,35000,Debt consolidation,105000,9.17,B,126649,690,75,0,103869
L163,13150,Major purchase,40000,5.32,A,83916,765,0,0,29071
L164,5600,Credit card refinancing,48000,9.17,B,31300,660,40,0,21160
L165,23000,,90247,9.8,B,234163,680,100,0,186007
L166,12600,Debt consolidation,175000,14.85,C,148478,690,42.9,1,112859
L167,11000,Debt consolidation,55000,16.59,D,271533,735,50,0,260988
L168,4000,Debt consolidation,41501,11.99,C,83833,685,0,0,82347
L169,20000,,75000,13.44,C,355426,715,100,0,300744
L170,20000,Debt consolidation,60000,11.48,B,63700,685,28.6,0,39394
L171,10000,Credit card refinancing,59307,9.17,B,197909,690,75,0,134518
L172,18850,Debt consolidation,55000,21.48,E,247115,700,0,0,236037
L173,21000,Debt consolidation,82000,11.99,C,213675,730,0,0,129615
L174,10500,Debt consolidation,60000,8.49,B,132044,685,0,0,107112
L175,4575,Home buying,56000,17.27,D,8900,665,33.3,0,2380
L176,5000,Other,17000,11.48,B,63456,690,0,0,55327
L177,8000,Home improvement,45000,6.99,A,357341,790,0,0,317061
L178,5000,Debt consolidation,30000,11.99,C,19200,675,33.3,0,5426
L179,9075,Credit card refinancing,40000,5.32,A,186900,815,0,0,100468
L180,24000,Debt consolidation,75181.21,12.88,C,354971,720,60,0,276355
L181,12500,Credit card refinancing,52000,7.49,A,12400,705,100,0,10009
L182,19600,Debt consolidation,80000,15.77,D,364600,710,100,0,341767
L183,35000,Debt consolidation,90000,13.99,C,225820,740,0,0,201577
L184,28000,Debt consolidation,75000,8.49,B,406511,685,75,0,365724
L185,14000,Debt consolidation,45500,15.77,D,57447,690,0,0,37485
L186,16000,Credit card refinancing,99906,9.8,B,493100,660,100,0,426371
L187,14000,Debt consolidation,120000,5.32,A,63281,775,0,0,16909
L188,24000,Debt consolidation,72000,8.49,B,120823,715,40,0,74809
L189,35000,Debt consolidation,75000,13.99,C,69518,685,100,0,52074
L190,14550,Debt consolidation,70000,15.77,D,445111,720,100,0,369766
L191,8000,Credit card refinancing,21610,11.48,B,35502,705,0,0,22866
L192,32400,Credit card refinancing,106284,9.8,B,468631,730,5.3,0,335236
L193,3600,Debt consolidation,25000,13.44,C,91319,710,33.3,0,78735
L194,10500,Debt consolidation,110000,13.99,C,232011,660,75,0,166878
L195,3000,Home improvement,105000,11.48,B,387088,685,16.7,0,297766
L196,16000,Credit card refinancing,43000,14.85,C,31669,675,50,0,20258
L197,8000,Debt consolidation,57000,7.49,A,164865,740,0,0,108395
L198,19500,Debt consolidation,85000,7.49,A,70472,730,50,0,42613
L199,2000,Other,140000,8.49,B,797960,845,0,0,679308
L200,16000,Debt consolidation,96000,5.32,A,293017,725,16.7,0,200216
L201,3500,Vacation,122400,10.78,B,426956,660,80,1,385952
L202,14000,Debt consolidation,94000,9.17,B,473886,715,0,0,377868
L203,24000,Debt consolidation,95000,11.48,B,93391,675,100,0,65133
L204,6000,Credit card refinancing,120000,5.32,A,46500,780,16.7,0,9285
L205,24000,Debt consolidation,100000,7.91,A,277952,675,100,0,175638
L206,14875,Debt consolidation,37231,18.49,D,68739,665,0,1,47036
L207,10000,,45000,11.99,C,75737,685,12.5,1,45543
L208,15000,Credit card refinancing,93000,6.99,A,340542,755,0,0,306430
L209,10000,Credit card refinancing,68000,5.32,A,79749,730,50,0,32214
L210,18000,Major purchase,97000,9.17,B,372966,710,25,0,322455
L211,24000,Debt consolidation,97000,19.48,E,40126,685,50,0,25117
L212,23525,Debt consolidation,70000,17.97,D,263827,675,100,0,196733
L213,12000,Credit card refinancing,68000,9.17,B,117300,690,14.3,0,34714
L214,11000,Other,297000,10.78,B,179788,670,71.4,0,68689
L215,24000,Debt consolidation,210000,9.17,B,608164,690,66.7,0,560509
L216,15000,Debt consolidation,42900,16.59,D,123717,680,60,0,125307
L217,16000,Credit card refinancing,140000,8.49,B,289636,670,45.5,0,232670
L218,15000,Debt consolidation,90000,7.91,A,117602,685,50,0,90875
L219,5000,Debt consolidation,60000,11.99,C,187500,675,33.3,0,164988
L220,19100,Debt consolidation,115000,10.78,B,321817,685,0,0,259591
L221,15000,Credit card refinancing,85000,10.78,B,45965,685,42.9,0,32012
L222,30000,Debt consolidation,85000,18.49,D,219013,665,37.5,1,195290
L223,15000,Credit card refinancing,60000,9.8,B,169777,720,22.2,0,95299
L224,3500,Other,105000,13.99,C,72443,665,75,0,60499
L225,20000,Debt consolidation,130000,9.17,B,66147,715,0,0,37657
L226,10000,Credit card refinancing,30160,13.44,C,27759,685,100,0,18032
L227,35000,Debt consolidation,132500,18.49,D,416820,670,100,0,359542
L228,16000,Credit card refinancing,90000,14.85,C,55011,660,66.7,1,36465
L229,2000,Other,180000,11.99,C,428961,665,100,0,294683
L230,12000,Credit card refinancing,39500,9.8,B,53890,725,50,0,35079
L231,8000,Credit card refinancing,80000,6.99,A,359365,740,0,0,314484
L232,10000,Debt consolidation,92000,9.8,B,205932,680,0,0,182684
L233,25000,Credit card refinancing,76500,7.91,A,89097,750,100,0,45132
L234,35000,Debt consolidation,100000,13.99,C,52338,665,66.7,0,44539
L235,25600,Debt consolidation,150000,7.91,A,717956,740,0,0,678352
L236,4325,Major purchase,90000,11.99,C,248651,730,0,1,191071
L237,6000,,48000,6.99,A,74726,760,0,0,37729
L238,18200,Credit card refinancing,65000,15.77,D,121798,660,50,1,113674
L239,10000,Credit card refinancing,54000,6.99,A,63199,700,100,0,36381
L240,30000,Debt consolidation,81000,13.44,C,236670,725,0,0,166614
L241,13200,Home improvement,150000,5.32,A,574360,740,25,0,365831
L242,10000,Debt consolidation,220000,6.99,A,43158,710,100,1,23438
L243,3000,Debt consolidation,75000,11.48,B,266649,665,33.3,0,237257
L244,20000,Debt consolidation,96000,9.8,B,81444,765,0,0,42443
L245,13875,Credit card refinancing,32500,11.99,C,138817,710,75,0,121944
L246,18000,Debt consolidation,76000,6.49,A,413594,755,0,0,318868
L247,15225,Debt consolidation,40000,8.49,B,76171,685,16.7,0,63528
L248,16000,Debt consolidation,65000,11.48,B,69424,705,40,1,35429
L249,21000,Other,125000,9.8,B,175088,750,0,0,19150
L250,13000,Debt consolidation,40000,16.59,D,33399,660,100,0,25438
L251,20000,Major purchase,120000,7.91,A,93896,705,0,0,12740
L252,31075,Credit card refinancing,70000,7.49,A,174717,725,33.3,0,135003
L253,18000,Credit card refinancing,120000,6.99,A,211500,710,25,0,170044
L254,5000,Other,74967,9.17,B,342623,685,100,1,303889
L255,4675,Credit card refinancing,13000,17.27,D,44644,675,,0,39353
L256,6000,Debt consolidation,85140,9.8,B,425306,710,50,0,394173
L257,12000,Debt consolidation,90000,12.88,C,46018,660,20,1,22151
L258,13000,Home improvement,115000,13.99,C,53990,700,25,0,28645
L259,1800,Other,50000,11.48,B,26851,660,100,0,21440
L260,4475,Credit card refinancing,114000,16.59,D,16700,670,0,1,8108
L261,14400,Debt consolidation,70000,6.49,A,254733,695,60,0,243859
L262,5875,Debt consolidation,70000,7.91,A,32768,670,25,0,21709
L263,20000,Debt consolidation,180000,17.97,D,349868,660,100,0,277227
L264,10000,Debt consolidation,115000,6.99,A,455429,715,66.7,0,391089
L265,34100,Debt consolidation,92892,12.88,C,256341,735,50,0,223544
L266,24000,Credit card refinancing,56457,11.48,B,26400,680,100,0,22849
L267,30000,Debt consolidation,300000,18.49,D,478537,680,66.7,0,452396
L268,5200,Debt consolidation,160000,10.78,B,149147,660,33.3,0,73435
L269,16800,Debt consolidation,50000,11.99,C,102060,675,0,0,113972
L270,10000,Debt consolidation,40000,11.99,C,17287,665,0,0,7735
L271,22000,Debt consolidation,55000,17.97,D,232758,665,100,0,210586
L272,28000,Debt consolidation,144000,5.32,A,326531,715,44.4,0,197858
L273,7200,Credit card refinancing,60000,6.49,A,47376,725,0,0,39078
L274,18000,Debt consolidation,41000,11.99,C,71294,690,60,0,51443
L275,8400,Debt consolidation,30000,7.49,A,54564,730,25,0,44202
L276,5000,Credit card refinancing,67000,14.85,C,138379,670,0,0,123030
L277,5000,Debt consolidation,55000,9.8,B,25203,665,66.7,0,16016
L278,2400,Debt consolidation,60000,11.48,B,196467,670,60,0,178927
L279,15000,Debt consolidation,60000,5.32,A,103800,790,0,0,23508
L280,6075,,64400,9.17,B,371139,730,0,0,334235
L281,20000,Debt consolidation,55000,10.78,B,69850,670,60,0,47397
L282,6025,Debt consolidation,110000,14.85,C,87869,665,42.9,1,71368
L283,8400,Debt consolidation,70000,9.17,B,133800,690,66.7,0,134707
L284,15000,Debt consolidation,90000,12.88,C,89240,710,0,0,42952
L285,19200,Debt consolidation,72000,8.49,B,467614,720,50,0,442322
L286,12000,Debt consolidation,143000,15.77,D,410330,695,0,0,356838
L287,28800,Home improvement,60000,12.88,C,52400,700,42.9,0,25166
L288,5000,Debt consolidation,60000,5.32,A,468812,730,0,0,406338
L289,5000,Home improvement,60000,12.88,C,72546,685,33.3,0,41131
L290,31500,Debt consolidation,120000,11.99,C,590498,755,0,0,549792
L291,24000,Debt consolidation,165000,18.49,D,72751,660,57.1,1,59253
L292,20000,Debt consolidation,110000,12.88,C,337189,670,87.5,0,286847
L293,24000,Debt consolidation,110000,10.78,B,261238,735,0,0,199389
L294,21850,Debt consolidation,65000,17.27,D,131099,660,100,0,120551
L295,9500,Home improvement,126500,6.49,A,307298,680,0,1,264336
L296,20000,Debt consolidation,98000,8.49,B,345325,675,100,0,308743
L297,20000,Credit card refinancing,59000,13.44,C,101255,680,57.1,0,76322
L298,20000,Home improvement,135000,16.59,D,253826,685,44.4,0,148848
L299,20000,,65000,12.88,C,94864,735,11.1,0,28351
L300,25200,Credit card refinancing,78000,13.44,C,387367,710,100,0,327255
L301,12000,Credit card refinancing,50000,6.99,A,199861,790,0,0,135859
L302,10000,Debt consolidation,65000,12.88,C,43585,670,50,1,31312
L303,12000,Debt consolidation,36500,9.8,B,134586,805,0,0,106299
L304,12000,Debt consolidation,75000,7.91,A,237285,750,50,0,213908
L305,6425,Debt consolidation,41000,15.77,D,6700,670,0,1,476
L306,12700,Debt consolidation,32760,17.97,D,48784,675,33.3,0,27300
L307,35000,Credit card refinancing,121000,13.99,C,89983,680,22.2,1,35619
L308,16000,Debt consolidation,110000,13.44,C,213148,675,85.7,0,183857
L309,15000,Credit card refinancing,48000,13.99,C,59055,670,50,0,48714
L310,20550,Debt consolidation,60000,16.59,D,375754,715,42.9,0,290278
L311,25000,Home improvement,127000,6.99,A,193561,725,0,0,128658
L312,14000,Debt consolidation,115000,19.48,E,47151,660,66.7,0,38073
L313,16925,Major purchase,47000,21.48,E,86819,680,33.3,1,77020
L314,4700,Debt consolidation,22000,13.44,C,31333,705,0,0,16145
L315,5000,Debt consolidation,25000,8.49,B,36100,675,33.3,1,7259
L316,12000,Debt consolidation,92500,14.85,C,231354,670,0,1,25800
L317,12000,Debt consolidation,55000,9.8,B,18042,660,16.7,0,7963
L318,15000,Debt consolidation,117000,6.99,A,700359,700,0,0,658060
L319,4900,Debt consolidation,123000,13.44,C,451519,685,,0,421365
L320,18000,Credit card refinancing,70000,7.49,A,167690,690,100,0,148756
L321,18000,Debt consolidation,48000,14.85,C,59287,660,14.3,1,41300
L322,25000,Debt consolidation,120000,17.27,D,94194,660,0,1,73675
L323,15000,Debt consolidation,50000,12.88,C,273354,665,25,0,248016
L324,3600,Car financing,97000,11.48,B,259782,660,33.3,1,245735
L325,33000,Other,92250,8.49,B,367796,735,0,0,320452
L326,14950,Debt consolidation,68000,18.99,E,138722,685,33.3,1,116969
L327,15000,Debt consolidation,154000,12.88,C,724714,730,0,0,625574
L328,7000,Debt consolidation,30100,16.59,D,129045,680,50,0,112712
L329,15000,Debt consolidation,35300,16.59,D,64511,680,100,0,37590
L330,35000,Debt consolidation,98000,12.88,C,185399,690,0,0,115692
L331,8000,Credit card refinancing,58000,8.49,B,339800,730,25,0,308483
L332,20000,Credit card refinancing,40000,11.99,C,71700,710,10,0,21678
L333,14375,Debt consolidation,80000,19.89,E,295397,695,40,0,224733
L334,21000,Debt consolidation,85000,9.17,B,251100,705,25,0,198508
L335,3700,Debt consolidation,65000,12.88,C,93587,700,0,0,32007
L336,8400,Credit card refinancing,85000,9.17,B,80403,660,30.8,1,40798
L337,7200,Debt consolidation,22000,11.48,B,36131,750,0,0,14303
L338,16800,Debt consolidation,85400,8.49,B,219016,705,25,0,195318
L339,9000,Major purchase,150000,5.32,A,69300,795,0,0,4842
L340,6000,Home improvement,43700,13.99,C,165592,660,12.5,0,122566
L341,34000,Debt consolidation,76497,10.78,B,36000,705,100,0,34886
L342,20000,Debt consolidation,67000,11.99,C,205500,680,100,0,196474
L343,16000,Debt consolidation,91000,12.88,C,519959,665,0,0,377656
L344,11200,Debt consolidation,70000,8.49,B,390100,685,100,0,336832
L345,21000,Debt consolidation,95000,18.49,D,405225,675,60,0,364710
L346,16000,Credit card refinancing,65000,12.88,C,156092,705,70,0,103228
L347,6000,Debt consolidation,50000,7.91,A,199278,785,0,0,144011
L348,9100,Credit card refinancing,84000,6.49,A,118995,730,28.6,0,84112
L349,10000,Other,60000,6.99,A,363294,710,50,0,278584
L350,28000,Debt consolidation,135000,10.78,B,429857,740,50,0,342398
L351,30000,Other,115000,27.49,G,348717,675,28.6,0,300130
L352,8450,Debt consolidation,37380,11.99,C,20766,670,100,1,6295
L353,8775,Credit card refinancing,75000,22.45,F,87952,660,60,0,65963
L354,6000,Debt consolidation,72000,5.32,A,169626,690,100,0,149763
L355,10000,Debt consolidation,75000,5.32,A,262700,770,0,0,186318
L356,10000,Debt consolidation,128000,15.77,D,136066,685,75,0,83718
L357,7200,Debt consolidation,22000,17.27,D,46500,700,14.3,0,31313
L358,20000,Debt consolidation,75000,14.85,C,424836,705,83.3,0,369878
L359,20000,Debt consolidation,95750,9.17,B,114125,685,0,0,87694
L360,5000,Debt consolidation,130000,5.32,A,748546,720,0,0,686601
L361,15000,Debt consolidation,35179,9.8,B,233839,705,25,0,203650
L362,23950,Credit card refinancing,160000,17.97,D,174051,675,100,1,141658
L363,15000,Debt consolidation,160000,10.78,B,318154,670,0,0,259264
L364,2250,Credit card refinancing,60000,8.49,B,179618,690,50,0,186499
L365,14000,Debt consolidation,40000,13.44,C,70490,670,80,0,31789
L366,14000,Debt consolidation,80000,12.88,C,18500,660,14.3,0,7002
L367,18000,Debt consolidation,83000,7.49,A,268635,700,40,0,218712
L368,12000,Other,72500,5.32,A,381800,745,0,0,349210
L369,5600,Credit card refinancing,46000,10.78,B,261476,660,100,0,253597
L370,35000,Debt consolidation,83000,16.59,D,169692,700,50,0,159887
L371,8000,Other,43500,12.88,C,34321,700,0,1,17589
L372,2400,Debt consolidation,26000,13.44,C,15897,670,,0,11041
L373,35000,Debt consolidation,98000,17.27,D,371902,685,75,0,333930
L374,35000,Credit card refinancing,140000,10.78,B,566628,745,50,0,474040
L375,7000,Other,55000,12.88,C,59970,735,100,0,52076
L376,8000,Debt consolidation,23200,11.99,C,40450,675,37.5,0,17312
L377,6125,Debt consolidation,70000,17.27,D,42956,690,0,0,31704
L378,10400,Debt consolidation,150000,13.44,C,283207,670,55.6,0,252779
L379,30000,Debt consolidation,134000,7.91,A,308556,725,0,0,256121
L380,4000,Debt consolidation,30000,14.85,C,26600,665,50,1,5339
L381,10000,Debt consolidation,125000,10.78,B,459291,685,20,0,382609
L382,16000,Debt consolidation,50000,7.91,A,134618,715,25,0,106144
L383,24000,Home improvement,67000,17.27,D,288950,690,100,0,251690
L384,19225,,56600,26.99,G,44633,710,33.3,0,33946
L385,13000,Home improvement,130000,12.88,C,251012,705,0,0,221561
L386,16800,Debt consolidation,52000,9.17,B,207561,735,100,0,154736
L387,2000,Credit card refinancing,35037,6.49,A,154544,760,0,0,129310
L388,19200,Debt consolidation,50000,5.32,A,42804,690,50,0,25243
L389,10000,Debt consolidation,140000,13.44,C,261697,660,28.6,1,298210
L390,35000,Debt consolidation,165000,7.91,A,153583,710,20,0,81908
L391,15000,Debt consolidation,60000,12.88,C,234987,675,50,1,200590
L392,35000,Debt consolidation,84468,15.77,D,111537,665,40,0,81087
L393,18000,Credit card refinancing,55000,8.49,B,71928,670,33.3,0,52980
L394,8000,Debt consolidation,40000,9.8,B,57095,685,28.6,0,27080
L395,15000,Debt consolidation,50000,12.88,C,118179,805,0,0,96280
