ID,Average current balance ($),Mortgage accounts,Satisfactory accounts,Total current balance ($)
L399,5023,2,26,125585
L400,5086,1,10,50862
L401,23113,7,16,369811
L402,30843,2,4,123372
L403,2726,5,24,62696
L404,41263,4,7,288842
L405,32478,3,12,389737
L406,21145,2,10,190302
L407,46942,3,7,328594
L408,2180,0,12,26155
L409,2659,0,8,21272
L410,528,0,9,4752
L411,10741,0,3,32224
L412,1440,2,10,14395
L413,11569,4,11,127260
L414,2758,0,12,33101
L415,18383,2,13,238974
L416,4340,1,13,56423
L417,21609,1,12,259307
L418,1261,2,5,6303
L419,3468,0,8,27746
L420,5717,0,22,114340
L421,4952,1,14,64382
L422,7771,5,18,139884
L423,5022,1,17,85375
L424,10153,1,21,213212
L425,32362,3,13,420706
L426,1695,5,23,33898
L427,635,0,10,6352
L428,1694,0,13,22026
L429,13210,1,10,132095
L430,20214,4,12,242572
L431,6252,3,24,150054
L432,2657,1,9,21252
L433,1717,0,10,15450
L434,10034,0,10,100336
L435,5274,3,9,47467
L436,16462,4,14,197541
L437,6056,0,7,42392
L438,13614,4,17,231437
L439,25762,1,9,231860
L440,39221,1,13,470657
L441,32383,4,5,161917
L442,6187,0,33,204160
L443,1549,0,17,26347
L444,26129,1,11,287417
L445,11839,4,12,142068
L446,6262,0,9,56358
L447,28481,2,9,227847
L448,8582,2,11,85818
L449,16468,8,12,197622
L450,4227,1,7,29586
L451,4519,1,5,22593
L452,14301,2,12,171617
L453,2823,0,10,25404
L454,21103,5,11,232132
L455,9348,3,11,102832
L456,5794,0,10,46351
L457,9221,1,15,138317
L458,20295,4,9,182657
L459,16018,2,11,176193
L460,1179,2,4,4715
L461,1348,0,13,17527
L462,51342,3,10,462075
L463,3220,0,16,51516
L464,12834,1,17,205345
L465,1450,0,13,18851
L466,7112,0,10,64010
L467,11132,3,16,166975
L468,8142,0,5,40710
L469,3972,5,26,91350
L470,57587,6,16,863809
L471,5225,2,10,52253
L472,12610,7,12,151320
L473,14009,4,10,126079
L474,5438,0,10,54383
L475,6386,0,8,51088
L476,43792,5,10,437916
L477,22679,1,12,249471
L478,24666,2,8,197329
L479,1562,0,12,18745
L480,18833,2,11,188332
L481,31713,4,11,348839
L482,36875,3,17,589998
L483,12429,4,13,161577
L484,2425,0,16,36371
L485,51325,3,6,307949
L486,2249,1,18,38235
L487,12568,5,26,314205
L488,910,0,10,8187
L489,1456,0,26,33480
L490,1257,0,8,8800
L491,6322,2,30,177019
L492,3173,0,24,69813
L493,3681,0,12,44177
L494,4097,0,5,24581
L495,605,0,12,7256
L496,29752,4,10,267768
L497,6209,1,9,43461
L498,28693,2,14,373014
L499,7514,3,12,90166
L500,3194,1,12,38331
