ID,Bankcards at >75% limit (%),Bankruptcies,Derogatory records,Ratio of debt payments to income,Tax liens
L109,0,1,1,15.83,0
L110,50,0,0,8.51,0
L111,0,0,0,15.97,0
L112,0,0,3,14.45,3
L113,25,0,0,6.39,0
L114,0,1,2,13.89,0
L115,40,0,0,26.32,0
L116,33.3,0,1,21.75,1
L117,0,0,0,31.02,0
L118,0,0,0,35.69,0
L119,75,0,0,33.47,0
L120,0,0,0,28.58,0
L121,0,0,0,23.26,0
L122,40,1,1,10.11,0
L123,33.3,0,0,3.3,0
L124,25,0,0,9.57,0
L125,57.1,0,0,28.48,0
L126,66.7,0,0,20.45,0
L127,50,0,0,17.64,0
L128,57.1,0,0,29.92,0
L129,100,0,0,17.02,0
L130,25,0,0,23.26,0
L131,100,0,0,21.96,0
L132,11.1,0,1,36.94,1
L133,33.3,0,0,31.68,0
L134,100,0,0,24.16,0
L135,0,0,0,20.61,0
L136,30,0,0,32.3,0
L137,75,0,0,19.59,0
L138,42.9,0,0,24.19,0
L139,28.6,0,1,28.38,1
L140,50,0,0,13.83,0
L141,0,0,0,35.52,0
L142,0,0,0,38.06,0
L143,0,0,0,14.86,0
L144,50,0,0,27.1,0
L145,0,0,0,13.39,0
L146,0,0,0,10.67,0
L147,75,0,0,8.78,0
L148,50,2,2,26.13,0
L149,66.7,1,1,37.2,0
L150,50,0,0,35.19,0
L151,0,0,0,21.63,0
L152,50,0,0,27.95,0
L153,0,0,0,29.91,0
L154,0,0,0,17.92,0
L155,100,0,0,15.37,0
L156,66.7,0,0,13.36,0
L157,57.1,0,0,21.21,0
L158,22.2,0,0,38.65,0
L159,0,0,0,11.52,0
L160,100,0,0,13.74,0
L161,66.7,0,0,15.56,0
L162,75,0,0,25.07,0
L163,0,0,0,20.25,0
L164,40,0,0,19.85,0
L165,100,0,0,17.09,0
L166,42.9,1,1,11.75,0
L167,50,0,0,16.85,0
L168,0,0,0,12.9,0
L169,100,0,0,20.67,0
L170,28.6,0,0,22.62,0
L171,75,0,0,32.7,0
L172,0,0,0,15.56,0
L173,0,0,0,15.07,0
L174,0,0,1,15.39,1
L175,33.3,0,0,10.03,0
L176,0,0,0,27.9,0
L177,0,0,0,15.15,0
L178,33.3,0,2,9.16,0
L179,0,0,0,8.39,0
L180,60,0,0,31.57,0
L181,100,0,0,6.83,0
L182,100,0,0,18.99,0
L183,0,0,0,10.97,0
L184,75,0,0,24.83,0
L185,0,0,0,19.24,0
L186,100,0,1,6.97,0
L187,0,0,0,6.73,0
L188,40,0,0,22.8,0
L189,100,0,0,18.19,0
L190,100,0,0,34.44,0
L191,0,0,0,31.06,0
L192,5.3,0,0,24.11,0
L193,33.3,0,0,26.45,0
L194,75,0,0,30.73,0
L195,16.7,0,0,12.09,0
L196,50,0,0,17.11,0
L197,0,0,0,25.01,0
L198,50,0,0,13.74,0
L199,0,0,0,6.78,0
L200,16.7,0,0,14.45,0
L201,80,1,3,17.97,2
L202,0,0,0,32.3,0
L203,100,0,0,26.89,0
L204,16.7,0,0,3.98,0
L205,100,0,0,26.83,0
L206,0,1,1,36.3,0
L207,12.5,1,1,37.55,0
L208,0,0,0,14.86,0
L209,50,0,0,14.61,0
L210,25,0,0,22.22,0
L211,50,0,0,7.23,0
L212,100,0,1,13.33,0
L213,14.3,0,0,14.53,0
L214,71.4,0,0,12.69,0
L215,66.7,0,0,20.16,0
L216,60,0,0,36.98,0
L217,45.5,0,0,14.68,0
L218,50,0,0,17.07,0
L219,33.3,0,0,19.56,0
L220,0,0,0,14.35,0
L221,42.9,0,0,10.14,0
L222,37.5,1,1,35.93,0
L223,22.2,0,0,25.56,0
L224,75,0,0,17.65,0
L225,0,0,0,12.77,0
L226,100,0,0,29.45,0
L227,100,0,0,14.48,0
L228,66.7,1,1,16.65,0
L229,100,0,0,12.66,0
L230,50,0,0,25.43,0
L231,0,0,0,18.92,0
L232,0,0,0,10.55,0
L233,100,0,0,15.65,0
L234,66.7,0,0,19.43,0
L235,0,0,0,10.88,0
L236,0,1,1,16.96,0
L237,0,0,0,33.78,0
L238,50,1,1,29.28,0
L239,100,0,0,19.38,0
L240,0,0,0,12.03,0
L241,25,0,0,15.45,0
L242,100,1,1,4.76,0
L243,33.3,0,0,22.82,0
L244,0,0,0,19.04,0
L245,75,0,0,23.53,0
L246,0,0,0,14.4,0
L247,16.7,0,1,21.21,0
L248,40,1,1,21.16,0
L249,0,0,0,6.2,0
L250,100,0,0,16.74,0
L251,0,0,0,4.99,0
L252,33.3,0,0,17.18,0
L253,25,0,0,14.88,0
L254,100,1,1,33.39,0
L255,,0,0,34.07,0
L256,50,0,0,14.42,0
L257,20,1,1,12.62,0
L258,25,0,0,9.9,0
L259,100,0,0,20.38,0
L260,0,1,1,8.36,0
L261,60,0,0,16.32,0
L262,25,0,1,9.53,1
L263,100,0,0,25.1,0
L264,66.7,0,0,23.26,0
L265,50,0,0,29.14,0
L266,100,0,0,12.37,0
L267,66.7,0,2,8.62,0
L268,33.3,0,0,8,0
L269,0,0,1,5.76,0
L270,0,0,0,10.95,0
L271,100,0,0,22.34,0
L272,44.4,0,0,29.88,0
L273,0,0,0,20.68,0
L274,60,0,0,38.35,0
L275,25,0,0,29.2,0
L276,0,0,0,31.08,0
L277,66.7,0,0,10.93,0
L278,60,0,0,24.14,0
L279,0,0,0,21.48,0
L280,0,0,0,27.37,0
L281,60,0,0,22.58,0
L282,42.9,1,1,21.32,0
L283,66.7,0,0,12.96,0
L284,0,0,0,21.17,0
L285,50,0,0,21.22,0
L286,0,0,0,3.61,0
L287,42.9,0,0,6.68,0
L288,0,0,0,19.22,0
L289,33.3,0,0,30.24,0
L290,0,0,0,10.55,0
L291,57.1,1,1,13.05,0
L292,87.5,0,0,23.89,0
L293,0,0,0,20.82,0
L294,100,0,0,12.74,0
L295,0,1,1,8.67,0
L296,100,0,0,16.7,0
L297,57.1,0,0,26.54,0
L298,44.4,0,0,26.92,0
L299,11.1,0,0,16.93,0
L300,100,0,0,20.46,0
L301,0,0,0,20.12,0
L302,50,1,1,14.73,0
L303,0,0,0,18.91,0
L304,50,0,0,6.4,0
L305,0,1,1,2.87,0
L306,33.3,0,0,34.32,0
L307,22.2,1,1,9.23,0
L308,85.7,0,0,15.82,0
L309,50,0,0,31.29,0
L310,42.9,0,0,26.38,0
L311,0,0,0,25.48,0
L312,66.7,0,0,13.36,0
L313,33.3,1,1,22.09,0
L314,0,0,0,17.64,0
L315,33.3,1,1,13.63,0
L316,0,1,3,17.66,2
L317,16.7,0,0,12.61,0
L318,0,0,0,4.66,0
L319,,0,0,25.6,0
L320,100,0,0,16.82,0
L321,14.3,1,1,19.76,0
L322,0,1,1,21.33,0
L323,25,0,0,13.92,0
L324,33.3,1,1,18.93,0
L325,0,0,0,20.68,0
L326,33.3,1,1,31.36,0
L327,0,0,0,35.77,0
L328,50,0,0,25.68,0
L329,100,0,0,36.52,0
L330,0,0,0,18.93,0
L331,25,0,0,5.9,0
L332,10,0,0,22.84,0
L333,40,0,0,37.32,0
L334,25,0,0,10.51,0
L335,0,0,0,20.81,0
L336,30.8,1,2,26.77,1
L337,0,0,0,23.57,0
L338,25,0,0,17.27,0
L339,0,0,0,0.63,0
L340,12.5,0,0,31.87,0
L341,100,0,0,13.32,0
L342,100,0,0,6.52,0
L343,0,0,0,11.78,0
L344,100,0,0,15.88,0
L345,60,0,0,34.84,0
L346,70,0,0,39.56,0
L347,0,0,0,19.42,0
L348,28.6,0,0,15.57,0
L349,50,0,0,29.15,0
L350,50,0,0,26.15,0
L351,28.6,0,0,17.73,0
L352,100,1,1,15.09,0
L353,60,0,1,20.37,1
L354,100,0,0,17.08,0
L355,0,0,0,5.17,0
L356,75,0,0,36.23,0
L357,14.3,0,0,38.63,0
L358,83.3,0,0,18.76,0
L359,0,0,0,19.14,0
L360,0,0,0,10.44,0
L361,25,0,0,23.47,0
L362,100,1,1,18.41,0
L363,0,0,0,24.79,0
L364,50,0,1,16.88,1
L365,80,0,0,37.39,0
L366,14.3,0,0,5.04,0
L367,40,0,0,7.93,0
L368,0,0,0,2.71,0
L369,100,0,0,13.18,0
L370,50,0,0,25.52,0
L371,0,1,1,22.48,0
L372,,0,0,16.39,0
L373,75,0,0,19.74,0
L374,50,0,0,16.46,0
L375,100,0,0,37.22,0
L376,37.5,0,0,33.78,0
L377,0,0,1,17.36,1
L378,55.6,0,0,18.51,0
L379,0,0,0,17.1,0
L380,50,1,1,8.18,0
L381,20,0,0,19.92,0
L382,25,0,0,24.41,0
L383,100,0,1,29.07,1
L384,33.3,0,1,18.21,1
L385,0,0,0,5.51,0
L386,100,0,0,28.96,0
L387,0,0,0,8.51,0
L388,50,0,1,19.24,1
L389,28.6,1,1,9.99,0
L390,20,0,1,18.89,0
L391,50,1,1,36.4,0
L392,40,0,0,16.85,0
L393,33.3,0,0,27.17,0
L394,28.6,0,1,25.15,1
L395,0,0,0,30.08,0
L396,0,0,0,7.04,0
L397,66.7,0,0,14.98,0
L398,0,0,0,12.13,0
L399,100,0,1,23.98,0
L400,20,0,0,29.22,0
L401,33.3,1,1,29.91,0
L402,100,0,0,15.15,0
L403,0,0,0,29.75,0
L404,40,0,0,5.73,0
L405,100,0,0,21.59,0
L406,0,1,1,18.45,0
L407,50,0,0,23.96,0
L408,25,0,0,13.92,0
L409,0,0,0,23.23,0
L410,0,1,1,2.8,0
L411,66.7,0,0,12.51,0
L412,0,1,1,14.79,0
L413,50,0,0,33.75,0
L414,80,0,0,31.62,0
L415,0,0,0,23.98,0
L416,100,0,0,16.7,0
L417,25,0,0,18.34,0
L418,66.7,0,0,18.6,0
L419,0,0,0,20.37,0
L420,22.2,0,0,37.26,0
L421,0,0,0,16.95,0
L422,40,0,0,27.58,0
L423,0,0,0,11.19,0
L424,25,0,0,22.42,0
L425,100,0,0,26.9,0
L426,22.2,0,0,13.54,0
L427,66.7,0,0,10.12,0
L428,75,0,0,10.17,0
L429,100,0,0,17.42,0
L430,0,0,0,16.86,0
L431,21.4,0,0,21.05,0
L432,100,1,1,15.6,0
L433,25,1,1,12.2,0
L434,0,0,0,26.32,0
L435,50,1,1,15.56,0
L436,0,0,0,14.76,0
L437,0,1,1,25.98,0
L438,12.5,0,0,12.25,0
L439,100,0,0,17.56,0
L440,12.5,0,0,15.82,0
L441,100,0,0,10.17,0
L442,0,0,0,25.31,0
L443,11.1,1,1,25.3,0
L444,33.3,0,0,19.96,0
L445,33.3,0,0,23.27,0
L446,0,1,1,29.15,0
L447,40,0,0,12.18,0
L448,50,0,0,18.54,0
L449,50,0,0,19.13,0
L450,75,0,1,14.52,0
L451,50,0,0,16.98,0
L452,33.3,0,0,17.19,0
L453,0,1,1,24.49,0
L454,50,0,0,22.64,0
L455,100,0,0,28.73,0
L456,50,0,0,18.69,0
L457,33.3,0,0,25.38,0
L458,25,0,0,29.56,0
L459,0,0,0,23.76,0
L460,0,0,0,11.86,0
L461,0,0,0,19.18,0
L462,50,0,1,13.32,0
L463,66.7,0,0,29.37,0
L464,10,0,0,21.3,0
L465,50,0,0,16.1,0
L466,40,0,0,12.07,0
L467,0,0,0,20.04,0
L468,0,0,0,25.65,0
L469,30,0,0,15.54,0
L470,37.5,0,0,23.69,0
L471,0,0,0,5.71,0
L472,0,0,0,24.15,0
L473,25,1,1,22.57,0
L474,0,0,0,20.73,0
L475,100,0,0,26.88,0
L476,100,0,0,14.95,0
L477,20,0,0,11.52,0
L478,0,0,0,15.05,0
L479,85.7,1,1,20.54,0
L480,66.7,0,0,18.46,0
L481,33.3,0,0,8.75,0
L482,25,0,0,22.47,0
L483,50,0,0,14.39,0
L484,100,1,1,18.56,0
L485,100,0,2,14.21,0
L486,22.2,0,0,14.47,0
L487,10,0,0,24.86,0
L488,50,0,0,11.07,0
L489,0,0,0,37.56,0
L490,71.4,0,0,5.7,0
L491,0,0,0,22.29,0
L492,57.1,1,1,13.58,0
L493,0,0,0,14.33,0
L494,50,0,0,19.39,0
L495,0,0,0,2.56,0
L496,66.7,0,0,38.05,0
L497,66.7,0,0,15.77,0
L498,33.3,0,0,20.04,0
L499,0,0,0,21.96,0
L500,12.5,0,0,33.54,0
