ID,Control,Highest degree offered,Admission rate (%),Tuition and fees 2013-14 ($),Geographic region,Total enrollment,4-year graduation rate (%),ACT Composite score (25th percentile),Receiving financial aid (%)
C0028,Private,Doctoral degree,58,8509,Plains,1100,11,19,93
C0029,Public,Doctoral degree,65,22590,Plains,1926,19,,100
C0030,Public,Doctoral degree,65,8401,Mid East,2291,,29,87
C0031,Public,Master's degree,79,23520,Southeast,20161,48,21,100
C0032,Private,Doctoral degree,22,25532,Mid East,1328,45,20,100
C0033,Private,Bachelor's degree,9,33230,Great Lakes,1077,61,24,99
C0034,Public,Doctoral degree,49,24790,Mid East,23003,71,,100
C0035,Public,Doctoral degree,76,8800,Southeast,2877,39,28,
C0036,Private,Master's degree,81,11767,Southwest,49317,9,24,82
C0037,Public,Doctoral degree,76,5315,Southeast,4861,35,,96
C0038,Private,Master's degree,72,5035,Mid East,1478,6,25,91
C0039,Private,Doctoral degree,65,23400,New England,29850,39,,100
C0040,Private,Bachelor's degree,85,14930,Southwest,1542,54,19,57
C0041,Public,Doctoral degree,54,8144,Southeast,1549,31,18,61
C0042,Private,Bachelor's degree,55,8863,Southwest,725,46,,73
C0043,Private,Bachelor's degree,58,17890,Southeast,2453,21,18,85
C0044,Public,Doctoral degree,74,36660,Southeast,1701,46,18,99
C0045,Public,Doctoral degree,,7660,Mid East,5368,8,13,88
C0046,Public,Doctoral degree,77,22792,Southwest,2533,59,,79
C0047,Public,Master's degree,,46713,Great Lakes,10107,70,17,84
C0048,Public,Master's degree,36,6030,Rocky Mountains,1305,14,17,81
C0049,Public,Doctoral degree,60,44742,New England,2435,14,,81
C0050,Private,Bachelor's degree,70,,Southeast,2149,29,20,
C0051,Private,Doctoral degree,,21630,Mid East,4201,65,18,99
C0052,Public,Master's degree,69,31350,Mid East,31186,35,,93
C0053,Private,Master's degree,49,33020,Far West,1140,,20,100
C0054,Private,Master's degree,94,9499,Mid East,11619,25,19,92
C0055,Private,Bachelor's degree,85,31260,Great Lakes,1067,60,19,100
C0056,Private,Bachelor's degree,51,44880,Far West,12109,5,,62
C0057,Private,Bachelor's degree,67,5246,Southeast,23881,54,19,83
C0058,Private,Bachelor's degree,62,27728,Plains,657,70,,100
C0059,Public,Master's degree,,44008,Plains,24473,88,,53
C0060,Public,Bachelor's degree,80,29103,Mid East,6122,36,20,100
C0061,Private,Doctoral degree,51,6948,Mid East,710,69,14,91
C0062,Private,Doctoral degree,68,34835,Great Lakes,3181,52,17,88
C0063,Private,Doctoral degree,63,11455,Far West,532,20,33,73
C0064,Private,Master's degree,58,20540,Great Lakes,4880,56,20,96
C0065,Private,Doctoral degree,22,13895,Great Lakes,4561,67,19,77
C0066,Private,Doctoral degree,65,14800,Mid East,2154,28,25,93
C0067,Public,Master's degree,,8806,Southeast,26571,35,22,96
C0068,Private,Doctoral degree,69,20730,Great Lakes,2058,8,19,99
C0069,Public,Master's degree,67,23964,Mid East,888,39,,100
C0070,Public,Doctoral degree,,41110,Plains,4157,44,,77
C0071,Public,Doctoral degree,70,12048,Plains,31899,35,23,100
C0072,Public,Doctoral degree,84,,Southeast,7144,49,21,
C0073,Public,Master's degree,49,22770,Great Lakes,17497,25,18,98
C0074,Public,Master's degree,37,12842,Great Lakes,1933,,21,100
C0075,Public,Doctoral degree,47,12096,Southeast,1716,32,19,41
C0076,Public,Doctoral degree,53,19490,Plains,1668,39,20,87
C0077,Public,Doctoral degree,58,21285,Great Lakes,10929,46,,91
C0078,Public,Doctoral degree,93,38200,Plains,2714,,19,99
C0079,Public,Doctoral degree,77,21050,Southeast,482,60,18,100
C0080,Public,Doctoral degree,61,24150,Mid East,6518,54,21,100
C0081,Public,Doctoral degree,55,22484,Mid East,2933,22,20,100
C0082,Public,Doctoral degree,47,23300,Mid East,2603,10,30,100
C0083,Public,Doctoral degree,38,45372,Southeast,5898,8,17,89
C0084,Public,Doctoral degree,21,6071,Mid East,1334,24,26,89
C0085,Public,Doctoral degree,82,7044,Mid East,904,46,19,99
C0086,Public,Doctoral degree,36,37348,Southwest,3608,30,21,99
C0087,Public,Doctoral degree,61,28950,Great Lakes,1675,16,22,98
C0088,Public,Doctoral degree,,27492,Great Lakes,3764,50,19,99
C0089,Public,Doctoral degree,65,10355,New England,1144,47,,84
C0090,Public,Bachelor's degree,97,7092,Plains,2068,17,16,93
C0091,Private,Doctoral degree,68,30310,Southeast,2125,49,20,100
C0092,Private,Master's degree,73,26430,Mid East,8685,87,23,97
C0093,Private,Bachelor's degree,60,41680,Plains,4340,37,26,99
C0094,Private,Doctoral degree,,6300,Great Lakes,3129,38,23,100
C0095,Private,Master's degree,91,10864,Mid East,684,13,17,84
C0096,Private,Master's degree,78,6390,Southeast,4785,11,,95
C0097,Private,Master's degree,46,6583,Mid East,11929,33,18,93
C0098,Private,Doctoral degree,70,47890,Southeast,2953,60,,71
C0099,Private,Master's degree,72,11220,Southeast,29748,24,18,92
C0100,Private,Doctoral degree,37,25470,New England,1635,47,22,100
C0101,Private,Bachelor's degree,75,11094,Far West,2421,23,15,89
C0102,Private,Master's degree,78,22080,Great Lakes,2081,35,19,100
C0103,Public,Master's degree,43,30990,Plains,3274,14,17,98
C0104,Private,Doctoral degree,73,22070,Southeast,17901,40,20,100
C0105,Private,Doctoral degree,92,7327,Mid East,1422,36,19,94
C0106,Private,Master's degree,72,17100,Mid East,662,81,,76
C0107,Private,Doctoral degree,61,7022,Southeast,7850,6,19,87
C0108,Private,Doctoral degree,66,10286,Great Lakes,2055,15,19,96
C0109,Private,Doctoral degree,67,23021,New England,1678,21,17,99
C0110,Private,Doctoral degree,,46085,Southwest,2390,13,,53
C0111,Private,Doctoral degree,41,20470,New England,3153,14,19,100
C0112,Private,Bachelor's degree,,27672,Southeast,20918,60,27,100
C0113,Private,Doctoral degree,71,16992,Southeast,21271,24,20,68
C0114,Private,Master's degree,64,,Mid East,3105,,,
C0115,Private,Doctoral degree,36,27954,Mid East,11865,4,,100
C0116,Private,Doctoral degree,45,5422,Southwest,2346,59,22,95
C0117,Private,Master's degree,45,5785,New England,41368,14,22,95
C0118,Private,Master's degree,58,13800,New England,5568,,22,88
C0119,Private,Master's degree,,23800,Mid East,11778,23,17,100
C0120,Private,Master's degree,82,7557,Far West,8883,39,22,85
C0121,Private,Doctoral degree,49,10110,Southeast,41428,42,21,93
C0122,Private,Doctoral degree,64,18256,Mid East,5270,54,30,100
C0123,Private,Bachelor's degree,,30300,Great Lakes,2963,13,21,100
C0124,Private,Master's degree,71,22330,Southeast,20169,24,19,99
C0125,Private,Bachelor's degree,89,24350,Southwest,902,50,26,98
C0126,Private,Doctoral degree,63,5786,Southwest,10872,31,18,97
C0127,Public,Doctoral degree,6,10008,Southeast,22499,20,21,95
C0128,Private,Doctoral degree,50,5173,Southeast,2203,28,,90
C0129,Public,Doctoral degree,46,26550,Southeast,1136,20,16,100
C0130,Private,Doctoral degree,96,5578,Southeast,28435,86,19,98
C0131,Public,Master's degree,72,,New England,2966,34,20,
C0132,Private,Doctoral degree,70,15010,New England,7578,67,19,98
C0133,Private,Bachelor's degree,62,7575,New England,3534,20,18,97
C0134,Private,Master's degree,42,46094,Great Lakes,15718,41,22,72
C0135,Private,Doctoral degree,67,18506,Southeast,673,74,21,99
C0136,Public,Master's degree,66,7249,Rocky Mountains,2565,39,29,94
C0137,Private,Master's degree,70,46296,Mid East,10130,13,,75
C0138,Private,Doctoral degree,83,28720,Southeast,806,22,15,100
C0139,Private,Bachelor's degree,69,41450,New England,27692,54,17,97
C0140,Private,Bachelor's degree,59,25220,Mid East,1553,18,,100
C0141,Private,Doctoral degree,53,23332,Mid East,4114,29,21,100
C0142,Private,Master's degree,51,13608,Mid East,18974,60,20,86
C0143,Public,Master's degree,81,43500,Southeast,9661,32,,91
C0144,Public,Doctoral degree,,6876,Southeast,949,0,32,99
C0145,Public,Doctoral degree,64,14096,Mid East,6177,21,23,95
C0146,Public,Doctoral degree,,6108,New England,2188,68,,77
C0147,Private,Master's degree,38,41460,Southwest,9788,100,18,86
C0148,Private,Master's degree,82,11966,New England,1222,20,20,80
C0149,Public,Doctoral degree,,32192,Far West,3966,56,20,98
C0150,Public,Doctoral degree,90,11940,Southeast,7645,83,20,93
C0151,Private,Bachelor's degree,91,46370,Southeast,2391,27,21,75
C0152,Private,Doctoral degree,71,20200,Mid East,4921,0,,100
C0153,Public,Master's degree,12,17750,Southwest,1209,18,27,100
C0154,Public,Doctoral degree,51,12450,Southeast,843,7,,91
C0155,Public,Master's degree,80,20480,Far West,2129,26,25,97
C0156,Private,Master's degree,55,12327,Southwest,27642,26,21,79
C0157,Public,Doctoral degree,73,44272,Rocky Mountains,1804,34,,72
C0158,Private,Doctoral degree,43,22740,Southeast,991,28,22,100
C0159,Public,Master's degree,84,6256,Southeast,1534,48,,91
C0160,Public,Master's degree,53,39890,Plains,24581,34,21,91
C0161,Private,Master's degree,49,11092,Southeast,1543,73,20,75
C0162,Private,Doctoral degree,57,21320,New England,1430,29,19,100
C0163,Public,Doctoral degree,64,20960,Far West,870,80,23,97
C0164,Public,Bachelor's degree,,,Plains,162,54,,
C0165,Private,Master's degree,,39015,Southeast,1380,57,20,99
C0166,Public,Doctoral degree,83,41250,Far West,5428,78,18,96
C0167,Public,Master's degree,,24950,Southeast,8293,62,,100
C0168,Private,Doctoral degree,31,13054,Far West,29905,20,22,91
C0169,Private,Master's degree,68,27456,Southeast,13441,25,23,100
C0170,Private,Doctoral degree,,29315,Southeast,32017,24,19,99
C0171,Private,Bachelor's degree,66,22390,Southeast,2750,15,23,100
C0172,Private,Doctoral degree,88,4984,Southwest,4656,15,19,83
C0173,Private,Doctoral degree,74,29250,Plains,1677,50,,99
C0174,Private,Doctoral degree,85,19770,Plains,1761,7,,93
C0175,Private,Doctoral degree,96,23350,Southwest,1174,89,,99
C0176,Public,Doctoral degree,32,23800,Southeast,1658,15,19,99
C0177,Private,Master's degree,70,6507,Great Lakes,1086,69,18,95
C0178,Private,Doctoral degree,,5085,Plains,3784,52,,91
C0179,Public,Doctoral degree,40,8040,Southeast,28811,19,20,79
C0180,Private,Doctoral degree,78,5614,Plains,52059,25,,96
C0181,Public,Doctoral degree,72,,Plains,2173,8,23,
C0182,Public,Doctoral degree,62,22090,Southeast,444,54,,100
C0183,Private,Master's degree,91,6024,New England,3307,35,18,99
C0184,Private,Doctoral degree,83,20780,Rocky Mountains,1797,77,20,94
C0185,Private,Doctoral degree,58,10286,Southeast,7548,48,16,90
C0186,Private,Doctoral degree,65,49138,Far West,1112,54,18,57
C0187,Public,Master's degree,68,13525,New England,1090,42,,71
C0188,Private,Doctoral degree,52,9666,Southeast,3114,59,21,86
C0189,Private,Doctoral degree,69,5138,Southeast,2658,87,18,86
C0190,Private,Doctoral degree,97,27546,Plains,28260,14,18,100
C0191,Private,Doctoral degree,64,37234,Southeast,474,43,,89
C0192,Private,Master's degree,100,26420,Far West,2596,37,25,97
C0193,Private,Doctoral degree,56,8673,New England,10297,28,19,95
C0194,Private,Master's degree,52,22891,Southeast,1100,0,,95
C0195,Private,Doctoral degree,59,14050,Great Lakes,890,75,24,88
C0196,Private,Doctoral degree,90,9776,New England,6485,70,23,98
C0197,Public,Doctoral degree,52,6384,Southeast,959,66,19,96
C0198,Private,Master's degree,63,45080,Far West,11015,59,19,95
C0199,Private,Bachelor's degree,75,28210,Southeast,2677,16,23,100
C0200,Private,Bachelor's degree,63,32284,Southeast,5644,14,21,100
C0201,Private,Doctoral degree,73,31290,New England,1433,33,29,100
C0202,Public,Doctoral degree,58,7510,Great Lakes,1333,32,,95
C0203,Public,Doctoral degree,40,28000,Southeast,13621,9,20,99
C0204,Private,Bachelor's degree,61,7490,Mid East,1577,45,19,98
C0205,Private,Bachelor's degree,84,7602,Far West,2246,2,,86
C0206,Private,Doctoral degree,60,19665,Southeast,10301,100,23,100
C0207,Public,Doctoral degree,87,25800,Southeast,2542,28,22,100
C0208,Private,Master's degree,95,26934,Far West,3463,36,19,100
C0209,Private,Master's degree,59,29100,Southeast,378,65,,100
C0210,Public,Doctoral degree,64,25046,Far West,3255,33,,98
C0211,Public,Doctoral degree,72,7517,Far West,2730,67,20,75
C0212,Private,Doctoral degree,42,7336,Southeast,15263,1,21,97
C0213,Private,Bachelor's degree,44,35725,New England,2732,16,,92
C0214,Private,Doctoral degree,65,29800,Far West,2776,48,,97
C0215,Private,Master's degree,,,Mid East,6532,35,19,
C0216,Private,Doctoral degree,72,33000,Southeast,4004,28,20,100
C0217,Private,Bachelor's degree,80,44222,New England,479,55,21,53
C0218,Public,Doctoral degree,33,8866,New England,3712,53,18,86
C0219,Private,Doctoral degree,73,17211,Mid East,5149,19,18,96
C0220,Private,Doctoral degree,92,6491,Far West,1178,16,19,82
C0221,Private,Doctoral degree,49,34740,Mid East,2489,17,19,99
C0222,Private,Doctoral degree,67,22508,Great Lakes,2036,42,19,98
C0223,Public,Bachelor's degree,89,7500,Great Lakes,3458,30,21,89
C0224,Public,Doctoral degree,96,25520,Mid East,3026,36,21,100
C0225,Private,Doctoral degree,30,6870,Southeast,4021,40,22,100
C0226,Private,Doctoral degree,67,6070,Plains,4604,48,,100
C0227,Private,Master's degree,73,5376,New England,39557,16,,93
C0228,Private,Master's degree,78,17040,Mid East,4665,17,16,87
C0229,Private,Master's degree,85,11340,Southeast,2629,45,16,69
C0230,Private,Master's degree,47,45625,Far West,4295,66,29,53
C0231,Public,Doctoral degree,,45314,Southeast,1082,34,23,45
C0232,Private,Bachelor's degree,93,7457,Southeast,973,53,17,64
C0233,Public,Master's degree,57,8040,Mid East,1711,4,21,88
C0234,Public,Doctoral degree,53,4429,Southeast,4578,25,27,97
C0235,Private,Bachelor's degree,76,5153,Mid East,3275,33,20,94
C0236,Private,Doctoral degree,,30596,Plains,804,21,21,96
C0237,Private,Master's degree,44,26094,Southeast,1946,48,18,100
C0238,Private,Doctoral degree,94,35062,Far West,77338,32,19,99
C0239,Private,Bachelor's degree,42,45388,Mid East,1341,41,19,81
C0240,Public,Master's degree,74,8342,Southeast,1014,76,20,75
C0241,Public,Doctoral degree,63,35573,Mid East,1935,79,,96
C0242,Private,Master's degree,52,31126,Great Lakes,2840,28,18,100
C0243,Public,Bachelor's degree,15,32482,Great Lakes,5977,53,21,98
C0244,Private,Bachelor's degree,27,6562,Southeast,8093,38,20,94
C0245,Private,Doctoral degree,57,28800,Southeast,2111,30,22,99
C0246,Public,Master's degree,48,15620,Mid East,8377,24,,95
C0247,Public,Doctoral degree,57,6649,Mid East,2222,19,25,73
C0248,Public,Master's degree,72,7127,Great Lakes,375,20,24,89
C0249,Public,Doctoral degree,70,40649,Southeast,28998,11,21,80
C0250,Public,Doctoral degree,58,28390,Mid East,2927,33,19,93
C0251,Public,Doctoral degree,64,24579,Mid East,22752,14,19,100
C0252,Public,Doctoral degree,56,6524,Plains,15048,58,20,91
C0253,Public,Doctoral degree,38,6764,Plains,46817,89,22,97
C0254,Private,Master's degree,38,26540,Great Lakes,2910,36,,100
C0255,Private,Doctoral degree,67,9192,Southeast,684,61,19,94
C0256,Private,Doctoral degree,62,36012,Mid East,3841,85,19,98
C0257,Private,Bachelor's degree,59,17500,Mid East,1486,53,,89
C0258,Public,Doctoral degree,84,42755,Mid East,2919,82,23,91
C0259,Private,Master's degree,86,15718,Great Lakes,3525,59,19,94
C0260,Private,Bachelor's degree,,45426,Great Lakes,11091,70,19,57
C0261,Private,Doctoral degree,50,26076,Southeast,2307,,21,99
C0262,Private,Master's degree,54,28850,Great Lakes,3583,9,21,100
C0263,Public,Master's degree,,6350,Mid East,651,35,20,68
C0264,Private,Master's degree,61,26820,Far West,3882,83,31,99
C0265,Private,Bachelor's degree,65,25890,Southwest,9134,12,,100
C0266,Public,Master's degree,77,31527,New England,33111,38,21,86
C0267,Private,Master's degree,89,23718,Mid East,3082,41,21,100
C0268,Private,Bachelor's degree,55,19650,Great Lakes,2012,31,18,100
C0269,Private,Bachelor's degree,88,31424,Far West,662,15,19,100
C0270,Public,Doctoral degree,75,26250,Plains,25670,40,18,99
C0271,Private,Master's degree,62,32520,Mid East,2524,32,21,100
C0272,Public,Doctoral degree,74,9356,Mid East,2367,25,20,84
C0273,Private,Master's degree,46,26720,Mid East,10978,17,27,100
C0274,Public,Doctoral degree,60,46269,Southwest,4042,25,,95
C0275,Public,Doctoral degree,76,15995,Great Lakes,1173,32,21,95
C0276,Private,Master's degree,94,5906,Far West,8645,17,18,91
C0277,Public,Bachelor's degree,66,7172,Rocky Mountains,3048,50,21,74
C0278,Public,Doctoral degree,,35900,Great Lakes,2277,26,22,100
C0279,Public,Doctoral degree,80,20768,New England,5017,10,,95
C0280,Public,Doctoral degree,74,27800,Mid East,986,81,21,100
C0281,Private,Master's degree,72,39316,Southwest,17343,24,,99
C0282,Public,Bachelor's degree,85,21890,Plains,1357,22,,100
C0283,Private,Doctoral degree,38,7665,Great Lakes,36198,21,22,90
C0284,Private,Bachelor's degree,88,40707,Mid East,3952,10,21,85
C0285,Private,Bachelor's degree,77,8022,Southeast,26968,67,23,93
C0286,Private,Doctoral degree,60,16610,Mid East,366,0,,100
C0287,Private,Bachelor's degree,76,13746,Southeast,2615,6,19,70
C0288,Private,Doctoral degree,85,21800,Mid East,1481,33,,95
C0289,Public,Doctoral degree,74,28810,Great Lakes,3800,23,20,100
C0290,Private,Doctoral degree,,35800,Southeast,1133,27,,98
C0291,Private,Master's degree,69,34850,Far West,3305,11,19,100
C0292,Private,Doctoral degree,55,22290,New England,243,21,16,99
C0293,Private,Doctoral degree,61,22252,New England,5020,31,,100
C0294,Private,Bachelor's degree,72,6158,Southeast,2477,55,19,71
C0295,Public,Master's degree,75,7024,New England,350,37,23,76
C0296,Private,Master's degree,60,7140,New England,16356,24,15,94
C0297,Private,Bachelor's degree,100,26650,Southeast,1788,4,19,97
C0298,Public,Doctoral degree,89,33020,New England,12525,30,24,97
C0299,Private,Master's degree,35,30000,New England,2061,63,26,98
C0300,Public,Doctoral degree,83,18494,Southeast,291,46,,100
C0301,Private,Doctoral degree,33,46380,Plains,2415,31,,41
C0302,Public,Doctoral degree,85,35820,Mid East,18207,80,16,98
C0303,Private,Bachelor's degree,76,28350,Great Lakes,3492,33,15,99
C0304,Private,Master's degree,,9861,Southeast,943,54,26,91
C0305,Private,Doctoral degree,71,35730,New England,34009,38,17,72
C0306,Public,Doctoral degree,43,25040,Southeast,3002,83,19,99
C0307,Private,Doctoral degree,13,,Southeast,4890,9,,
C0308,Private,Bachelor's degree,78,12862,Great Lakes,2097,64,17,63
C0309,Private,Master's degree,67,29426,Mid East,992,23,15,96
C0310,Private,Doctoral degree,94,8720,Mid East,9676,61,22,93
C0311,Private,Bachelor's degree,77,13354,Mid East,1972,,15,95
C0312,Private,Doctoral degree,49,7838,Far West,2970,27,16,95
C0313,Private,Bachelor's degree,90,9816,New England,1169,43,20,91
C0314,Private,Doctoral degree,63,41928,New England,1561,50,20,90
C0315,Private,Doctoral degree,60,13750,Far West,2251,66,16,100
C0316,Private,Bachelor's degree,,34368,Plains,18346,31,24,94
C0317,Private,Doctoral degree,52,35700,Plains,10240,,,100
C0318,Private,Master's degree,46,12002,Plains,17964,32,18,79
C0319,Private,Doctoral degree,33,45622,Mid East,347,73,24,59
C0320,Public,Doctoral degree,56,30780,Southwest,5011,86,25,97
C0321,Private,Doctoral degree,67,26710,Mid East,4954,31,13,100
C0322,Public,Master's degree,74,31385,New England,19703,4,21,100
C0323,Private,Doctoral degree,57,26050,Southeast,8748,20,19,98
C0324,Private,Master's degree,68,31000,New England,12938,3,16,100
C0325,Private,Master's degree,,17010,Mid East,1023,15,,98
C0326,Private,Master's degree,42,37352,Southeast,17849,19,23,100
C0327,Private,Doctoral degree,71,17724,New England,2245,68,18,100
C0328,Private,Doctoral degree,86,9760,Great Lakes,5825,38,20,91
C0329,Private,Doctoral degree,93,33690,Mid East,1595,36,20,98
C0330,Private,Master's degree,95,6265,Plains,31205,84,18,94
C0331,Public,Doctoral degree,58,7090,Mid East,1162,13,24,92
C0332,Private,Bachelor's degree,61,6468,Great Lakes,1298,44,,95
C0333,Public,Doctoral degree,68,45527,Great Lakes,2181,66,18,63
C0334,Public,Doctoral degree,67,28240,Southeast,2823,56,22,92
C0335,Private,Master's degree,59,25416,Southeast,1221,23,30,100
C0336,Private,Doctoral degree,58,6550,Great Lakes,11287,24,21,85
C0337,Public,Doctoral degree,84,26280,Mid East,2733,66,,100
C0338,Private,Doctoral degree,57,10838,Great Lakes,14934,57,22,85
C0339,Private,Doctoral degree,15,33830,Mid East,6429,27,20,99
C0340,Public,Doctoral degree,38,23200,Mid East,20517,58,18,99
C0341,Private,Master's degree,,33280,Mid East,1671,27,,98
C0342,Private,Doctoral degree,39,40600,Mid East,2302,74,13,98
C0343,Private,Master's degree,7,36051,Southeast,1378,21,22,99
C0344,Private,Bachelor's degree,100,10653,Southeast,2074,9,18,90
C0345,Private,Master's degree,62,9180,New England,1288,43,,99
C0346,Private,Doctoral degree,64,1032,Southwest,34379,50,,18
C0347,Private,Bachelor's degree,60,33145,Mid East,2001,67,21,100
C0348,Private,Master's degree,61,19000,Plains,1375,24,23,100
C0349,Private,Doctoral degree,50,7401,Southwest,3962,17,25,83
C0350,Private,Bachelor's degree,40,17400,New England,2569,25,18,95
C0351,Private,Bachelor's degree,51,29836,Southeast,6714,30,33,97
C0352,Private,Master's degree,83,26240,Mid East,3193,27,24,100
C0353,Public,Master's degree,68,26430,Mid East,5870,43,,95
C0354,Public,Doctoral degree,27,10054,Plains,505,20,22,90
C0355,Private,Doctoral degree,17,39040,Mid East,16958,53,22,97
C0356,Public,Doctoral degree,,11448,Great Lakes,9591,35,19,92
C0357,Public,Doctoral degree,,7265,New England,1409,31,23,94
C0358,Public,Master's degree,,30040,Southeast,1122,17,22,100
C0359,Public,Master's degree,69,12668,Southeast,3883,10,19,54
C0360,Public,Doctoral degree,53,14240,New England,1392,81,20,75
C0361,Public,Master's degree,73,23612,Great Lakes,1183,9,15,98
C0362,Public,Master's degree,88,27345,Plains,11369,30,19,100
C0363,Public,Master's degree,84,12160,Mid East,194,40,,100
C0364,Private,Doctoral degree,,22196,Southeast,4260,82,21,95
C0365,Private,Doctoral degree,66,5824,Mid East,3028,54,19,93
C0366,Private,Doctoral degree,35,32370,Southeast,59589,74,,91
C0367,Private,Master's degree,96,31280,Southeast,6421,16,20,97
C0368,Private,Doctoral degree,,30540,Southeast,2396,44,16,100
C0369,Private,Doctoral degree,47,6908,Southeast,1343,27,23,89
C0370,Public,Master's degree,73,46902,New England,923,11,,55
C0371,Public,Master's degree,77,21832,New England,1469,72,,99
C0372,Private,Master's degree,45,15688,New England,793,63,19,99
C0373,Private,Master's degree,75,9386,Southeast,1044,29,29,99
C0374,Private,Master's degree,74,8849,Plains,2039,55,19,91
C0375,Private,Bachelor's degree,29,9032,Far West,2357,47,,97
C0376,Private,Master's degree,60,32920,Southeast,2040,31,,89
C0377,Private,Master's degree,76,29990,Far West,883,3,29,100
C0378,Private,Doctoral degree,60,13602,Rocky Mountains,1172,50,19,81
C0379,Private,Bachelor's degree,80,8460,New England,1963,14,20,77
C0380,Private,Doctoral degree,74,31990,Southeast,3067,37,23,100
C0381,Private,Master's degree,34,27900,Southeast,6316,43,,92
C0382,Private,Bachelor's degree,77,4000,Southwest,1113,39,,95
C0383,Private,Doctoral degree,61,7577,Great Lakes,1765,42,16,84
C0384,Private,Master's degree,44,13397,Plains,2854,35,,80
C0385,Private,Bachelor's degree,59,9852,Mid East,1351,30,27,76
C0386,Private,Master's degree,54,5808,Southwest,1144,24,24,96
C0387,Private,Doctoral degree,58,11025,Southwest,3694,14,17,96
C0388,Private,Doctoral degree,59,13412,Southeast,2251,24,23,93
C0389,Private,Doctoral degree,63,26500,New England,14691,88,18,96
C0390,Private,Master's degree,68,6344,Great Lakes,1271,0,13,87
C0391,Private,Bachelor's degree,95,19986,Great Lakes,1921,30,19,97
C0392,Public,Doctoral degree,35,4482,Southeast,2882,15,,89
C0393,Private,Bachelor's degree,51,,Southwest,10913,37,21,
C0394,Public,Doctoral degree,41,30290,Southeast,579,58,19,100
C0395,Private,Master's degree,79,47510,Mid East,2756,51,,41
C0396,Private,Bachelor's degree,,5105,Southeast,4179,51,22,69
C0397,Private,Doctoral degree,58,5574,Far West,1408,41,16,92
C0398,Private,Master's degree,58,6058,Mid East,3657,55,,91
C0399,Private,Master's degree,80,22628,Mid East,26132,29,20,100
C0400,Public,Doctoral degree,53,25880,Mid East,3383,48,19,96
C0401,Private,Bachelor's degree,64,43902,Far West,1623,45,24,92
C0402,Private,Doctoral degree,44,28378,Great Lakes,11823,,22,83
C0403,Private,Master's degree,67,,Great Lakes,1400,71,,
C0404,Private,Master's degree,,6968,Great Lakes,27416,46,21,90
C0405,Private,Bachelor's degree,,31866,Mid East,2297,27,18,99
C0406,Private,Master's degree,56,44000,Southeast,824,88,,61
C0407,Private,Doctoral degree,93,5818,New England,3675,27,18,99
C0408,Private,Master's degree,,,Southwest,3175,44,21,
C0409,Private,Bachelor's degree,,6690,Mid East,17220,58,,92
C0410,Private,Bachelor's degree,51,10800,Mid East,4336,,25,100
C0411,Private,Bachelor's degree,67,18690,Mid East,2150,9,22,93
C0412,Private,Bachelor's degree,57,22700,Southeast,29517,21,22,100
C0413,Public,Doctoral degree,66,26880,Mid East,1701,90,32,100
C0414,Public,Master's degree,85,15840,Plains,8483,19,14,100
C0415,Private,Master's degree,60,18300,Southeast,8279,68,20,100
C0416,Public,Doctoral degree,81,5924,Mid East,7546,18,16,88
C0417,Private,Master's degree,34,6265,Great Lakes,11020,44,25,83
C0418,Public,Doctoral degree,6,6252,Plains,2378,45,21,95
C0419,Private,Master's degree,85,33746,Great Lakes,2175,19,18,100
